Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
10 Downing Street,Smrati Saxena,"I've been to this place about two times and i really liked the ambience, interior will give you feels of london streets.
talking about food, only good thing was lasagna other than that we ordered veg Platter and lasagna rolls which were really bad in taste. dj was not too good",3,"18 Reviews , 41 Followers",5/23/2019 21:04,0,
10 Downing Street,Jayaprakash Reddy,"I have visited this pub last weekend with group of friends, we had brewed beers, veg & non-veg starters. Food tastes good, prices are reasonable, ambience is decent, service is good even though it’s on Saturday night.

Overall i liked the place, I will visit again!!",4,"2 Reviews , 11 Followers",5/21/2019 16:00,0,
10 Downing Street,Ram K,"Surely one of the best lasagna you can have. The place never disappoints you even when you are just trying something for the first time here. Chilli cheese toast is something you have to try .

Great food at budget price with good service in a lovely ambience.
What more can you ask for....",4,"8 Reviews , 9 Followers",5/19/2019 17:53,0,
10 Downing Street,Shruthi Ayalasomayajula,"Closed ambiance, loud. Food was filling, we ordered veg platter and the pizza is a must try, thin crust with a good amount of cheese, if you're a cheese lover do try it.
Ambience- 4.5/5
Service-4/5
Food-5/5",5,"6 Reviews , 1 Follower",5/11/2019 23:28,0,
10 Downing Street,Bhargavi Vasudha Anantatmula,It was great experience . You will find crowd mostly on Friday and Saturday dance floor is not that great. Pricing was normal. You can enjoy with family too.,4,"10 Reviews , 6 Followers",5/11/2019 22:50,0,
10 Downing Street,Rmandava70,Place is awesome so their craft beers. Liked Belgian Wit and Belgian Strong Ale. Both are amazing. Food taste and quality is good. They must improve a bit on quantity. After all they are charging good price for food. Lot to improve in service. They are not vigilant about customer needs. No cutlery was kept on the table until repeatedly asked for it. Overall it is a good experience.,4,"92 Reviews , 727 Followers",5/9/2019 18:56,4,
10 Downing Street,K Prakash Raju,"I came there with my friend as stags. It was written stags are allowed till 8 pm but the reception person was unkind to say “you are not allowed “ at 7:45. He was looking down on us just cause there was no girl. The other point that he raised was that my friend was not wearing shoes. It looked reasonable.
Overall, it felt humiliating and I felt it wasn’t a decent place to even receive you.",1,1 Review,5/5/2019 19:54,0,
10 Downing Street,Anjali Lal,Most terrible place. I used to love Chennai 10D And with that brand I went to Hyd 10D. Firstly they took cover charge for a couple and they had no seats. Could have told us we have no seats we would not have paid cover charge. We stood for good 20 mins and then given bad seats near the speaker where one couldn't even talk! And then the waiters weren't serving us food properly. Had to ask them twice after whicj they took order and when they did they didn't give us cutlery. Can you even imagine??? I had to ask that give forks !!!!!!! I had the worst experience ever of going to a place. Extremely disappointed. Please learn how to manage a crowd. Also I wanted to book my table beforehand. But the option was not even available on Zomato and they won't pick up call. It just felt they didn't want things to be systematic. Extremely disappointed.,1,"4 Reviews , 1 Follower",5/5/2019 11:43,0,
10 Downing Street,Meenakshi Patel,"Reading the reviews we visited this place, however our experience was not good. We were not offered our preferred seat even when most of the tables were empty and unreserved. Few of the staff members were rude and rigid and the food was fine.",1,2 Reviews,5/5/2019 1:17,0,
10 Downing Street,Asimeni Bhavya,"I had chosen this place for a weekend to spend quality time with my friends, overall can giving ratings for:
Ambiance - 10/10
Food - 5/10
Music- 5/10",4,3 Reviews,5/5/2019 0:12,1,
10 Downing Street,Dinesh Naidu,"An Uber cool place with an ambience which reminds you of any pub in London well isn’t the name making it obvious. Been here couple of times, place outside on terrace gets filled up faster than inside,they now have water sprays outside to keep you cool in summers.

This is a brewery but again not all beers in the menu are available most of the time. Although the home beer is good. Must try.

Food is okay, can be better.

Overall 4/5
Ambience 5/5
Food 3/5
Service 3.5/5",4,"20 Reviews , 10 Followers",5/3/2019 8:46,0,
10 Downing Street,Vidya Bharti (Traod_thefoodietraveller),"Good food good ambience at less price...!! What else needed🤘🏻
10D has two outlets one in Gachibowli SLN terminal mall 10th floor and the other one in Begumpet ...The best thing about this place as I mentioned you will have awsm food at very less price...what I ordered was chicken lasagna with garlic bread and Mexican chicken quesadillas both were yummm and they came with a drink of your choice which can be beer wine cocktail soft drink dessert ....
So you get food with drink combo ....for my two orders mentioned above it cost me 280/- each which is amazing....👍🏻",4,"37 Reviews , 20 Followers",5/2/2019 12:56,2,
10 Downing Street,Phani Dileep,"This place is sooo good in everything food, ambiance,drinks and what not. But the main problem is again I am a stag for most of the times so couldnt enter majority of the evenings :(, else it would have been 5 star.
Totally worth the visit",4,"99 Reviews , 106 Followers",4/30/2019 1:06,0,
10 Downing Street,Jitu Prakash Rout,i order Mexican veg salad what dressing giving i Don't no but this is not good very bad proper dressing is olive oil & mustard sauce but giving me tomoto sauce dressing services is good bikash shoo you gave good beer was a very good beer thanks for bikash but ambience is good,5,"3 Reviews , 2 Followers",4/29/2019 22:20,1,
10 Downing Street,Shashank N,"This is a good place to hang out.The ambience is really good . One of the best chicken nachos I have had till date but the crispy chicken disappointed. They Do not have a big list of beers being brewed and the is not that great when compared with other brews in hyderabad.
Would recommend this place if you are someone who likes virgin pinnocolada",3,"10 Reviews , 7 Followers",4/28/2019 18:35,0,
10 Downing Street,Navdeep Kohli,"Located on the 10th floor of SNL mall , this place is one of the most Hip party places in Gachibowli.
The ambience is good and the place is huge as well..
Food is also good and service is again awesome.
Good place to have a group events .",4,"92 Reviews , 493 Followers",4/28/2019 11:44,0,
10 Downing Street,Two Hungry Monsters,"It’s wonderful and lively place on 10th floor.outdoor seating is beautiful. We ordered chicken lasagna, fish & chips, chicken lollipops, veg schezwan noodles, chilli garlic baby corn and schezwan egg fried rice. Every dish was really good but the schezwan egg fried rice could have been better. Mocktails are no doubt the best.must visit place.",4,"7 Reviews , 2 Followers",4/25/2019 14:32,10,
10 Downing Street,Vikas Jain,Great ambience and food but cocktails could have been better. I had pasta with white sauce and it was best i had in quite sometime. However i was disappointed with cocktail. I ordered LIIT but it was not as good as i expected.. but overall it was a good visit and i will Probably try something else next time.,3,1 Review,4/24/2019 18:54,0,
10 Downing Street,Irfan Dar,Summer chills are here at Ten D. We get to know that when you try the new Brew Summer Blonde Ale. Highly recommend beer dont miss it cheers beautiful ambience.,5,1 Review,4/18/2019 21:06,0,
10 Downing Street,Arha Krishna Inamdar,"It's in the other side of the SLN Terminus , out door seating is great , ambeince is good , but you feel bored sitting inside !! Food was good !!! Ladies night on Thursday , worth the visit",4,"71 Reviews , 162 Followers",4/13/2019 18:14,0,
10 Downing Street,Shankar Murthy,"Been here for lunch with 6 ppl.
Decent interiors, nice and comfort seating.
Food is delicious.
Combo menu has great selection.
Loved Potato wedges, corn and broccoli fermentino.
No options in desserts.

Food 5/5
Drinks 4/5
Ambiance 5/5
Staff behavior 4/5",5,"43 Reviews , 1035 Followers",4/10/2019 12:26,0,
10 Downing Street,Soumita Paul,Ambience is good. But quality of food not up to the mark. Good place with family and friends wth music and all. Most pathetic cocktail i ever had,2,"2 Reviews , 1 Follower",4/10/2019 11:42,0,
10 Downing Street,David Ebenezer,"10downingstreet is known for it's wonderful ambience. Their In-house Brew is awesome!
One of my all time favourites is the mushroom added 'Shepherd's pie'!
If you want to chill with your gang on a cool sunday evening, the outdoor rooftop bar will be the place!
They also have a cozy dance floor space!",4,"8 Reviews , 16 Followers",4/9/2019 16:18,0,
10 Downing Street,Rajsi Gaikwad,"It's a wonderful and lively place on the 10th floor. We were sitting outside which was even more beautiful. There is even a dance floor near inside sitting area.
The food we ordered was chicken lasagna and veg lasagna, pink pasta and spicy chicken rice of which all were good. The food we ordered was served quickly.
In weekdays the place is lightly crowded which makes it a nice place for dates or for Hangouts.",5,"50 Reviews , 69 Followers",4/9/2019 11:36,3,
