Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
13 Dhaba,Sarika,"I didn't go and eat at the Dhaba.
I had ordered from here. The taste was amazing and te only issue was packaging of the order.
A must have is Alu Parantha and lassi.",4,"34 Reviews , 12 Followers",5/25/2019 15:05,0,
13 Dhaba,Ankur,"Nothing much to say but got authentic north indian food taste in south India. Chole bhature were mouth watering. Lassi was thick & fresh.
The ambience gives a glimpse of an North Indian roadside dhaba.",5,0 Reviews,5/25/2019 13:03,0,
13 Dhaba,Kumar Ajay,"Eating there or getting delivered amazing food. Have had their chole bhature panner paratha. Kadi chawal, aloo kulcha and panner tikka bilkul ghar ka taste",5,1 Review,5/19/2019 16:03,0,
13 Dhaba,Henna Mittal,I ordered Rajma which turned out to be salty spiced water without any Rajma in it. Avoid the place because quality doesn’t seem to be given much importance.,1,3 Reviews,5/18/2019 16:10,0,
13 Dhaba,Yogesh Kumar Gupta,"Ordered Meals(Dal makhni + Rice + roti + Aloo Gobhi). Tastes really good and was fulfilling too. Just one thing, if you could include some plastic cutlery, So that we can pour curries into the bowls. It is difficult to manage this in office without cutlery.",5,"16 Reviews , 46 Followers",5/9/2019 13:57,0,
13 Dhaba,M Jayanand,Place is a mess was shocked to see chaos the other day and i had an upset stomach after having the food from here there was total confusion i will never order from this place again n frank opinion it reminded me of hell sorry but i spoke my mind.,1,"4 Reviews , 2 Followers",5/7/2019 8:20,0,
13 Dhaba,Rakesh Singh,The paneer paratha is not good as expected. It need to be improved. The paneer stuffed insided paratha is not seem to be fresh instead it look like worst paneer that I had eaten so far.,1,2 Reviews,4/28/2019 12:39,0,
13 Dhaba,Sekhujaan,Good food,5,"10 Reviews , 1 Follower",4/23/2019 15:07,0,
13 Dhaba,Niharika Rayat,"Ordered dal makkhani rice multiple times. Panner paratha is good. Quantity is less for one person. Even the large size is only served as small to medium size.

Packaging is nice although not separate. Food can't be stored, supposed to be eaten as and when ordered as both dal and rice are packed together. 

Food seems hygienic. Need to work on quantity for different size meals as it is not enough.",3,"14 Reviews , 2 Followers",4/22/2019 12:07,0,
13 Dhaba,Sonali,Visited to this place yesterday on one of my friend's recommendation. Found it one of the best punjabi dhaba in Hyderabad. The tastes remind me of Punjab. It offers a variety of delicious home made food. Pice is affordable. Loved the cold lassi. A must visit place if you are a food lover.,4,"15 Reviews , 18 Followers",4/15/2019 10:14,2,
