Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
AB's - Absolute Barbecues,Brave Stone,It was excellent experience spiced thank Krishna and monaj excellent food and service I am full happy enjoy the food and service thanks and team,5,"1 Review , 1 Follower",5/25/2019 16:20,0,
AB's - Absolute Barbecues,Ajayreddy Singireddy,"Excellent, it was a great experience that i had there.
Krishna has taken care of us. And the chef pankaj has served all the special dishes to us. Will go again soon🤤🤤🤤",5,"1 Review , 11 Followers",5/25/2019 16:02,0,
AB's - Absolute Barbecues,Monika Pandey,"Visited AB’s 3rd time and as always staff was very friendly and welcoming, decent ambiance and wide variety of food. It’s a must visit for barbecue lovers",4,"6 Reviews , 47 Followers",5/25/2019 15:28,10,
AB's - Absolute Barbecues,Praveen Singh,"Varun and sandeep done excellent job
..awesome hospitality.... excellent food and ambience..will recommend tommy other college and family members....",5,"1 Review , 1 Follower",5/25/2019 14:55,0,
AB's - Absolute Barbecues,Shruthi Reddy,Excellent food and excellent service by mr Krishna and ijujal I am full happy either the food and service thank you gays and thank abs I am coming again and again thank,5,"1 Review , 15 Followers",5/25/2019 14:23,0,
AB's - Absolute Barbecues,Deva,Food was awsome and the service provided by krishna ijual was wonderful and totally satisfied with taste and service...Hence provided five star rating,5,"1 Review , 2 Followers",5/25/2019 13:56,0,
AB's - Absolute Barbecues,Kishore Surisetty,Excellent service by nandan and rahmat and ripan and feeling happy for and the management .food awesome and expect to i will come again soon abs . service boy are fantastic,5,"1 Review , 1 Follower",5/25/2019 13:47,0,
AB's - Absolute Barbecues,Soumyaranjan,Food is absolutely fantastic here and the service given by the Bahadur and rahmat are awesome.These guys take care of the service very properly.love to visit here again.,5,"1 Review , 1 Follower",5/24/2019 16:10,0,
AB's - Absolute Barbecues,Arjun,"Excellent food and excellent service by Mr bahadur rahamat and ripen we are fully happy to there service also all things was excellent ,,we again visit soon love abs",5,"1 Review , 1 Follower",5/24/2019 15:37,0,
AB's - Absolute Barbecues,Daggu Aishu,Very nice food and my family coming in restarent coming very nice sarvice very good food and very nice staters and mean course and staff is very nice sarvice and staff name Shekhar and santhu sarvice is very nice,5,"1 Review , 7 Followers",5/24/2019 15:36,0,
AB's - Absolute Barbecues,Vivek Yadav,Very excellent sarvice very nice food and very nice staff very nice politley sarvice and srtaters very nice deserts very goood and very nice sarvice staff name shekhar and santhu sarvice nice,5,"1 Review , 51 Followers",5/24/2019 15:26,0,
AB's - Absolute Barbecues,Swapna Maroodi,I love the food and services here .. mr pankaj ..was our chef here he give excellent food I love the fry prowns and fry fish this is my 6th visit Weldon abs and pankaj,5,"1 Review , 2 Followers",5/22/2019 22:51,0,
AB's - Absolute Barbecues,Infant Jesus Shrine,"Very good and delicious food I have ever ate in Hyderabad.

@ Punkaj u have done a very good work and u r excellent in ur communication. Happy for it

Thank u
Sandeep",5,"1 Review , 2 Followers",5/22/2019 21:12,0,
AB's - Absolute Barbecues,Muralidhar Rao,"Service was very good! And all the staff treated us very well especially @Bahadur was very attentive and happy to serve all out team! :)

Very good experience to have lunch with AB’s",5,"1 Review , 60 Followers",5/22/2019 15:56,0,
AB's - Absolute Barbecues,Narendra,Awesome experience .taste was fantastic and service was wonderful giving by Nandan and Varun .those guys are very friendly and good manner .there way of talking very polite and courteous.,5,"1 Review , 1 Follower",5/22/2019 15:24,0,
AB's - Absolute Barbecues,Sindhu Dimple,We had Mr.Bahadur serving us. He was very courteous & service was top class. It was my bday & very impromptu . They brought in the cake & made my day even better. Taste was asusual excellent.,5,"2 Reviews , 11 Followers",5/22/2019 13:55,0,
