Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Absolute Sizzlers,Arun Sharma,"Service was pathetic. Ordered a sizzler with lamb, was told no lamb. Ordered another sizzle with Noodles. It took 15 mins to serve that one. Also, served it with rice instead and when I asked to change, they gave me a noodle differently and that too since they were irritated with lots of chilli sauce. I sweated through first 5 mins and then just left the sizzler as such.

No apologies, nothing from there side. When asked for manager, told me he is not here.

Prakash was not helpful or apologetic, he just denied that he never served it.
Benjamin still was apologetic about the whole goofup.",2,"7 Reviews , 64 Followers",5/21/2019 21:45,2,
Absolute Sizzlers,Pallavi Mitra,"I ordered a chicken American chopsey, and they gave me this. There was no noodles in it nor soup. The dish was more of a chicken salad. Wrong order delivered.",1,"12 Reviews , 2 Followers",5/21/2019 6:49,1,
Absolute Sizzlers,Avi Ranjan,"Great place 👍🏻 Awesome ambience and food , staff is good and seafood delight is a must try also sizzling chicken 👍🏻 come for budget lunch with your girlfriend 😅",5,"1 Review , 2 Followers",5/20/2019 14:53,0,
Absolute Sizzlers,Raju,"When we first tried, that was 8months back.. the food taste and the quantity was good. Now they seems very much focused on offers not the quantity and quality of food. Very disappointed on my next two visits;They started reducing the quantity of the main dish in their Sizzlers, seems now the main dish is just for topping to attract.",3,"10 Reviews , 3 Followers",5/18/2019 9:18,0,
Absolute Sizzlers,Ravi Yogesh,"Visited for lunch today with colleagues and ordered one spicy chicken sizzler combo and two buffets. The buffet comes with veg and non veg sizzler , though without the sides (fries, veggies and noodles/rice). The buffet was decent though not great wrt variety and taste but the sizzler combo left us impressed with very good portions , perfectly cooked fresh chicken fillets loaded with veggies and garlic sauce. Would recommend the sizzler combo over the buffet.",4,"161 Reviews , 201 Followers",5/17/2019 20:00,5,
Absolute Sizzlers,Ramesh Pedada,"Thanks thanks thanks ones again thank you for your such a hospitality . ..it's great place to dine...
Food was delicious even service also wow...
We want to visit again....

Highly recommend ....",5,"1 Review , 1 Follower",5/17/2019 19:36,0,
Absolute Sizzlers,Venugopalarao Pragada,"We are waiting for long time for this restaurant to dine ...

Finally we visited with my family this restaurant
Food was delicious thank you...
Service also glorious, ambiance also nice we want to visit again....
Highly recommend for this restaurant",5,"1 Review , 1 Follower",5/17/2019 19:32,0,
Absolute Sizzlers,Kurmarao Kuna,"Its nice place to dine for team lunch ...
Great service
Great food...

Nice ambiance
we want to visit again we loved service thanks team absolute",5,1 Review,5/17/2019 18:39,0,
Absolute Sizzlers,Jagan Jrb,"I went here earlier some time back and was really impressed. Loved the sizzlers.. so I recommended it for a team lunch. They preferred buffet, so instead of going for different kinds of sizzlers, we went ahead with the buffet. The most disappointing part was , despite a reservation for 12:30 pm, nothing was served till 12:55.
No body even looked at the table, as they did not want to even respond. We can accept a delay but negligence is not acceptable. We had to go back to them and ask for water and keep inquiring when the food would be ready.
Finally they served and none of us liked the food. All they could relish was coke and gulab jamun.
Even if the food was not good, I would not give such rating. But the service is very disappointing.
If If there is an issue, we would be glad to understand the reason for delay. But being rude and ignoring when we are at a restaurant was least expected.
Don’t think I would go back there again.",1,"5 Reviews , 50 Followers",5/17/2019 16:29,0,
Absolute Sizzlers,Ganga Chauhan,"Its great place dine absolute sizzler absolutely great place to dine with family and friends....

Today lunch we visited with family we had great experiences ... We Loved the food n service we want to visit again........",5,1 Review,5/17/2019 13:24,0,
Absolute Sizzlers,Aparajita Deshpande,"I’m sorry but this isn’t the right place for online orders. I did not get my complete order and what I received was also not what I had ordered for! And nothing was done, apart from receiving Z credits, because that is only what zomato can do!
Check your orders before you send it to the customer.",1,"7 Reviews , 4 Followers",5/17/2019 13:14,0,
Absolute Sizzlers,Anil Pullela,"How do you expect me to be nice when the food I ordered when I am literally hungry came spoiled and the Zomato support people are not of any help.
I need my money back.",1,"1 Review , 11 Followers",5/15/2019 23:46,0,
Absolute Sizzlers,Karthik,"Went with family on a week day. We ordered the below:

Exotic Vegetable Pasta (3.5/5) - this can be better

Veg Sizzler with Baked beans (4/5)

Paneer Butter Masala Sizzler (3/5) - asked for less spicy, but it was spicy. Somehow could not enjoy the taste 100%.

Cottage cheese steak sizzler (4.5/5)

Fresh Lime Soda (3/5) - I can make better soda at home.

Ambience (4/5)

Overall it was a decent experience so rating 3.8, but things can be improved.",4,"13 Reviews , 3 Followers",5/14/2019 23:44,0,
Absolute Sizzlers,Krishnakanth M,Good sizzler taste. Portion size may be too much for a single person. They were kind enough to share all the sauces extra to mix and have different tastes.,3,"5 Reviews , 1 Follower",5/14/2019 21:18,0,
Absolute Sizzlers,Sumit Kumar Singh,"Went for team outing here
All sizzlers pretty are same here just main indegridint changes. The service is a bit slow. Ambience is nice. There brownie sizzler is good. The staff is courteous.",4,"8 Reviews , 19 Followers",5/12/2019 11:09,0,
Absolute Sizzlers,Bunty Kundnani,They delivered a stale food at night when ordered from zomato. I paid INR 400 for stale food and when i tried calling restaurant had closed. No one helped,1,"2 Reviews , 1 Follower",5/11/2019 11:08,0,
Absolute Sizzlers,Kiran Kumar Kura,"Cool place to party with friends &family, good choice of sizzlers available, juice & smoothies also available, little more care will make them perfect, suggesting to place cabage leaves over sizzler plate to avoid colour change of lower level food, wash room at inconvenient place, found lot of delivery boys near counter.
I visited on 26th Feb for my daughters birthday dinner",4,"3 Reviews , 1 Follower",5/1/2019 22:45,0,
Absolute Sizzlers,Jay Dixit,"Super sizzlers with decent staff and offers are enough to njoy the place , all should go there to have tasty sizzlers ......i will visit again",5,"2 Reviews , 7 Followers",4/28/2019 21:44,0,
Absolute Sizzlers,Food Nawabs,"You hear about a place a 100 times, how do you solve the puzzle when you visit it once to experience it yourself... Being a foodie it's important we suss things out in person. One of the puzzle I came across was this place Absolute Sizzler I had mixed reviews and I said let me.try. been here and loved the place.. people have lot of different views and takes on Sizzler's and how they expect it to be like a Dhaba style .... Here it's a fusion of both Desi and videsi tadkaa... So keep an open mind to ravish some delicious sizzlers.... I give a happy 4/5.",4,"130 Reviews , 5533 Followers",4/28/2019 19:14,22,
Absolute Sizzlers,Buchhi,"This place is awesome, awesome food awesome staff everything is awesome we like to visit again thank you.

Especially lunch buffet was great n Sizzlers also",5,1 Review,4/28/2019 0:41,0,
Absolute Sizzlers,Vattikoti Abbaiah,"Absolute sizzlers absolutely gorgeous place to dine with family and friends.....
Food was delicious n service is fast and great...
Nice ambiance
We want to visit again... thanks",5,1 Review,4/28/2019 0:01,0,
Absolute Sizzlers,Shanmukharo Bendi31,"Absolute sizzlers it's not only sizzlers thay have meny more...
Especially the lunch buffet was friendly pocket for all....

Great food...
Great experience n good service....

We want to visit again",5,1 Review,4/27/2019 19:01,0,
Absolute Sizzlers,Govanroy Diengdoh,"Today launch we visited this place...food was good service Also Good...nice ambiance ...
It's Good dining place for friends and family

We want to visit again..... thank you",5,1 Review,4/27/2019 17:06,0,
Absolute Sizzlers,Pranay Krishna,Worst place to have a sizzler. Tried hyderabadi sizzler which was just rotten chicken biriyani on a hot plate. The noodles in the veg sizzler were very bad as well. These guys dont know how to make a sizzler. The staff was also not well trained.,1,"15 Reviews , 10 Followers",4/25/2019 16:47,0,
Absolute Sizzlers,Sudipta Routray,As a sizzlers Fan went to longe my taste buds with sizzlers.Order Fish n chips along with chilly chicken for straters and oh my fell in love with fish n chips.. Chicken Sizzlers were really gud... Loved the ambience and the music.. worth visiting the place.. Fish n chips are must try.,4,"14 Reviews , 12 Followers",4/24/2019 18:31,0,
Absolute Sizzlers,Praveen Kumar,Sizzlers are really good here but one must have knowledge what they want exactly along with sizzler otherwiSe it's hard to fiNish it of and also need to update the orDer with pice level for spice lovers,4,"21 Reviews , 4 Followers",4/23/2019 21:13,0,
Absolute Sizzlers,S G K,The Mixed Biryani is good. But need to improve the presentation and the portion. The pieces are not cooked properly. Better to check this except that all ok.,3,"10 Reviews , 11 Followers",4/19/2019 22:08,0,
Absolute Sizzlers,Sai Kumar Machabathuni,"It was my first time to taste this dish and totally satisfied. I cut down that 5th star because it lacks spice and realized that there are spicy sauces that can be added to the dish, after our plates were empty.
Good ambience and service",4,3 Reviews,4/18/2019 20:56,1,
Absolute Sizzlers,Pratheek Denny Padinjarathala,"Friendly staff, Good Food, and Ambience. On 2 occasions, I have had the chance to enjoy their sizzlers and prawns and both times, I enjoyed the experience",5,"10 Reviews , 43 Followers",4/16/2019 12:52,0,
Absolute Sizzlers,Sushmita Mishra,It is a very good place for sizzelers. Loved the person who was singing der. A very good experience overall. Loved the food and the food was served on time and food was amazing. It was a very good experience for my family and me. I would recommend this place to all my friends and aqueitence.,5,"3 Reviews , 3 Followers",4/15/2019 17:26,0,
Absolute Sizzlers,Rajorshi Roy,Simple place but very tasty sizzlers. Portioning for the sizzlers are also excellent. Service was also good. I tried one of the chicken sizzlers and loved the plating and all the added stuff that came along.,4,"22 Reviews , 15 Followers",4/14/2019 22:13,0,
Absolute Sizzlers,Bablu,This is the best place for those who live sizzlers which is best and cheaper food in this place is good but the deli ery of the food is bit slower as compared to other,4,"5 Reviews , 3 Followers",4/14/2019 1:17,0,
Absolute Sizzlers,Sekhar,Vegetables are not cooked properly waste of money,1,1 Review,4/12/2019 14:21,0,
Absolute Sizzlers,Vijay G,"Thay serving great lunch buffet food was superb...

6 tipe staters 5 currys 2biryanis desserts n salads pasta noodles n salads....wow great buffet...

We want visit again",5,1 Review,4/12/2019 12:32,0,
Absolute Sizzlers,Punit Giri,Food was not that great for the price range that they have!! Disappointed!! Service was also not that great! Had to call the waiter at least 4 times for them to serve the food!!,1,"3 Reviews , 2 Followers",4/12/2019 3:23,0,
Absolute Sizzlers,Sannggita Gangte,"Absolute sizzler is absolutely fantasy and lovely.I'm blessed and pleased to been here.Its like heaven on earth.The foods are delicious and it was delivered on time.Love to visit again and again...I feel like home,the staffs are also good and frank.KEEP IT UP ABSOLUTE TEAM",5,1 Review,4/12/2019 2:49,0,
