Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Al Saba Restaurant,Arza Naveen,"Visited this place at night. Had chicken Biryani, Fish Biryani, tandoori chicken as starter. Food taste wise was good. we choose In door A/C seating. Need to work on cleanliness which is lacking in this place.",3,"19 Reviews , 20 Followers",5/17/2019 15:32,0,
Al Saba Restaurant,Srujin Rajan,"Yet another Sunday evening.. It was quite late when I reached this place.. But it was not the time to shut down the restaurant as well.. It was shocking to see no one in the restaurant though..

Ambience was normal and there is nothing to hype about it.. The hotel is not kept clean.. Infact there was an insect in the plate that was given to my first and I had to change my plate eventually.. Service was pretty late considering the items that we ordered..

I ordered chicken majestic and egg biryani .. To be frank, the food was disastrous... U can't put the blame on the time i went as well because it was at 10 in the night.. The starter looked like gravy and tasted very and the briyani had no masala at all..

Starter : chicken majestic
Rice and biryanis : egg biryani

Ambience : 2
Food : 1
Service: 1
Value for money : 1

Bottomline : Not Again",1,"52 Reviews , 57 Followers",4/29/2019 0:51,0,
Al Saba Restaurant,Rajeshkanna K,Mutton biriyani pieces were rotten. Don't know how old the meat was. And the ambience and cleanliness were disgusting. Save yourself don't try this hotel.,1,"2 Reviews , 1 Follower",4/11/2019 16:19,0,
Al Saba Restaurant,Raj6305926107,Chicken peaces in Egg biryani. No response from restauraunt end. Taste also very bad. Improve your service dont repeat this other customers.,1,1 Review,4/9/2019 16:05,1,
Al Saba Restaurant,Akshay Kannolli,I can say the best mutton dum biryani I have tasted In long time with great salan ! The flavours are perfectly balanced it was my first order though I have never had it before this so I will have it again in future to know if the consistency is the same !,5,"29 Reviews , 11 Followers",4/3/2019 0:57,0,
Al Saba Restaurant,Asad Khan,The mutton biryani and tandoori chicken is good. Rest of the dishes are as good as pakwaan or shah ghouse . Decent place to beat your biryani cravings.,3,"35 Reviews , 107 Followers",3/29/2019 15:22,1,
Al Saba Restaurant,Nagalingam Yadav,Delivery is very polite And food was awesome,5,"9 Reviews , 1 Follower",3/26/2019 23:27,0,
Al Saba Restaurant,Bhanu Kiran,The chicken pieces in Boneless chicken biryani are like stones and the dish spoiled our hunger. Very disappointed with the first order from here.,1,2 Reviews,3/14/2019 22:35,0,
Al Saba Restaurant,Abhilash Veldi,"Writing this review with stinky hands, Ambience an Hospitality are very poor. Food is delicious but you have wait till your patience expires and you finish the food in 5 minutes and have wait for 30 Mins. Went there in peek time",1,"5 Reviews , 53 Followers",3/8/2019 14:19,0,
Al Saba Restaurant,Ashrafi Iqbal,Not good at all. Tonight I went there. Ac section has different charges. I tried alsaba special Currie's also grill chicken neither of the dish was good. Only biryani is considerable.,1,"1 Review , 1 Follower",2/22/2019 23:07,0,
Al Saba Restaurant,Pratheesh Kumar,Me and my friend's where had a get-together at al Saba the biriyani was nice and the chicken also I think we order chicken tikka everything is good,4,"6 Reviews , 8 Followers",1/18/2019 12:21,0,
Al Saba Restaurant,Samreen Rizvi,Nice ambience for a low budget restaurant. Full paisa vasool taste and food quality. Good service. If you are low on budget still want to have a good quality food then this is the right place for you,5,"10 Reviews , 17 Followers",1/12/2019 14:37,0,
Al Saba Restaurant,Sourav Roy,The biriyani was great. But ambience is not that great. Crowded mostof the time. Good for parcel of food. U must order the mutton Biryani here. Service is quick though.,3,"65 Reviews , 1166 Followers",1/6/2019 0:56,3,
Al Saba Restaurant,RamChetan Polishetty,Worst biriyani it was got cockroach in water jug and no courtesy or respect to customer only starter is ok it was good once few months back.,1,"4 Reviews , 26 Followers",1/1/2019 22:39,0,
Al Saba Restaurant,Rajendra Varma,This was ok but not tasty I have ordered chicken Biryani here it was ok we can taste it once or twice because some one like some thing it looks good,3,6 Reviews,12/6/2018 13:23,1,
Al Saba Restaurant,Farhad Tarapore,"Finally ate a biryani that I licked off the plate! The portion size was perfect, the biryani was flavorful and the salan was delicious. Again, ambience of this place is horrible, but the food is amazing. Will go again to try the haleem.",4,"86 Reviews , 647 Followers",11/29/2018 18:02,0,
Al Saba Restaurant,Atulay Mahajan,"Went there yesternight, just to have that hyped Irani Chai, but it will be safe to say that I was fairly disappointed. The tea didn’t taste that good as I had heard. Cups were dirty and the tea was spilled all over the saucer.",2,"51 Reviews , 133 Followers",11/1/2018 0:23,0,
Al Saba Restaurant,ANKIT TRIPATHI,"5 star Only for Irani chai and Osmania biscuits. Didn't tried any other thing.
Had Irani chai of many popular places in Hyderabad, but this place serves one of the best Irani chai. And about the Osmania biscuits, it melts into your mouth.",5,"3 Reviews , 5 Followers",9/23/2018 19:50,0,
Al Saba Restaurant,Nikhil Mahale,"They have really good bryani and starters. Overall food quality is good. We did not find the Whole wheat roties they are of mostly maida. Staff is good, they will help you in choosing the menus recomendations etc. We always feel comfortable to seat in AC room rather outside. Parking available. Location is easily reachable. Many times they do not accept the card payment so make sure you carry cash or they have ICICI ATM in front of cash counter.",3,"8 Reviews , 85 Followers",9/9/2018 13:43,0,
Al Saba Restaurant,Jyoti Singh,taste was not good.,2,"2 Reviews , 24 Followers",8/21/2018 14:40,0,
Al Saba Restaurant,Abubakar Mohd,quick delivery by Atif,5,"2 Reviews , 11 Followers",8/7/2018 14:38,0,
Al Saba Restaurant,Patan,good quantity good food but needs to improve taste,4,"2 Reviews , 1 Follower",8/5/2018 14:58,0,
Al Saba Restaurant,Ravi Kumar,good,4,2 Reviews,8/4/2018 14:24,0,
Al Saba Restaurant,Ganny Ganesh,good,5,0 Reviews,7/29/2018 0:02,0,
Al Saba Restaurant,Ram Amravanshi,it's nice..,5,"0 Reviews , 1 Follower",7/25/2018 23:08,0,
Al Saba Restaurant,Chaithanya Krishna,super,5,"2 Reviews , 1 Follower",7/22/2018 22:16,0,
Al Saba Restaurant,Zain,"The food is ok. Could be better. But coming to customer service, I rate negative. The cashier’s behaviour is utterly distasteful. Constantly talking over phone without giving a rats ass to the customer. Behaviour of the restaurant managers doesn’t make the place seem safe especially when you’re with a lady. Very uncomfortable feel. Avoid it.",1,"23 Reviews , 17 Followers",7/22/2018 12:56,0,
Al Saba Restaurant,Raja,good n on time,5,1 Review,7/20/2018 23:10,0,
Al Saba Restaurant,Suresh,,5,1 Review,7/20/2018 22:42,0,
Al Saba Restaurant,Pradeep Kumar,Assum service,5,"3 Reviews , 9 Followers",7/20/2018 13:39,0,
Al Saba Restaurant,Mohsin Ali,happy,5,"4 Reviews , 3 Followers",7/8/2018 14:26,0,
Al Saba Restaurant,Anwarsharif786,Waiters are very Rude and charge extra always check menu card before giving money to Waiters and No cleaness . Management should be strict with the waiters.,1,1 Review,7/6/2018 23:25,0,
Al Saba Restaurant,Nishchay Bhatia,good,5,"1 Review , 2 Followers",7/6/2018 12:54,0,
Al Saba Restaurant,Anand Kumar,I didn't received any order,1,"2 Reviews , 1 Follower",7/5/2018 0:27,0,
Al Saba Restaurant,Dhanraj A,Food is not good as previous.. Quantity reduced and price increased. Price is 20% more than restaurant price. Chicken doesn't tasted fresh..,2,1 Review,6/30/2018 15:12,0,
Al Saba Restaurant,Chaitanyasha Varma,I ordered for full they delivered only half,3,2 Reviews,6/28/2018 23:46,0,
Al Saba Restaurant,Vijaybhasker.533,good,4,"4 Reviews , 2 Followers",6/28/2018 22:31,0,
Al Saba Restaurant,Bala Narsaiah Myakala,very good service,5,"1 Review , 1 Follower",6/24/2018 13:53,0,
Al Saba Restaurant,Nurunnisa Shaik,"Avoid this place for your lifetime if you want to stay healthy..!!! We have ordered Mutton Biryani and it had dead flies in it.. We thought it fell into the Biryani bowl while adding rice into it., but when my husband thoroughly checked the whole biryani we could easily see 3 within 3 minutes. We have complained about it to the waiter and waited for 15 minutes hoping someone will come and explain what went wrong.",1,"1 Review , 6 Followers",6/16/2018 21:05,1,
Al Saba Restaurant,Kumar,"I have been visiting this restaurant since 2010. I might not be able to comment on Veg section as I have never ever ordered any veg item. Non veg did not disappointed me till date no matter is it tandoori, grill or mutton biryani or Haleem. It will be one among the first choices for any non veg take away but one of the last among family dinning. As bachelors, Yes.. We can go in a ruff n tuff zone.Quality: 5/5Quantity: 5/5
Service : 4/5 (good but not great)Cost : 5/5 (I find it value for money)
Ambiance: 2.5/5",4,"17 Reviews , 84 Followers",6/16/2018 0:23,0,
