Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Amul,Amar Stark,"The place I prefer most for good taste and enjoyment.. More levels of ice cream so, shakes and many more.... I like the Chacolte flavour the most...",5,"2 Reviews , 1 Follower",5/19/2019 14:01,0,
Amul,Anupam Acharya,"We had ordered from Amul and we will order again. We were looking for a late night binge and found Amul on Zomato. We ordered some Choco Chips (5/5) and Alphonso Mango (5/5) ice cream and loved them. Only thing is, the ice creams (although provided with dry ice) had started melting which wasn't desirable. I wish Amul can improve their packaging so that ice cream reaches intact.",4,"207 Reviews , 400 Followers",5/17/2019 12:29,0,
Amul,Suresh Kumar,Thank-you for serving testy milkshakes in late night I am suggesting my friends to try milkshake in this place specialy dry furit milkshake...,5,1 Review,5/17/2019 1:32,0,
Amul,Aditi Bhaiji,"Although I didn't go to the onsite store, but I have ordered some ice cream 🍨 from there . They are too yumm 😋😋. One can have them whenever they wish too.
I am very much impressed with there style of packing the food .
The service was also good . The items were delivered on time .
The taste is dam good and they have a wide variety of flavors with them .
They make sure that the icecream didn't melt by the time it reaches to the customer , that made me cheerful.😁",4,6 Reviews,4/30/2019 14:10,2,
Amul,Buddiga Sindhuri,"This is a small ice cream parlour.It has all good ice cream and I ate death by chocolate in this their hot brownie and on that hot chocolate sauce was their and scooped with 3 icecreams and it is around 170rs.I ate ice cream mixed with chocolate brownie its like heaven for me.It is topped with choco chips and choco sticks.ya amul maintained its quality.They gave more in quantity and 3scoops were to much to me.
Food 5/5
Ambience 2/5
packaging 5/5
Overall 4/5",4,"60 Reviews , 2007 Followers",4/19/2019 19:02,2,
Amul,Prashanth Kumar,Ordered Nutty Fruity Ice Cream which is mango and strawberry crazy combination and the roasted almonds which is awesome in this hot summer and the delivery boy done a great job but the packing was in plastic cover which usually delivered in Amul branding cover just saying but still i don't mind until the ice cream was good and Great Job Amul !!! Excited to have more ice creams in this hot summer.,5,"3 Reviews , 6 Followers",4/13/2019 21:32,0,
Amul,Ayushman Shukla,"I am a regular customer when it comes to ordering from amul. I ordered ""all chocolate ice cream"" from amul. According to the description there was supposed to be perk and kitkat and hot chocolate fudge in it but there was nothing of it. It was a normal choco chips ice-cream which I could have got for 80Rs instead I paid 180Rs for it. My suggestion just order basic ice-creams from amul don't go for anything else which is costly. And when the delivery boy delivered the ice-cream it was melting. Disappointed by the service of the outlet.",1,2 Reviews,3/31/2019 13:15,1,
Amul,Sumanth,"Have ordered from here so many times but when i got the wrong order the restaurant doesnt trust me and expects me to go through a hassle so that they ll get convinced and send me the correct item...(asked for Anjeer and got something else,sent a photo to zomato and the restaurant wants me to talk to someone else and take their number and send then photos and wait for their reply,no one has so much time and customer service shud be easier",1,"3 Reviews , 18 Followers",3/30/2019 23:37,1,
Amul,Chitti,thank you... delivered on time,5,3 Reviews,3/29/2019 15:40,0,
Amul,Avishek Chakrabarty,"We have ordered ice creams multiple times from Amul. Love the variety available on their menu. Quantity is really good, more than what I get when ordered from other Ice Cream parlours. Value for money with great taste.",5,"57 Reviews , 192 Followers",3/28/2019 6:06,0,
Amul,Simanto Bagchi,"Ordered Tropical Sunrise Sundae with chocolate syrup base, choco chips and Fruit poison ice cream. Both were mind blowing. Fruit poison had exotic fruits like kiwi and strawberry and tasted really well. The tropical sundae had a cocoan and dark chocolaty after-taste. They know their stuff well and I will prefer their items over Cream stone for sure.",4,"158 Reviews , 229 Followers",3/16/2019 15:23,3,
Amul,Vivek Andhavarapu,"Need to improve the food quality. Ordered Hot Choclate Brownie with Vanilla Ice Cream which was not good. Bownie was hard, no hot choclate found. Vanilla ice cream alone was good.",1,"5 Reviews , 27 Followers",2/9/2019 19:37,0,
Amul,Abhishek Sengupta,very late delivery,1,"6 Reviews , 33 Followers",1/19/2019 1:44,0,
Amul,Madhavi Thanniru,The best place for icecreams. I love it. You should try choco brownie almond for sure. Quantity n quality is amazing. Availble always for online orders,5,"12 Reviews , 1 Follower",1/6/2019 23:46,0,
Amul,Saurabh,Amul Ice-cream. Tastes best. I've tasted many flavours from the menu. Delivery is also cool😎 with the dry ice covers the ice-cream. I must recommend to try all the flavours. They have from budget to premium Ice cream.😋😋,4,"8 Reviews , 1 Follower",1/1/2019 14:07,0,
Amul,Udit Patel,"Ordered Afghani nuts ice-cream; gotta say the quantity was more than what I expected and the amount of nuts/dry-fruits was generous. Ice cream was smooth and tasty. Would definitely order again!
Packaging was superb.. they put in dry-ice to keep it cool. Appreciate the effort.

Edit:
Orered hot brownie with vanilla ice-cream. Once again, the packaging was very thoughtful; they sent two separate packages for the hot brownie and ice-cream (with dry ice to keep it cool).
It tasted very delicious... quantity was ample; couldn't finish it alone! It's good enough as dessert for 2 people.

Will keep ordering from Amul ! :)",5,"7 Reviews , 2 Followers",12/8/2018 23:29,0,
Amul,Alekhya,tutty frooty icecream is not good,3,1 Review,11/18/2018 22:49,0,
Amul,Chitti,delivered the food on-time.. thanks,5,3 Reviews,11/14/2018 18:29,0,
Amul,Anusha,please provide spoons with ice cream,3,4 Reviews,11/10/2018 19:29,0,
Amul,Charushila Biswas,Ordered death by chocolate and received butterscotch and some other ice cream! Giving two stars because zomato doesnt show the reviews that receive 1 star.,2,"42 Reviews , 1384 Followers",11/3/2018 14:31,1,
Amul,Shivanand K,"Amul brand is good for milk but not for ice creams.
They tried too hard to fit in but could not match the creaminess of other brands.
Coming to the outlet they hardly have 5 varieties ... sadly had to choose one among them.",3,"28 Reviews , 72 Followers",10/31/2018 8:57,0,
Amul,Varun Vanna Reddy,on time delivery very nice thank you,5,"4 Reviews , 3 Followers",10/28/2018 15:11,0,
Amul,Shalem Raju,Timely Delivery,5,1 Review,10/19/2018 2:06,0,
Amul,Shreya Soni,"Nutella brownie blast thick milk shake - i would rate this 4.5 because I was expecting some brownie piece in it, I liked the taste , thickness was also perfect... Over all would suggest people to try this😋",5,"36 Reviews , 532 Followers",10/15/2018 16:34,0,
Amul,Junaid Ali,I had this ice cream tooty-fruity. It was so horrible. There were pieces of something that were tasteless and they put so much nuts and other bullshit that the only thing that was okay the actual ice cream I couldn't have the taste of that too. I literally puked the entire thing after having a severe stomach ache. DO NOT HAVE TOOTY-FRUITY unless it's just a scoop with no add-ons.,1,"2 Reviews , 14 Followers",10/15/2018 9:56,0,
Amul,Karishma Bhatt,"Genrally i don't eat ice creams, but have tried today Brownie blast ice cream which was very good in taste. You will find varities of ice creams . Its very much pocket friendly . The delivery was also on time, Since i ordered online.",4,"90 Reviews , 148 Followers",10/3/2018 17:11,0,
Amul,Vonkayi23,it's good,5,"5 Reviews , 2 Followers",10/2/2018 21:13,0,
Amul,Samyak Majumder,Its too good for nightcrawlers like us..!! We enjoy it after getting high af..!! Also the delivery is pretty fast ...so thumbs up..and would recommend to try it,5,"2 Reviews , 19 Followers",10/1/2018 4:01,0,
Amul,Iruths29,"My go to ice cream was death by chocolate until my taste buds got addicted to the hunny bunny sundae.
It tastes heavenly just give it a try guys..",5,"1 Review , 1 Follower",9/26/2018 4:02,0,
Amul,Raj Rohit,"Amul has a nice creamstone-like creamery which does excellent deliveries too.

They got the packaging perfect so that the gelato remained intact.

The ferrero Rocher based gelato is a must-try",5,"124 Reviews , 372 Followers",9/19/2018 7:13,0,
Amul,Himanshu Sahu,"I really like the place for Maggie, ice cream and a good place to enjoy that food, I really appreciate the service here , the ambience is good.",5,"1 Review , 9 Followers",9/16/2018 21:53,0,
Amul,Tanmay,neglible brownie qty... fooling people in delivery orders,1,"1 Review , 1 Follower",9/13/2018 22:13,0,
Amul,Prabhjot Sandhu,It is quite good and decent place to have a variety of desert of amul ( the taste of India ) :) ..... It's pocket friendly and the services and quantity and quality offer is also best ....,4,"55 Reviews , 188 Followers",9/8/2018 10:22,0,
Amul,Shafia Shams,"This place is a savior for mid night cravings.
I have tried the chocolate sundae, brownie with ice cream and many basic flavours like mango,belgium chocolate,choco chip chocolate,butterscotch and strawberry.
Taste is good , I am only disappointed with the brownie its more like chocolate sponge cake . The portion size is appreciable for the price. Looking for budget ice cream , this place is great for it.",4,"95 Reviews , 299 Followers",9/7/2018 18:49,2,
Amul,Harsha Sadhu,"Awesome and wonderful place, I had ordered frequently from this place and visited this place a lot times. My top charts for ice-creams were Apsara, Cream stone and Naturals. After getting familiarized with this place this stood top among my top chart. 

Pros: Pocket friendly yet high quality ice creams, Delivered with dry-ice so delivery experience was good and it did not melt, Can visit for ice cream late night, value proportion for money
Cons: Having there is not that great as place is small",5,"22 Reviews , 19 Followers",8/26/2018 13:13,0,
Amul,Deepak Chadha,"Great place to hangout, chilling, great ambience, Good Service, fresh fruit ice creams. Specially fruit poison ice cream, Thick shakes are amazing.",5,"2 Reviews , 1 Follower",8/25/2018 23:00,0,
Amul,Rimpy,worst,1,"2 Reviews , 25 Followers",8/21/2018 0:59,0,
Amul,Sai REDDY,good good goodgoodgoodgood goodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgood,5,1 Review,8/18/2018 16:09,0,
Amul,Abhimanyu Padmaraj,Amazing range of ice creams and with great sense of packing it doesn’t melt soon since they put frozen nitrogen cubes. Lovely idea and great sense of packing compared to all the ice cream deliveries. Must order guys. I have ordered a lot of times from here.,5,"81 Reviews , 248 Followers",8/17/2018 21:03,0,
Amul,RahulRaji,worst taste,1,"2 Reviews , 1 Follower",8/14/2018 16:07,0,
Amul,Aadit Chugh,didn't deliver,1,"4 Reviews , 120 Followers",8/12/2018 0:03,0,
Amul,Hari Sarabara,good,5,1 Review,8/9/2018 3:13,0,
Amul,Sahil Singh Duggal,Missing spoons!,1,"3 Reviews , 139 Followers",8/9/2018 2:31,0,
Amul,Sheshank Reddy,They are just making people fools.I orderd for belgium chocolate ice cream they gave me normal chocolate with some chocolate syrup on it.owner is too rude as well.I asked him then he said that it will get same taste as belgium chocolate.Better to go to another outlet nearby,1,"3 Reviews , 2 Followers",8/9/2018 0:21,0,
Amul,Archana Jha,on time... great delivery...,5,"3 Reviews , 1 Follower",8/7/2018 21:32,0,
