Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Barbeque Nation,Deepak Belel,"#Foodengineeringg
#RamadanSpecial
#Reviewmode

Bbbq nation has come up with all new DAWAT -E - RAMADAN Where they've bought in few of the best Street foods of Ramadan which really makes one visit and satisfying their foodie soul's!

I was pretty excited to try out their Ramadan special menu and the moment I enter I see a Big Raan marinated well on the pan and sizzling hot Mutton Chops searing on ghee! That view Enticed me and I just walked toward it to see that beauty happening. I couldn't wait to try that Super appetising Chops and delicious Raan!

Besides they also got chicken Shawarma and MUTTON HALEEM Which is another different delicacy storyline...
I had to take a big bowl of Haleem with some birista and dash of lemon squeez and Final touch with Two spoons of Ghee. Yes that's my style! 😉

I walked to see few more exciting dishes and I found the legendary Badami Gosht! Yes just the glance of it made my mouth water and besides Murgh Mussalam was also calling me with its own aroma, that spread of cream on it made it look like show stopper and make anyone try and lick their fingers...

Cannot miss Thier Gosht Biryani 😋 one fine plate of heaven where every spice and meat married so well. Perfectly tender meat and soft and Fragrant basmati with a touch of Ghee!

Only because of the taste and being foodie I had two rounds of everything and was full...
But there's always a another stomach for kulfi!
Pan-Pista-malai, Voila!",5,"192 Reviews , 2124 Followers",5/23/2019 15:31,10,
Barbeque Nation,Ananthulaprudhvidhar,"This is one of my favourite restaurant with grill concept. Ambience was really fascinating ,food quality was too good , my favourite recipe is grill pineapple it is delicious.",4,"10 Reviews , 5 Followers",5/19/2019 13:12,0,
Barbeque Nation,Vinay Srivastava,"Have been a huge fan of this chain since 2013. Have been to the restaurant in different cities, and have noticed some significant differences across all locations.
This Gachibowli BBQ Nation has some items missing from its live counter, but have curd rice which wasn’t available in any other location I have been to.
The staff is extremely courteous. We were served by Rajib, who was really warm, quick in his service.
The overall quality of the food was satisfying, just like most of the other outlets I’ve been to.",4,"68 Reviews , 185 Followers",5/5/2019 17:13,4,
Barbeque Nation,Gourmet Hunter,"As usual it's fab place to have grill in a buffet. Non veg is awesome here. Chicken, Mutton, Prawns, Fish are served on the grill. Some days you also get crab curry. Now they opened tawa starters as well.

Nice place to go for team lunch/dinner.",5,"231 Reviews , 407 Followers",5/4/2019 13:58,7,
Barbeque Nation,The Food O’Clock,"Food quality is good. But not so many items, like crabs, octopus, kofta are available , particularly in this branch which are available at other branches of BN or ABs. So, it was really disappointing.

Also service was a bit slow, we really had to wait for items to come on our table in between. That really turns off our mood though the waiters are jolly n try to make us feel good. I think the number of waiters are less.

AC facility was good, very cold.

But I don’t recommend this place.",2,"25 Reviews , 13 Followers",5/3/2019 15:36,0,
Barbeque Nation,Sahithi Anchuri,"This is an amazing place for Veg as well as Non Veg starters. There are so many varieties in it. As you will be already full, you don't generally go for Main course and also it's very average. I really love their service. Suppose you don't like item, they will replace it by customising according to your requirement.",5,"18 Reviews , 18 Followers",4/27/2019 22:12,1,
Barbeque Nation,Dashrat,Service was excellent biriyani and service excellent very nice food very good staff and servise drinks was excellentb.bq chiken very test and fish pine apple very test service and food quality is excellent,5,"2 Reviews , 4 Followers",4/27/2019 1:21,0,
Barbeque Nation,Sandeep Srivastava,Was wife's birthday and our anniversary as well.. Naresh and Bipul made it point to make it extra special. The hospitality and the culture of the employees keeps taking me back there forever..,5,"20 Reviews , 123 Followers",4/21/2019 5:57,0,
Barbeque Nation,Pritha Chatterjee,"This place always exceeds expectations!!! Friendly staff, customised orders and finger licking good food!!! And of course you need a second stomach for the desserts!!!",5,"3 Reviews , 47 Followers",4/14/2019 12:47,0,
Barbeque Nation,Raja Gopal Reddy Chereddy,"It's Barbi boss...no comments.
It's was sudden plan from Gang to visit this place, fortunately that day was 10 years celebrations day of BN.
We got some discount on bill also. We all from coastal area basically and sea food lovers.
Believe me or not, I loved and felt happy wit prawns here...yummy and yummy.
It might silly...we did justice to my money, may more also.
That was a weekday and I want to try this place on some weekend",5,"20 Reviews , 27 Followers",4/9/2019 22:54,0,
Barbeque Nation,M.shravan Chowdary,"Had to wait a bit to get a table that's a good thing 😄, great food and best service such a great staff Sudeep Roy, Naresh ur a star I have seen him doing everything keep up the good work guys",5,"2 Reviews , 104 Followers",4/7/2019 16:30,0,
Barbeque Nation,Anirudh Bhattacharjee,"I am a big fan of BBQ nation since a decade now. This however was my most dissatisfying experience to date, after visiting several of their locations across the country including this one in the past.

The only thing they handled well, from the word go was the seating. I booked a table for 14 from zomato. It was ready for us when we arrived.

Everything else seemed to be falling apart, their team was struggling to deliver.

The starters took forever to be served. Most of them tasted similar though were called different things, refills were small portions and we had to keep requesting for more which is unlike how bbq manages things. The mocktails seemed watered down and on highlighting this, some were duly replaced.

The chef did come to check on us and on sharing our experience justified that our palate was confused due to tasting several dishes. When we held our ground, he went back to personally create some dishes. His version of the starters were way better but we were done eating by then.

I would like to highlight that the servers and chef were trying every bit to run around to meet requirements but seemed overwhelmed and struggled to get great food to the table.

Hope this was just a bad day and this outlet will get its act together.",3,"24 Reviews , 41 Followers",3/29/2019 17:36,0,
Barbeque Nation,Riyaz Ahmed,"Had a worst experience today at BarbQ Nation , gachhibowli, hyderabad

Taste is not as good as remaining branches. Non veg items seem to be frozen few days back then coocked, feels like a was while eating",1,"2 Reviews , 1 Follower",3/23/2019 17:00,0,
Barbeque Nation,Vikas Jain,"This is the worst barbeque , i have ever seen in my life. Barbeque for name sake. No barbeque item like paneer, fish was baked properly. waste of money",1,"1 Review , 1 Follower",3/20/2019 14:04,0,
Barbeque Nation,Phaneendra,"We went to this place as a part of corporate outing. It was my first time to Barbeque Nation. I must admit that I was pretty much humbled by the chef coming over very often and asking if the food was up to our satisfaction. The starters alone were enough to fill up my belly. When it came to having the main course, the options were not many but it suffficed, I would say. The waiters were patient enough to serve us whatever we needed and we all left with a happy note and fat bellies.",4,"4 Reviews , 1 Follower",3/3/2019 17:54,0,
Barbeque Nation,Chhaya Sharma,"Barbeque is mostly my favorite but if I compare barbeque nation with Abs , sahib's barbeque... obviously I have to give one point less to this one...food is good but limited items..but if you have kid go there my son and my friend's kids enjoyed a lot there they were given car and balloon by staff and lots of fruits and french fries...they enjoyed to the core... ambience is gud service excellent...

Food 3/5
Ambience 4/5
Service 5/5",4,"10 Reviews , 23 Followers",2/23/2019 22:46,2,
Barbeque Nation,Aarunvalissha,"This Place was really amazing, as usual the staff is very polite, Appreciate their work in maintaining professionalism, loved being serviced by Saif Ali Khan and staff..",5,1 Review,2/23/2019 8:55,0,
Barbeque Nation,Mario Fonseca,Been to the place recently. The service was on a slower side strangely but the food items on the grills taking a little longer to arrived. Food good as usual,4,"45 Reviews , 82 Followers",2/21/2019 21:27,0,
