Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Behrouz Biryani,Fatima,"First the price is too high and the quantity I'm getting is lower than the expectation . You can see the cup it's so small like its just gave me for only to taste it. And about the taste it's good. I like it. And I also got a small bread with this,like who eats bread with a 'Daleem'.
I would not recommend you to eat but If you just want to have a bite of taste then go ahead. :)",2,"4 Reviews , 4 Followers",5/25/2019 1:14,4,
Behrouz Biryani,Mithun Abe Mohan,"I ordered the biryani with great expectations. The packaging, and the presentation is extremely nice, and the aroma was great. The biryani thigh, was frozen in the middle! It's a prepackaged frozen food reheated at the time of ordering. That is not the expectation, at least in Hyderabad!
The fact that it is not fresh offsets a lot of the positives for me",2,"11 Reviews , 117 Followers",5/18/2019 18:01,0,
Behrouz Biryani,Nilofar Sanade,"Ok so this is the second time m ordering from here...and the taste is same as I felt for first time.... really good experience 👍😊The Biryani comes in very stunning package...it looks good as soon as u open it with almonds on top of it.It comes with raita and gulab jamun too😍 Talking about Biryani it's not too spicy which I like...
Packaging-10/10
Taste 9/10
Must Try✌️",5,"1 Review , 1 Follower",4/21/2019 21:11,1,
Behrouz Biryani,S G K,The Behrouz Biryani is the Royal Biryani. The flavour of Rice is super and the pieces of chicken are yummy. The presentation of Biryani is with fried onions and Badam ( Almond ) . Served with Mint Raitha and Gulab Jamun.,5,"10 Reviews , 11 Followers",4/19/2019 21:35,1,
Behrouz Biryani,MirzaFasahath AliBaig,"I never received this order 21812387 today. No one contacted me. I asked Zomato chat rep to have someone contact me regarding this issue. Please call me after 3 PM IST.  I have registered my compliant on twitter handle, how can you mentioned without verifying with me that it was delivered ? No follow up done from Behrouz. Very disappointing. Please refund my amount. See the rider is still on the way (pic)",1,"28 Reviews , 104 Followers",4/16/2019 1:51,0,
Behrouz Biryani,Shyamu,"One of the worst biriyanis i ate . Home deliverd thru zomato . Very worse . I wud like to cook my self though tired than ordering in behrouse.one of the worst biryani i ever had. One has to pay for packaging only. Big packaging and less quantity. One should never order from Behroz biryani. Do not go with their briyani picturs shown on website in reality its only rice packed in some big attractive boxesNever try biryani here , However we were shocked to find just one piece of mutton in the Biryani. Not sure how Behrouz expected us to consume the box full of rice with a small piece of mutton. We have decided not to order anymore from this restaurant. worst of a kind and never tasted such filthy biryani in my life , and secondly they are charging bomb price for such filthy biryani ie 379 
No taste and no quality. I wonder where he brought his chef from to prepare biryani , guess from a local slum area to get this biryani made and serving to innocent public of Hyderabad

Note 
increase the quality food then no matter what the price is .",1,1 Review,3/24/2019 0:02,0,
Behrouz Biryani,Govind,"So much hype for a sub par biryani. Ordered paneer biryani, taste did not live upto the hype. The taste was bland, could have been better. Any local biryani place has much better biryani at a lower price.",3,1 Review,3/20/2019 14:06,0,
Behrouz Biryani,Parimal Khatri,"I've order for home delivery. The service was quick and Hassle Free.

Ordered veg biryani from the restaurant as suddenly I was craving for veg. I was so impressed by the packing & also they give raita & gulab jamun with it.

The biryani was properly packed. And was warm enough to eat too. It had a really good taste that other places with veg biryani don't. It's really different. And its very tasty.
One can definitely try their veg biryani.

( All vegetarians & biryani lovers this is for you)

Do try it out.",4,"80 Reviews , 158 Followers",3/12/2019 2:18,1,
Behrouz Biryani,Krakeshkumar713,Absolutely not the taste we indians love. We would want food to be spicy and recipes at Behrouz and co. aren't the way we expect. Not the best choice,1,"2 Reviews , 1 Follower",3/10/2019 19:30,0,
Behrouz Biryani,Anusha Punjala,"Behrouz never disappoints, As always amazing packaging and amazing biryani. I love the fact that they send the gulab jamun and yummy raita. I wish they also include a Saalan with it.Ive tried their Murgh Mahakani Biryani which is as usual very flavourful and spicy. 
Disclaimer: Have it when it's hot and fresh.

bitesizedjournal.com",4,"220 Reviews , 1862 Followers",3/6/2019 13:14,2,
Behrouz Biryani,Vamsy Sivaarcca,"I was promised to get a refund for an order that has not been delivered. They first told me that i would get my money in 24 hours, then changed it to 24 working hours, now they are not answering the phone. Bloody cheaters.",1,"1 Review , 52 Followers",3/6/2019 1:03,0,
Behrouz Biryani,Rijithka,Ordered for Zakheedar Paneer and got chicken biriyani with the label of veg. This is not acceptable at all. This is not the first time this is happening with Behrouz,1,2 Reviews,3/1/2019 22:41,0,
Behrouz Biryani,Azhar Syed,Worst biryani. Shahghouse biryani is 100 times better than this biryani. Very Very less quantity. Price is very high.Worst biryani. Shahghouse biryani is 100 times better than this biryani. Very Very less quantity. Price is very high.Worst biryani. Shahghouse biryani is 100 times better than this biryani. Very Very less quantity. Price is very high.,1,"1 Review , 1 Follower",3/1/2019 18:18,0,
Behrouz Biryani,Kittu Dee Rider,"It is an delicious food old is gold old recipe is gold recipe
Awe some food delivery.. with this biryani they are serving desert was Soo sweet n nice n also Raitha they are served chilled with cutlery they are served with somp it is tasty",5,"3 Reviews , 18 Followers",2/25/2019 18:46,0,
Behrouz Biryani,Abdul Rehman,I am big a fan of these place. They have one of the best biryanis. I frequently order from here and till now they have never let me down. You should give it a try and taste afghani style biryani.,5,"24 Reviews , 22 Followers",2/16/2019 21:20,0,
Behrouz Biryani,Karna Nair,Ordered the much hyped about Behrouz biriyani today.Wanted to have it since ages.So today when the package came I was really thrilled.The biriyani comes in a stunning package.And as you open it the room fills with amazing Biriyani smells.The biriyani was looks good with a lot of almonds and greens as garnishing on top.The biriyani comes with raita and a gulab jamun too.The biriyani is quite different from the other popular biriyani in Hyderabad.This one is extremely sutle in taste.The chicken was tender and was breaking apart easily. The rice grains were staying apart and was expertly cooked.Overall the biriyani was a really good experience.But I personally prefer the spicy type when it comes to Biriyani but this biriyani is different and it is mouth wateringly delicious in a completely different way.,3,"30 Reviews , 63 Followers",2/15/2019 22:46,2,
Behrouz Biryani,Bhavya Vennampalli,Bad service I have not received the order but I got a mail that you have enjoyed the meal. Irritating service from zomato . Not support team and pick up delivery boy called for delivery,1,1 Review,2/14/2019 23:37,0,
Behrouz Biryani,Jai Gowttham,"I just love their packing. It looks so royal and classy and has the premium feel. Their biryani makes you feel that you are having the traditional royal Hyderabadi biryani and the smell from it will make your mood. Great stuff. Keep it up, guys!",5,"30 Reviews , 22 Followers",2/11/2019 12:08,0,
Behrouz Biryani,Anisha.thakur02,Very less quantity and the food was packed in cartoon book very unhappy,1,"1 Review , 1 Follower",2/10/2019 12:40,0,
Behrouz Biryani,Sneh Tarang Randev,"The biryani experience started well. Having said that, it's not as good as earlier experience now. Two simple issues: chicken biryani has no chicken and dry fruits have disappeared. Should bring them back?",3,"3 Reviews , 1 Follower",2/9/2019 1:52,0,
Behrouz Biryani,Ankija Agarwal Deorah,I have ordered the veg falafal biryani irrespective of the ratings given..But to surprise it came out so tasty...From the first bite to the last rice in your plate u will get the royal taste..It had alot of vegetables and the mint raita too tastes well..I am Not from hyderabad..Tastes first time biryani here...Now I can say why it's so famous..Full marks to awesome packaging.on time delivery...At the end I must say..Add on it to ur bucket list..,5,7 Reviews,2/2/2019 14:59,1,
Behrouz Biryani,Khaane_mey_kya_hey By Rony Samuel,"Well this is an absolute honest review from a hardcore Hyderabadi and a true foodie.. I understand a lot of people complain about behrouz biryani but here's my review, behrouz is not a Hyderabadi biryani and is unique in itself and the brand claims it's biryani not being local.

I might not like it to the core as an Hyderabadi but as a food critique I don't have any complaints.. it's unique in it's preparation, was absolutely mild, ordered chicken lazeez biryani which had juicy chicken pieces, the quantity was sufficient for two moderate eaters, was aromatic and we'll garnished with dry fruits.

Felt the flavour was somewhere between a regular biryani and Mandi, now this review even holds strong backing as I had a Irani friend who liked it as well.

Really loved the packaging and the complimentary desert. The gulab jamun definitely killed the joy at the end, did regret eating it..and the mint raitha can definitely do be improved.

Overall -
Taste : 3.5/5
Price : 3.5/5
Packaging : 4/5
VFM: 3.5/5",4,"57 Reviews , 52 Followers",2/1/2019 6:08,1,
Behrouz Biryani,Nandini Bhattacharjee,Please deliver in time when you take an order. Your service sucks. And so does your delivery algorithm!! How can you show 0 minutes for 15 minutes near the delivery location,1,"6 Reviews , 93 Followers",1/27/2019 22:48,0,
Behrouz Biryani,Sagar Zanwar,I usually order from here. today biryani was 50% in quantity.,1,3 Reviews,1/20/2019 22:20,0,
Behrouz Biryani,Vishnu Vardan,"Pathetic service, i ordered twice they r nvr be on time and the taste is worst...
Nvr go for it. That's it nothing more than to review about behrouz",1,"3 Reviews , 9 Followers",1/16/2019 19:20,0,
Behrouz Biryani,Snehal Gautam,"I ordered Lazeez Bhuna Murg Biriyani. After seeing the Royal Box of Biriyani, I was really happy. Whole packaging of raita and Gulab Jamun was upto the mark and really good. But then the taste, it tastes sweet. Everything was good from packaging to the Mouth freshner they gave but I didnt like the taste of biriyani.The quantity was good, and was garnished with almonds and cashew.",3,"4 Reviews , 4 Followers",12/29/2018 20:40,1,
Behrouz Biryani,Anamay Tamrakar (Aman),"The only biryani which tasted a little sweet to me. Sometimes when u order curd rice and expect nothing fancy but you see some garnishing with pomegranate and then you have mixed feelings. Coz the dish looks pretty but..... Similarly, the packaging is great and garnished with nuts and looks very rich. But at the end wasn't satisfying.",3,"82 Reviews , 512 Followers",12/29/2018 10:55,0,
Behrouz Biryani,Bhavani Sankar Raju Machiraju,It is just average coming to taste. You dont feeI that lavishness as you feel from the hoardings and all. I have ordered from swiggy and quantity is not sufficient for 1person. At this price better we can pick many options. Better dont take it.,3,"16 Reviews , 11 Followers",12/24/2018 21:19,1,
Behrouz Biryani,MadhuKar Madhukar,"I have ordered two box's of Chicken Biryani the chicken piece were too less, not what I was expecting for the amount I have spent  on a so called Royal Biryani... hope the feedback is taken positively and acted upon",3,"1 Review , 1 Follower",12/24/2018 17:07,0,
Behrouz Biryani,Sam,i did not get my order and i have paid for it already . There is no customer number of Zomato as well. I need my money back asap. Zomato guys should have a customer care number or any way to track order there is no support present. i need my money or food asap.,1,"1 Review , 1 Follower",12/24/2018 13:10,0,
Behrouz Biryani,Sritika Shekher,"Biryani aroma is good. But aroma is too strong for the taste buds. Chiken well cooked. My only concern is plz use little lesser aroma so that our stomach has got space for the food as well, rather than only having aromas. Taste of biryani is average .",2,"9 Reviews , 8 Followers",12/23/2018 21:18,0,
Behrouz Biryani,Nikita.ved,Biryani is good but they didn't deliver ...I had to pick it and that too was informed very last minute...the address mentioned did say it's a fassos only take away facility for food delivery companies like swiggy n zomato... I was standing there at 10 at night to pick my parcel...very poor service,2.5,"1 Review , 2 Followers",12/21/2018 13:19,0,
Behrouz Biryani,Chhetri Kumar Ramu,"Awesome food, great experience so far! The food as been great every time I order. I highly recommend their mutton and Murg biryani. Delivery by zomato has also bee good!",5,"4 Reviews , 6 Followers",12/17/2018 18:34,0,
Behrouz Biryani,Banjit Das,"Horrible experience..I would not rate them at all but since I could not save it without a star, I'm just giving it a star. They had accepted my order and in about 40 minutes when I was expecting my order to arrive, called them, to my surprise they have just said that they could not deliver my item since they have other pending orders..be professional or at least have some courtesy!!",1,"1 Review , 1 Follower",12/17/2018 2:03,0,
Behrouz Biryani,Aman Agarwal,A briyani worth a war is biryani worth a try. Truely Royal biryani. Right from the packing of biryani to the last rice left everything about was Royal. Although I didn't like the Gulab Jamun but as I said biryani worth a try.,5,"35 Reviews , 27 Followers",12/16/2018 14:26,1,
Behrouz Biryani,Farooq Imran Khan,Late delivery. Cold food.,1,"1 Review , 14 Followers",12/15/2018 11:50,0,
Behrouz Biryani,Varma,Highly disappointed there is a sea of change in the quality of biryani we ordered last and now its awfully spicy and too wet like eating rice and curry,1,1 Review,12/14/2018 19:47,0,
Behrouz Biryani,Amit Pradhan,"Pathetic biryani ever I had. In my life.. If u really wants to eat biryani then don't order for here.. Better look for other options..

Only the packing is good but food is not at all good..",1,"1 Review , 408 Followers",12/14/2018 12:11,0,
Behrouz Biryani,John Rajendran,This is a good joint that doesn't care for customer. They accept order and don't care to deliver and they don't pick the call neither they respect customers.,1,"3 Reviews , 1 Follower",12/13/2018 23:10,0,
Behrouz Biryani,Kattarajeswari,The best biryani place. If you are nearby around you can have a look at this place this is place. Best biryani all the biryani tests very good. They have the old mughals spices which tastes sop unique and very good. It's mouth watering biryani.,5,"3 Reviews , 1 Follower",12/13/2018 20:36,0,
