Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Being Hungry,Dr Foodie,I ordered paratha and kulchas from here yesterday night and out of 3 ..2 were burnt . Taste was horrible . And when we complained in zomato chat they gave 27 credit points .. as if that makes up for everything . Our order was of much more value and then we had to order again from some place else coz no one will eat burnt food like that. Horrible service by Being Hungry and Zomato . They don't take their customers seriously at all . Will never ever order from this place again nor will my friends order from here again.,1,"66 Reviews , 1027 Followers",5/21/2019 8:31,1,
Being Hungry,Vikas Shastrula,Kaju Biriyani is AWESOME one must try this for sure. I love this most in this restaurant.Apart from this other items are also good. I strongly recommend this restaurant near Gachibowli,5,"1 Review , 27 Followers",4/24/2019 19:23,0,
Being Hungry,Vijay Kumar,This place is good for any food though the main highlight is the special biryani. Biryani lovers will happily go home tummy full. Also the chicken fried rice is a must try here.,4,"6 Reviews , 1 Follower",4/23/2019 22:48,0,
Being Hungry,Lakshmi P,Pocket friendly place which delivers food. Quick service. Ordered the biryani from this place. Loved it. Served with raita. They have a variety of options to choose from.,4,"77 Reviews , 306 Followers",4/21/2019 17:22,0,
Being Hungry,Rohith,good job,5,"8 Reviews , 1 Follower",3/27/2019 22:58,0,
Being Hungry,Monika Yenduri,Food is too spicy Schezwan chicken fried rice that we cannot keep it in mouth. Had to throw all the food. Waste of money. I think they kept chilli powder on top,1,"1 Review , 1 Follower",3/24/2019 16:43,0,
Being Hungry,Srinivas Kiran,I ordered a veg panner Biryani the taste was not satisfied and it was not good taste and the quality also low I am not satisfied with this quantity,1,1 Review,3/17/2019 16:13,0,
Being Hungry,Pratap,"Ordered Paneer Masala Curry and Butter Naan through Zomato. Delivery was quick and packaging was perfect.
Paneer masala was little bit spicy and tasted ok, paneer pieces in curry were less though. Butter Naan was soft, liked it.
Had also tried Chicken Biryani from this place, taste was ok. Biryani rice was flavourful but the rice was little undercooked.",3,"76 Reviews , 64 Followers",3/5/2019 7:54,0,
Being Hungry,Veggie-Lover,"Pocket friendly, sumptuous and decent quality.

This place is my goto for late night deliveries. Their Kaju Biryani is a personal favorite.

Well flavoured rice with a generous helping of cashews fried in butter, this one is comfort at its best.

Their other options are good too and the helping is perfect for two.",3,"96 Reviews , 1069 Followers",2/11/2019 16:02,0,
Being Hungry,Sajana S,got delivery in time,5,"1 Review , 1 Follower",2/2/2019 0:12,0,
Being Hungry,Supriya Nigam,Daal & chapati was good. I have ordered Mix veg but it is like okay okay.. please try to make more tasty. Order received on time. Packing was good.,4,1 Review,11/20/2018 23:03,0,
Being Hungry,MB Reddy,"Odred and got biryani,,, this guys don't know different between biryani and fried rice,,, named as biryani food is almost fried rice except chicken peace,,,",1,"1 Review , 1 Follower",11/19/2018 0:23,0,
Being Hungry,Keerthi M,"We went many times along with my office colligues to being hungry. The place was very small and congested. We have ordered chicken lollipop, dry veg munchurian , kaju pulao,egg biryani,chicken biryani, panner biryani, chicken drumsticks,chicken 65. All starters are simply superb.I liked veg munchurian very much.coming to pulao and Biryanies, chicken items are simply superb. But in panner and kaju pulao the masala is very less. I felt like I am eating plain rice. If they would have been added little bit spices it would be great. But after that I have ordered veg munchurian dry many times.",4,"48 Reviews , 15 Followers",11/18/2018 16:38,0,
Being Hungry,Harika G,the taste is absolutely very bad,1,"4 Reviews , 1 Follower",11/16/2018 11:16,0,
Being Hungry,Foodbug,I was in Hyderabad for around 3 years... During that time I have visited this restaurant more than 50 times... Most of the time have ordered biryani and egg chilly... Dum biryani has been always my favorite here... Never disappointed....,5,"36 Reviews , 1224 Followers",10/31/2018 23:12,0,
Being Hungry,Abdul Majid,"The food was absolutely wonderful, from preparation to presentation, very pleasing. especially the special biryani was awesome. Very friendly staff and owner too...",5,"1 Review , 1 Follower",10/30/2018 13:49,0,
Being Hungry,Chandrakala B,Food color is more. Worst food which I ate in Hyderabad. Unable to eat.Paneer biriyani is full of food color. Mushroom 65 is also full of food color.,1,"1 Review , 1 Follower",10/27/2018 16:00,0,
Being Hungry,Meghna Anand,"Small outlet with amazing and tasty food. Every dish here has always been great. My personal recommendation is being hungry special biryani, lemon chicken, chicken tikka ,chicken lollipop. Pocket friendly.",4,"6 Reviews , 72 Followers",10/19/2018 17:30,1,
Being Hungry,Prem Kumar,nice food value for money... with spoons designed to eat perfectly. grave and curd with Onion's are well added. simply super...,4,"3 Reviews , 2 Followers",10/19/2018 15:38,0,
Being Hungry,Daga Vidhi,on time delivery,5,"2 Reviews , 1 Follower",10/6/2018 20:18,0,
Being Hungry,Tulasi G,Chilli potato and Dal tadka is best at this place... Food is very spicy and tasty. We regularly order food from this place. Good food at reasonable price.,5,"3 Reviews , 1 Follower",10/5/2018 20:51,0,
Being Hungry,Ishita Narain,We ordered alu parathas from here which turned out to be a mass of poorly cooked dry mass of wheat. Do not know about the rest of the things they serve but not ordering again for sure.,2,"96 Reviews , 353 Followers",10/5/2018 9:28,1,
Being Hungry,Siddu Kote,"ordered special chicken biryani and hallelujah, i can feel i'm blessed with one good meal. Thank you so much for this amazing meal and i definitely am ordering from you guys",5,1 Review,9/26/2018 16:33,0,
Being Hungry,Akarsh Arya,"This place serves delicious food with proper blend of spices . I prefer non veg food and the taste is truly amazing . Pocket friendly , good food quantity and appreciable staff service .",5,"2 Reviews , 1 Follower",9/25/2018 21:47,0,
Being Hungry,Mayank Mittal,Go for chicken rara.. specially if u like quantity with quality ! A pocket friendly place with decent menu!! Smart and co-operative staff ! Definitely try this place if u haven't !,5,2 Reviews,9/25/2018 21:15,0,
Being Hungry,Prateik Sharma,"Good food at a cheaper price. You can get very good north Indian food at this place.
Highly recommended for non vegetarians.
I am in love with this place.",5,"2 Reviews , 37 Followers",9/24/2018 23:22,0,
Being Hungry,Mirza,less quantity,1,2 Reviews,9/24/2018 13:11,0,
Being Hungry,Ritesh Ranjan,good,5,1 Review,9/21/2018 15:19,0,
Being Hungry,Narsimha Gadde,"Rice is test and no chilly on chicken pieces,
Do well next time..properly
I eanjoy this food.
Overall test is good.
And correct time delivered.",5,2 Reviews,9/15/2018 20:30,0,
Being Hungry,Kartik Joshi,too much spicy...tastes like Manchurian....not good,1,"4 Reviews , 2 Followers",9/15/2018 17:37,0,
