Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Biryanis And More,Sravani,Best place to have biryani in and around Gachibowli.Definitely recommendable. Almost fully crowded on weekends and weekdays both because of the quality and quantity.,4,"10 Reviews , 10 Followers",5/22/2019 14:15,0,
Biryanis And More,Deepak Raj,"Tried Bheemavaram mixed pulao and Green mirchi chicken pulao. Taste was ok,not that great. Service could have been way better. Bheemavaram pulao was good in meat to rice ration and tasted good.

Service--2/5

Quality and quantity --3/5

Price--3/5

Taste --3/5

Ambiance --2/5",3,"42 Reviews , 619 Followers",5/15/2019 15:32,3,
Biryanis And More,Debjit Hazra,"The biryani here I found very delicious but needs more improvement in taste. All spices were blended and mixed well, but one thing they used a lot of spices that could probably disturb the taste",3,"6 Reviews , 3 Followers",4/29/2019 16:52,0,
Biryanis And More,Gopal Bhargav,"Me and my colleagues keep visiting this place every friday as it is very near to the office space. No much ambiance, simple restaurant. Booking is preferred on Friday's as it gets too much crowdy after 1pm. Staff isnt courteous at all. They always keep a sad face dont know why. Hopefully they are given some training to smile. Biryani taste is amazing. As I am vegetarian, i usually take Andhra Veg Biryani, Avakaya Biryani or Kaju Biryani. All of them are perfectly made. So all the rating is for only the taste, not for service and ambiance at all.",4,"47 Reviews , 320 Followers",4/27/2019 19:37,0,
Biryanis And More,Rajeev Jakkani R,"Been here twice. We have ordered Biryani’s. There were different varieties of biryanis served here. However, the taste was quite average. Since the name of the restaurant itself contains “Biryani” that too in City of Hyderabad the expectations were high. Being a lover of Biryani and comparing with other local Biryani Restaurants it missed that magic.
The portion of food served was also less.",3,"5 Reviews , 18 Followers",4/21/2019 16:55,0,
Biryanis And More,Raghavendra,"I have been ordering from this place for quite some time now. I have tried various types of veg biryanis available. My personal favourites are veg biryani, capsicum and mushroom biryani, mixed veg biryani.
Recently i ordered paneer tikka biryani which was really bad and i advice you to avoid ordering it.
Overall it's a good place to try out different kinds of biryanis",4,"4 Reviews , 1 Follower",4/18/2019 15:59,0,
Biryanis And More,Venky,"Taste was good. But it took about an hour and half just for the starters to arrive. The Veg Keema biryani had a complete Coconut flavor, which we didn't particularly enjoy.",3,"4 Reviews , 2 Followers",4/5/2019 14:52,0,
Biryanis And More,Vishu Varanasi,"Having heard a lot about this place (specially their Triveni biryani) I came here once and ordered food 3-4 times)

The last time I purchased food here would actually be the last time I would eat from here.

This restaurant is a classic example of how it started on a grand note and ended up being just another restaurant with hygiene issues.

To cut the long chase short, I had purchased 2 items. 1 paneer tikka biryani and Bhimwaram pulav (take aways)

In spite of telling them, both items were very spicy. My wife and I were struggling with the food. Now to top it, I found a flying insect (not a cockroach but something else with wings) that got cooked with the paneer tikka biryani.

Alas, that was so repulsive that I left the food mid way and satiated my hunger with curd rice

I'm never going back to them",1,"14 Reviews , 155 Followers",3/24/2019 11:35,0,
Biryanis And More,Naveen Devireddy,"Worst food ever,please don't believe the ratings & reviews mentioned below. Both veg and non veg were bad. 
utterly disappointed after have a team party over there based the these many +ve reviews...",1,"1 Review , 1 Follower",3/14/2019 17:50,0,
Biryanis And More,Priya Kishore Kotha,The taste of biryani is excellent.and again i ordered butter naans it is also good taste.service also good. It is cost effective. But vegetarian curries are less varieties.,4,"2 Reviews , 3 Followers",3/14/2019 14:03,0,
Biryanis And More,Pradeepmedikonda76,It is low spicy and good food. Don't expect too much. Having a light dinner this place is good... Food is good.. but I am not recommending to anybody...,3,"2 Reviews , 1 Follower",3/13/2019 18:04,0,
