Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Cafe Eclat,Jay Mehta,"This place is a hiddengem!

Went to buy their sourdough bread.ended up having their mushroom soup, death by chocolate cake and key lime tart.

Mushroom soup came with grilled sourdough, everything was good about it. The bread could be toasted with garlic butter

The bread itself we ended up using as garlic bread with our pasta at home which was really good. The bread is something we will go again to buy.

Lime tart Was better than expectation . The cream was way too much.

Death by chocolate was delicious, rich chocolate. Was not able to finish in one go, will have to get on it tomorrow again.

Highly recommend this place. Will go their again for there sandwiches/sourdough pizza and burger.",4,"46 Reviews , 43 Followers",5/19/2019 20:40,3,
Cafe Eclat,Minocher Hansotia,Great selection of freshly made breads. Macaroons were well made. Breakfast here is a welcome change and worth the experience. Found all the items that I had were really good and fresh.Staff are very helpful and courteous. They know what goes into making quality bakery stuff and stick to it.,5,"6 Reviews , 44 Followers",5/18/2019 6:11,0,
Cafe Eclat,Asha Tejaswini,"Visit this place for awesome bakery options. Tried pasta and toffee apple doughnut. Though pasta is not up to the mark, apple doughnut balanced it out. The ambiance is pretty cool.",4,"14 Reviews , 10 Followers",5/17/2019 20:30,1,
Cafe Eclat,Rajiv Singh,Amazing breakfast options. Also happy to find some authentic Italian cuisine available here. Nice desserts as well. The coffee here is amazing.,4,"7 Reviews , 2 Followers",5/15/2019 19:08,4,
Cafe Eclat,Shwetan Sriram,"Terrific experience! Amazing place for breakfast/brunch! Loved the sour dough bread, hazelnut latte, french toast, pan cakes etc. One tiny suggestion is for you guys to serve more chocolate and blueberry sauce with the pancakes! loved the time spent here.",5,"32 Reviews , 197 Followers",5/10/2019 12:00,0,
Cafe Eclat,Amardeep Dabass,One of those little cafes that is as laid back as you want to be. The cold coffees and ice teas are pretty good. The ambience is pretty good too. Wish they had some board games or toys to keep little guests busy,5,"26 Reviews , 193 Followers",5/6/2019 0:00,1,
Cafe Eclat,Naina Bhardwaj,I didn't like the food at all !! We ordered thin crust pizza quatro formagio and it was not thin crust at all with very bland taste on top of that . Then we had the tuna salad which was too bitter to eat . Couldn't even finish it ! Then we went for a very cheese pannini . Another dish we couldn't finish . The bread was too thick to eat ! overall huge disappointment for me !,2,"32 Reviews , 10 Followers",5/4/2019 21:51,1,
Cafe Eclat,Anish Waghray,"Food is amazing , had their English Lamb Panini , Butter Croissant and Elderflower Lemonade.
Ambience could be better ..
Service/staff is/are courteous..
Slightly expensive ..But definitely worth a visit for breakfast.
Their Sour Dough Breads are good too",4,"4 Reviews , 6 Followers",5/3/2019 13:36,1,
Cafe Eclat,Shilpa Prusty,"Happened to try the breakfast option here.It is a good place to have english breakfast.All the ingredients are cooked ,baked fresh..The breads are really soft.We ordered swiss Muesli..it was delicious.However,the portion served was too less for 300 bucks..It was not sufficient for even a single person.We ordered baked spinach omelette,which was fluffy and melted in mouth.I have to say ,the taste was something I would wanna return here again for..French toast served with maple syrup was also nicely made..
Taste is spot on and so is the ambience with comfy sofas.
A bit expensive due to their natural flavours and self made products.",4,"70 Reviews , 169 Followers",4/28/2019 17:27,0,
Cafe Eclat,Apoorva Reddy,"Ordered tiramisu cup cake, brownie, green apple mojito and garlic bread. Unfortunately, nothing was good. Grossly misled by high zomato rating. Wouldn't recommend this place even to my frenemies!!",1,"3 Reviews , 30 Followers",4/28/2019 16:36,0,
Cafe Eclat,Utkarsh Ranjan,"Eclat has the best cheesecake in town. The blueberry topping on my cake was really fresh and delicious.
Their home baked breads are also a must try.",5,"14 Reviews , 62 Followers",4/26/2019 15:41,0,
Cafe Eclat,Mula Renuka,"This is one of my regular hangout place. It’s a small and cosy place. The ambience is decent and it has a see through kitchen. The food served here is very hygienic. You get to choose from a variety of options. The vegetarian options are limited though. I have tried their Pasta , pizza , hummus , coffee , hot chocolate , cup cakes , gelatos and soup. The taste of every item is good. The food looks very appetizing and tastes delicious. If you are searching for some cafe in Gachibowli then do visit this place.",4,"6 Reviews , 6 Followers",4/20/2019 20:56,2,
Cafe Eclat,Jeevak Gupta,My all time favorite for bakery items and pizza. Beats European Croissant any day. Try the butter croissant for breakfast. Don't miss the hot chocolate.,5,"11 Reviews , 49 Followers",4/20/2019 16:47,0,
Cafe Eclat,Megha Chanda,"Bakery items in the bread section are tasty. Croissants, bagels etc. Muffins are dense in texture and the icing is overly sweet. Definitely can improve on those. Not recommended for strong coffee seekers. If you want coffee coloured sweet milk beverages, then you can give it a try.",3,"6 Reviews , 53 Followers",4/15/2019 12:03,0,
Cafe Eclat,Shivani Gupta,"Food is really bad. I ordered aglio olio pasta, pesto veg sandwich, quesadilla, peach iced tea and broccoli sweet corn turnover starter. The taste was really bad, not even average. They put tomatoes in everything and the bread was really hard. I will never ever recommend this place to anyone.",1,"15 Reviews , 16 Followers",4/14/2019 16:09,0,
Cafe Eclat,Moonis Ahmed,"What a great find. Went for a late night snacking/coffee and the food, service, ambiance were amazing.

We ordered Basque Chicken Sandwich and Very Cheesy Panini accompanies with an Iced Latte. 

The chicken sandwich was delicious with crispy sourdough bread and juicy chicken inside. The bread tasted fresh and the sourness was accentuating the flavors. Served with crispy potato wedges and a coleslaw, the whole meal is quite filling.

The very cheesy panini was prepared with wholewheat bread and had a distinct cheese flavor to it. It could have worked with a little more spice but that doesnt meant the flavors were any less. 

Both the sandwiches were gulped down with the iced latte served in a tall glass.

Service was quick and the ambiance was pleasant with good music on play. 

Althought a bit on the pricier side, the menu offers a lot of variety and the place is recommended for their signature sandwiches prepared with their home baked bread.

Ambiance - 5/5
Service - 5/5
Food - 4/5
Value for Money - 4/5",4,"160 Reviews , 754 Followers",4/12/2019 23:45,4,
Cafe Eclat,Vivani,I was so glad when we shifted to our new house because it was so close to this place! This is our favourite breakfast place on a lazy day especially when we are hungover. The Eggs Benedict with salmon is my favourite. Our visit to cafe Eclat is never complete without eating the amazing french toast! Do try it and you would cherish every single bite! I hardly have pictures because as soon as the food arrives we just attack! The one I have attached was taken to make my sister jealous :),5,"14 Reviews , 5 Followers",4/11/2019 15:30,1,
