Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Club Rogue,Suman Ghosh,"Visited this place on a weekday afternoon, and it was mostly empty. But by the decor it felt that the place will look lively in the evenings, so will give it a shot sometime. Happy hours was on, so we got Absolut for ~150 (Smirnoff was ~70 - which seemed like a better deal), along with the other stuff. Tried a couple of veg & paneer starters. Food was nothing to write home about - but overall a decent (and pocket-friendly) place for a quick afternoon round of drinks.",3,"81 Reviews , 240 Followers",5/25/2019 14:59,0,
Club Rogue,Deepak Dhara,"Now that's a banger of a place.. just out of the world experience . Folks are going Mad.ðŸ˜Ž!

Music is just awesome and all people do here is hit the floor.

Ambience is cool and food good.

But it's the electric atmosphere thats the special point of this place.",4,"129 Reviews , 1661 Followers",5/22/2019 13:29,0,
Club Rogue,Venkat.Ch,"Just went to this place for a couple of drinks.. As drained by the sun a lot.. Good place good ambinace and hide place to hang on.. Get to know apart from weekend Friday and Saturday rest all the days are ladies night... That sounds awesome.. When u have a girl with u..

Price range is OK...
Ambiance is 4
Service i did not understood any thing because its just few drinks n snacks..

Would love to comeback.. Keep upthe good work.",4,"61 Reviews , 138 Followers",5/21/2019 19:08,0,
Club Rogue,Karthik Thayi Suresh,"Food taste isn't good and the staff behaviour is the major let down. They fight and argue with you to give more tips.
Very disappointing. Never ever experienced it.",1,"1 Review , 1 Follower",5/19/2019 15:01,0,
Club Rogue,Ashok Reddy,"You like crowd?!
like really big crowd ?! Then this is the place you should go!! Also drinks are so cheap here!

Service was okay for me, nothing worth mentioning!
Music wasnâ€™t that good! Just loud!
Not so great food!

You got the good and bad about this place!!
you decide whether to go or not :)",3,"9 Reviews , 9 Followers",5/18/2019 23:29,0,
Club Rogue,Ankit Saraf,"Great place to hangout.
Good food + Good drinks + Great DJ + Nice ambience sums up my experience.
Very few of the clubs which plays Bollywood songs . Would love to visit the place again.",4,"20 Reviews , 99 Followers",5/18/2019 16:40,0,
Club Rogue,Subhasis Saha,"Too crowded all the time. The crowd management is not that great. Coming here with girls to party sometimes become a risk, especially on the dance floor. Otherwise it is a good place to hang around if you like loud music. I wouldnâ€™t recommend this place for a girls group to go to.",2,"47 Reviews , 118 Followers",5/11/2019 16:36,0,
Club Rogue,Ravalika,"Food -5/5
Ambience-4/5
Service-4/5
Drinks-3/5
Must try in this place are
Kung pao fish
Schezwan chicken
Garlic chicken
Bhutan chicken
Pepper fish",4,"41 Reviews , 559 Followers",5/9/2019 7:44,0,
Club Rogue,Akshay Anand,"The music was unbearably loud. The food was good but the place was overcrowded and the service was bad. Overall, not so welcoming for a comeback.",2,"17 Reviews , 1192 Followers",5/4/2019 20:41,0,
Club Rogue,Ka Divya,"The ambience was decent, but we went for a ladies night and it was a tad bit crowded (understandable!). The music was good, the only downside to the whole thing was that the person giving out drinks at the counter was downright ignoring us. We actually became a little uncomfortable after that, because we were right in front of him, waving hands (not drunk at all, because we were asking for out first drink of the night), and he was handing out drinks to everyone else except us. Looks like he had something againts us! ;)",3,"3 Reviews , 8 Followers",5/4/2019 10:16,0,
Club Rogue,Dinesh Naidu,"Overcrowded is the first thing that comes to my mind. They have a really big place but I guess not well managed, itâ€™s like open for all, people smoking everywhere. DJ was below average and the sound systems can improve.

Overall 3/5
Ambience 2/5
Food 4/5",3,"20 Reviews , 10 Followers",5/3/2019 9:04,0,
Club Rogue,Aishwarya Verma,"Good place, good vibe! Their Bollywood music could get better but currently it's the best available in this area of the city. The food's good too.",4,"62 Reviews , 96 Followers",5/2/2019 6:50,0,
Club Rogue,Srinivas Reddy Pidaparti,Good place to enjoy the music with food and decent drinks.It's a bit crowded but what's fun without the crowd :D Been here many times never disappoints me except for the fact that they keep asking for my ID .Place where you don't need a plus one in Hyderabad especially.,5,"5 Reviews , 2 Followers",4/29/2019 12:53,0,
Club Rogue,Lokendra Chawhan,"Cheap n Crowded even on weekdays

Ladies night all weekday (mon-thu)

Excellent place to get drunk n dance like crazy

Music was loud n awkward - all hindi songs that too many unknowns
Dj was below average - seems like youtube videos autoplay was playing

Great for people who want some fun on weekdays",3,"23 Reviews , 108 Followers",4/28/2019 20:30,0,
Club Rogue,Sonam Agrawal,We went there around 8.30 for having a fun night. But the place turned out to be a cheap place where people are allowed to smoke everywhere. We cant even breathe properly.Then we order vodka..it was like water and when we questioned them he smiled and kind of agreed.Then we ordered Long island Tea and asked him to make it a good one but it was even worse. Even their virgin mohito was not gud.Then the food was also okish.Staff were also not courteous.I find the place was overcrowded. It seemed they have allowed stag entries and they were passing cheap comment on us.I will never recommend anyone here.,1,"1 Review , 9 Followers",4/27/2019 16:08,0,
Club Rogue,Nikitha Reddy,Okay ! This place seems okay not so great. Tables are too small in which we cannot put more than three food items. And it was saturday night the DJ supposed to start at 8pm we were waiting for the songs to be played till 9:30pm yet no music nothing. And we left the place.,3,"2 Reviews , 16 Followers",4/26/2019 17:57,2,
Club Rogue,Sharang Patro,One the best places to hangout specially when you don't want to spend much . The food is great and going in the group would be best . The music and ambience is actually worth it. But please book a table before 8 on weekends as it gets much crowded. Recommended places to go .,5,"1 Review , 31 Followers",4/21/2019 20:03,0,
Club Rogue,Aprajita Kashyap,Club Rogue is a nice place to hangout with friends and have a laid back beer on a weekday as well. The service is excellent. The menu has lots of options in veg as well as non veg. The DJ was excellent and we had the time of our lives dancing. The crowd was amazing. There are lots of options in drinks as well. Must visit.,4,"4 Reviews , 40 Followers",4/21/2019 13:07,0,
Club Rogue,Yash Sheth,"Club rogue ... located in Gachibowli is a good place party and dance if you have gone out with your friends on weekends. The place is usually full and suggestion would be to go in early and get yourself a table. Here you can have some drinks and then dance and yes the food is also quite good. Only issues .... the tables are small, and hence not much can be placed on the table. Saw lots of bottles fall and break. But regardless, this is a good place if you really wanna party hard.",4,"59 Reviews , 182 Followers",4/21/2019 8:49,0,
Club Rogue,Neha Choudhary,"Whole club is a friendly place for smokers which becomes a problem for people who don't smoke.

I went to this club with my friends around 8. It was fine then but slowly the suffocation started. There is no proper ventilation, guessing based on the experience I had. Whichever club, I have been to, there is a separate outdoor place dedicated for smoking. The restaurant or a pub or a club will have outdoor dinning area to address this issue. But here at this place, i couldn't see an open window. It was all dark! I think they really took ""Rogue"" word to another level.
I couldn't enjoy at all, came from there when it was too much for me, now i have got this itching in my throat and cold just because of all that cigarette smoke.
I would really want Club Rogue to address this issue, it was very depressing for me and I think the same was felt by so many people over there.",1,1 Review,4/21/2019 1:18,0,
Club Rogue,Ashish Sharma,"Ambience sucks... Worst service.... They don't book tables and when I asked a waiter for a table for 4, he just ignores and stares away... When we managed to make a waiter arrange a table for us, he just keeps a table in the middle of the way and asks us to stand throughout our course for the evening... Well we finally made to a normal table by waiting for others to vacate.... I highly recommend not to go to this place.... Just sitting outside the building and talking to my friends was lot better than ruining our evening by going to this shitty place...",1,"2 Reviews , 1 Follower",4/21/2019 0:23,0,
Club Rogue,Sardarpreetpalsingh,Awesome place one of the best places in hyderabar... Girish was awesome he made sure we had great time....the dj was the best ive seen in hderabad,5,"1 Review , 1 Follower",4/18/2019 23:59,0,
Club Rogue,Sravanthi Kumsi,"Been to Club Rogue last Saturday I.e. 13th April 2019. We chose this place as it was a Bollywood night. Lot of things to get told about this place.
First, coming to the ambience. It's a nice big place. The pricing is reasonable. We were given a place of our liking after a little followup.
Now coming to the attitude & rules of the club. The entrance has a prominent display which says, only couple allowed in after 7pm. Easily 10 bounces at the entrance, but inside- NIL! In spite of the display board saying only couples, they have allowed stags in. The dance floor was unchecked. Anyone could dance, feel you or ogle at you and not one single staff to monitor anything.
The Bollywood songs started at 11.10pm! I don't know what were they waiting for till so late to start playing Bollywood music.
Overall, a nice place but definitely enter this place with caution & at your risk & evaluate your need to visit this place.
Service was good. We were attended to well, by our server Mr. Kunal.",2,"25 Reviews , 73 Followers",4/17/2019 14:02,0,
Club Rogue,Pongsi Hangsing,Manager was so cheap n attitude showing ego to the guest ..we visited thrice this time .. management pliz take serious action to the manager or else he vil let the business down..,1,1 Review,4/17/2019 1:27,0,
Club Rogue,Santosh Kumar Kabra,"Recently been to this place. Good food and economically priced. Service was also good.
Most disappointing part is their crowd management. When they have a board outside only couples after 7.00p.m and then u see 60 percent dance floor is full with stags. No bouncers to check what is going on floor. Stags misbehaving with girls, trying to feel them, smoking on floor, no one is there to look around. Just for their business they r letting everyone in.
I will never visit this place with my wife/lady friend. As there is no security for them. One should enjoy the party but with some limits.
The management should look into this aspect and try to sort it out or else the place will become like its name a Rouge place. Lot of cheap crowd on Saturday night better to avoid.",2,"1 Review , 22 Followers",4/15/2019 13:47,0,
Club Rogue,Avinash Ganapa,"I am at this place @1:38 Friday 12th. My girlfriend ordered Mango Blossom, this bar tender here adds chat masala in store bought mango juice.

How does the word blossom relate to chat masala.

Disgusting treatment here at club rogue",1,"8 Reviews , 3 Followers",4/12/2019 13:42,0,
Club Rogue,Raja Srivathsav,"Cheap place.
Really bad service.

This place has a quiet weird rule. If you show your office ID card theyâ€™ll not be charging a cover amount. Else youâ€™ll have to pay a cover charge.

The bar attenders are so ill mannered, I was almost about to slap one.
If you canâ€™t talk to a customer politely, then maybe you should not work at a bar!
Iâ€™ve asked for a Budweiser but he gave me a kingfisher and then insisted that I ordered kingfisher. (Iâ€™m okay with the argument part but he said drink it or get out which made me furious).

Food was average and served medium hot (I think I was served someone elseâ€™s cancelled order item)

Music was terrible! There was some desi dj who was playing songs out of YouTube and there was no quality mixing.

Ambience: 3
Service: 0
Management: 0

Will I visit this place: NEVER
Will I recommend this place: HELL NO!",1,"43 Reviews , 93 Followers",4/12/2019 3:08,0,
Club Rogue,Shubhangi.1693,One of d best place. Esp for North Indian ! Good music happening place. Get damn crowded on weekend.so beware ðŸ˜Š food was ok ok ! Drinks are not so costly. Good place for ppl wd dancing shoes and ready to burn calories. Get ur gang here.,4,"3 Reviews , 1 Follower",4/11/2019 22:39,0,
Club Rogue,Chirag Gupta ?,"The food and drinks are good.
The ambience is great too.
But the place feels too crowded and the dance floor sucks.
The DJ music is alright.
The staff is not good and need to be given proper training.
The way they rush guests out after 12 is too bad.",2,"111 Reviews , 1013 Followers",4/5/2019 8:12,0,
Club Rogue,Subhajeet Rout,This place is usual hangout place for guys as it allows to enter if you have a corporate ID.Also this place is packed almost everyday.You get to hear all types of music in one night so yeah it is worth going here to dance and habe fun.Getting a table here is bit difficult due to the crowd.Food and Drinks are cheap here.One thing I dont like here is people who dont know how to behave on dance floor with girls.That annoys me a lot.But that is not a frequent thing and can be fixed by bouncers being more proactive.Thanks,4,"122 Reviews , 1643 Followers",4/2/2019 15:23,2,
