Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Cream Stone,Sravani,Undoubtedly the best place to have ice creams nowadays is Cream stone. Near to DLF and many hostels. Polite staff and friendly. Always crowded 😄,5,"10 Reviews , 10 Followers",5/22/2019 14:21,0,
Cream Stone,Sheshank Kumar,Always love to swiggy this food. Nutella brownie and ferrero rocher is amazing. Well packaged and well sent. No issues till date except i gain weight. A bit fan.,4,"4 Reviews , 7 Followers",5/9/2019 11:04,0,
Cream Stone,Akash Pingley,"The staff was polite and friendly. The quality has been Upto the mark at creamstone from the beginning.


The taste of the ice cream was also amazing and so was the ambience but it was a little crowded than expected but it was worth the visit.

Keep it up creamstone gachibowli",5,"22 Reviews , 90 Followers",5/7/2019 11:18,1,
Cream Stone,Samrat Samanta,"Twisted Mango, Mango famous within summer season. This summer you had Mango or not? Guys you should taste this mango flavor. I am sure mango lover will like this.",4,"1 Review , 46 Followers",5/1/2019 23:08,1,
Cream Stone,The Food O’Clock,"I had Death by Chocolate from here. I can’t find words to describe it. It was so good.

Taste 5/5
Amount 5/5 It will be hard to finish by only one person.

I already had three times by now and having more.

Recommended.",5,"25 Reviews , 13 Followers",5/1/2019 11:46,2,
Cream Stone,Bhargav Addepalli,Just because of a silly reason your customer care executives are talking about rules and ruthlessly saying customer has to bear the costs for uber mistake.,5,"1 Review , 1 Follower",4/30/2019 23:19,0,
Cream Stone,Bhavna Bhardwaj,"Staff is very polite and helpful.
Services provided is simply amazing.
Decor is comfortable.
The menu contains variety of flavours and each one of them has unique taste to offer.
Prices are pretty decent.

Do try their Tiramisu Chocolate & Hot Choco Fudge. I wish if they served more quantity in the same price.",5,"23 Reviews , 60 Followers",4/22/2019 21:13,0,
Cream Stone,Ritika Arora,"Had the best of icreams at #creamstone🍨. We went there around 2 in the morning. .
They have different flavours to pic from. We had alfanso, fruit exotica and ferrero rocher. Exquisite desserts with unique taste. I loved the alphanso. They chopped these mangos over the yummy icecream.
Highly recommended. 😇",4,"33 Reviews , 24 Followers",4/21/2019 13:09,3,
Cream Stone,Gunja,We Ordered alphonso ice cream.. we got it with only 2-3 pieces of mango.... This is not expected from cream stone. As we r regular customer.,1,1 Review,4/21/2019 0:01,0,
Cream Stone,S G K,Willy Wonka is my favourite. It is so Delicious and so chocolatey. The taste is so good and the choco chips are so crunchy. And the Brownie is so good. Totally it is Fab,5,"10 Reviews , 11 Followers",4/19/2019 22:45,0,
