Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Delhi-39,Raghu Nandan,"Went for lunch. Ordered Mix. Veg curry, Roti, Plain Naan & Biryani. Food taste was good but curries are more oily. Price is average. Service is good.",4,"1 Review , 1 Follower",3/26/2019 13:15,0,
Delhi-39,Kanika Gautam,"The ambience is sort of ok.

The food is good. We ordered paneer tikka, mushroom masala, tandoori rotiya, veg raita, jeera rice, butter paneer masala. Food turned out to be good.
And if any issue with the order then the staff is courteous enough to address the issue and even if thw customer reaches the restaurant late, they do corporate.",4,"22 Reviews , 14 Followers",3/17/2019 2:50,0,
Delhi-39,Phanisri Soumya,"Food has been consistently great. All their Paneer dishes are amazing. Though prices have increased, quality of food is same. Nevertheless great food.",5,6 Reviews,1/22/2019 1:52,0,
Delhi-39,Bhavi Solanki,"Went today on a Relaxed Late Lunch! Decided to go to the nearest place for food! 
Easily locatable, decent place!

Ordered : Dal Makhani, Fulka Rotis. 
Liked the food, simple and good in taste! For the first time, loved the rotis here. Fulka rotis tasted yummy with Hot Dal Makhani! 

Had a Full Fledged Lunch paying reasonable prices!.",4,"85 Reviews , 301 Followers",11/18/2018 0:41,0,
Delhi-39,Priya Baskota,on time,5,"1 Review , 1 Follower",11/9/2018 21:47,0,
Delhi-39,Akshar Kataria,"I ordered Amritsari Nan and chana masala. Nan was bit ok but Chana was worthless. Itâ€™s raw and cooked in shahi paneer gravy.
Will never order food from here",2,2 Reviews,10/19/2018 13:35,0,
Delhi-39,Ashish Bihani,"Please never ever think of ordering noodles here. It was too oily and only noodles with paneer. Who puts paneer in Chinese hakka noodles !!! And then adding to the taste, the delivery was very delayed (this is zomato' fault, agreed). Indian food is good which they are good at.",1,"8 Reviews , 76 Followers",9/28/2018 22:28,0,
Delhi-39,Soumya Sahoo,before time delivery,5,"4 Reviews , 1 Follower",8/25/2018 22:10,0,
Delhi-39,Sabyasachi Mishra,kulcha was more salty,4,"1 Review , 1 Follower",8/19/2018 21:48,0,
Delhi-39,Prashant Kumar Jaiswal,good,5,"3 Reviews , 2 Followers",8/12/2018 21:14,0,
Delhi-39,Foody,Small restaurant. Restaurant in Underground. Not clear visible from road. Food not Upto mark. Service too slow. Waited 45mints for table order. Counter staff very busy to listening music on headphones. staff can't manage online and local restaurant orders.,1,"4 Reviews , 4 Followers",8/6/2018 9:12,0,
Delhi-39,Dar Ma,Good !,4,"0 Reviews , 1 Follower",7/28/2018 16:14,0,
Delhi-39,Surya S,Food is good,4,"3 Reviews , 3 Followers",7/28/2018 14:28,0,
Delhi-39,Snigdha Das,"food was decent, except the hot and sour soup",5,"36 Reviews , 27 Followers",7/27/2018 23:08,0,
Delhi-39,Roopa Tripathi,good,5,"2 Reviews , 5 Followers",7/27/2018 21:42,0,
Delhi-39,P Mounica,delivery boy is very responsive..,5,"2 Reviews , 1 Follower",7/27/2018 19:59,0,
Delhi-39,SHWETA PAPNEJA,"Ordered laccha paratha, veg sweet corn soup, malai kofta, roti.
I got butter roti at the place of laccha paratha and roti was very bad, veg sweet corn soup was very thick and uncooked.
I called to the owner of Delhi 39 after receiving order from Zomato delivery boy and the owner was not ready to replace and he didn't feel bad about it.
No replacement nothing...
Very bad experience with Delhi 39 restaurant.",1,"19 Reviews , 7 Followers",7/25/2018 23:34,0,
Delhi-39,Siddapuram Kalpana,good,5,2 Reviews,7/22/2018 20:52,0,
Delhi-39,Kratika Rochwani,phulkas was not delivered,2,"1 Review , 9 Followers",7/22/2018 1:15,0,
Delhi-39,Shubhi,it's good,5,"3 Reviews , 1 Follower",7/21/2018 22:18,0,
Delhi-39,Guru Manikanta,in time delivery,5,1 Review,7/21/2018 21:48,0,
Delhi-39,Sachin,Too low quality,1,1 Review,7/21/2018 14:14,0,
Delhi-39,Jptrax95,"Chowmein was mentioned as ur special item, but it was more like plain white noodles mixed with lots of different uncooked vegetables.
Bhindi masala was more like a thick curry, but could eat it somehow.
The only good thing in the entire order was fulkas, because I ordered fulkaas, and I got exactly that.",1,2 Reviews,7/20/2018 14:14,0,
Delhi-39,Anjulesh.singh.96,One of the good places for students day out. With variety of dishes Delhi 39 is a value for money restaurant. Ambience is bit cozy but could be managed.,3,"16 Reviews , 2 Followers",7/17/2018 18:35,4,
Delhi-39,Nani,Did the cook change?,2,1 Review,7/17/2018 15:55,0,
Delhi-39,Vijji,good and fast delievery,5,1 Review,7/16/2018 20:38,0,
Delhi-39,Aman Singhal,"the noodles were half cooked, it was tasteless. Just waste of money.",1,"1 Review , 1 Follower",7/15/2018 21:02,0,
Delhi-39,Fouziya Ahmed,food was very oily. quantity also very less. there are very big big pieces of onions in the noodles.,1,"1 Review , 1 Follower",7/8/2018 21:23,0,
Delhi-39,Naveen Reddy,Gud,5,5 Reviews,7/4/2018 20:13,0,
