Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Desi Bytes,Smrati Saxena,"after reading reviews, i was having high expectations from this place, so i ordered litthi choka. if you are a big big fan of soyabean then only you'll be able to eat food otherwise they put lot of soyabean oil in everything which make food taste so bad.",1,"18 Reviews , 41 Followers",5/23/2019 21:00,0,
Desi Bytes,Safa Iz,"The one star is not for food, it's pretty decent.

I visited with my friends and the crowd was really less. We were there for a short period of time and awaiting our cab. The staff was constantly asking ""Aap ka hogaya?"".

We informed that we are waiting for our cab and the one of the staff member pointed out there is your cab.

They just wanted to get rid of us, was the place crowded no? were we eating there for free? no.

Never visiting this place again...",1,"5 Reviews , 3 Followers",5/15/2019 1:11,0,
Desi Bytes,Hemavathy Reddy,This is the quantity of chicken garlic fried rice.... Everything we ordered is of so less quantity.... Terrible I hate to spend 800 and still be hungry... Total embezzel,1,1 Review,5/14/2019 0:46,0,
Desi Bytes,The Lazeez Mizaaz,"Litti chokha lovers missing this delicious dish in Hyderabad can definitely give it a try. They serve litti with 3 variants of chutneys, chokha and salad.
Chokha was a mixture of potatoes, tomatoes, brinjal, garlic and green chillies.
Littis were properly baked and had sattu in it. Overall a healthy dish. I also tried mutter panner here. It tasted good.
The vibe here is happening with good music and they also have birthday celebration space.
I would recommend this place.",4,"6 Reviews , 2 Followers",5/6/2019 16:12,0,
Desi Bytes,Paramita Ghosh,"This place is becoming a nice go to place in the recent times. Live music, affordable pocket friendly food and good service! Litti chokha is one of my favorites here!",3,"44 Reviews , 65 Followers",4/28/2019 1:13,0,
Desi Bytes,Alisha Bajpai,"Ordered litti chokha seing good reviews. They sent 2 littis with chokha, two chutneys, onions and lemon. The littis were good enough however the chokha was bland..the only taste i was getting was of mustard. No freshmess of coriander, flavour of garlic, or onion taste. Both of the chutneys wrre tasting almost the same. The only dominating taste was of raw mustard which overpowered everything. The food lacked freshness.
They need to work on making fresh chokha with fresh flavours.",3,"25 Reviews , 33 Followers",4/22/2019 21:54,0,
Desi Bytes,Rupesh Singh,"Its an open space eating place famous for their litti chokha. Although they have a range of options to order.

Recommend this place if you want to try litti chokha. They serve it with chokha and 3 types of chutni.

The service is very slow so you need to be really active to ensure that your order is through.",3,"111 Reviews , 687 Followers",3/18/2019 12:22,1,
Desi Bytes,Vijay Tiwari,"From long time was thinking to go this place for Litti chowcha. Today was the day we went for dinner.

This was best litti chowcha I had after I left my home town.

Just @100

Must try litti chowkha.

People was thinking what is litti chowcha, it is the famous dish of Bihar.

Food : 5/5
Value for money: 5/5
Service: 4/5",5,"141 Reviews , 1639 Followers",3/3/2019 21:02,1,
Desi Bytes,Medha Parashar,"Open air ambience.. Just beside road.. Live music..
Specialty - litti chokha.. With the best chutneys.
Please don't have momos they suck..
I can just recommend this place for fresh air with litti chokha and nothing else.. So all 3 stars gors to litti chokha.",3,"24 Reviews , 8 Followers",1/19/2019 23:10,2,
Desi Bytes,Akhilesh Khemka,Litti chokha was yummy. Although delivery took more than displayed time. Liked them delivering 3 types of chutney as well. Will order again.,4,2 Reviews,1/6/2019 17:05,0,
Desi Bytes,Vikashtiwary1991,Not good and my experience is not at all good . The litti chokha is very hyped here but I do not feel the same it was below par . The other food experience is also not good,1,"24 Reviews , 25 Followers",12/26/2018 22:40,0,
Desi Bytes,Asha Bishnoi,"Best place for hangout and I can say it a saviour for hungry people. Food quality and quantity both are good.
We have order chur chur naan combo in which they give you 2 stuffed naan, daal makhani and raita and it was yummy😊",5,"19 Reviews , 10 Followers",12/17/2018 1:18,1,
Desi Bytes,Jatin Bansal,"Amazing place to unwind. Must try chai. Very live place, perfect for late night chai. One of the coolest hangout place in Kondapur. Must try",5,"3 Reviews , 64 Followers",12/16/2018 23:09,0,
Desi Bytes,Sourav Datta,"This is THE place for Litti Chokha. (drops the mic)

Food : 4.5/5 The Litti Cokha is just amazing, sitting in Hyderabad and getting such quality food that reminds you of your home town stalls is really something. Would have been nicer if the Chokha was a bit more hotter/spicy. But understand that such taste would not go well with lot of foodies here. I have gone there again and again for Litti Chokha and have very rarely tried other things. This time tried the Chinese plate and really liked that too.

Service : 3.5/5 It was a self service join which now services your table. Timely service and good behavior there is very little more to expect.

Ambiance : 3/5 Has a very nicely maintained outdoor sitting beside road.

Price : 4/5 The place is very reasonably priced for Hyderabad standards (though 2 litti for 100 bucks might sound expensive to someone from east India ;) ).  Portions are good and taste is impeccable.",4,"78 Reviews , 1612 Followers",11/15/2018 1:51,0,
Desi Bytes,Nisha Bachhawat,The litti size was splendid. The chokha was perfect and the three chutneys along with lemon and onion was simply too good. Really loved everything.,4,"174 Reviews , 524 Followers",11/4/2018 21:38,0,
Desi Bytes,Shikha91singh91,"Love litti chokha.. littis were well stuffed, aloo baigan and tomato chokha was awesome.. they are serving 3 chutneys too along with that. If you are a litti chokha lover and living in hyderabad, visit them.. you will definitely love the food.",5,"1 Review , 1 Follower",11/4/2018 12:15,0,
Desi Bytes,Rupsa Sinha,felt like having home made chicken,5,"8 Reviews , 1 Follower",10/4/2018 0:18,0,
Desi Bytes,Ashish Kumar,"Litti choka/chicken litti choka is the dish which one should go for in this place. It drags me here every time and mesmerizes my taste buds. A plate of it will full ones stomach. Taste is quite good. Quantity is sufficient.
Have not tried other dishes, but would love to try them too.",3,"2 Reviews , 15 Followers",9/23/2018 1:17,0,
Desi Bytes,Foodies Hyderabad,"I have ordered chicken hakka noodle,chilli paneer its was mind blowing..its was so yummy,i will like to suggest to give the order from this restaurant....the packing style is also good...thank you...",4,"31 Reviews , 9494 Followers",9/21/2018 19:53,2,
Desi Bytes,Rupsa Sinha,yummy 😋 extra 1 * for wonderful taste,5,"8 Reviews , 1 Follower",9/16/2018 23:27,0,
Desi Bytes,Manpreet Kaur,amazing food,5,1 Review,9/16/2018 17:57,0,
Desi Bytes,Manish Singh,"extremely pathetic and third class service. no cleanliness. ordere simple noodle, after waiting one hour waiter comes and tell he forgot. will never ever go again and recommend not to go. this place should be closed.",1,"4 Reviews , 16 Followers",9/15/2018 23:52,0,
Desi Bytes,Kshitiz Goyal,"Very poor service, we ordered through zomato in this restaurant but they automatically cancelled the ordered without even calling there customers and rather than being sorry they are are blaiming us of not picking up the call.....
Extremely pathetic of this restaurant as well the delivery boy...
I am sure I am not going to use zomtato or this restaurant services in future...",1,1 Review,9/14/2018 23:58,0,
Desi Bytes,Rithi,Good food,5,2 Reviews,9/12/2018 12:35,0,
Desi Bytes,SHYAMAL,Litti Chokha* This is actually they're known for .. back in Patna they're serving on of the tasteist litti in town.. But if we really see for something mouth watering near me.. With a budget of 90 bucks .. I really don't recommend if you're not in search of *LITTI CHOKHA* They're good but They can be much better.. I hope you'll know after tasting it once. I don't really believe to spend 90 bucks for a litti Chokha when I'm hungry and have more options in this price..😁,3,"38 Reviews , 555 Followers",9/11/2018 13:30,1,
Desi Bytes,Roma Agrawal Sit,food was tasty,4,"4 Reviews , 1 Follower",8/29/2018 23:14,0,
Desi Bytes,Deepali K. Nagrani,"Pathetic quality of food!
Waste of money and the chur chur naan I ordered was a disaster.

It was so so soggy and made up of such dough and had lumps ,

Horrible!!!",1,"5 Reviews , 30 Followers",8/18/2018 1:21,0,
Desi Bytes,Laxminarayana Amuraji,good,5,3 Reviews,8/5/2018 15:04,0,
Desi Bytes,Rama,1,1,1 Review,8/1/2018 20:20,0,
Desi Bytes,Supriya Swain,Awesome food,5,"3 Reviews , 2 Followers",7/30/2018 22:04,0,
Desi Bytes,Vamsi Krishna,very late by hotel,3,"1 Review , 4 Followers",7/30/2018 1:53,0,
Desi Bytes,KhaneChale,I ordered Egg Mushroom Fried Rice. The food was rather spicy and I think the quantity of vegetables in the Fried rice should be more. overall it was just okay. Would not prefer to order again the same one.,3,"77 Reviews , 669 Followers",7/28/2018 22:23,0,
Desi Bytes,Anvesha Tiwari,Food taste was good and quality was also nice.,4,"6 Reviews , 11 Followers",7/22/2018 14:43,0,
Desi Bytes,Anirudha,Worst noodles i hav ever had.,1,"3 Reviews , 2 Followers",7/21/2018 22:32,0,
Desi Bytes,Pankaj Kumar,the taste was very good but quantity was less,4,"1 Review , 10 Followers",7/19/2018 20:58,0,
Desi Bytes,Ishika Suman,the food was horrible i have ordered chicken wings chilly and the food that i recieved was totally burnt..the worst food that i have seen in my life.,1,"1 Review , 4 Followers",7/19/2018 2:08,0,
Desi Bytes,Nikhil Holey,Roti delivered was very bad and was smelly half cooked,2,"4 Reviews , 14 Followers",7/18/2018 14:13,0,
Desi Bytes,Debashree,So less quantity at so high rate,2,"2 Reviews , 1 Follower",7/16/2018 22:23,0,
Desi Bytes,Deep Sharma,deluvery pwrson hv no idea about route..,1,"2 Reviews , 2 Followers",7/14/2018 18:55,0,
Desi Bytes,Sandeep Sulake,They food is tasty but they misplace a lot of orders. It's a small place and a good option to budget dinners. The way they pack the food is really exceptional.,3,"27 Reviews , 431 Followers",7/14/2018 18:49,0,
Desi Bytes,Vollala Srinivas,very nice,5,"4 Reviews , 14 Followers",7/14/2018 17:23,0,
Desi Bytes,Seema Roy,Good,5,"8 Reviews , 3 Followers",7/13/2018 22:48,0,
Desi Bytes,Abhi Shek,cheating at midnight...this will not be tolerated in India...this has violated my right to food ....the sample size was too small...seemed like more of chicken lollypop,1,4 Reviews,7/13/2018 1:26,0,
Desi Bytes,Yashodhara Mishra,less quantity,1,"3 Reviews , 1 Follower",7/9/2018 0:21,0,
Desi Bytes,Rakesh,it was delivered 25 min late,2,1 Review,7/8/2018 16:24,0,
Desi Bytes,Prateek Kumar,FOOD WAS TASTY...QUANTITY OF CHOKHA WAS SUFFICIENT...BUT PACKAGING WAS NOT UPTO THE MARK..AND THEY CHARGED 15RS. FOR IT..NOT WORTH IT.,4,1 Review,7/8/2018 10:53,0,
Desi Bytes,Aditya Jain,"Worst ever litti choka i had. It was literally stinking. Will never recommend anyone in future. Dont even deserve 1 star.
Food was not properly cooked and oil used was of very poor quality. Will prefer mess food over this.",1,"3 Reviews , 198 Followers",7/7/2018 22:39,0,
Desi Bytes,Amritesh Kumar Amit,horrible experience...,1,"1 Review , 22 Followers",7/7/2018 22:22,0,
Desi Bytes,Anmol Sabrwal,The thali I ordered is incomplete,1,"6 Reviews , 90 Followers",7/7/2018 22:10,0,
Desi Bytes,Sunil Kumar,No taste waste of money,1,1 Review,7/7/2018 22:09,0,
Desi Bytes,Sunitha Gowd Tulluri,so yummy,5,"1 Review , 1 Follower",7/1/2018 14:40,0,
Desi Bytes,VENKAT,not bad,2,"5 Reviews , 2 Followers",6/29/2018 1:17,0,
Desi Bytes,Suresh Kumar Pandey,"food was bad ,chappati was excessively burnt",2,"3 Reviews , 3 Followers",6/24/2018 14:21,0,
Desi Bytes,Naveen Sharma,superb,5,"2 Reviews , 1 Follower",6/24/2018 14:01,0,
Desi Bytes,Deepak Ahuja,Food was amazing. Lived the mix veg and Dal makhni. And delivery was quick too.,4,"36 Reviews , 29 Followers",6/23/2018 16:19,0,
Desi Bytes,Seemant Heera,no cultnery with food.soup was delivered in pouch .how a person is supposed to drink a soup from a pouch and soup taste was also little odd.,2,"22 Reviews , 8 Followers",6/19/2018 13:36,0,
Desi Bytes,Karan Aggarwal,usually food was good but not good today,2,"2 Reviews , 8 Followers",6/18/2018 1:27,0,
Desi Bytes,Krishna.reddy830,food ganda. alo gobi ganda.batter nanna say not apply batter.onion ganda.,1,"2 Reviews , 1 Follower",6/17/2018 23:29,0,
Desi Bytes,Karan Aggarwal,Good North Indian food restaurant,4,"2 Reviews , 8 Followers",6/14/2018 21:13,0,
