Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Dine O China,Uma Chhetri,It's very clean and good...the foods are also delicious and the beside glass side place very nice place for couples. Rice and noodles quantity also good and menu prices also very reasonable dinning also very clean everything is good I am very happy. Thanks for doc guys I will come again,5,1 Review,5/25/2019 17:17,0,
Dine O China,Jeen Kaipeng,very nice this place i order to special seafood platter in oyster sauce is perfect tasty special thanks for chefs....i will come again thanks,5,1 Review,5/25/2019 17:02,0,
Dine O China,Pradeep Bindhani,"Nice ambison great food and good service so staff all so good sezwan noodles very nice and Kung pao chicken also good thank you visit agen and all my togedar party for dine o china
Lobster so nice",5,1 Review,5/23/2019 20:12,1,
Dine O China,Saif,Dinning also very nice staff also good food also good every thing is good inshallah i will vist again i order lobster and seabass in oyster sauce chef is making very nice .....,5,"1 Review , 1 Follower",5/23/2019 20:05,0,
Dine O China,DS Singal,"My favorite place in hyderabad for chinese. Because i love chinese. I almost had their every food item in vegeterian. Spring rolls, Manchurian, Schezwan noodles, Soft noodles, Fried rice. All were amazing. Worth going",5,"9 Reviews , 2 Followers",4/24/2019 1:14,0,
Dine O China,Pradeep Chakravarthy N,"Authenticity...seafood must try. Not spicy, bland and pure Chinese. Schezwan chicken, corn mushroom fried rice, Thukpa, big bowl noodles...yum!",5,"2 Reviews , 1 Follower",4/11/2019 21:12,0,
Dine O China,Kanika Gautam,"Its a nice place, good food and good ambience.

Ambience - ambience is good and contemporary.

Staff - staff is efficient, humble and very thoughtful. Ordered veg machurian but the manchurian balls were pretty hard. We expressed our concern to the staff. Staff, being very thoughtful, immediately replaced veg manchurian with the better version.

Food - You get authentic Chinese cuisines. Ordered veg dimsums/ momos, burnt garlic fried rice and veg manchurian with gravy. Everything turned out to be very tasty.",5,"22 Reviews , 14 Followers",4/4/2019 0:00,5,
Dine O China,Ankita Shilpa,"I went to this place for lunch with my mom and dad. The ambience is quite decent, with a lot of seating places. We ordered chicken coriander soup, golden fried prawns, a mixed fried rice and a plate of dry chilly chicken. Golden fried prawns were a bit plain, it could have been more flavourful. The soup was good. Fried rice and chily chicken were good in taste. All costed us around Rs. 1400. It was a light and good meal. I'd like to revisit this place again.",4,"22 Reviews , 163 Followers",3/5/2019 23:57,2,
Dine O China,Sreekanth NK,"Visited here for dinner. It was well decorated as it was Valentine’s Day.
Try 1. American chop suey. It was just ok. I can give it a ⭐️⭐️⭐️
Try 2. Seasame chicken starter. This one was my favourite. It was nice with the garlic sauce. It was crispy too. ⭐️⭐️⭐️⭐️⭐️

My rating :
Food : ⭐️⭐️⭐️⭐️
Ambience: ⭐️⭐️⭐️
Service: ⭐️⭐️⭐️⭐️.5

Must try 😋:
1. Sesame chicken",4,"176 Reviews , 3786 Followers",2/20/2019 19:26,0,
Dine O China,Pallavi Tiwary ( FoodLicks),"Though I love Chinese but this place was a big disappointment for us... The taste was too bad.. The price is high.. Lamb was not properly cooked.. It tasted like rubber.. Chilly chicken was so bland, Crispy honey chicken was not at all crispy. We had to ask them to re do it. Somehow they have not maintained thr quality nor taste.",2,"35 Reviews , 961 Followers",2/20/2019 16:56,0,
Dine O China,Nandini Banerjee,"Good food does the justice to your chinese craving,n nothing spellbinding but the bamboo rice must deserve a wow complement...it's a must try and that is the only reason I am giving 1 star extra",4,"6 Reviews , 18 Followers",2/19/2019 1:54,0,
Dine O China,Manojkumar D Nambisan,"Good food, decent service. Not crowded especially for weekend lunch, ambience is average, worth the money. Is predominantly Chinese food and not pan Asian.",4,"29 Reviews , 11 Followers",2/16/2019 12:46,0,
Dine O China,Soumi Mukherjee,"This place gives you some really good chinese dishes and the portion size per dish is really good. The dumplings, noodles and fish main course are the best that I have tried here. The staff is also really helpful and quick with their service",4,"55 Reviews , 123 Followers",2/16/2019 10:31,4,
Dine O China,Nillu,Interior and location of this restaurant is good but i didn't like food that much this place is near to my room so i thought of visiting once i ordered Manny items i didn't get satisfaction...,3,"17 Reviews , 9 Followers",2/11/2019 0:04,0,
Dine O China,Rajashree Roy,"I went there yesterday night with my friends around 10pm. They welcomed us by saying the starters won't be available, so we should rather start with the main course. Ordered veg schezwan rice, and pan fried noodles.,the food was decent. The funny part was as soon as the food arrived, they requested us to pay the bill. The food was okayish but we are thankful they didn't kick us out while we were eating.

In short, horrible service.",2,"7 Reviews , 3 Followers",2/9/2019 11:47,0,
