Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Domino's Pizza,Upasana Motani,"I have ordered from Dominos all my life, but no store has ever been this bad.
The order arrived in 45 mins, all my food had completely cooled down.
I asked the delivery boy about their 30 mins policy, and he gave a very casual answer saying ""ma'am parking me late hogya, jaane do"" I tried to argue saying that its not my problem and he agreed to give me a 300 rs refund. I asked him to do it at the moment and he said, his manager is busy so it cant be done right now but he assured me that it will be done. 

I talked to his manager on the phone, and he completely denied my refund. 
He didn't care about customer service, he talked very rudely, and he said he's not going to follow the policy. He also said I don't care if you accept the order or return it.
(If this was the case, why did the delivery boy ensure my refund and tried to run off?)

People like this don't deserve to be a part of DOMINOS.
They're completely ruining the franchise image.",1,3 Reviews,5/18/2019 3:00,0,
Domino's Pizza,Ankur Sharma,Pathetic service . Food arrived in 2 hours cold and no apology from the restaurant . Very bad customer care service from zomato and dominoes.,1,"1 Review , 1 Follower",5/15/2019 22:41,0,
Domino's Pizza,Vaibhav Singh,Worst experience at dominos. No air conditioner at the store is working (out of 5). It was too hot. No one cared about it. It took too long to get the tables cleaned.,1,"2 Reviews , 45 Followers",5/12/2019 20:42,0,
Domino's Pizza,Krishna,I ordered pizza with extra cheese but there is no extra cheese in it. I cant imagine dominos can do such a pathetic job. I am totally dissatisfied,1,1 Review,5/11/2019 13:48,0,
Domino's Pizza,Farhaan Nasir (bankruptfoodie),"Domino's doesn't live up to the standards any more. I ordered a pizza and it was late with a delivery time of 1hour with a promised delivery of 30 Mins. Once I got the pizza it was smashed.. When asked for a refund they said they will give me ""Domino's"" credits. However I didn't get the credits as well. Also I don't want domino's credits. I want my money back. I will never order from dominos again and would advise that they shut down at least this store since they are not able to live up to the standards.
Attached images of the smashed pizza.",1,"107 Reviews , 503 Followers",5/7/2019 13:59,1,
Domino's Pizza,Sai Sujan,"Very worst taste I have ever had in my life. Even compared to others like KS Bakers, Karachi bakery Pizza are better than this. Don't want to refer.",1,1 Review,5/2/2019 7:30,0,
Domino's Pizza,Vikrant Gupta,I ordered 2 pizza from here via zomato. First of all i got my order after 1 and half hour and worst thing is i got the pizza which i haven’t ordered. It was not expected from the dominos.🙁,1,1 Review,4/21/2019 23:17,0,
Domino's Pizza,HARSHA G,The order delivered was not so satisfying because the pizza was not enough hot to catch up the taste of it. Hope i get it right next time when i order.,3,1 Review,4/21/2019 8:37,0,
Domino's Pizza,Sundranipinky,"Pathetic experience
Never order from this outlet
They neither deliver the order nor refund your money
I ordered at around 9pm from this outlet and waited till 11 i never received my food
Also all the help line numbers they provide are either wrong or not reachable
Highly disappointed",1,"1 Review , 1 Follower",4/5/2019 23:41,0,
Domino's Pizza,Priyanka,Garlic bread was half cooked,2,2 Reviews,3/16/2019 0:21,0,
Domino's Pizza,Moonis Ahmed,"Ordered a pizza, garlic bread and other stuff on 14th Feb at 9 pm through Zomato. ZOMATO shows order is in the kitchen. But no call, no delivery even by 10.15 pm. The branch number on Zomato was incorrect. Called up Dominos hotline and they said they'll reach out to the branch and they'll call back. Waited for 15 min. No call back. Called the hotline again and the guy puts me on hold while he reaches out to the branch. 5 min later i am disconnected. Called up again and the same message that they will reach out to the branch is thrown on my face. Finally had it enough and asked them to cancel my order and refund the money.

I anyway don't eat Dominos pizza given some pretty bad prior experience. But ordered on my wife's insistence. Congratulations. Now even my wife doesn't want to order Dominos ever again. :)

1. Zomato doesn't have any view on what the restaurant is doing with the order. The system automatically said food is being prepared when clearly the restaurant has no clue on the order.

2. Dominos hotline is worthless. No clue on if their branch actually has a working phone or not.",1,"160 Reviews , 754 Followers",2/15/2019 14:31,0,
Domino's Pizza,Jyothi,All time favourite. My favourite is pepper barbecue and stuffed garlic bread. High quality with reasonable prices .no other pizza can dominate Domino's pizza,5,"1 Review , 1 Follower",1/27/2019 18:37,0,
Domino's Pizza,BE Happiee,It is waste to order pizza from this restaurant. I forgot that I have preferred a cheese burst pizza. There is no cheese in pizza and moreover the diameter of uttappam is far better than this pizza. I will never prefer this,1,"1 Review , 1 Follower",1/4/2019 11:00,0,
Domino's Pizza,Shiva Chintu,taste is good..,5,"2 Reviews , 1 Follower",12/25/2018 10:45,0,
Domino's Pizza,Adil PR,The pizza if eaten at the restaurant is very good. Home delivered pizza are somehow tasting pale. Otherwise the pizza is the best out of all the pizzas I have had lately.,4,2 Reviews,12/25/2018 8:58,0,
Domino's Pizza,Priya Pandita,As always tasty and excellent.,5,3 Reviews,12/15/2018 18:15,0,
Domino's Pizza,K V Krishna Rao,"According to the message I got from dominos , the delivery executive was supposed to deliver the pizza at the door, despite of me mentioning the complete address, The man came at the wrong place and called me outside. They should never mention door delivery if they wanna deliver it outside.",3,"2 Reviews , 1 Follower",12/9/2018 15:27,0,
Domino's Pizza,Monica Mittal,I am still waiting for the pizza,1,1 Review,12/7/2018 20:49,0,
Domino's Pizza,Milind Sheth,"The pizzas were delivered to me after 2 hours of placing the order and they were cold. Inspite of raising a complain 3-4 times, I did not receive any customer support and wasn't even contacted by their supervisor. Needless to say, I wasn't even reimbursed for the late delivery and cold pizzas.",1,"7 Reviews , 131 Followers",12/7/2018 15:20,0,
Domino's Pizza,Pavan Kumar,"I had been waiting 1 hour 26 min to receive my order and I didn't get any information from Zomato as well as Dominos, the contact numbers that mentioned in the message didn't work at all. Finally I got a call from delivery guy after 1 hour and he said will be there in 3 min. But still waited 26 min infront of my gate to see the delivery guy. The worst thing was I couldn't eat that pizza since it was harder than the packing box",1,"1 Review , 1 Follower",12/6/2018 23:27,0,
Domino's Pizza,Sakthi,good and polite,5,2 Reviews,11/9/2018 18:34,0,
Domino's Pizza,Sakshi,less cheese in cheese burst,2,1 Review,10/13/2018 22:37,0,
Domino's Pizza,Syed Aaquib,The delivery was faster than expected. I couldn't believe I got a call just 5 minutes after I placed the order and the guy was at the doorstep,5,2 Reviews,10/11/2018 14:26,0,
Domino's Pizza,Sai Teja,on time delivery.! and great pizzas. thanks Zomato 🤗,5,"2 Reviews , 8 Followers",9/30/2018 22:40,0,
Domino's Pizza,Ankit Anand,In short it was pathetic. They will mark the order as delivered from there side only . Though it will never get delivered to you. Not the first time and there contact is always find not reachable and it seems they have open an outlet under water or inside an elevator.,1,"26 Reviews , 34 Followers",9/24/2018 14:03,0,
Domino's Pizza,Zainab Saba,"Great service, quick delivery!                                                                                                                                            

Thank you domino's for such a great service!

Our order was delivered on time and in good condition. Overall its a good experience.",5,1 Review,9/24/2018 12:40,1,
Domino's Pizza,Priyanshu Verma,are we fool here to order cheese burst? when we can eat a simple base pizza. always disappointed with the cheese quantity,1,"1 Review , 1 Follower",9/23/2018 13:12,0,
Domino's Pizza,Mohan,very nice,5,"1 Review , 1 Follower",9/9/2018 9:11,0,
Domino's Pizza,Malar Madhav Rao,It was cold an tasted bàd.... what do you do for that....,1,"6 Reviews , 4 Followers",9/8/2018 22:47,0,
Domino's Pizza,Anamika Gupta,i m not getting from which outlet i need to book order for gachibowli address,1,"1 Review , 2 Followers",9/8/2018 19:37,0,
Domino's Pizza,Sarthak Shah,.,4,"2 Reviews , 4 Followers",9/2/2018 20:28,0,
Domino's Pizza,Malar Madhav Rao,"Ratings aside....a guy calls from ur outlet after ordering through Zomato, he tells me it cannot be delivered to ur address. He then tells it will take an hour if I want it .Càn u do something about this.",1,"6 Reviews , 4 Followers",8/30/2018 22:33,0,
Domino's Pizza,Boora Sravan Kumar,absolute good and awesome,5,6 Reviews,8/25/2018 22:25,0,
Domino's Pizza,Malar Madhav Rao,1 1 pizza was bad an tasteless...it was cold,1,"6 Reviews , 4 Followers",8/21/2018 21:24,0,
Domino's Pizza,Pra Sanna,Really you guys have put me a loss in ordering this yaar...I got a cool n bad quality of pizza...shit,1,"2 Reviews , 2 Followers",8/20/2018 23:23,0,
Domino's Pizza,Nisingho687,Quick delivery even in rains,5,1 Review,8/19/2018 18:25,0,
Domino's Pizza,Parshwa Shah,delivery in 11 minutes. wow.,5,"3 Reviews , 1 Follower",8/17/2018 21:16,0,
Domino's Pizza,Tota Parvathi,how can they accept order if they won't deliver to particular place,1,3 Reviews,8/15/2018 23:33,0,
Domino's Pizza,Akkala Revathi,fast in delivery is too good,5,1 Review,8/15/2018 19:01,0,
Domino's Pizza,Divya Agrawal,Pizza is not cooked properly. Worst pizza I ever had. Not expected from Dominos. Can I replace???,1,1 Review,8/15/2018 16:20,0,
Domino's Pizza,Malar Madhav Rao,late an food is cold an bad. Delivery boys shd carry change ...,2,"6 Reviews , 4 Followers",8/12/2018 22:48,0,
Domino's Pizza,Naresh N,too late,1,"1 Review , 1 Follower",8/11/2018 17:46,0,
Domino's Pizza,Tanya Gupta,this time pizzas were not tasteful,3,1 Review,8/11/2018 14:57,0,
Domino's Pizza,Shikha Priya,Delivered late and cold,1,"1 Review , 1 Follower",8/11/2018 12:46,0,
Domino's Pizza,Sayan Gupta,,5,"2 Reviews , 2 Followers",8/9/2018 21:41,0,
Domino's Pizza,Sivasai Vissamsetti,tq and super fast delivary,5,"4 Reviews , 1 Follower",8/7/2018 23:15,0,
Domino's Pizza,Gourmet Hunter,"This store maintains the quality & brand name of Domino's. 
Their burger pizza is great in taste. Its perfect balance of spices & the bland bread taste.

Our order was delivered on time and in good condition. Overall its a good experience.",4,"231 Reviews , 407 Followers",8/7/2018 16:04,2,
Domino's Pizza,Karthi Hari,"Never got the pizza and Zomato just closed my order mentioning it has been received and asking for a review. Consistently Pathetic service.Almost everyday!
Learn from Swiggy",1,"4 Reviews , 1 Follower",8/4/2018 23:03,0,
Domino's Pizza,Chanda,"My order was delayed and not even delivered I went to dominos to collect it , this was pathetic experience for the first time with dominos ,",1,"106 Reviews , 763 Followers",8/2/2018 12:10,0,
Domino's Pizza,Anusha Pasham,good,5,"1 Review , 8 Followers",8/1/2018 20:14,0,
Domino's Pizza,Zomato 2,"still not received the order, it's been 1 hour and 20mins.",1,1 Review,8/1/2018 17:05,0,
Domino's Pizza,Manjula Ediga,awesome pizza. delivered before time. nice service.🤗🤗,5,1 Review,7/31/2018 22:58,0,
Domino's Pizza,Yadagiri Gujjulla,good,5,1 Review,7/31/2018 22:06,0,
Domino's Pizza,Rupa Reddy,The non veg pizzas are really bad,1,"1 Review , 1 Follower",7/31/2018 17:17,0,
Domino's Pizza,Satyam Pradeep,delivery man was humble enough,5,"1 Review , 2 Followers",7/29/2018 20:34,0,
Domino's Pizza,Mreddy,2vegs instead of 2veg 2 nonveg,1,"6 Reviews , 1 Follower",7/29/2018 19:07,0,
Domino's Pizza,Naresh Maroju,satisfied,5,"0 Reviews , 42 Followers",7/29/2018 14:58,0,
Domino's Pizza,Mahesh,delicious,5,"0 Reviews , 1 Follower",7/29/2018 10:00,0,
Domino's Pizza,Prathyusha Juluri,good,4,0 Reviews,7/28/2018 23:28,0,
Domino's Pizza,Vikas J,delivery guy was quick and was very respectful,5,0 Reviews,7/28/2018 16:48,0,
Domino's Pizza,Dishang Valotia,fast,5,"0 Reviews , 1 Follower",7/28/2018 15:26,0,
Domino's Pizza,Anish,cold pizza served,2,"0 Reviews , 1 Follower",7/27/2018 21:52,0,
Domino's Pizza,Sai Bhuvan,vry polite delivery guy.,5,"0 Reviews , 1 Follower",7/27/2018 20:27,0,
Domino's Pizza,Dibyajyoti Pradhan,delivery was on time,5,2 Reviews,7/26/2018 23:25,0,
Domino's Pizza,Ranjith Srn,Good,5,0 Reviews,7/26/2018 17:10,0,
Domino's Pizza,Sam,Whom was the order delivered to? The address is wrong ..?? I informed for a refund..,1,0 Reviews,7/26/2018 15:23,0,
Domino's Pizza,Krishna Rao,it's always good to have pizza,5,"2 Reviews , 4 Followers",7/23/2018 21:41,0,
Domino's Pizza,Suresh,the food was delivered late and the taste was very worst,1,"4 Reviews , 1 Follower",7/23/2018 17:50,0,
Domino's Pizza,MAYANK SOOD,Delivery and taste wasn't that good.,3,"11 Reviews , 58 Followers",7/23/2018 1:44,0,
Domino's Pizza,Saaket,the pizza was cold,1,3 Reviews,7/22/2018 22:59,0,
Domino's Pizza,Tanvir Alam,Awesome,5,"6 Reviews , 4 Followers",7/22/2018 21:28,0,
Domino's Pizza,Prachi Mishra,I had received pizza in 55 mins it's was not hot at the time of delivery,3,"5 Reviews , 3 Followers",7/22/2018 21:20,0,
Domino's Pizza,Priyal Savsani,nice food and delivery was before time...,5,1 Review,7/22/2018 21:07,0,
Domino's Pizza,Boora Sravan Kumar,nice,4,6 Reviews,7/22/2018 19:49,0,
Domino's Pizza,Suja,Fully disappointed.....i had ordered a double cheese margherita but for god sake i didnt find a single bit of cheese also in that valuable pizza...y they have been called it as double cheese margherita then without cheese...they r giving offers to cheat people like this...no more orders n zomato r dominos hereafter..good bye,1,1 Review,7/22/2018 16:31,0,
Domino's Pizza,Ushashree Uppalanchi,Tasty as always!!,5,1 Review,7/22/2018 13:55,0,
Domino's Pizza,Shubham,should give souce with delivery,4,1 Review,7/22/2018 12:55,0,
Domino's Pizza,Guru Sona,oooooooooooooo very worst.....,1,"1 Review , 1 Follower",7/21/2018 22:10,0,
Domino's Pizza,Awadh B Tripathi,overall good,5,"3 Reviews , 4 Followers",7/21/2018 21:54,0,
Domino's Pizza,Divya Vani Aravapalli,nice,5,"5 Reviews , 16 Followers",7/21/2018 12:46,0,
Domino's Pizza,Alok Kumar,Delivery boy is too worst... He took time and he don't know how to tlk with customer... Too worst..,1,"2 Reviews , 28 Followers",7/20/2018 22:56,0,
Domino's Pizza,Saritha Devi,good,5,1 Review,7/20/2018 22:02,0,
Domino's Pizza,Vibhagopalkrishna,Prompt delivery,5,"3 Reviews , 2 Followers",7/20/2018 20:12,0,
Domino's Pizza,Carmel Raju Chowdary,nice,5,"1 Review , 2 Followers",7/20/2018 13:50,0,
Domino's Pizza,Vishal Talari,very very expensive not value for money,2,"2 Reviews , 27 Followers",7/19/2018 21:36,0,
Domino's Pizza,Sangam Madhulika,Nice,5,"1 Review , 1 Follower",7/19/2018 18:47,0,
Domino's Pizza,BİG HULK,nice service thnx,5,1 Review,7/19/2018 16:28,0,
Domino's Pizza,Sam Kumar,Excellent!!!,5,3 Reviews,7/19/2018 13:43,0,
Domino's Pizza,Shantanusharma1991,"right on time, this time",4,3 Reviews,7/19/2018 13:33,0,
Domino's Pizza,Sudeep Bhardwaj,thank u,5,"3 Reviews , 10 Followers",7/18/2018 22:24,0,
Domino's Pizza,Chordguru39,I didn't receive my order yet.,1,"2 Reviews , 1 Follower",7/18/2018 14:30,0,
Domino's Pizza,Manoj,good,5,1 Review,7/18/2018 14:20,0,
Domino's Pizza,SHUBHAM SONI,Non veg pizza served in place of veg order,1,"1 Review , 1 Follower",7/17/2018 22:39,0,
Domino's Pizza,Nikhilsingh Chauhan,worst pizza I have ever had.,1,1 Review,7/17/2018 18:11,0,
Domino's Pizza,Sumit Roy,Not delivered in time,2,"8 Reviews , 40 Followers",7/16/2018 17:57,0,
Domino's Pizza,Aish,late delivery cold food,1,1 Review,7/16/2018 0:01,0,
Domino's Pizza,Apoorva Nema,late delivery no refund,5,3 Reviews,7/15/2018 20:00,0,
Domino's Pizza,Shashi Kant Lal,Thanks to delivery boy. He was very humble.,5,"3 Reviews , 5 Followers",7/15/2018 1:27,0,
Domino's Pizza,Hari,On time delivery with hot,5,4 Reviews,7/14/2018 23:08,0,
Domino's Pizza,Vinay Payala,good,5,"3 Reviews , 35 Followers",7/14/2018 16:16,0,
