Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Driven Cafe,Gautam Narang,"We went to have coffee at this place. They have such awesome ambience. Coffee was fantastic and Mushroom, Corn and Jalapeño Pizza was out of this world. Plus you can actually book Sports Bikes and Cars from this place. And if you have the moolah can take Lamborghini for a ride. I’m going for 4/5 for this hell of a place.",4,"16 Reviews , 82 Followers",5/24/2019 20:19,1,
Driven Cafe,Bharti Mehta,"Driven is a bike themed cafe where you can even take bikes or luxury cars for rent

This is located in the busiest IT areas of Hyderabad. This is one of the places that is open till late night in this area.

Though the food is good here but certainly overpriced.

Their cold coffee is really good but the brownies need to be a little soft.",3,"84 Reviews , 387 Followers",4/30/2019 22:01,0,
Driven Cafe,FoodBites,"Best place for hangouts and chats.
Ordered capuccino - not so great and okay . Can be done better.
Chilli cheese toast - 5/5 . I liked it for its taste and cheesiness.",3,"63 Reviews , 119 Followers",4/26/2019 22:23,0,
Driven Cafe,Vooha Reddy,"Been there for the first time though it was for few mins i was just amazed with ambience and music,the staff was very patient and order was quick",4,"5 Reviews , 1 Follower",3/26/2019 21:03,1,
Driven Cafe,Abhishita Nekkanti,"I visited here last week with my friend. The pizza was awesome along with the dessert. Pasta was fine, along with latte. The desserts are really good.",4,"10 Reviews , 4 Followers",3/23/2019 20:49,0,
Driven Cafe,Kapil Mangtani,"We went at 6:30 am here because we found that this place is open at this time, but we met with disappointment as there was nothing we could eat or drink as the place was just open and serving almost nothing",1,"5 Reviews , 52 Followers",3/21/2019 6:23,0,
Driven Cafe,Shivi Saxena,"I am not a big fan of sports bikes, but I totally loved the place.
The interior and lightening is really soothing.
I preferred sitting on the first floor as it gave a better view of the place.
For food, we ordered a chilli garlic toast, chocolate donut with Mocha Frappe and Vanilla Frappe.

Individual Rating:
Food: (4/5) the donut was not upto the mark
Service : (5/5) It's self service, but my order was ready in like 5 minutes
Pocket Friendly : (4/5) The portion size was really small for the money they were charging
Ambiance : (4/5)

I really wanted to give this place a 4.5 star, but that cannot happen on Zomato now.",4,"168 Reviews , 427 Followers",3/18/2019 15:39,3,
Driven Cafe,Triveni Arora,Such a unique concept this cafe has of hiring bikes and cars and enjoying coffee along with it. Ambience is too cool and food is also nice. Really loved my visit there.,5,"22 Reviews , 46 Followers",3/7/2019 20:16,1,
Driven Cafe,Narsi Reddy,I went this place with a lot of expectations.i travelled 30 kms with full of curiosity and then when I reached the cafe I ordered my food and went exploring the cafe it was good with all bikes and cars surrounded by it. The theme of the cafe was too good but I waited for 30 min bcoz the top floor of cafe was under maintenance to see ambience of cafe I waited there and when I went upto there I find some intresting stuff I am satisfied with you BTW the food was some what good...!!,4,"18 Reviews , 295 Followers",3/3/2019 23:36,2,
Driven Cafe,Bryan Rodrigues,"Late night craving for some coffee and chocolate? Driven Cafe, be it!

Been here a zillion times and always had the same experience of great coffees and superb service.


Always had the Americano and sat outside for some nicotine and fresh air.

Walkable from Amazon (my workplace) makes it easily accessible. They are open 24 x 7",4,"56 Reviews , 88 Followers",3/1/2019 12:59,0,
Driven Cafe,Zainab AliKhan,"Quirky interiors + Great food = Perfect! Must try - Coffee and brownie! This place has great interiors and it’s not just about the food here. At Driven Cafe, you can even hire cars and bikes!",5,"13 Reviews , 4 Followers",2/28/2019 11:37,7,
Driven Cafe,Rahul Singh,"This is a great place to hangout, the interior is amazing done & looks fabulous. The beverages offered are really great also the pizza is awesome. Although they could add more things to the food menu that’ll make it better. Overall a very much recommended.",4,"7 Reviews , 565 Followers",2/21/2019 13:07,1,
