Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Dunkin' Donuts,Nithin Jacob Thomas,"The taste and quality of the food here is on a slippery slope. I used to love the Boston creme donut. What once used to have a juicy, creamy filling is now a miser's dab. Burgers have also lost their taste and are mostly insincere.",2,"12 Reviews , 2 Followers",5/3/2019 14:25,0,
Dunkin' Donuts,Kbnsindhura,"I have eaten at this place a couple of times before and the donuts were decent. But today, we picked a few donuts to take home and when we tasted them, they felt so stale and tasteless, as if they have been made at least 3 days ago. This was definitely not expected from them",1,"4 Reviews , 3 Followers",4/20/2019 22:47,0,
Dunkin' Donuts,Manab Agarwal,"The donuts were not fresh, it was pathetic in taste, worst donuts ever eaten. I ordered three donuts in which two was completely uneatable and the third one was also stale and had a bad smell(The smell was like a chemical added)",1,"1 Review , 1 Follower",4/17/2019 13:54,0,
Dunkin' Donuts,Wajiha Kaukab,Stopped here to have a Americano and a Boston cream donut. The coffee was good but the donut 🍩 did have less or no filling at all. I’m not sure if all these places have the same procedures for hygiene coz I bit into something I did not want at all. The staff did apologise but it wasn’t a pleasant experience. The place did not look like it was taken care I expected dunkin had the same standards thru out the world.,3,"14 Reviews , 2 Followers",4/1/2019 16:01,1,
Dunkin' Donuts,Raghu Amaraneni,"We have ordered dunkins but it was not fresh and no taste

please don’t prefer this outlet

It was not baked properly and taste was not good..",1,"1 Review , 1 Follower",3/30/2019 16:16,0,
Dunkin' Donuts,Varma,"This places always serve one the soft and tasty donuts the verities are very good to look and to taste

They do server other menu items a part from donuts but this is mainly a donut place so expect much from the taste of the other menu",4,"96 Reviews , 144 Followers",3/6/2019 16:35,2,
Dunkin' Donuts,Neha Rathi,Bad service.. staff doesn't know english doesn't know about their work.. donuts are bad... Place is also not clean.. I wish Hyderabad opens M.O.D. soon... Not recommended at all...,1,"4 Reviews , 53 Followers",2/21/2019 0:24,0,
Dunkin' Donuts,Harry,I ordered 3 donuts online and all of them were hard and not fresh. And not edible to eat at all. I have no option but to throw them in the dust bin. Very very disappointed.,1,"1 Review , 1 Follower",2/1/2019 19:23,0,
Dunkin' Donuts,Kittu,"I love burgers and donuts here
Specially eclair donut and big joy veg burger 😍
Staff here really very good
Choclate milk shake and fruit berry smoothy are best drinks in cold

Can u plzz deliver upto gulmohar colony ?
If u extend ur delivery places..Dunkin will really get much appreciations",5,2 Reviews,1/31/2019 19:18,0,
Dunkin' Donuts,Vishrut Srivastava,"Dunkin Donuts has always been a great donut place according to me. They serve excellent coffee and burgers as well. I particularly love the Naughty Lucy burger, which is an all time favourite.
This time I decided to try their new Grilled Chicken Monster Burger and I was a little disappointed. As a whole, the burger tasted fine but, why on earth did the chicken burger have a layer of hash browns? Such a bummer. 😐
However, the donut did uplift my mood in the end, brining the final rating to 3.5. Man does that 'Death by Chocolate' slay me everytime (pun intended 😂).",3,"52 Reviews , 732 Followers",1/25/2019 21:19,2,
Dunkin' Donuts,Dileep Vundavalli,"I been to this place on a Saturday morning to have a 🍩, I was really disappointed with the service, in the first place the air conditioning was not working, I still compromised to have the donuts, after having the donuts the staff was not able to give me the bill saying that billing machine is not working, I had to pay the parking fee for my car, since I was not having the bill.
I had a bad experience",1,"33 Reviews , 3054 Followers",1/12/2019 23:31,1,
Dunkin' Donuts,Vivek Jain,"Located in SLN Terminus on the ground floor, this joint has a good seating and decent ambience.

The place is a bad maintained one in terms of staff and food. A donut shop must have sugar glazed donuts at all times, but initially they refused to serve one.

Finally the donut I had was the Caramel Vanilla, the donut was first served cold despite telling them to heat it. The donut anyways turned out to be a good one, perfectly sweet and hot. The caramel however was not upto the mark.

For the drink I had Vanilla Macchiato, the drink was way different from illustration. It lacked the caramel sauce on top and almost had no taste of vanilla, we also ordered for classic macchiato which tasted the same. So there was no vanilla in my coffee.

I would suggest skip this place and head somewhere else for the sweet cravings post dinner.",2,"57 Reviews , 457 Followers",1/4/2019 11:06,3,
Dunkin' Donuts,Anirban Saha,"Loved the ambience of the place. Also we ordered a box of six classics, and all of them were delicious. Alongwith the popular chocolate ones do try the caramel, strawberry and colour pop ones too. Also do try Hot Chocolate Orange and Hot Chocolate HazelNut, definitely a must try place for me.",5,"37 Reviews , 170 Followers",1/3/2019 22:26,2,
Dunkin' Donuts,Kanthi Voonna,Ordering donuts from this place is a nightmare. They always forget to heat the donuts even after insisting. We have to call the executive and tell the same just to make sure.,2,"6 Reviews , 13 Followers",1/2/2019 18:54,0,
Dunkin' Donuts,Aarsh Singh,"Very tasty donuts 😍 loved the packaging and also the flavour s were different from each other, the donuts were soft and nice :) everyone would love to come back and have them",4,"9 Reviews , 7 Followers",12/29/2018 18:52,2,
Dunkin' Donuts,Mounika Panthala,"The donuts were fresh and tasty. However these donuts were little small in size compared to donuts served in other outlets. The ambience was good but needs a little maintenance like the tables were not clean and there were flies around.
Overall it was good.",4,"21 Reviews , 19 Followers",12/28/2018 14:06,1,
Dunkin' Donuts,Arjun,"I just came out of this outlet. The food is as per DD standards but the venue lacked basic hygiene and maintenance.

The tables were not cleaned on time and hence it had flies hovering around it. The wipe used for cleaning the table too was so dirty that it left a stench behind after the table was cleanes.

For payment too when I decided to pay through the mobile wallet, instead of the standard QR code or getting a request for the OTP, I was asked to pay the same to the store managers number as their system wasn't working.",3,"266 Reviews , 1559 Followers",12/25/2018 15:01,1,
Dunkin' Donuts,Tinni Ghosh,Just 5 mins from my house and been there hardly a few times because I did not quite soulfully enjoyed their donuts. The 'ugh' quotient is missing in the do-ugh-nuts here which makes me do-not do the Dunkin Donuts.,3,"74 Reviews , 1134 Followers",12/2/2018 0:49,0,
Dunkin' Donuts,Abhishek And Moumita Ghosh,Bit Costly..but taste wise its good...almost the taste of usa...good variety of items to choose from. Good place to visit. Ambiance is good also,4,"76 Reviews , 1411 Followers",11/21/2018 7:46,1,
Dunkin' Donuts,Sai Datta M,"Though the brand's famous for donuts, I'd have to start the review with their Burger. After having got bored with McD, KFC and other popular burger places, DD's burgers are just stunning. Also, their bun is slightly different, which tastes even better over others.  The chicken was quite juicy with all flavors dumped in. Unfortunately, it is overpriced!

Coming to their staple food, they are great as well. They got tons of options, so not possible to review all of them here. But, I would highly suggest having their Death by Chocolate.

And, their packaging is great. I loved the boxes they provided!",5,"97 Reviews , 174 Followers",11/7/2018 20:52,3,
Dunkin' Donuts,TheUtkarsh91,"Had ordered a pack of 6 donuts(mango craze, very very strawberry,Boston creme, eclairs*2 and a rainbow pop). All I got were chocolate donuts!! Never ordering from here again!",1,"1 Review , 1 Follower",11/7/2018 3:54,0,
Dunkin' Donuts,Fit Foodie,"Food - 5
VFM - 3.5
Packing - 3.5
Service 3.5

Have been to this place multiple times. This is located at the bottom floor of SLN Terminal Mall. Ordered Heaven Can Wait Chicken burger, Double Big Joy and Big Joy Veg burgers.
Heaven Can Wait was awesome with two chicken patties of pepper and spicy flavors, along with lettuce, cheese and jalapeño sauce. Packing for delivery can be improved though.
The big joy buggers were fine but lacking in sauces.",4,"77 Reviews , 323 Followers",10/27/2018 13:15,5,
Dunkin' Donuts,Sumeetha Thahira Salim,"Very disappointed with this outlet. Ordered four donuts, all four were not at all fresh. The crust had solidified and donut bun lacking any moisture. I am not ordering from here ever again.",1,"15 Reviews , 56 Followers",10/9/2018 18:44,0,
Dunkin' Donuts,Sidhartha Burman,"The air conditioning was not working. Half of the items in the menu are not available. The staff is limited and took more than 10 mins to take the order.

My first experience was a memorable one but not for good reasons",2,"6 Reviews , 55 Followers",9/30/2018 19:36,0,
Dunkin' Donuts,Avijnath G,"Donuts were okay.
Milkshakes and thick coffee was horrible.
AC want working and tables were very dirty.
Wouldn't recommend anyone to visit..",1,"6 Reviews , 2 Followers",9/30/2018 19:29,0,
