Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Eat India Company,Phani Konathala,"Went for my friend bday party with team'staff are very helpful And.service was really great .food is delicious specially Singapore prawn..only problem is Ac is not working..rest everything went superb..thank you Mr Srikanth for providing us excellent service And food..diffentitly for sure eat India company will be my best restaurants for Hangout with friends..diffinitly We will be visiting sooner...
Thanks to all the eat India team'..",5,"1 Review , 1 Follower",5/24/2019 23:10,0,
Eat India Company,Venkat Emadabattula,"I would like to start that it worth it..went for dinner buffet,i love the spread of asian and indian dishes which were in the buffet..on top of that excellent service by all the polite staff in the restaurant,what else could u ask...simply amazing friday night..",5,"1 Review , 15 Followers",5/24/2019 23:09,0,
Eat India Company,Sagar Netha,"Went for dinner party with my friends..I was amazed with the service recieved..we took buffet which was well prepared..amazing place to visit,service staff were polite and prompt..overall excellent service and good food,highly recommended and I would surely be back in a short time..cheers",5,"1 Review , 1 Follower",5/24/2019 23:04,0,
Eat India Company,Shamekh Siddiqui,"Ambience : Great, perfectly lit and has separate section for smokers.
Food : starters are really good (did not have much variety but were good in taste) , the main course and desert were just like any average buffet. I would say it does have value for money, not that expensive.
Overall : visit if you have tried all the other buffet restaurants and want to to try something new",3,"8 Reviews , 7 Followers",5/22/2019 14:50,0,
Eat India Company,Sravani,Nice ambiance and is a treat for people to watch and enjoy. It’s on little expensive side. Here we will be offered 3-4 menu cards 😜 Looks like it’s a combined centre for Eat India and Urban Asia,4,"10 Reviews , 10 Followers",5/22/2019 14:10,0,
Eat India Company,Mahesh,"Visit with my wife for celebrate of my daughter birthday .make our day very special with their service and food love the murgh angara tikka and their deliocious biryani ..thank to mr Biswajit for suggesation the lovely and delicious ...thank you eat india team we will diffenitly visit this place .
Service=5
Food=4.5
Ambieance=4",5,1 Review,5/21/2019 21:26,0,
Eat India Company,Sekhar Tanguturi,"Visited with some old friends for a buffet. Good set of starters, decent food and hospitable staff. Of the staff Mr. Amrit was very courteous and ensured that all guests are taken care of very well. Thank you",5,"7 Reviews , 5 Followers",5/18/2019 21:54,0,
Eat India Company,Bik 007,"Had a lunch with two of my friends today,it was such a good experience..Service staff were friendly and polite,and service was excellent...highly recommended.",5,1 Review,5/18/2019 14:34,0,
Eat India Company,Santosh Pappachan,"This place has a good ambiance and is a treat for people wanting to take pictures but that's about it.

Went on a Sunday and there was no crowd at all. The AC was literally non functional which made it uncomfortable considering the heat outside. The service was on the slower side and the mocktails were underwhelming. Starters were brought to the table and while they tasted good, the pace of refills needed to improve.

I honestly liked the veg biriyani and the schezwan fried rice from the main course. The stone ice cream in the desserts section was worth a mention and that's about it.

It's expensive factoring in the food and service you get. These guys need to pull up their socks if they want really survive in a competitive environment. Could give it a try for the ambiance though.",3,"107 Reviews , 634 Followers",5/11/2019 21:28,3,
Eat India Company,Sai Prasanth Nandagiri,"Have been to lunch with friends here today, first things, ambiance seems to be pretty good, i think people just carried on ambiance for this location. Serving is damn slow, even though not much of crowd in the restaurant. Price is pretty on a higher side, virgin mojito just tasted as mint lemon drink. We need to ask several times to serve, also when we for main course figured out that few dishes were not served to us which were part of starters, when asked, the same was brought later, Welcome Drink is the one which is served after several remainders and tasted bad. Desserts were not so great and not many. Felt with the cost that was paid this is not much upto mark. All in All pathetic service, you will literally ask 'n' number of times for food which is served on table. Not a wide range of dishes. Taste not so great especially with mock tails. Totally disappointed",2,"14 Reviews , 5 Followers",5/8/2019 17:15,0,
Eat India Company,Mounika,"Beautiful ambience. The vintage look took me back to some good old days. The food was okay but they take quite some time to bring in the order. For instance, 30 min for a glass of Coke? We had been here for dinner and it took us a while to figure out that both urban Asia and Eat India company are together. The staff didn't attend us for a long time. I gave the 3 star for the ambience and the experience I had with the people I went with.",3,"25 Reviews , 12 Followers",5/4/2019 14:01,0,
Eat India Company,Nishtha Chandarana,"Instagram | veganyums_
Drop in to this place with my partner for lunch,.They have zomato gold 1+1 food offer.. Ambiance is pretty authentic more like village and antique piece were drawing my attention....liked the quotes on pillars..
In starter, we ordered Kaju aur bhutte ki seekh which was too soft that break in small pieces.. Actually the consistency was not proper so could not take a bite properly.. Taste wise it was little bland so, there was only cashew taste I could feel..
In main course, we ordered Patiala Shahid paneer
Which was one of their signature dish which I was expecting to be good in taste..but again I disappointed with the taste it was normal onion tomato gravy and consistency of gravy was thin instead of creamy..Ajwain paratha and naan was good in taste

My experience was not so good..plus, staff members were not aware of anything regarding dish..",2,"151 Reviews , 2116 Followers",5/1/2019 15:45,5,
Eat India Company,Naimish Chandarana,"Instagram | veganyums_

Eat India company has a sharing kitchen with urban kitchen. Interestingly, in eat India company, they also gave the urban kitchen's menu. Ambience is pretty good that has cobination of modern furniture and ancient India decorum.

When we reach there, we asked waiter to suggest their best sellers in starters and main course. Very disappointed with the kind of knowledge they have about their dishes. They were not trained enough to speak confidently about the items mentioned in the menu.

Finally, we ordered kaju aur bhutte ki seekh in starter. The order arrived after 15 minutes. Plating looks good but tastewise, it was well below average. The stuffing was too dry, even with the chutney, it doesn't taste good.

In main course, we had patiala shahi paneer. Quantity was enough to serve two people, but again, don't expect the taste. Curry was too ordinary with lot of Curry leaves in it.

After having such a horrifying experience, they included 5% tips for their waiters. Think before you visit this place. And in any circumstance, if you are visiting, beware of this waiter tip and you have right to remove it from your bill.",2,"100 Reviews , 1224 Followers",4/27/2019 14:00,7,
Eat India Company,Sravanmalla65,"Best one to try for, had Ala-Carte and starters were too good with decent quantity and good taste. Prawns and Fish items are must try here which anyone would fall in love with. Looking forward to try Buffet too",5,"3 Reviews , 1 Follower",4/26/2019 9:43,0,
Eat India Company,Nayan Yalamanchi,It was a good experience. Could improve on the quality of the starters! The prawns were amazing and the main course was good too. Could’ve been better if they changed the menu of the desserts,4,"1 Review , 211 Followers",4/23/2019 18:19,0,
Eat India Company,DNiharikaa,"Ok-ish food and price and taste doesn’t tally.

Ok-ish ambience

Not so great place to sit and have a chat, as it also combines with Tiki Shack and Urban Asia under one roof you felt that I was sitting in some crowded place",3,"5 Reviews , 2 Followers",4/21/2019 13:48,0,
Eat India Company,Jaganthini Padmanabhan,"We had specially requested the waiter to make the paneer dish less spicy .But the dish turned out to be just the opposite .To top this we get a wrong bill to pay :).Mostly our last visit to this restaurant,neither will recommend .",1,"1 Review , 11 Followers",4/13/2019 21:22,0,
Eat India Company,Sriram Reddy,"Great place to hangout with friends and colleagues..
Lot of options with the menu and delicious too... Service was also great..

Only issue was with the parking..",5,"10 Reviews , 8 Followers",4/1/2019 0:53,0,
Eat India Company,Akansha Garg,"The buffet was not to impressive so we ordered from menu.
Can go for a change but definitely not frequent visits
Food 2.5/5
Ambience 3/5
Service 2/5
Food option for Vegetarian 1/5
Overall 2/5",2,"19 Reviews , 1 Follower",3/18/2019 16:24,0,
Eat India Company,Divya,"Happened to visit this place for dinner on last Sunday. The ambience is amazing with decor pieces from Rajasthan. They have used various elements in a smart way. We opted for a dinner buffet. The variety of items in the buffet were good. But starters were served cold on the table. This place is decently priced. I personally loved the Thai soup, chicken kabab, butter naan and dal.
Food : 3.5/ 5
Ambience : 4/5
Service :4/5",3,"8 Reviews , 6 Followers",3/17/2019 19:01,1,
Eat India Company,Ananth Popuri,"I love this place in Gachibowli. I have been here several times now and the quality of food is amazing and the staff are good.

I highly recommend this place and just above this we have tiki shack.",5,"12 Reviews , 4 Followers",3/9/2019 15:37,0,
Eat India Company,Rahul Buddala,"Me and my wife are foodies and we went there for lunch. We went for ala crate , and ordered Murg Badami Shorba. It was delicious. If you visit the place you should try it. With Shorba we ordered Malai chicken tikka as starter.

The chicken was soft, and it was delicious.

For main course we ordered zafrani Murg. This dish was again delicious. The spices were right.

I would go there again.",4,"4 Reviews , 56 Followers",3/4/2019 22:05,0,
Eat India Company,Saroj Sahoo,Food is superb here. You can randomly choose any item from the menu and be assured that you will not regreat. Staffs in the restaurant are quite professional .,5,"4 Reviews , 1 Follower",3/4/2019 16:42,0,
Eat India Company,Shivali Kamath,"I've been here a couple of times, and I must say, it never disappoints! Everything I've ordered so far has exceeded my expectations everytime. Hara bhara kebab and dal qureshi are a must try. The service is prompt and ambience is great! An overall good experience. One of my favorite place to dine out in Gachibowli.",5,"7 Reviews , 65 Followers",3/2/2019 19:42,0,
Eat India Company,Sandeep Reddy,14th Feb planned for a dine out. Eat India company# Ambience was apt# Chose alakarte# Dragon chicken was tender & Juicy# Nizami Handi went perfect with Phulkas# chicken biryani was good as expected# Srikanth the guy who suggested good dishes & was very quick in service. Thank you Eat India for giving as a very good experience,5,"4 Reviews , 2 Followers",2/14/2019 21:52,1,
Eat India Company,Paresh Meshram,"Went for team lunch and took buffet for all.
Nice place.
Great ambience.
Food and service is also good.
Nice place to hangout.
Quantity and quality is good.",4,"4 Reviews , 13 Followers",2/13/2019 19:00,0,
Eat India Company,Rohit Gupta,"#Disappointed

Went for dinner with friends. Was bit disappointed with the service and food. Firstly due to lack of space they have clubbed Urban Asia nd Eat India on the same floor. Which make service bit slow and confused.
We opted for buffet, here also they served fusion of both the restaurant. For example they served chicken sorba for non-veg and Khaw-Souy for veg.
It's simply confusing and making ur dinning experience not that great.",3,"120 Reviews , 790 Followers",2/10/2019 11:46,0,
