Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Faasos,Kiran Thota,"As part of tasting review, ordered masala paneer wrap, jumbo chicken wrap and sigbature rice roasted chicken, you guys rock, well balanced taste , wraps are stuffed with lots of chicken, they are juicy and soft, signature rice is well cooked, packed perfectly, served hot and quick delivered.
Check the packing you will see funny quotations in the wrap boxes, they r funny next time dont miss to read them.
Overall satisfied with the taste and service.
Will visit the store soon. All the best guys.keep going.",5,"78 Reviews , 117 Followers",5/22/2019 23:36,3,
Faasos,Alok Kumar,Very bad service. Waited for 1 hr 30 min but still order was not delivered. Worst experience with Faasos. No online tracking system. No to fassos ever.,1,"2 Reviews , 1 Follower",5/19/2019 15:27,0,
Faasos,MJF Ln Sarath Babu S,"What did I order?

I ordered Reshmi Chicken Kebab Wrap, Cheese Melt Chicken Wrap & Chicken Rice Feast

What was good?

Food arrived on time and was hot.
Neatly packed.
They have used reusable container for the rice and recyclable carton box(small) for the wraps
Attractive packaging.

Above all, the Taste. The products tasted real good.

I feel the cheese 🧀 on my mouth when I was having the cheese melt wrap. Chicken was tender and cooked real soft. They are boneless and hence facilitated smooth process of eating them. Wrap was cooked equally good.

Reshmi Chicken Kebab Wrap was awesome. It gave a different taste altogether.

Highlight was the rice though the wraps were equally good. Rice was cooked with real long basmati rice and the masala mix was at the right proportion. It can be had by both - children and elders. They have two differential cooked chicken on the top. Both are boneless and cooked with perfection. Only the ingredients differ.

My tummy is full, this noon :)",5,"148 Reviews , 1995 Followers",5/17/2019 14:27,1,
Faasos,Shyam Tiwari,Mohsin was really helpful in handling the situation & delivered food on time as promised. I really wanted to thank you guys for rectifying my error & resolved my issue in a professional way.,5,6 Reviews,5/10/2019 12:16,0,
Faasos,Narendranath Reddy,"Worst experience with Faasos. They accept orders, take money and then they don't deliver food. It's happening continuously with Faasos managed restaurants. Had a similar experience with their Ovenstory pizza as well. Till now, my money of Ovenstory pizza order is not refunded. I think my money for Faasos order is also gone.",1,"2 Reviews , 2 Followers",4/29/2019 22:25,0,
Faasos,Kajal Verma,The place offers amazing rolls.... If you are a foodie and eat a lot like me then trust me one roll is insufficient for you 🤣 order TWO! The Mac cheese rolls are scumptious,5,"7 Reviews , 51 Followers",4/29/2019 10:53,0,
Faasos,Yogita Sharma,"I ordered from faasos last night but I didn't receive my order,when I tried to connect with the restaurant they didn't respond.I tried to connecting with them many times but no one responds and after 2 hrs it shows that order is delivered.even on next day when zomato tried to call them, they didn't respond.its a wosrt service I have ever get.",1,"1 Review , 3 Followers",4/18/2019 13:45,0,
Faasos,Foodie Emperor,"I have been Constantly Ordering Faasos

I have become the huge fan of Cheese Melt Chicken wrap

Ordered Cheese Melt chicken Wrap with Customization of Lacha Paratha & Peri peri cheese

Cost Around Rs 200

Damm the taste is top to the world

MUST RECOMMENDED",5,"20 Reviews , 4 Followers",4/14/2019 17:30,2,
Faasos,Sumit,"The Egg wrap here is made by unprofessionals. The egg wrap's omlette was burnt as hell and I guess they were too lazy to replace it knowing it was burnt and sent me those wraps
. order (id: 1178102975) on Zomato Order.",1,1 Review,4/11/2019 12:41,1,
Faasos,Pradeepti Sharma,"Ordered the paneer wraps, one with the cheese, and other with a tangy masala. N a paneer rice bowl too. Paneer treat to myself. The wraps were perfectly made, with the covering prepared well, and the stuffing was mixed well with the right amount of sauces and cheese, giving a juiciness to the wrap. The rice bowl was equally yummy. With rice being cooked well, fragrant with exotic herbs and spices giving a deep ochre n shades of olive green look to the dish. Overall a nice place to order from n worth the money. Recommended 😊",5,"72 Reviews , 1932 Followers",3/14/2019 21:22,0,
Faasos,Pravin Fengade,Very bad experience...i got incorrect order delivered...I ordered for smoked butter chicken combo under royal indian mean which costs ₹290...but i was delivered smoked butter chicken combo under quick meal which costs ₹190...and it was missing paratha and gulab jamun...when I called restaurant they didn’t agree to send me correct order and asked me to contact zomato which I couldn’t get in touch with..finally ended up paying more for what i was delivered... and wouldn’t recommend to anyone based on my experience.,1,"3 Reviews , 1 Follower",3/3/2019 14:21,1,
Faasos,Aniket Kanwale,food was good but as compared to price quantity was very less,5,3 Reviews,3/3/2019 1:04,0,
Faasos,उर्वी वशिष्ठ,"Wraps here are really yummy! As cheap as chole wrap and as expensive as paneer wrap! Be it any level of the wraps, it is yummy!
Moving on to rice, rice feasts are good to go and is very filling too!",4,"3 Reviews , 3 Followers",2/13/2019 13:11,1,
Faasos,Preethikumaresan Kumaran,I have ordered mutton rice in faasos the taste quantity quality was super worse.. totally disappointed... 160rs waste and waiting time was also waste,1,1 Review,1/27/2019 19:36,0,
Faasos,Raagini Biswas,"Food was delivered after 1.5 hours, when the app said it would take half that time. Faasos does not provide a number of a delivery person. The number given is a common number that is always busy. Hence the order was not possible to track.

Received an SMS soon after placing the order with a tracking link from Faasos which did not work.",1,"3 Reviews , 34 Followers",1/25/2019 15:19,0,
Faasos,Hari Priya Bandi,packing is just amazing,5,2 Reviews,1/24/2019 15:10,0,
Faasos,Abhishek Das,"I'm usually order Mutton Over Load wrap & but this time it was he'll. The wrap wasn't looking like the usual. It smells wrong. Did something went wrong?!?!???
I don't think I'm eating Mutton. 🤔 this is something else entirely.",1,"9 Reviews , 2 Followers",1/19/2019 16:10,0,
Faasos,Hi Bye,"yummmy food ,faasos never dissapointed me,rates also very economical..just love it 😍😍 ..keep going faasos..thanks for the yumilicious food and yess the box captions are amazing and packaging to is just awesome ..loved it .:) :)",5,"3 Reviews , 2 Followers",12/29/2018 12:25,0,
Faasos,Raj Rohit,"Faasos never fails to impress.

Ordered their chicken cheese melt roll. The chicken and the quality of the roll is just top class

+ the masala was an added delight too.",5,"124 Reviews , 372 Followers",12/21/2018 17:20,0,
Faasos,Naman Nishesh,The melt wrap hardly had cheese even though I ordered extra cheese.,1,"6 Reviews , 7 Followers",12/15/2018 12:07,0,
Faasos,Aman Agarwal,"Wraps, pancakes, sides, order whatever from here and you won't be disappointed. My personal favorite is fiery cheesy panner roll. The extra masala they provide is an icing on the cake. Overall experience is good.",5,"35 Reviews , 27 Followers",12/9/2018 18:34,1,
Faasos,Kasi Raj,I had absolutely no hesitation to say that..this is the worst biryani in d whole universe...i bet u will throw it in dustbin immediately after 1 spoon.....faasos sucks!,1,1 Review,11/16/2018 0:32,0,
