Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Feast - Sheraton Hyderabad Hotel,Amol Kale,"With the kind of price they have for the buffet, I would call this as my worst buffet experience ever. The vegetarian people I had accompanied had nothing to eat at all. There was not even a single paneer starter. And for non-vegetarians, there was nothing except chicken being served.  We don't expect such food for this cost and venue.",1,"3 Reviews , 25 Followers",5/15/2019 16:31,0,
Feast - Sheraton Hyderabad Hotel,Yogesh Kumar Gupta,"We went for a lunch with our team, and all of us were truly disappointed with the food and the service as well. For vegans, they had just 2 starters.. the food did not had any taste, it was more like just things being mixed without any skills. Desserts were little better, but main course was completely disappointing, be it the dal makhani, which lacked consistency, or the paneer, which was like cubes poured on top of the gravy. I certainly would have tasted better food than this at pretty lower costs.",1,"16 Reviews , 46 Followers",5/15/2019 16:27,0,
Feast - Sheraton Hyderabad Hotel,Tahishi Gupta,"Ordered chicken biryani, chicken chilli and cheesecake . Chicken biryani was good but the cheese cake was beyond amazing. It just melted in mouth.",4,"28 Reviews , 34 Followers",5/3/2019 14:05,2,
Feast - Sheraton Hyderabad Hotel,Hemanth Emadabathuni,"Where to start!! This place is really awesome. Especially their hospitality, how the treat the diners is worth making a point. And this place is best when visited on a Sunday. Ambiance, food, pricing are all perfect. You should never minis their desserts as you'll not even have space for all the desserts in place. We visited this place on our friend's birthday and they surprised us with cute little cakes and birthday wishes. Will soon visit this place again.",5,"62 Reviews , 84 Followers",4/30/2019 22:37,7,
Feast - Sheraton Hyderabad Hotel,Dinesh Naidu,"Went for lunch buffet,little disappointed with the spread, at this cost expect little more options. Taste was okay some of the items were good others were ok ok.

Overall 3/5
Ambience 4/5
Food 3.5/5
Value for money 2/5",3,"20 Reviews , 10 Followers",4/29/2019 22:58,0,
Feast - Sheraton Hyderabad Hotel,Mihir Bhagwat,"I had the pleasure of having breakfast, lunch and dinner here at various times for an entire week and I was simply amazed to experience an entirely different level of hospitality and customer delight at this place! The staff ensure that they have a great connect with all the guests and cater to even the tiniest of the guests' requirements. I tried the A-la-carte menu as well as the Buffet here and loved every bit of the food that was served. Chef Chinmay Panda, Chef Abhay Kumar Sahoo and Ms Hema were the perfect hosts every time! There was an instance when the Chef inquired about our food preferences and specially prepared French Toast and mind blowing Idiappam for us! Once they knew that we were checking out from the hotel that day, they specially got us a pastry with the words 'Bon Voyage' engraved in chocolate on the serving dish. They even took a photo with us for their archives. I was completely overwhelmed by such a warm gesture and fabulous fabulous hospitality! Best of luck to the team at Feast and hope you scale greater heights in maintaining such high level of customer service!",5,20 Reviews,4/23/2019 23:09,6,
Feast - Sheraton Hyderabad Hotel,Saurabh,We visited for Sunday Dinner! Awful experience..Food was all cold without any taste..though staff was courteous and tried to compensate by good behaviour but all in vain when food is not good..,1,"1 Review , 1 Follower",4/16/2019 21:39,0,
Feast - Sheraton Hyderabad Hotel,Ankit Aggarwal,"As the name goes it is actually a Feast to have. Starting with the food, they have a lot of variety and everything is worth tasting at least. The variety of salads is different and delicious. The main course is really good and specially the Dal Makhani. And all my rating goes to the desserts. They are plenty and you can’t get over each and every item. Definitely a place to over eat .",4,"23 Reviews , 9 Followers",4/11/2019 17:02,0,
Feast - Sheraton Hyderabad Hotel,Tallurimadhuri Chowdary,"Mahesh , Hema are very good at service
should improve the spread
Taste was okay
Not great
Expected a lot from Sheraton but on the whole was fine",5,"1 Review , 67 Followers",4/9/2019 22:50,0,
Feast - Sheraton Hyderabad Hotel,Neha Aggarwal,"One of the best buffet I have ever had. Starting with the food, there is so much variety and each and every thing was super yumm. They had lip smacking main course items. Dal makhani is simply best.
The best part is Desserts. There is so much variety , that you can't have it all and the greed for it will not satisfy.
Must try place though a little high on pocket.
And the service is also good. Loved it😊",5,"91 Reviews , 191 Followers",4/7/2019 20:11,0,
Feast - Sheraton Hyderabad Hotel,Aishvarya Arora,"Location: It has a prime location being located in the heart of Financial District beside the huge ICICI Towers.
Hospitality: Couldn't have asked for better.
Ambiance: Perfect!
Food: Now comes the real part, 
I went on a 10th of February 2019 and they were celebrating Avengers then. People in Thor & Captain America costumes with desserts all being prepared according to the theme gave us a cheerful theme to feast on. The wide spread of the food with varied cuisines and live music just made my day. Chat corner serving Pani Puri and various types of chats, Fish Poppers, Spaghetti, Biryani, Tikkas, Naan, Roti, Chicken curry and a long list of sumptuousness makes me go again. 
Frills: So on that specific day, there was a photographer who clicked everyone with the superheros and gave us a print of the same, which was such a delight.

Thanks for making the experience special.

P.S.: It was all worth",5,"52 Reviews , 3376 Followers",4/2/2019 14:02,13,
Feast - Sheraton Hyderabad Hotel,Syeda @food__vampire,"The name itself is very famous through out and had a chance to visit this place and then belived why is it so famous through out.
.
.
The ambience is just awesome with beautiful mild lighting and all peace around with decent people coming over and a great staff with amazing time to time service and to to forget the pleaseant music running in the background.
.
.
Really enjoyed my time during the visit and would love to visit it soon again.
.
.
Must must visit this hotel.
.
.
RATINGS
Place-5/5
Ambience-5/5
Service-5/5
Food-4.5/5
Overallrating -☆☆☆☆☆",5,"23 Reviews , 26 Followers",3/27/2019 22:23,1,
Feast - Sheraton Hyderabad Hotel,Manojkumar D Nambisan,"Buffet is good, though expensive. Great service and well spread food range. Decent ambience. Especially try out their Sunday brunch or special buffets during festival time.",4,"29 Reviews , 11 Followers",3/16/2019 12:17,0,
Feast - Sheraton Hyderabad Hotel,Amit,"Standing true to its 5-star ambience, the food gels to fit in the category of a premium outing. Salads, Chat, North Indian, Continental to South Indian, this place tends to fulfil the cravings of each category. There was a huge section of Salads out of which Bacon salad being the pick of the lot. The Starters spread included Hummus varieties with dry and soft pita breads, Farm fresh cheese varieties which were a delight, Live chat and Pasta counters, Tawa fish, Fish fry, Chicken starters, Pork pepperoni, Sauted mushrooms, Chicken Salami, Bacon, Sausages etc.  

The Main course had Chicken Haleem which was okaish, Chicken Biryani which was good, Mutton curry where I felt the pieces were undercooked, Mirchi ka salan, Veg Biryani and some veg curries. The main course could have been better in terms of the standard of taste set by the starters. Prawns and Crab items were missing which could have furthermore enhanced the visit experience. The desserts section was an absolute joy for sweeth tooth. They had a humungous spread of sweets which included Chocolate burfi sandwich, mud pudding, motichoor laddu, Barfis, Moong dal Halwa, Phirni, Fruit kheer etc. The pastries section had a lot to offer in terms of various flavours and varieties. Overall a decent outing experience!",4,"166 Reviews , 912 Followers",3/14/2019 12:42,5,
Feast - Sheraton Hyderabad Hotel,Surya Tej Kanuri,"*one of the best brunches.. People with a sweet tooth.. You should go👌👍*

Food - 6/7
Ambiance - 5/7
Service - 3/7

Feast is one of the biggest spreads I saw in a buffet.. It has continental, Chinese and Indian cuisine and chats with a huge variety.. The ambiance is decent.. But Probably it could be improved..

I would like first start with the desserts section.. There are many.. The very sight can be deadly to a diabetic patient.. Perfect place for ppl with a sweet tooth.. A big selection of pastries, cheese cakes along with many Indian specialties..

There was chicken, fish and mutton for starters.. I couldn't see prawns.. Chicken popcorn was so crispy on the outside and the chicken soft in the inside.. The best starter of all.. The other starters are okeyish..

In the main course, chciekn biryani and Lal Maas were the best.. Overall a very good experience.. 👍

The on- table service was slow.. The only thing I hope could have been a lot better..",4,"201 Reviews , 390 Followers",3/12/2019 7:25,18,
Feast - Sheraton Hyderabad Hotel,Raashi Jain,I tried the buffet dinner. Very good spread both for vegetarians and non vegetarians . The food was good and the staff were friendly too. Will definitely be going there again. Do check out my blog page for more reviews @s.t.a.s.h on instagram.,4,"5 Reviews , 16 Followers",3/11/2019 23:41,2,
Feast - Sheraton Hyderabad Hotel,Raj Tilak,"Amazing ambience
A lot of variety
Superb taste
Very good service delivered by Dharma
I suggest everyone to come and enjot this beautiful place.",5,"1 Review , 8 Followers",3/10/2019 21:35,0,
Feast - Sheraton Hyderabad Hotel,NIdhi Samdani,My experience was not great on women's day. Too crowded maybe because of the discount and it was totally mismanaged. The desserts were of the same kind and all in pink.... Though the staff was courteous and made us sit in no time.,3,"1 Review , 1 Follower",3/10/2019 12:52,0,
Feast - Sheraton Hyderabad Hotel,Harsh J,I had a great time here. Real good spread of food. Mahesh looked after us very well. Overall really nice experience. The desserts are excellent and curd items were very tasty,5,"2 Reviews , 1 Follower",3/9/2019 21:28,0,
Feast - Sheraton Hyderabad Hotel,Srikar Pakala,Came here for the dinner buffet on a Saturday evening. The spread was lavish and the food was delicious! Our host Mahesh was very friendly and helpful too! Would definitely recommend!,5,"2 Reviews , 3 Followers",3/9/2019 21:05,0,
Feast - Sheraton Hyderabad Hotel,Supreethbilla,"Been here with family over a dinner on Thursday. After a movie was thinking about having a luxury dinner and feast hit my head. The ambience was good. The hospitality was great. Need to mention about Chef.Chimnayi and also steward Dharma for there living hospitality.

Coming to food, the spread was big with and uncountable with cuisines like Lebanese, chinese, Indian and continental. After so long I actually loved the taste of almost all items. Be it salads, starters, main course and finally my most favorite desserts.

They served 18+4 varieties of cold & hot desserts which are prepared by their own and not outsourced.
Special mention chocolate pudding, gud ki lapsi, wood fried pizza, salads, baked yogurt & pure ghee be an ladoo.
Food 5/5
Ambience 3/5
Rating 4/5
Hospitality 4/5",4,1 Review,3/7/2019 16:27,7,
Feast - Sheraton Hyderabad Hotel,Khaane_mey_kya_hey By Rony Samuel,"Been here for a corporate event and absolutely loved the hospitality and the ambience of the hotel, the lavish buffet was on point with amazing spread! love their live counters and kebabs , the kheema uttapam was something unique to try.

They have an amazing team to fix your mocktails and cocktails!

The staff was friendly and paid attention to the guest till the end.",4,"57 Reviews , 52 Followers",3/5/2019 16:26,0,
Feast - Sheraton Hyderabad Hotel,Ravi Alapati,Nice place for Breakfast.... Lots of variety.. From cuisines. Waiters and staff are very helpful.. Special thanks to Mahesh helping us with the kids..,5,"3 Reviews , 17 Followers",3/4/2019 9:27,0,
Feast - Sheraton Hyderabad Hotel,Sreekar,"Enjoyed the super heroes theme. Great hospitality by Dharma!! Best place to hang out with friends!!!
Will visit this place again for sure...",5,1 Review,3/3/2019 15:02,0,
Feast - Sheraton Hyderabad Hotel,Manini Nayak,"Right from people to ambince,food everything was excellent. And specially the lamb biriyani served by chef Abhay is worth trying. It was a nice experience to have a family dinner. Looking forward to come back again. Thank you so much team sheraton for your great hospitality",5,"6 Reviews , 1 Follower",3/2/2019 22:02,0,
Feast - Sheraton Hyderabad Hotel,Harjeev Sabherwal,"Tried the buffet here and was happy with the spread available. The spread was a mix of India, Chinese and Continental. Overall the food was good. The desert options available were kinda limited but the stuff was good so no complaints.",4,"21 Reviews , 10 Followers",3/2/2019 13:43,0,
Feast - Sheraton Hyderabad Hotel,Shravya Gunipudi,"Firstly, the ambience is amazing. I like the way the whole decor is simple, yet endearing. While the building is not impressive from the outside, the set up is pretty good.

Coming to the food, the spread was lavish. Especially the desserts were amazing and are definitely the highlight of the buffet. However, we ordered mocktails which were a disappointment. Further, there were hardly any starters which was definitely something that we did not expect.

The staff was cordial and quite helpful when we needed cutlery or help with a dish.

Overall, definitely worth a visit.",4,"193 Reviews , 1273 Followers",3/1/2019 19:07,6,
Feast - Sheraton Hyderabad Hotel,Jaya Prakash,"It was pleasant surprise brunch interms of food, huge variety desserts, biggest in Hyderabad interms of desserts and chef also so cooperative in need egg which where not there but he made it for us kudos",4,"39 Reviews , 209 Followers",2/28/2019 23:44,20,
Feast - Sheraton Hyderabad Hotel,Tornadointhekitchen,"A reputable dinner at Sheraton hotel. Known for their buffet and Cheeese pesto naan. If you havent heard of it yet then you must visit them !!!

A lovely PR and gluttonous chef turn every visit into a blissful meal.

Detailed review for the lunch buffet coming up soon",4,"113 Reviews , 478 Followers",2/28/2019 19:24,0,
Feast - Sheraton Hyderabad Hotel,Bhaskar Rao,Have been here for the last two days and one more to go.Honestly is feeling of home away from home.The personalised attention and warmth extended by the staff is amazing.Like to specifically mention Subhajit Maity in the “Feast” who has been a treat to be with..lovely human and professional.,5,"2 Reviews , 370 Followers",2/26/2019 10:11,0,
