Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Flechazo,Vivek Vuppala,We were 4 people who visited this place on Thursday night....Ambience and service are good .Food is disappointed.Not worth for money we pay.,2,"2 Reviews , 40 Followers",5/24/2019 21:17,0,
Flechazo,Jalaj Goyal,"Here is one of the best buffet places for team lunch in Gachibowli area. This colourful place is so hospitable that you will just go muahhhh...

Ambience is quite good and has optimum free space. This place seems to be set up for team lunches only 😂. The menu present is splendid and too many items are there that you won't be able to taste each and every item(I don't even remember all the names!!!!

Starters are mouth watering (as I write), may it be veg or non veg. To begin, start with chaat counter which has a conveyor belt with plates arranged on it, this section includes sushi, golgappa, aamras shot, etc. This is self served so stop being lazy and go satiate your mouth watering taste buds!!

Delicious Starters are served on your table. The one of the attraction is the pizza oven!! You can be your own chef and try making a pizza of your choice and yeah you also get a Master Chef Certificate 😛( Hoping you may use it in your resume). Main course also has some delicacies worth trying. I am not naming any because I was having foodgasm that I hardly cared to read names.

Desserts ahhahahhhaa!!!
You have good number of options of pastries and ice creams and indian sweets. I had gulaab jamun, halwa, pastries and Pan Ice cream(which is highly praised here)!!!

The ice creams are instantly prepared using liquid nitrogen and is a treat to watch. You will also find hot jalebis and etc etc etc.

Only drawback is that during high incoming rush, staff is in a hurry and you can't have much leisure time!!!

I would suggest go and give it a try with your team or gang... I believe that you won't regret trying this fabulous place!!!

Section wise Ratings:

Ambience: 3.5/5
Staff: 3.5/5
Food: 4/5
Buffet items: 4.5/5
Overall: 4/5",4,"16 Reviews , 71 Followers",5/24/2019 15:09,3,
Flechazo,Teju Winni,Starters were very tastiest. Good place to choose and the ambience is amazing. I especially loved it. Sourav ismial had served us with pleasure.,5,1 Review,5/23/2019 14:59,0,
Flechazo,Karthik Chanda,"Best Restaurant with great food, Satyajit & Team was fabulous....Must visit place...Starters are good...Need to improve in desserts especially icecreams.",5,1 Review,5/22/2019 23:18,0,
Flechazo,Samujjwal Baruah,"Would have rated 6, +1 for the music, had it not played a Justin Bieber song! Awesome service, great food!
An waiter refused to take any tip!!!",5,"2 Reviews , 2 Followers",5/22/2019 16:01,0,
Flechazo,Simhadri Srikanth Gupta,"Had a great time. Great service. Polite and professional. Starters are too good. Excellent main course.. Overall wonderful experience..
Satyajeet, Alok, Jayanth.. Team are excellent",5,1 Review,5/21/2019 21:42,0,
Flechazo,Krishna Sahi,Awesome food. Mr Sabir ambience is really nice. Everything about flechazo forces to visit this place again. Kudos. This is my fourth visit. Always it is improving.,5,1 Review,5/21/2019 16:06,0,
Flechazo,Malathi Yarra,"Sabir-Service is extremely good. He is very courteous and fantastic. Nice ambience and super starters.. Awesome food overall.
Recommends this restaurant.. Please try out",5,"1 Review , 10 Followers",5/21/2019 13:58,0,
Flechazo,Satyajit Ray,This place Is very nice food was awasome guys are very good.we are visiting flehazo restaurant that's lovely place.i think this place is very good place.,5,1 Review,5/21/2019 2:48,0,
Flechazo,Sg.durgam,It was my birthday and I had a wonderful first experience. Jayant accompanied us with all the best starters both veg and non veg and made us very comfortable. Me and my wife had a wonderful lunch on my special day. Loved the place and foood is awesome ☺️😍,5,"1 Review , 2 Followers",5/20/2019 14:41,0,
