Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
GD's,Raghunath Veampati,"One of the best innovative burger 🍔 concept.
The first bite when I had it was like how come I missed this kind of taste. Awesome must try cheers. I go with mercury burger 🍔 as I am a cheese 🧀 lover. 👌🏻",5,"3 Reviews , 30 Followers",5/12/2019 3:57,0,
GD's,Naina Bhardwaj,"Must try place if you are very hungry late night ! Amazing burgers . Even their veg burger tastes so good .
Well my favourite late night joint for burgers",4,"32 Reviews , 10 Followers",5/4/2019 22:21,0,
GD's,MD Zubair AD,Great taste but not worth it! There is not place for dinning. Open all night! Fresh! Can come with friends but not dinning as said! Was full of cheese!,3,"2 Reviews , 30 Followers",4/19/2019 0:36,0,
GD's,Parijat Ray,"This place is a roadside burger joint. Their million way burger is a must try. The chicken is grilled freshly in charcoal and is juicy, tender in texture.",4,"146 Reviews , 333 Followers",3/31/2019 23:58,0,
GD's,Aditya Sood,"I have taken 2 stars out only because of the time they took to make the burger. No doubt, the burger was very juicy and tasty but the time they took to make it was far too long.",3,"42 Reviews , 142 Followers",3/31/2019 23:47,1,
GD's,Ashketh Tiwari,"This is possibly the best burger place I’ve eaten at in around in a long long time. Being a Hyderabadi you grow up to your local baker-uncle, then came McDonalds and other brands, which were good, but they didn’t feel quite homely and you couldn’t necessarily see the theatrics of your burger in the making.

GD’s is a place to go to have a gastronomic experience, not just in terms of the taste but also the theatrics.

The polite owner will always be around asking you about the burger and always taking care of anything the bakers want.

If you want to be more than just satisfied with your next burger, I suggest you stop by GD’s.",5,"7 Reviews , 175 Followers",3/22/2019 21:00,0,
GD's,Sushmita Mandal,An absolute pleasure! Right opposite to Dlf building. The guy makes sure to give your burger the exact time and patience needed to cook it to perfection. A delightful experience!,5,"3 Reviews , 1 Follower",3/22/2019 19:26,1,
GD's,ClickEatXploreYo,"#DoYouKnow? A burger is the short name but in fact called as Hamburger and if you lay down all the hamburgers eaten my Americans only in a year, it circles earth 32 times.!

So why Burger topic now? Because of my recent visit to “GD’s” opp DLF that offers quick bites like, sandwiches, hot dog, grilled chicken starters & most importantly their famous mouthful sized burgers.
Galaxy Burger, no wonder a fast selling pick for its grilled buns crammed with two layered cheesy juicy meat that over salivates your palate. Grilling bun might need a little tweak to avoid chewiness or I am that one unlucky chap! Followed by brilliant #CometTail hot dog with freshness in every bite and decent smokey #AtomicWings with a sweet-tarty (BBD sauce) finish (but a little over grilled).
Though many of them choose this place for their speciality Meat burgers they do have good coverage for Egg/Veg’etarians and heard #AntiMatter burger is a worthy try. Overall paid 480INR.

Value for money yet filling one soul comfortably are the key reasons which can potentially bring you again.

#burger #sandwich #hotdog #wings #DLF #whenatgachibowli #wheninhyderbad #Hyderabad #shotoniphone #food #foodie #LoveFoodHateWastage #EatResponsible #Foodenthusiast #foodblogger #foodphotography #hyderabadfoodblogger #annadathasukhibhava #palatepassion

clickeatxploreyo.wordpress.com",4,"275 Reviews , 1957 Followers",3/21/2019 21:39,4,
GD's,Farhad Tarapore,"Ordered from this place since I was on the lookout for a big fat juicy burger. They didn't disappoint. The Galaxy burger that I ordered was huge. The chicken was grilled properly and tasted fine as well. The only thing I didn't like (I'm a fussy eater) was that the chicken wasn't a breast piece or some sort of filet. It had some loose pieces of fat or skin (which I'm not fond of) and that kinda put me off. A pounded chicken breast without all those ""things"" in between holding the flesh, would have been better. Ultimately I took the burger apart and had the bread and chicken separately. Taste was good though. 
Still trying to find a burger that can satisfy me...",3,"86 Reviews , 647 Followers",3/19/2019 18:32,0,
GD's,Sivaramakrishnan E,The best steak burgers in Hyderabad without a doubt.Consistency to the “T”. The taste never alters. Highly recommend all meat lovers to sink their teeth into the juicy steaks,5,2 Reviews,3/17/2019 18:20,0,
GD's,Khaane_mey_kya_hey By Rony Samuel,"Have been hearing a lot about this amazing burger place opposite to DLF, what an amazing join with live grill and freshly made burgers, loved the friendly staff and a uniquely named menu.. ordered Galaxy and milky way burger which were amazing and cooked to perfection, the charcoal grill gives the burger a unique BBQ taste with chunky chicken pieces in it!!

On rush hours the service time can go lengthy, limit parking space the shop shares a juice center which is a plus point to grab some quick fresh juice or soft drink to go with your burger, and is open all night!!

Feels moderately over priced however considering it being surrounded by MNC""s and the taste maybe it's justified, and definitely it's a worth visiting place!",3,"57 Reviews , 52 Followers",3/3/2019 14:39,2,
GD's,Shreyasi Pal,"Love their BBQ chicken and mercury burger . Though service is little slow and eating area is small , if you can manage to take away then this the best burger at its cost.",5,"11 Reviews , 31 Followers",3/2/2019 18:51,0,
GD's,Sanaullah7k,One of the best tasting burgers in Hyderabad. I have tried many burgers in Hyderabad but this place serves the best burger. The charcoal grilled chicken with cheese is very delicious.,5,"4 Reviews , 1 Follower",2/23/2019 1:23,0,
GD's,Almas Khorrami,Tried the Mercury burger 🍔 It is cheesy burger with chicken stuffing. It is a must try for burger lovers. The ambience is pretty cool to visit with friends. There no place to sit and eat. The burgers are too good,4,"2 Reviews , 17 Followers",2/18/2019 16:12,1,
GD's,Sachit Anand,"Big fat juice burgers, the best recommended are “Milky way”, “Galaxy” and “Big Bang”. Even other chicken dishes such as chicken wings and full bird BBQ are nice and tasty. Please go to the venue and order to enjoy 100% flavour and taste.",5,"8 Reviews , 159 Followers",2/17/2019 19:31,0,
GD's,Uday Goud,packing should have done in a box ...,4,2 Reviews,2/12/2019 19:46,0,
GD's,Avinash,Meat in the burger was little uncooked and hard to chew,1,"5 Reviews , 3 Followers",2/10/2019 20:45,0,
GD's,Anudeep Patibandla,I think it justifies its tagline worth the wait.They generally take around 15mins to prepare.prices were bit high.Its a place for a quick bite.,5,"2 Reviews , 2 Followers",2/7/2019 23:20,1,
GD's,Nishanth Reddy,"I’ve been to this place on my friends suggestion. Ordered one single chicken burger I don’t remember the name exactly. The chicken is grilled to perfection. Chicken piece is enormous than burger, infact when you bite the burger its not the burger which goes into your mouth its the chicken which goes into your mouth first. They’ve also stuffed alot of cheese into it. Good taste for a street level burger place but there is definitely scope for an improvement.",3,"199 Reviews , 182 Followers",2/6/2019 20:21,3,
GD's,Vishal Pentakota,Great place to enjoy #americanBurguers. My favorite is cosmic burger. I been recommending this places to all my friends. #goodfood #lovingit #sizzling,5,"2 Reviews , 2 Followers",2/2/2019 23:38,0,
GD's,Jharna Karira,"Ordered chicken milky way burger at 3am and realized McDonald's and burger king are nothing compared to this burger!
Can sleep with happy tummy!",5,"9 Reviews , 6 Followers",1/31/2019 4:15,0,
GD's,Ankita Das,The burger was tasting sour maybe lot of sour sauces were added,4,"4 Reviews , 15 Followers",1/24/2019 17:55,0,
GD's,Sayar Ghosh Roy,"Simply Awesome. Tried Milky Way, Mercury and Cosmic Burgers and the Comet Tail Hotdog. All of them tasted great. The chicken has a deep texture and a nice smoky feel. Do try out this place.",5,"1 Review , 4 Followers",1/24/2019 12:27,0,
