Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Hitech Bawarchi Food Zone,Jon Snow,"Don't order Chicken Biryani Handi, they provide just one chicken piece in handi and the taste was average. Rice was not tasty at all. Will never order again.",2,1 Review,5/22/2019 19:44,0,
Hitech Bawarchi Food Zone,Monica Monica,"Food was not at all cooked,Such a bad biriyani it was. It was burnt. And very bad response from hotel and the delivery boy didn't respond to my calls to send it back.Never get cheated with the name of bawarchi biriyani",1,"1 Review , 1 Follower",5/17/2019 21:27,0,
Hitech Bawarchi Food Zone,Kumar Rathod,quitity was not sufficient good,1,2 Reviews,5/14/2019 18:02,0,
Hitech Bawarchi Food Zone,Lakshay Saroha,very good biryani by Hitech Bawarchi .was given a fast delivery and fresh & hot food was served .if wanna eat biryani always order from hitech bawarchi,5,1 Review,3/31/2019 10:30,0,
Hitech Bawarchi Food Zone,Harish Kandikatla,"I ordered a chicken Biryani in this restaurant and with full excitement i opened the box. I got only biryani in the box But i didn't get chicken piece in the biryani, worst service.",1,"1 Review , 1 Follower",3/8/2019 14:40,0,
Hitech Bawarchi Food Zone,Nisha Mohan,Need little improvement for biriyanis. For eg. Salt was less whereas it should be proper and biriyanis should be tasty..the spices should add taste,3,"1 Review , 1 Follower",2/27/2019 17:59,0,
Hitech Bawarchi Food Zone,Rajesh Varma Indukuri,Worst worst Worst food... I didn't eat upto now like this worst biryani in my life... I don't know how to cook.. But if I cook biryani I will make better than this taste... Ordered in zomato.. If I eat there I will throw and I will nd will discuss with them.. Bludy taste.... Bludi restaurant...,1,"1 Review , 4 Followers",2/26/2019 15:39,0,
Hitech Bawarchi Food Zone,Sai Sandeep,"I ordered egg soft noodles from here, they didn't even included spoon or spork for the item.., how I have to eat noodles and also full of oily",1,"1 Review , 1 Follower",2/25/2019 0:17,0,
Hitech Bawarchi Food Zone,Abhi's Hek Reddy Kolan,quantity is very low,1,"2 Reviews , 4 Followers",2/17/2019 13:15,0,
Hitech Bawarchi Food Zone,Sugun,food quantity is small,3,"1 Review , 1 Follower",2/10/2019 23:02,0,
Hitech Bawarchi Food Zone,Deepak N,Very bad only rice no pieces at all worst don't go for this only one piece tat too bone only waste of money they will give more rice and one bone waste of money v,1,1 Review,2/3/2019 23:20,0,
Hitech Bawarchi Food Zone,Pavan Kumar,Ordered chicken biryani from here and the food delivered is not at all hot... and also you might recieve incomplete orders.... better i wont suggest this restaurant for any foodie right there....,2,"1 Review , 1 Follower",2/1/2019 15:10,0,
Hitech Bawarchi Food Zone,Sai Kiran,1/2 ltr of oil in the curry had to drain it and eat,1,1 Review,1/23/2019 20:26,0,
Hitech Bawarchi Food Zone,Shiva Jeeva,"I had ordered a Veg Biriyani today, 1st time I had a Worst Biriyani, I was Confused either it is a Biriyani or not even a Pulav it is, Sum was not there with the rice, The Gravy was not enough for even 5 bytes..",1,1 Review,1/13/2019 15:58,1,
Hitech Bawarchi Food Zone,Ayesha,Little less quantity,4,"2 Reviews , 1 Follower",1/12/2019 20:32,0,
Hitech Bawarchi Food Zone,Shiva Sagar,"This is the most worst restuarent in hyderabad .. owner doesnt even know ho to do business .. worst fellow .. had very worst experience by ordering food on zomato from this restuarent .. the food was not good and the even dont have common sense to give curd with biryani ..

PLEASE DONT ORDER FOOD FROM THIS RESTUARENT",1,"3 Reviews , 2 Followers",1/11/2019 16:23,0,
Hitech Bawarchi Food Zone,Praneeth Vikram,One restaurant that I have ordered the most of the time when I fee like having biryani at any point of time and can assure you all that taste will be good at any time,4,"2 Reviews , 4 Followers",1/9/2019 19:13,0,
Hitech Bawarchi Food Zone,Rama Krishna,"HI ordered Veg biryani , family pack quantity is good but taste is worst not at all good and no taste ,  i look like colored rice without any flavor. pls not prefer",1,"1 Review , 1 Follower",1/9/2019 14:28,0,
Hitech Bawarchi Food Zone,Lokenath Chakraborty,"Ordered laccha paratha, tandoori roti, and grilled chicken online.
You won't believe, ALL of the rotis and parathas were burnt. Plus they sent Tandoori chicken instead of Grilled. Won't order again from this outlet at least.",1,"2 Reviews , 1 Follower",1/5/2019 9:40,0,
Hitech Bawarchi Food Zone,Yashwanth Kokkanti,Ordered bone less mini biryani for 160. Taste is good but quantity is very less and might be in hurry they have delivered without raita and gravy. I give 3 star rating for food. Worth-able trying once.,3,"5 Reviews , 13 Followers",12/23/2018 14:11,0,
Hitech Bawarchi Food Zone,Ashish Sharma,weaste food,1,2 Reviews,12/22/2018 20:32,0,
Hitech Bawarchi Food Zone,Darshan,I ordered 2 biryani but received only one..this is very bad. I am trying to reaching them on the same and not reachable.please avoiding these things because customer expect the order,1,"2 Reviews , 2 Followers",12/21/2018 22:23,0,
Hitech Bawarchi Food Zone,Shiva Goud,"Food tasted really good. Quality packing and on time delivery.
Only suggestion is to increase the quality of gravy and curd because I ordered twice and the quantity of the gravy and curd was less. Apart from that everything is good.",4,"3 Reviews , 150 Followers",12/14/2018 13:58,0,
Hitech Bawarchi Food Zone,Raj,I don't give any rating...food taste was horrible....try to improve...,1,1 Review,12/14/2018 13:47,0,
