Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Hotel Zara Hi-Fi,Harsha Vardhan,Terrible. Chicken masala curry had only 1 piece which was about one inch square on the bone. Extremely hot...cant taste any major spiced except loaded red chilly. Gave me gas for a good 30 mins.,1,6 Reviews,5/25/2019 18:42,0,
Hotel Zara Hi-Fi,Pinakpani Podder,nicely delivered,5,"1 Review , 51 Followers",5/25/2019 12:20,0,
Hotel Zara Hi-Fi,Sharukh,I didn't get any gravey item sherva.. how can we eat without gravey don't you have sense to send without sherva along without Biryani...,1,"3 Reviews , 1 Follower",5/22/2019 23:57,0,
Hotel Zara Hi-Fi,Bharath96.reddy,"I received hens hair in chicken haleem,,........, Also I ordered chicken 65 biryani but received veg biryani.. What kind of customer service is that....",1,"1 Review , 1 Follower",5/19/2019 20:50,0,
Hotel Zara Hi-Fi,Bishay Bishesh,"Yukkkkkksssssssss!!!!!!!
Yukkkssssssssssss!!!!!!!
I can’t write anything more. The afghani chicken was bad. Only the omlet in it was good. Chicken pieces were horrible.",1,"6 Reviews , 1 Follower",5/5/2019 21:58,0,
Hotel Zara Hi-Fi,SK Sabirr,Chicken 65 not good because small and cooler red more and more . udjjsekjawigsjeisijueusoawjhssslbsksoegjsfak date s have hdaivdbskbduauhsjsjjskakskskskhdvdhsjs,1,1 Review,5/4/2019 21:25,0,
Hotel Zara Hi-Fi,Srujana Boddu,Very bad and untasty food. I doubt if it was even fresh. The chicken looked so unhygienic and old. I Wouldn't recommend this place to anyone.,1,"5 Reviews , 8 Followers",5/3/2019 17:22,0,
Hotel Zara Hi-Fi,Gagan Sethi,"I ordered 1 plate noodles & 1 plate Manchurian, from which Noodles taste was very bad. So I recommend that not order noodles from this restaurant.",2,1 Review,5/2/2019 16:21,0,
Hotel Zara Hi-Fi,Vikash Kumar Verma,I ordered Afghani chicken from here but I got Curry chicken with mix of omlate.i really disappointed from zomato.why they have this type of hotel in ordered list.i request zomato to please block this restaurant.,1,3 Reviews,5/1/2019 14:42,0,
Hotel Zara Hi-Fi,Sagnik Sengupta,"If there was zero stars then i could have given that, never order food from here, the chicken which they have served was completely stale, the rotis was cold. Very much poor experience !!",1,2 Reviews,4/21/2019 13:58,0,
Hotel Zara Hi-Fi,Md Naquiuddin Ansari,"Taste is average ,quality is good ,quantity can be increased a bit as per price but overall its okay for daily meals,butter chicken and chicken manchurian is what i prefer of this shop.",4,"1 Review , 34 Followers",4/18/2019 7:48,0,
Hotel Zara Hi-Fi,Mogal Mahin,There were offers running around and we ordered chilli chicken and chicken 65 from this place. Even though having average reviews thinking that the food might be ok but then the food was average and it was not fresh I guess and so it affected our health.,1,6 Reviews,4/17/2019 0:30,0,
Hotel Zara Hi-Fi,KUMAR CHOUHAN,It’s a good restaurant and immediately deliver it and self pick up is within five minutes it’s ready to Zara hi-fi restaurant it’s a good restaurant and nice delivery good quality and maintain is this restaurant is very clean and fastest delivery to accept and et cetera et cetera,5,"1 Review , 2 Followers",4/13/2019 12:55,0,
Hotel Zara Hi-Fi,Subhum Kumar,Good quality of food and hygienic. Really loved the food. The service of the hotel is great and offers on time delivery. Loved specially the nonveg items.,5,1 Review,4/11/2019 19:25,0,
Hotel Zara Hi-Fi,Shailesh Jorvekar,"Worst food i ever had
I have ordered chicken chilly chicken 65, both are tasteless, i think they have cooked it in afternoon & delivering in night",1,"1 Review , 1 Follower",4/10/2019 22:42,0,
