Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Hunger Maggi Point,Djy,It is good but i want some spicy if it is spicy it tooooo goood and as per cost qty also good its yummy.please add some vegitables i didnt get any vegitable in my order,5,"2 Reviews , 2 Followers",5/18/2019 18:53,0,
Hunger Maggi Point,Deepali,Ordered Paneer maggi and it tasted really really good. It was hot and juicy. The quantity of maggi was good but there were only 4-5 tiny pieces of paneer.,4,"2 Reviews , 1 Follower",5/15/2019 17:43,0,
Hunger Maggi Point,Aditi Bhaiji,"I ordered an veg corn Maggie which was okay to eat . But the fried maggie's are much more tempting and more tasty .
The only drawback on visiting the shop is that they only accept the cash .",3,6 Reviews,4/30/2019 13:40,1,
Hunger Maggi Point,Pavan,Delivered before the time specifed,5,"4 Reviews , 1 Follower",4/24/2019 2:36,0,
Hunger Maggi Point,Pallavi Mitra,"The Maggie masala is put alot in the Maggie, could you please make good Maggie rather than making it very spicy ? The masala makes it too spicy and tastes raw. Please improve on the taste. Thank you for the speedy delivery.",1,"12 Reviews , 2 Followers",4/23/2019 19:34,1,
Hunger Maggi Point,Buddiga Sindhuri,"Its a small stall beside synergy park campus odc4.
They have Maggie and also fried Maggie too.i ate vegetable fried maggie which is very good to taste and it is around 40rs and also you can see the menu card given and non Vegas maggie is also good here.They have limited editions of Maggie but all of them are good.

Food 5/5",4,"60 Reviews , 2006 Followers",4/18/2019 19:49,1,
Hunger Maggi Point,Prabhat Ray,I ordered a shawarma and I received a rotten shawarma. I don't understand why people do this. It's food. Not any product. If you want to increase the price. Do it. But how can you serve this type of food to anyone. This is completely rotten and even smells very bad. Would never order from you again.,1,"20 Reviews , 8 Followers",4/15/2019 3:15,0,
Hunger Maggi Point,Akshara Veera,"Fried Maggie's are better compared with the normal one, Normal Maggie's are prepared like soup with more water also sometimes they let the Maggie to burn and add water in it ,that would be horrible. Good to go as a midnight snack.",3,"9 Reviews , 1 Follower",4/12/2019 17:52,0,
Hunger Maggi Point,Sudha.sparkles,It tasted worst. There were no vegetables in vegetable maggi except cabbage and paid extra for cheese which was stinking. Will not recommend nor order again. Waste of money,2,"6 Reviews , 3 Followers",4/12/2019 16:36,0,
Hunger Maggi Point,Prasun Gokhlani,Go to place for my midnight snacks. Have tried almost all the different varieties of Maggi served and the place hasnt dissapointed yet. Chicken fried Maggi being my favourite.,4,"25 Reviews , 5 Followers",4/6/2019 18:16,0,
Hunger Maggi Point,Mahathi Natva,"Ordered a double Chicken and double egg Maggi and an egg Maggi. It was delivered to me while it was still hot and steamy that way you can be sure that it isn't sticky or soggy. It also tasted really good and was cooked properly. They had good amount of egg and chicken in both the dishes. The quantity was really good and it is worth the money.
Taste : 4/5.",4,"22 Reviews , 92 Followers",4/4/2019 20:39,2,
Hunger Maggi Point,SamSudha Mastan,awesome food,5,"8 Reviews , 2 Followers",3/13/2019 22:29,0,
Hunger Maggi Point,Shalini Mukherjee,Ordered Double Egg Double Chicken maggi with extra cheese. It came hot in a plastic bowl with a fork and tissue paper. It tasted pretty good and the quantity was also sufficient.,4,"19 Reviews , 41 Followers",3/9/2019 19:00,1,
Hunger Maggi Point,Khushboo Pandey,"Ordered cheese corn maggi and veg cheese maggi for 100 rupees and review is based on that.
Quality: 5/5: The maggi was neither too soupy nor thick it was perfect with good taste
Quantity 4/5: It could have been more as per price
Delivery : 5/5
Packaging : 5/5",5,"59 Reviews , 42 Followers",3/5/2019 0:33,1,
Hunger Maggi Point,Umed Mohammed,"The price is reasonable and the quantity is okay but the taste of fried Maggie was good.

Request them not to add to cabbage in more quantity which will sometimes ruin all the taste but overall taste was good.

I said rate this restaurant 7/10.

This restaurant is the only hunger saviour during mid night.",4,"10 Reviews , 13 Followers",2/26/2019 3:13,0,
Hunger Maggi Point,Tharun Kumar,good boy,5,"4 Reviews , 3 Followers",2/25/2019 21:49,0,
Hunger Maggi Point,Vishnu Vardhan Nerella,Good place for late night ordering ...but sometimes it comes like complete masala and taste also disappointed... But overall dirrent Maggie's in this place .. ....,4,"38 Reviews , 28 Followers",2/21/2019 0:44,0,
Hunger Maggi Point,Gauri Srivastava,"Really bad food. Filled with chilli.

I you hate someone give it to them. They will surely suffer the next day.

They fucked up Maggie. I don't know what kind of cook they have.

Unprofessional, really bad",1,"2 Reviews , 1 Follower",2/17/2019 23:05,0,
Hunger Maggi Point,Indradipta Sardar,Perfect for tackling hunger. Several varieties of maggi are available. Good in taste and pocket friendly. Not a fan of spicy food so wish a little less spice is given in them.,4,"32 Reviews , 319 Followers",2/11/2019 17:08,0,
Hunger Maggi Point,Nillu,First time i ate non veg Maggie from this place. Test was good i prefer this place because its near to my office and its reasonable also .. good place for khatty,4,"17 Reviews , 9 Followers",2/11/2019 0:15,0,
Hunger Maggi Point,Charan Reddy,"Famous place just before the DLF building in gachibowli,they have a wide variety of Maggi and I would always pick their authentic fried Maggi better to have it at the place rather than ordering online, quantity gets reduces when ordered online than you eat at Maggi point",3,"64 Reviews , 171 Followers",2/7/2019 17:23,0,
Hunger Maggi Point,Amatullah (Lifeofafoody),"It's a very small food joint like a pan shop and very crowded since there are many other food joints in the same lane.
It's nothing exceptional but if you really love Maggi then you can give it a try.
We tried fried chicken maggi but are doubtful of it being halal 😐
If anyone knows about it, please let me know.",3,"40 Reviews , 33 Followers",2/2/2019 13:59,1,
Hunger Maggi Point,Anupam Agarwal,"Its a small joint located near the DLF IT Park. Well who doesnt love Maggi and thats what draws you towards the outlet. You can either visit the place or even place order online. I have tried both methods with varying experience. 
I visited the outlet and Maggi i tasted was much better than when i ordered for home delivery. So one thing probably with Maggi is that you will relish it most of it is prepared and consumed hot without letting it dry. 

Double Egg Chicken Maggi - not as i would have expected it to be 
Double Masala chicken Maggi - definitely worth a try 
Chicken fried Maggi is my personal favorite 

Overall a nice small joint to satisfy your maggi cravings, would suggest order online if you live closeby. 

Overall 3 
Food 3 
Value for Money 4",3,"124 Reviews , 875 Followers",1/31/2019 22:09,0,
Hunger Maggi Point,Ana Kochila,Too dry and very less stuffing,2,"1 Review , 2 Followers",1/28/2019 0:53,0,
Hunger Maggi Point,Gayatri Tandon,"I've called for their veg as well as chicken fried Maggie a hundred of times just because it is so delicious and has a different taste from all the other Maggie places around. However, 2 days back when I ordered the food, it tasted the same but it had a peculiar smell which has never been there. I took two bites and just left it, those bites created a havoc for me the entire night. It left me with a very bad stomach pain I've never experienced before. Honestly I didn't even expect that it would create such a mess. People always say, avoid street side food which are close to vehicles and all, but this place never disappointed me except for this particular order. So I guess never risking my stomach again. Going to miss that Maggie so much 😷",2,"66 Reviews , 84 Followers",1/26/2019 21:43,0,
Hunger Maggi Point,Sanjeev Kiran,"I’m a frequent customer here! Just wanted to share this while I ordered A chicken Maggie today, instead of chicken I received marinated fried maida balls(majority of it) which looked like Chicken!",2,"5 Reviews , 3 Followers",1/22/2019 22:46,0,
Hunger Maggi Point,Ramyasree A,Too spicy,3,"4 Reviews , 21 Followers",1/22/2019 17:50,0,
Hunger Maggi Point,Udita,"I used to really love this place and food!! The problem is with how the zomato deliveryman assigned to deliver my food, didn't deliver my food. My order was paid online and he took my order for himself. He turned off his phone and didn't answer!. Even zomato didn't update me about the follow-up. I never got my food.Just the money was refunded, that's all! But is this what you get when you really need to eat and wait like hell,but get nothing!!This is really frustrating!! I don't know why zomato is ruining it's own reputation!.",1,"6 Reviews , 1 Follower",1/18/2019 17:42,0,
Hunger Maggi Point,Kumar Biswajit Swain,I have ordered Double Egg and Double Chicken Maggie. I think this is a single egg with chicken less Meggie.I didn't feel the teast of chicken.Very less egg and chicken quantity they packed.,1,"2 Reviews , 1 Follower",1/7/2019 20:15,1,
Hunger Maggi Point,Uday Teja,not warm,2,"2 Reviews , 1 Follower",1/7/2019 3:36,0,
Hunger Maggi Point,Tagore Reddy,"Maggi tastes really good 4/5😘 must try item
But never order shawarma from this place it tastes really bad🤮🤢 I’ve ordered chicken shawarma but there are some unusual veggies in there. Don’t even try it🤮",3,1 Review,1/6/2019 20:59,0,
Hunger Maggi Point,Abhi,"They are preparing good Maggi and their test of Maggi is also good but their prices are costly then other Maggi points, also the quality is good",3,5 Reviews,1/6/2019 0:38,1,
Hunger Maggi Point,Sabyasachi De,It's been a great experience each and every time I ordered from this restaurant.I have order double egg double chicken cheese fried maggi and chicken shawarma regular(rumali) several times and it's been truly amazing.keep up the level and good work.All the best hunger maggi point 🤘,5,2 Reviews,1/5/2019 20:48,0,
Hunger Maggi Point,Shreyoshi Mandal,"A roadside eatery to satiate sudden cravings for Maggi after office hours. Can't vouch for the hygiene of the place but it serves some really good variants of Maggi.
Fried Maggi is highly recommend especially with extra cheese and butter add-ons. 😋",4,"155 Reviews , 1802 Followers",1/4/2019 22:56,1,
Hunger Maggi Point,Sardar Prabhujeeth Singh,"Very nice and tasty Maggi. You guys are awesome but still, I feel like the price is little expensive else all good. I would give you 5 stars for your good job.",5,"12 Reviews , 111 Followers",1/1/2019 2:03,0,
Hunger Maggi Point,Sachin Garg,on time,5,"1 Review , 1 Follower",12/27/2018 3:22,0,
