Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Karachi Bakery,Anupam Acharya,"Well you know what they are famous for - Karachi Biscuits. But there is a whole range of stuff to eat at their outlet. There is mini pizzas, fries, Puffs (4/5), Paninis (4/5) and sandwiches. Ofcourse there is a whole range of biscuits, dry fruits and cakes to chose from as well. You wont come out without buying anything. Trust me on this. Have fun at Karachi Bakery. Cheers!",5,"207 Reviews , 400 Followers",5/17/2019 12:25,0,
Karachi Bakery,Samita Mandal,"I visited their Gachibowli outlet,ambience was really nice.I tried different kinds of pastry's and fast foods, in one word pastry's are AWESOME 👌👌.. Pastry's are big enough and it's difficult to finish by single person.......Foods are also nice.. quantity & quality of foods both are good👍👍Love to visit again😊",5,"12 Reviews , 1 Follower",5/1/2019 17:13,9,
Karachi Bakery,Bhumika,We are new to Hyderabad and ordered a Chocolate cake for wedding anniversary. It was really delicious. Got home delivered fast. Go for the chocolate cake from there anytime!,4,"65 Reviews , 12 Followers",4/30/2019 12:42,1,
Karachi Bakery,Viven Narang,Nice place to eat and enjoy within budget. Biscuits are famous and various imported chocolates. Well behaved staff and management. They should start their own website to deliver food.,5,"2 Reviews , 1 Follower",4/6/2019 16:49,0,
Karachi Bakery,Gourmet_stan(Soumya Sagarika Nayak),"Totally loved the cookies. Amazing cookies with affordable price. Tried Osmania,keshar pista, fruits cookies and many varieties of candies. Loved them all",5,"163 Reviews , 1204 Followers",3/28/2019 10:33,3,
Karachi Bakery,Abhigna Palamoor,"Really good for pasteries, I really loved them.. I can still enjoy the flavour ❣! The place was also comfortable when went with gangs for having a little time!",5,"1 Review , 2 Followers",3/26/2019 18:22,0,
Karachi Bakery,Diplekha Sarkar,O_M_G!!! On my hyderabad vacay i happened to be this famous bakery..fallen love with hybd for this bakery...hd vlvte cake n cheese cake...each n evry cake just stole my heart....big love for me🤗🤗🤗😋😋🍰🍰🍰🍰😋,5,"28 Reviews , 52 Followers",3/17/2019 19:58,1,
Karachi Bakery,Ramesh Kalavala,Been a fan of karachi bakery since my childhood. The best place for snacks I.e biscuits sandwich pastas chocolates. Recently I've been to the gachibowli outlet and tried out their cheese egg club sandwich and some muffins which where absolutely spot on as usual. Good place and wl definitely recommend.,4,"33 Reviews , 887 Followers",3/4/2019 16:48,0,
Karachi Bakery,Indradipta Sardar,"Karachi bakery has various items from cakes to biscuits, snacks and more. There are several varieties of biscuits available which include the famous Osmania biscuits. Cakes and pastries are also very good in taste and quality.",4,"32 Reviews , 319 Followers",3/1/2019 17:26,0,
Karachi Bakery,Aishwarya Gupta,Karachi bakery is my all time favourite. It is like a drop-in place for quick snacks and those sugar/chocolate cravings. Biscuits here are also famous. I prefer coconut biscuits and chocolate ones. I'm too busy munching to click pictures. Might upload if I find old pics. Must visit once a week 😎,5,"27 Reviews , 81 Followers",2/23/2019 4:08,2,
