Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Karachi Cafe,Sidharth Mittal,"Pizza didn't taste anything like a pizza. Stale broccoli, don't know what kind of sauce they used for it. Atleast it was hot and well cooked. Won't ever order a pizza again from here.",3,"62 Reviews , 119 Followers",5/23/2019 3:21,0,
Karachi Cafe,Shivangi Singh,I have tried Irani Chai and Pasta Sandwich in Karchi cafe and the taste and not that great. I feel this cafe is really hyped and the taste didn't go According to my expectations,3,"17 Reviews , 68 Followers",5/21/2019 18:31,0,
Karachi Cafe,Vignesh Rk,"This place has a really aesthetic ambiance starting from the vintage design to the 60-70s music that plays in the background.
We ordered the famous Irani chai with a bunch of onion samosa, fries and a pasta sandwich.

This place serves one of the best Irani Chai that i have had in hyderabad. The onion samosa takes me back to my childhood days when we used to buy them at small shops for a rupee or so. They tasted amazing here. I wouldn't recommend getting the chai ir samosa delivered at all. Kills the taste completely. These needs to be had hot and getting it delivered will definitely disappoint.

Talking about the fries, i wouldn't say they were amazing but they sure weren't bad. We did not like the Pasta sandwich. This item wouldn't be something that i would recommend.

This place would remain one of my favorite spots to hangout at.

(Could be a little cleaner though)",4,"13 Reviews , 67 Followers",5/11/2019 12:02,4,
Karachi Cafe,Akash Pingley,"One of the worst services I would have ever come across. There were two incidents at the same cafe and the feedback given to them was not even reviewed.
The first time, I ordered an Irani Chai and it took them 1hour to serve and it was one first chais ever consumed. It was served in a broken glass. Very disappointed.

The second time, my female friend wanted to use the washroom but it was extremely dirty and smelling.


It’s sad to see such disappointment from a brand like Karachi.",2,"22 Reviews , 90 Followers",5/3/2019 10:39,0,
Karachi Cafe,Andleeb Zaidi,"Want good back grounds for a retro themed photoshoot and while you’re at it , munch on some delicious food? Karachi Cafe , Gachibowli is THE place for you!
Food:
•Peri peri chicken- This dish includes chicken breast topped with peri peri sauce ,is served with mashed potatoes ,Garlic bread and sautéed vegetables.
The chicken was properly marinated and cooked to perfection with the tenderness still intact, it was already sliced to bite sized pieces.
•Chicken pesto sandwich- The sandwiches have a filling of chicken marinated in pesto sauce along with cucumbers and tomatoes; served with potato wedges and tomato ketchup. It has very light taste and perfect meal for two on Hot summer day.
•Bun Maska- Literally the best BUNS you could get your hands on! Filled with fresh cream, melted butter and a layer of white sugar, it’s literally addictive!

Beverages:
•Cold coffee- The beverage wasn’t cold or strong enough to be called as cold coffee in the first place. Would not recommend this drink.
•Irani chai- generally Irani chai is suppose to be milky and sweet but this wasn’t very sugary. It had a mild yet tempting taste . Would definitely recommend.

Ambience: Every wall is decorated with vintage posters, articles and artwork, the front panel of the cafe is made of glass which gives a beautiful glowing effect to the space and the green plants add to its beauty. Perfect place for a formal meeting or a casual hangout with friends or family.",4,"1 Review , 4 Followers",4/29/2019 23:16,5,
Karachi Cafe,Isha Chakraborty,"Staffs are Very polite, friendly and understand customer's problem like I was unable to eat continental in the plate that they have served but they noticed and served extra plate before I ask them for.
Ambiance of cafe is very nice, full of old stuff, photographs and plants as well.
U can also put the plant on your table.
Food is good and quantity is more than enough.

This place became one of my fav. Very frequently I started visiting this place.
I think you people should give a try, will be in love with the plants , stuff, food, ambiance.",5,1 Review,4/27/2019 15:06,2,
Karachi Cafe,Tejaswini Mandava,"Featuring an interesting place on the busy streets of Gachibowli.
Karachi Cafe
Location: Near chocolate room,old Bombay highway,Gachibowli
Been here for an hour and my observations went like the below.
Food:
Food tastes classic karachi types and the prices are high.
Had a Bombay Roasted sandwich and Dum Ki chai.
Bombay Roasted sandwich
Price:INR 150
TASTE:4.5/5
Dum ki chai
Price: INR 55
Taste:4.5/5
The sandwich gave me a classic Bombay vadapav taste and was baked and roasted well.
The dum ki chai was to the next level of Irani Chai and ultimately said to be well
Ambience:
Ambience is a classic karachi ambience where all the walls are filled with posters of 19th centuary movies and the classic advertisements of beverages.

Overall rating :4/5
Price:3/5
Taste:4.5/5
Ambience:4/5",4,"20 Reviews , 32 Followers",4/21/2019 17:43,5,
Karachi Cafe,Priyanka Lenka,The food was okay. The ambience was good but the waiter's behavior was not good. A zomato guy came to receive an order he asked for a glass of water and they denied him and told him to wait outside.,2,"3 Reviews , 1 Follower",4/21/2019 15:08,0,
Karachi Cafe,Shalini Mukherjee,"Been to this place a few months back. I must say, it has a very aesthetically pleasing decor. Both indoor and outdoor seating arrangement is available. It is also pretty easy to locate.

The items we ordered were Barbeque Mushroom Sandwich, Spaghetti in Alfredo sauce with Vegetables, Apple Pie with Vanilla Ice cream, Irani Chai and Filter Kapi. Apart from the apple pie, all the items were really tasty. The pie's crust was a bit too thick. Rest, everything was worth every single penny. I would love to visit this place again.

Quantity: 4.5/5

Value for money: 4.5/5

I also happened to order their Exotic Vegetable Pizza through Zomato. I found the price quite reasonable. The best part was the sauce with a desi twist.

Karachi Café, with a variety of food and beverage items and an amazing ambience, is a really cool place to hangout.",4,"19 Reviews , 41 Followers",4/17/2019 1:46,9,
Karachi Cafe,The Food O’Clock,Very bad service. I had to askfor a glass of water 5 times. One waiter passes the message to another and the other one doesn’t care!!!! Horrible service. I m never going back there.,1,"25 Reviews , 13 Followers",4/1/2019 12:04,0,
