Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Khaan Saab,Mohan Krishna Somasani,Ambience was good and Ofcourse food too :) we ordered some spicy chicken which was a bit spicy 🌶 but tastes good. Also ghost biryani which is ok.,4,"10 Reviews , 4 Followers",5/17/2019 19:33,1,
Khaan Saab,Tyrion Lannister,"Date of Visit: 17 May 2019

Ambience: 3/5
Service: 4.5/5
Quality/Taste: 3.5/5

Items ordered: Rashmi kabab,Paya Soup,Chicken biryani,Mutton biryani

Biryani is okay, soup is nice.

Overall good for one time visit.",4,"26 Reviews , 6 Followers",5/17/2019 15:41,0,
Khaan Saab,Mayank,"Had the worst service of my life. Had to wait for more than 2 hours for the main course. It was later told that there was some problem with the kitchen. They later served food when we were standing outside and waiting for the bill. This could be a one off problem, but I expected better communication from the staff, so that we could have made alternate plans instead of waiting endlessly for 2 hours when they kept telling us that food will come in the next 5-10mins.",1,3 Reviews,5/17/2019 15:16,0,
Khaan Saab,Susmitha Penisetti,"I have been to khaan Saab in Vijayawada earlier and loved the food and ambience. Hence, chose to go to this place as I wanted to eat some naan and paneer butter masala.the ambience is good and the food is just amazing. From starters to main course, food was just yum. They have got an interesting nawabi sort of menu. Prices are lightly high and that's fine for me because the taste is worth the money.

Food - 4.5
Ambience - 4
Service - 4
Menu and pricing - 3.5",4,"20 Reviews , 23 Followers",5/12/2019 0:01,0,
Khaan Saab,Agastyaraju Koushik,"I have been to khaan saab couple of days before before i went there i have gone through all the reviews in zomato and i was amazed with those reviews(paid reviews). The worse experience i had at khaan saab.

Cons: worse hospitality
Non friendly staff
Worse food

Even i asked for mint chutney they brought some junk from the storage and made some garbage chutney. I have paid 2000 for 3 dishes.Its totally worthless and damn.... paid reviews.

I am suggesting you to dnt take your office collegues and higher officials.",1,4 Reviews,5/9/2019 14:08,0,
Khaan Saab,Subhani Subbu,Worst experience especially at Gachibowli branch.No proper management. Food was not cooked properly. Food quality was worst and quantity was less and prices were huge.,1,"1 Review , 13 Followers",5/8/2019 11:53,0,
Khaan Saab,Kalyan Madduru,"Khaan Saab, in Gachibowli was known for it's ambience and interesting kebab menu.

We ordered murgh sheek kabab and chicken Tikka biryani. Kebab starter was good, with minced chicken kebab. Chicken Tikka biryani was chefs special here, and rightly mentioned. Biryani was undoubtedly one of the best in the city. It was served with 6+ medium sized boneless Tikka pieces, smoky grilled and raitha. Simply loved the spice flavors in biryani.

Al 388 bucks, after Zomato GOLD discount",4,"46 Reviews , 23 Followers",5/5/2019 22:43,3,
Khaan Saab,Shibasish Nandi,"They charge premium for the food and serve stale food contaminated with stones. Though they didn't charge for the curry, but it's not at all acceptable from such restaurant. Won't recommend at all.",1,"12 Reviews , 11 Followers",5/5/2019 22:41,0,
Khaan Saab,Sriteja,Food was nice and good staff supportive .ambience was also soothing .Interior lighting should be more contrast from the current so that food can be views before served,5,4 Reviews,5/5/2019 16:04,0,
Khaan Saab,Harshet Agarwal,"needless to say the place has been there for many years in Banjara Hillsgood that u have opened in Gachibowli
i usually get delivery 
but the experience is truly great being there.
some of the best north west frontier cuisine i have ever eaten 
i really miss the Kofta e Pashtun here 
will definitely order soon",5,"34 Reviews , 36 Followers",5/4/2019 15:53,0,
Khaan Saab,Phani Dileep,"Staff is super friendly and the great ambiance will give you the good feeling, coming to the taste it's good with masala quotients so pretty much indulgence. Finally could be a 4 of 5 value for your money",4,"99 Reviews , 106 Followers",4/30/2019 0:44,0,
Khaan Saab,Mitali Agrawal,"We went for team dinner. Starters tasted very bad. Paneer was too hard. Service was very poor. They took 45 min to serve starters. And then they brought all the main course including rice at one go, by the time we ate roti the rice went cold.
Overall a bad experience.",2,"19 Reviews , 2 Followers",4/29/2019 11:23,0,
Khaan Saab,Amandeep Singh Parmar,The murgh Resham kebab n murgh kurchan were awesome.. The meal was satisfying and the service by Tapan was very prompt and friendly... We would like to visit the place again!,5,"3 Reviews , 4 Followers",4/27/2019 23:35,0,
Khaan Saab,Shivaraj Mathrubai,Great food! Slow service! Great food! Slow service Great food! Slow service!! Great food! Slow servic Great food! Slow service! e! Great food! Slow service!,5,"2 Reviews , 1 Follower",4/26/2019 14:21,0,
Khaan Saab,Vishnuadapa,"Food is not up to mark. We went for a project lunch and it's not worth for money. Biryani rice is hard and it has no salt at all. In chicken biryani they gave chicken Tikka pieces not sure who asked them for. Tangdi kabab Smells very bad.

This branch is no where compared to gvk Khan sab which is famous for their authentic city",1,1 Review,4/26/2019 13:36,0,
Khaan Saab,Sweetie Bhamre,"So we have been here last week,
Ambience was ok types, not so appealing. Crockery used for service was good.
Talking about most important part food,
We ordered Chingari murg patiala, which is so called their signature dish. It has so salty seems dish is coming from sea. Even chef was giving excuse about it was bone stock. But it was so salty you can’t eat.
Steam rice was salty too.
Frankly speak, we did not like food except reshami kabab. Rest of food was pathetic.",1,"3 Reviews , 3 Followers",4/23/2019 15:46,0,
Khaan Saab,Vinayak Au,Been to this place had the worst experience found hair in food not once but thrice and got plastic particle in shorba. We’ve complained the management I’m sure food here is cooked with least hygiene and neatness. Try avoiding this place.,1,"1 Review , 48 Followers",4/22/2019 17:20,0,
Khaan Saab,Sumit Arora,"Very good service , went with my kids in Saturday night amazing experience , paneer was really up to the mark ... Service led by Mr tapan who served us was amazing ... Definitely worth another visit...",4,"5 Reviews , 1 Follower",4/20/2019 20:55,0,
Khaan Saab,Rakesh Korada,Was high on expectations after visiting khaan Saab in GVK. I was disappointed with taste and quality of the food. The service was mediocre and it seems to no make justice to call itself a branch of khaan Saab. Even ambience seemed to be a cheap knockoff.Service was okay.,2,1 Review,4/19/2019 16:57,2,
Khaan Saab,Asha Akunuri,"The restaurant was quite big and maintained very clean and neat with best hospitality .
Have been here on Friday evening , place was not much crowded and there was occupancy of only two tables .
Ordered the below :
Chicken tikka biriyani : This was mentioned as must try in menu card . It tasted good .
Tawa mutton biriyani : It tasted good with aromas of spices .
Paya soup : did not meet the expectations . It was not up to the mark . Tried tomato soup too . It did not taste well . Mushroom masala curry : quantity was very less and taste 👎🏻

Ambience : 4/5
Food : 3/5
Hospitality was good . They treated us as royal guest 😀",3,"47 Reviews , 60 Followers",4/13/2019 10:27,3,
Khaan Saab,Krushikal,This restaurant is not for people who like dum biryani. Its a royal dining restaurant with that kind of interiors and biryani tastes good as well,3,"5 Reviews , 2 Followers",4/11/2019 16:43,0,
