Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Kritunga Restaurant,Sarvade Divyanka Rajesh,"The worst biryani i ever had in my life till date. I am sure kritunga biryani tastes good, hope this is zomato fault they have delivered me a local biryani instead kritunga, theres no kritunga cover when i got it, it was packed in a normal cover. The worst exp i had today",1,2 Reviews,5/17/2019 18:19,0,
Kritunga Restaurant,Sai Nadh Reddy,"Nice food, good. Value for money. The food is much spicy as u like it most. It's quality and food smells very nice. The package also very neat and strong",5,1 Review,5/7/2019 17:26,0,
Kritunga Restaurant,ABHISHEK BERA,"A complete and absolute disaster. The place where we sat was dirty. There were cracks on the walls. We ordered the food to be less spicy but I guess they cook how they want to cook. The AC was non-existent. It felt like we were sitting in a tandoor. The service was pretty slow.  If you bring food you bring the starters together and then you don't put a gap in between the starters and the main course. The taste was appalling, sub-par service, being in one of the prime locations. I have ordered a lot of times from Kritunga Madhapur and that one is very good. I think Kritunga Gachibowli has a long way to go before it becomes worth the money. Wish them the best",1,"5 Reviews , 1 Follower",5/2/2019 12:00,0,
Kritunga Restaurant,Debasish Choudhury,"I had ordered chicken dum biriyani...There is no chicken dum inside it also the chicken pieces are very small in size . I would also suggest to work on your food packaging ..
Very much disappointed with the quality of food.",1,"2 Reviews , 7 Followers",4/30/2019 15:10,0,
Kritunga Restaurant,Sai Kumar,"Hi,

I have ordered king of kodi pulao, Never expect too much from the title of the food. It is the worst thing I have ever eaten on this planet. The chicken is undercooked, The rice is giving a weird smell. As it is not cooked today. I have ordered Paya as well. I don't know if it is fat or oil but it's too spicy and oily. This is not the adept quality of Kritunga because I have been eating in this cuisine for more than three years. It's getting worse every year.",1,"1 Review , 1 Follower",4/29/2019 21:17,0,
Kritunga Restaurant,Raghavendar Kandikonda,"Food for only spicy lovers , be careful my dear mild food people.
Quantity was huge for one person if u r going with biryani, plan for two people",4,"4 Reviews , 3 Followers",4/18/2019 0:27,0,
Kritunga Restaurant,Ankita,"We had picked up Sambar rice to satiate the craving for sambar daal. 
The dish was quite spicy to our tatse but tasted heavenly with curd as side dish. pretty easy on pocket too!",3,"76 Reviews , 211 Followers",4/15/2019 12:28,0,
Kritunga Restaurant,Abhishek Katta,"Perfect place to taste Rayalaseema food. If you love spicy and eat well, this is the place. Raagi mudha with naatukodi pulusu (guthi vankai if you are vegetarian) is a must try. All the other items are also good.",4,"10 Reviews , 6 Followers",3/21/2019 16:58,0,
Kritunga Restaurant,Naveen Kumar,"Yesterday I have ordered biryani where in I found insect in my biryani and I’m trying to call restaurant till know no response. And by mistakenly I post my review kritunga palegars restaurant, where in I should post in kritunga restaurant",1,"1 Review , 1 Follower",3/17/2019 17:07,0,
Kritunga Restaurant,Venky Pawar,Don't drink water in the given glass for more details please check attached images...:)Or ask for plastic glasses or take water bottle and drink with it only.,1,1 Review,3/15/2019 18:54,0,
