Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Mathura Vilas,Manish Garg,There are garlic peels in my garlic naan. Not just one but almost every where. Staff was least bothered in this concern. They don't remove garlic peels from naan,1,"3 Reviews , 3 Followers",5/21/2019 21:08,0,
Mathura Vilas,Amar Singh,Good food pocket friendly and healthy. I have ordered few times for luch and I liked it. If you have office nearby order food from this place.,5,"4 Reviews , 2 Followers",5/20/2019 1:53,0,
Mathura Vilas,Ritika Shah,"Very rude staff and bad service. Disapppinted. Decent food.Good harabhara kabab. Have been there multiple times I. Last, never faced such bad service. The manager was very rude, disinterested and had no concern with any grievances. The bill desk guy apologised on his behalf, but the manager just chose to walk away.",1,"8 Reviews , 122 Followers",5/13/2019 10:51,0,
Mathura Vilas,Hari,"Good place to dine , south indian dishes are amazing and mouth watering . One can dine with family anytime who love pure vegetarian food and brunches rather than lunch",5,"9 Reviews , 2 Followers",5/7/2019 22:08,0,
Mathura Vilas,Nishant Singh,"Very bad service. 90% time you will keep on waiting for food. Even when i ordered thali, thwy took more than half n hour to bring it. Even the food was nothing compare to Rajdhani.....",1,"2 Reviews , 4 Followers",5/5/2019 14:55,0,
Mathura Vilas,SAI PRASANTH .M,"Tried this place after a long time. The order was just a south indian thali, peas pulav, Mixed subzi chatpata and a Strawberry milkshake.
Arrived at the restaurant by 2.15 on a sunday afternoon. After a full 40 mins the first dish to be served was milkshake!! Will a restaurant serve side drink / dessert first, when the main course is yet to be served?

Service 1/5 - you will see waiters only while ordering the food, once the order is taken you wont even see them coming to your table even to serve water. You will see them standing in one corner of the restaurant, few walking in and out of the kitchen as if they are very busy. But no one will respond when you raise your hand/ or call for them. I literally had ti walk to them and ask for water.

Ambiance 1/5 -
Some kind of strange smell comes similar to the one you get in a dumped wet cloths
In short a worthless place.

Food quality and taste 1/5.
Coming to the quality of food - the peas pulav had just peas in them i hardly found rice!.
Very salty mixed subzi chatpata dish which just had onions and capsicum.
As mentioned before the food was served after 40 mins. The south indian thali had a sambar - it was a hot water in which dhal was washed and rasam was just hot water; when requested for a refill of bindi (it was the only dish that was nice), I was told that the dish got over unfortunately due to the time. I seriously wonder what took them 40 mins to serve, I have never had such a bad experience before in any restaurant of this level.

Value for money - 0.5/5

For these so called high quality dishes I had to pay around 900. In short i will not suggest this place at all.",1,"13 Reviews , 1 Follower",5/3/2019 21:24,0,
Mathura Vilas,Karthik Mns,"Food is pricey and portion size is not justified. Serving is super slow. Tons tons of improvement required. If I have a choice, I'd avoid this place.",1,"6 Reviews , 42 Followers",4/30/2019 1:07,0,
Mathura Vilas,Vamshi Adi,Good one. You get a combination of south and north Indian varieties in a single thali. The servicing here is very slow. I have been here twice and it took more than half an hour to get the starters. Staff are polite and friendly.,4,"2 Reviews , 16 Followers",4/28/2019 8:41,3,
Mathura Vilas,Aishwarya Pati,Excellent food. Excellent service. If you want to experience North Indian cuisine..then this is the best place to be in. The prices are also appropriate and the food quantity is good,5,5 Reviews,4/21/2019 15:16,0,
Mathura Vilas,Murari Setty Gnana Vinay,Ambience was good.But the service was toooo bad.No one will take care after you order the food.its really pathetic.we need to ask for food repeatedly ..After 45 min they brought one starter and for main course they took one hour of time.Never prefer this restaurant,1,"2 Reviews , 1 Follower",4/21/2019 13:21,0,
Mathura Vilas,Aziz Ajju,"I ordered today veg fried rice, veg curry, rumali roties and onion raita.
but when it was delivered the onion raita was missing in the delivery for which I had paid 59 rs. 
I am soo disappointed with this order discrprency.",1,"1 Review , 1 Follower",4/18/2019 15:17,0,
Mathura Vilas,Pankaj Mittal,"I found this place pathetic. Went yesterday, most of the dishes we ordered were not available. The excuse waiter gave was that one of the chefs is on leave. I wonder if business stops for them if one the chef is not available.
I read on zomato reviews that their thali is good. And restaurant's menu on zomato mentioned that thali is available in dinner as well, but on reaching restaurant I found out they are not serving thali in dinner now. I travelled 9km to visit this restaurant.

Food was pathetic as well. Tanduri roti that we ordered was made of maida. And the dishes were either too oily or just bad.

Overall this place is very bad and doesn't deserve a visit at all. There are plenty of restaurants all around Hyderabad which are much better than this for half the rate.

Avoid this restaurant at all cost !!!",1,"4 Reviews , 4 Followers",4/17/2019 17:53,0,
Mathura Vilas,Sushmita Mishra,I visited the place yesterday for lunch with my family. This is usually a most loved place by all my family members and me for a casual dining. But yesterday it is a very bad experience we noticed the manger is changed. It took 20 minutes to find some one to take the order. Then it took him almost 30 minutes for the thali. I called the manager and asked why is it taking so long as we habe only asked a thali and lassi. Then he told us that some of the food got over so we are preparing it again so only it is taking so much time. But is was courtesy that he could have informed us that it is going to take time. After 40 minutes the food was served. But the lassi again took a very long time we cancelled the order and moved out.,1,"3 Reviews , 3 Followers",4/15/2019 17:20,0,
Mathura Vilas,Sridevi Bp,Have been a regular customer. But waa totally dissatisfied today. Had to wait for 10 mins even to be served water. They are very short staffed and the manager is just not polite. They need to really up their service. Will think to go back again.,1,"4 Reviews , 4 Followers",4/14/2019 14:30,0,
Mathura Vilas,Sai Krishna,Quality and quantity is very less for Biryani combo.it is not worth of 150 rs.As a team we ordered 18 plates which is not sufficient.please look into it.,1,1 Review,4/13/2019 13:49,0,
Mathura Vilas,BDM,Good thali spread for Ugadi. The taste and overall experience was good. Service was slow for non thali orders and had to ask multiple times to refill dal and Sambhar in the thali,4,"7 Reviews , 7 Followers",4/13/2019 0:06,0,
Mathura Vilas,Sumit,"Overrated restaurant with pathetic service and average food. Spent 2.5 hours just for starters and main course. Had 2 rounds of rotis before paneer sabzi arrived. After asking manager that we have ordered main course more than half hour back, he told that you have ordered only 5 mins back. After this episode also it came after half an hour more. Visit the place if you have free time and want Air condition. Nothing else you can expect.",1,3 Reviews,4/8/2019 1:04,0,
Mathura Vilas,ANNAM NARESH,One of the worst in and around gachibowli. I ordered two rice combo and sent one and collected money for two. Such a non sense guy. The mathura villas owner. Never believe in their words.,1,"1 Review , 4 Followers",4/1/2019 21:34,0,
Mathura Vilas,Vijay Karthik,"We have ordered veg chilly sticks and golden baby corn.
Veg chilly sticks are good and must try. Golden fry baby corn and veg biryani are worst",3,"1 Review , 29 Followers",3/31/2019 12:57,0,
Mathura Vilas,Chaitanya,Had been to this place for a lunch. Decent place - had a South Indian thali. Food is okay - but can be a better in terms of taste. Decent ambience & Service. But something is a miss here🤔,3,"34 Reviews , 39 Followers",3/26/2019 19:48,0,
Mathura Vilas,Prathyusha Subraveti,"Extremely disappointed with the service. They delayed serving the food. The staff is very lethargic and don't seem to care. Save your time. Go elsewhere. By the by, the pepper curry was the worst. Don't try searching for this in menu for this dish. It isn't there. They added so much of pepper, it felt like some chef's spontaneous idea which messed up our palate. -_-",1,1 Review,3/23/2019 22:52,0,
Mathura Vilas,Sreya Sreetam Raychaudhury,"Ours was not a good experience, poor hospitali
ty, slow service n bad temperament from the manager. Not likely to visit again.. disappointed !!! 😒😒 😒😒",1,"2 Reviews , 19 Followers",3/23/2019 14:34,0,
Mathura Vilas,Ramu,Staff is very reckless and they are least bother about the customer. We left without having lunch for keeping wait for more then 30 mins and the manager even not ask us to wait. He went inside to cancel the order,1,"10 Reviews , 4 Followers",3/22/2019 14:14,0,
Mathura Vilas,Dinesh Naidu,"Visited this afternoon, pleasant ambience, temple like feeling with a bell at the door and a idol at entrance. Ordered North Indian thali, taste was okay, not an extraordinary thali though. Served butter rotis, Jeera rice and white rice,5 curries, dal. Payasam and Kheer. Kheer was the highlight which I want to call out.
Ambience 3/5
Food 3/5
Service 4/5",3,"20 Reviews , 10 Followers",3/19/2019 21:51,0,
Mathura Vilas,Jay Tripathy,Loved the collection and flavour of Indian cuisines and homely food. The staff are humble and will present food as per your customisation. That’s really good.,5,"17 Reviews , 83 Followers",3/19/2019 18:38,0,
Mathura Vilas,Sathish Kumar Akula,Never order full meals online... At the end you will get disappointed with incorrect items.. From the given menu... Expected alot by seeings reviews.,2,"7 Reviews , 2 Followers",3/19/2019 13:46,0,
Mathura Vilas,Rahul Agarwal,"For some reasons unknown to me, I decided to try this place. The thali on the other zomato reviews seemed worth a try I thought.
I was told thali would take 15 min, and I waited. After 25 min of waiting, when I started asking around, they said thali isn't available right now and will take another 20 min minimum. I lost it. No shame, no options to offer what could be served quickly. Just a plain no. I walked up, they asked me to pay for a bottle of water (which I consumed) and left. The manager didn't even bother.
Went to Over the moon next door and had a great exp. Folkd there told me this outliet of MV is in bad shape and likely to close soon.
If you want to take a chance of really poor exp, maybe no food, maybe bad food...",1,"34 Reviews , 233 Followers",3/17/2019 19:01,0,
Mathura Vilas,Richa Goyal,"Visited with family.
Overall decent ambience and decent veg food.

If looking for a pure veg place with decent ambience then this could be your place",4,"6 Reviews , 95 Followers",3/17/2019 18:28,0,
Mathura Vilas,Kumar Abhishek,"Had been here on Pongal to have ""Veg Lunch"" since my uncle and aunt were in hyderabad. My aunt insisted on having laccha paratha there which when arrived was found to be regular butter roti and the staff even insisted on the same funda that it was laccha paratha. This was a turn off for me but otherwise it is good veg restaurant to visit in gachibowli area.
So here goes my rating

Food:3/5
Ambience:4/5
Service:3/5
Budget: 3/5

Hope i will have a good exeperience tge next time i visit Mathura Vilas.

P. S: I was able to use my Zomato gold here on food.",3,"35 Reviews , 77 Followers",3/16/2019 22:50,0,
Mathura Vilas,Eyyunni Shanta,"Too good and place is very fine. Food is lovely and delicious. Hotel is nice.....
I have never seen like this. Desert is lovely and different from other place.",5,"4 Reviews , 4 Followers",3/8/2019 14:39,0,
Mathura Vilas,Prs M,"Very bed experience.. they have created problem in deduction for zomato gold multiple times.
Zomato should take action against this restaurant.",1,1 Review,2/28/2019 20:54,0,
Mathura Vilas,Ram.bhattiprolu198305,"This restaurant has gone way below the acceptable quality levels. Had been a great place to go earlier but looks like they have started compromising in quality of food and service. Items on the menu aren’t available but offered what they had at that time. Rice was watery, none to care for your concern but were commenting on what was wrong and it was eatable. Will never come here again.",1,"1 Review , 1 Follower",2/27/2019 14:00,0,
Mathura Vilas,Akshat Jaiswal,"This place was a good veg eatery earlier, with options of good thali..but the experience which we had today completely my opinion.
Food was cold, service was very slow, dirty tables and wares and Ill maintained wash rooms. And on top of it misleadinģ offer of 25% discount. I just had my last visit today.",1,"8 Reviews , 19 Followers",2/24/2019 18:31,0,
Mathura Vilas,Ram Sashank Dinavahi,"Decent place for veg lovers. Tried South Indian Veg thali, it was served with wide variety of items which were tasty. Quality of the items could be improved a bit.",4,"4 Reviews , 27 Followers",2/24/2019 10:24,0,
Mathura Vilas,Yashwanth Kanuru,"South and North thalis are their go to options with good spread of varieties in them. Ambience is decent for dining with family. Only drawback is their slow service, they typically take 20-25 mins to get the thali. You might not find it crowded, but don’t let that fool you, it is a good place.",4,5 Reviews,2/23/2019 14:27,0,
