Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Mohammedia Shawarma,Sarath.17.04.1993,Best shawarma served at reasonable price and the mayonnaise is simply awesome.rumali shawarma with/without salad is the best one till date .!,4,"1 Review , 1 Follower",5/24/2019 22:09,0,
Mohammedia Shawarma,Jayakar Reddy,"WASTE RESTAURANT...
I ordered special chicken shawarma, but there is no cheese & getting rotten smell in it... It has happened several times, Even ZOMATO people unable to help out. 🖕🖕🖕",1,1 Review,5/21/2019 2:25,0,
Mohammedia Shawarma,ARUN NANI,"Till now this is the worst shawarma what I tasted
Very very bad taste and worst
Very dry and oily this is the best in bad taste quality of a chicken is also very bad",1,"1 Review , 1 Follower",4/29/2019 1:12,0,
Mohammedia Shawarma,Mohammad Gulamqadar,"Worst shawarma i have ever tasted

I believe they are providing 2-3 days old shawarmas

Iam saying this because when i have ordered here i got a shawarma with soaring smell even chicken was smelling",1,"3 Reviews , 1 Follower",4/22/2019 21:02,0,
Mohammedia Shawarma,Shaikh Shamim,"(Strong recommendation- never ever order from here) - It was the worst experience I had attempted by ordering from here. I order special chicken shwarma. The chicken was spoiled and smelling badly, and by having one bite I thrown to garbage bin.",1,"1 Review , 1 Follower",4/19/2019 2:05,0,
Mohammedia Shawarma,Mohd Ahmed,Plz dont buy this shawarma very cheap quality of food items they used and not fresh. If ther is negative maarking i will give them -10000. And very cheap paking,1,1 Review,4/6/2019 23:53,0,
Mohammedia Shawarma,Koolaid Pickle.,"These guys used to be really good at making delicious falafel and regular shawarma. Over the time, the quality seems to have dropped to an extent that the food smells bad and makes you feel sick.

The wrapping paper which they use to wrap these things in, sometimes sticks to your food. If I were you, I wouldn't eat here. Save your money and skip this place!",1,"12 Reviews , 5 Followers",3/5/2019 12:51,0,
Mohammedia Shawarma,Waseem Mohiuddin,"horrible, I ordered 1 special and 2 regular shawarma. we got 3 regular shawarma. Pathetic experience. I'm satisfied with the person who delivered, please let him have the credit for the delivery",1,"5 Reviews , 2 Followers",2/15/2019 1:03,0,
Mohammedia Shawarma,Moh'd Noufal,I ordered 2 shawarmas. But the Food was spoiled. They gave old stock. It was very hard. The Rumali rotti was sticky. My Stomach felt uncomfortable. I Vomitted. I don't trust this shop anymore. They are cheating the customers. Why do we pay money? Is this how they gibe offers and all? Online buyers are not dumbyards.,1,1 Review,2/9/2019 20:44,0,
Mohammedia Shawarma,Tanveer Mansoori,This is my n-th experience ordering the Shawarma for a quick bite. They are good with quality and taste of the food and I really liked the quick service of this restaurant late at night and even on weekends.,5,1 Review,2/9/2019 0:00,0,
Mohammedia Shawarma,Vipul Bhatnagar,"worst shawarma ever.. ordered three times from here and every single time i got yukkiest shawarma ever.. no mayonnaise, chicken smelling like hell and uncooked rumali roti.. never going to eat at this place..",1,1 Review,1/29/2019 3:37,0,
Mohammedia Shawarma,Jagadeeswar Reddy,Please don't order from this outlet. They are delivering late and the taste is not at all good.i just ordered one chicken shawarma. They delivered it late and the food is spoiled. Less chicken more creames and salad. not even worth of rs10,1,"1 Review , 3 Followers",1/24/2019 3:12,0,
