Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Momos Delight,Monica Pandey,Ordered because I wanted to eat momos so much and DLF area is popular for street food but I am Disappointed! The momos were undercooked and dry. Had ordered two veg steamed momos and I felt sad because it neither fulfilled my cravings nor it filled my tummy. The closings were hard and uneatable.,1,"1 Review , 28 Followers",5/18/2019 23:26,1,
Momos Delight,Gautam Narang,"So it’s 11:30 on a Friday night, most of the restaurants are closed and we are hungry. We find this restaurant still delivering with ratings more than four. We order Veg Steamed Momos and Chicken Steamed Momos. We get the delivery on time and the food is not bad. Schezwan Sauce is steamy hot and delicious; but both the Momos on the drier side. Hence going with 3/5 for this restaurant.",3,"16 Reviews , 82 Followers",5/18/2019 0:24,0,
Momos Delight,Ritwik Borgohain,"I ordered the steamed chicken and fried chicken momos.
The momos are pretty terrible, especially considering how much they are asking for it. I've had cheaper and better momos from roadside vendors.They also made my stomach upset which is a sure sign of them serving old and unhygienic food since even the roadside momos have never done this to me.

I would definitely steer clear of this place, especially if you have ever had even half decent momos from anywhere else.  Also this is the first time someone has given mayo with momos and I can confirm that the combination is as disgusting as it sounds.If you have poor taste in food or have a stomach made of iron, then sure, go ahead and order from this farce of a momo joint. Otherwise learn from my mistake and let it be the only one to have occurred.",1,"2 Reviews , 26 Followers",5/10/2019 23:12,0,
Momos Delight,Anjanaa Karthik,"All the Hyderabadis out here, anybody who here who loves street food, obviously, DLF is out there for you ! But don't forget to look out for this shop. You would find steamed and fried momos, but it's very rare to find kurkure momos. Have you even heard about those? Wanna grap a taste ? Go to DLF right away ! :)
It's mouth smacking.",4,"42 Reviews , 53 Followers",5/9/2019 17:36,1,
Momos Delight,Biswarup Bose,One of the best places to have momos in and around gachibowli. Located right opposite to DLF this place is over till late night. My favourite is the kurkure momo here. Tastes very different from all the other momos. Must try.,4,"22 Reviews , 63 Followers",4/28/2019 17:22,0,
Momos Delight,Pallavi Mitra,"Paneer fried momo was yummy. Thank you, the Mayo and sauce was good. Momos could be more softer, fried was too crispy. Taste could also improve much more.",3,"12 Reviews , 2 Followers",4/16/2019 20:46,1,
Momos Delight,Jay Mehta,"Watching ipl and ordred norfest, thought of adding some appetizer to my meal...ordered kurkure momos vegetarian.

Arrived nice and hot and on time

Problem- the fried kurkure felt fried on stale oil, the coating was really thick tasted more of the oil coating than anything inside.

Sauce was mayo and red sauce. I am not sure how ppl eat mayo with momos? Antways i tried the red sauce , thinking that sauce may help with thick coating and oil, sauce was realy confusing zero taste just sodium thats it!

Lessons- never order fried momos again EVER! May try the steamed based on rating.",2,"46 Reviews , 43 Followers",4/12/2019 22:44,1,
Momos Delight,Shlok Gupta,"I am addicted to their chicken Kurkure momos.

It's so yummy. Thanks for bringing momos culture to Hyderabad. Hoping to see this culture springs a lot in future.",5,"53 Reviews , 284 Followers",3/31/2019 23:58,0,
Momos Delight,Sri D,"I never had a good momos until before I ordered from here. Always thght momos were over-rated. But Momos Delight proved me wrong. I ordered veg- kurkure momos through Zomato and they were lip-smacking good. The red-chilli chutney and mayonnaise were good combination with the momos. Also, they were delivered to me when they are still hot. Zomato’s service has never been disappointing.",5,3 Reviews,3/31/2019 20:42,0,
Momos Delight,Avinash Agarwal,It may appear slightly expensive for momos. But they truly taste as amazing if not better than the best momos you had in a north eastern Indian city. Especially the steamed chicken momos with the masala spread and the super spicy chutney perfectly compliments it,5,"6 Reviews , 4 Followers",3/30/2019 22:08,0,
