Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Mustang Terrace Lounge,Uma Shankar,"Ambience is bit cozy, music is too loud. The food is good and service is little slow but it's okay. It need some modifications in ambience then sure it will be great place to hangout",4,"2 Reviews , 1 Follower",5/23/2019 20:21,0,
Mustang Terrace Lounge,Sai Krishna Thota,"The rooftop view is amazing and the ambience inside the lounge is excellent too coupled with great DJ and service. We enjoyed our time out there.

Food 4/5
Service 5/5
Drinks 5/5
Music 5/5",5,"1 Review , 1 Follower",5/22/2019 23:54,0,
Mustang Terrace Lounge,Nakul.dhand420,"I went to the restaurant on friday night and have booked the table in the morning itself. But manager denied and said i am giving you a favour for the table. We had drinks but food was pathetic and one dish was replaced when the bill was paid and we have to leave it. Coming to the bill, these guys have started charging some service charge (which is illegal) which will be forced on customers and they expect the customers to pay service charge in cash .I am reporting this to local authorities as they have started booking other restaurants for these illegal things.",1,"18 Reviews , 5 Followers",5/20/2019 14:18,0,
Mustang Terrace Lounge,Sai Jagadeesh Battini,Worst food order Chilly corn and they gave us Pakoda. Bad quality food ever better they suppose need to change the name to Worst food we provide and,1,"4 Reviews , 326 Followers",5/17/2019 23:59,0,
Mustang Terrace Lounge,Asha Tejaswini,This place never disappoints me.Food and ambiance are perfect.They have both outdoor and indoor seating with good music.Must try: Chilli prawns,5,"14 Reviews , 10 Followers",5/17/2019 20:38,0,
Mustang Terrace Lounge,Amith Katta,Very cool open roof Restaurant that served great appetizers and booze. Good place to hangout with friends and located in the centre of Hyderabad's IT industries.,4,"21 Reviews , 150 Followers",5/17/2019 14:57,0,
Mustang Terrace Lounge,Td Dt,"First they had some kind of rule like below 21yrs old( I really respect that check) so he asked for IDs at the entrance we dint carry that but we had our soft copies so we showed that.However one among 6of us wasn't having the soft copy we tried ensuring that our friend was 30yrs old but he dint believe and after lot many arguments finally we were allowed to enter.... People are aware where below 21 can go or not so too much nagging is not acceptable...Then comes the service which was pathetically very slow and we were not even given plates to eat we were eating from the serveware itself...There were so many waiters to serve but no one actually paid attention or were not interested I think to attend people,there are many small pubs where only handful waiters are present and yet the orders are attended pretty fast.... Next food was okayish...the only good thing was the ambience....the washroom was totally unhygienic and looked like haven't been cleaned up since long...won't recommend anyone to visit and I personally wouldn't visit the place again",1,"2 Reviews , 28 Followers",5/13/2019 15:05,0,
Mustang Terrace Lounge,Aman Kejriwal,"This place closes by 12 and the food is is quantity but it closes earlier then expected, what should be done in this case. It shares wrong information.",3,1 Review,5/11/2019 0:33,0,
Mustang Terrace Lounge,Aditya SAlunkhe,"Good ambience.......
Good food....
But little bit costly than nearby lounges. Rooftop sitting is available and is pretty good.....

Good place to chill with friends...",4,"17 Reviews , 71 Followers",5/8/2019 20:30,0,
Mustang Terrace Lounge,Chenreddy Raginireddy,"I went here to celebrate my birthday.....
If you go to Mustang, you should sit on the terrace otherwise it isn't worth it.

The place has good service too, the servers are helpful.",3,"29 Reviews , 52 Followers",5/8/2019 14:23,0,
Mustang Terrace Lounge,Pramod Singh,"Good place. Nice joint to hang with friends. Only problem is parking though the valet team is There to support
Another good hangout place in city",5,"5 Reviews , 115 Followers",5/7/2019 19:47,0,
Mustang Terrace Lounge,Sirisha Kandula,"Could be one of the best place in gachibowli.
An underrated place. From here you can see the skyline of gachibowli.an awesome place.
Service is good. Value for money",5,"1 Review , 1 Follower",5/6/2019 20:34,0,
Mustang Terrace Lounge,Muthiki Sekhar,"I went here only twice, the ambiance is awesome, get to sit on terrace under open sky, cool breeze & pleasant music . Mocktails were awesome
Service was good.do visit this place and enjoy",5,"1 Review , 6 Followers",5/6/2019 20:29,0,
Mustang Terrace Lounge,Rahul Marpally,"This place stands out with great Ambience and food in this area.. one of the most happening place in Gachibowli with rooftop and a big screen.
Had visited this place numerous times and always felt happy with taste of food and their great service. If your planning to spend sometime with friends or loved ones with delicious food and ambience.. this must be the place ~Mustang",5,"15 Reviews , 51 Followers",5/6/2019 17:24,0,
Mustang Terrace Lounge,Anil M,"Best place in gachibowli. One of the best Rooftop place in city. Must visit. You can get 2+2 offer on drinks here.

Service 5/5
Value for money 5/5
Ambience 5/5",5,2 Reviews,5/6/2019 14:55,0,
Mustang Terrace Lounge,Anil Reddy,"Great service plus good food and value for money is what I define this place.
Beautiful ambience is plus. No other place is comparable with this in Gachibowli.
Do visit this place and enjoy. they also have live streaming. Best place to enjoy this IPL season this year.",5,1 Review,5/6/2019 14:16,0,
Mustang Terrace Lounge,M Bonagiri,"This should be the first place when you want to watch Ipl or cricket with your best buddies.
Live streaming of ipl with good music makes the day.
Cocktails were good. Bartender is helpful with drinks.
Service is good. Recommend Definitely.",5,"64 Reviews , 85 Followers",5/5/2019 20:25,5,
Mustang Terrace Lounge,Abhinav Kulshrestha,"Good ambience both sitting in or in open terrace. Food is okaish, as it doesn't justify the cost of items but some items tastes good.
Good place to go on a date, if you wanna sit outside when weather is in your favour, but great place to hang out with friends with indoor sitting",4,"10 Reviews , 4 Followers",5/5/2019 17:32,0,
Mustang Terrace Lounge,Anusha Marpally,"This place is beautiful and has lovely ambience. Food tastes amazing and service is good.
Been to this place numerous times and every time i go I feel it new. Overall a place worth visiting.",5,"3 Reviews , 12 Followers",5/5/2019 17:15,0,
Mustang Terrace Lounge,Nimmy Gill,"Customer service is pathetic. The manager,  is the worst manager I have ever met. He doesn’t know how to treat customers.

Place is a complete “no no” who prefers good customer service.",1,"2 Reviews , 11 Followers",5/5/2019 1:41,0,
Mustang Terrace Lounge,Nithinesh Bodhanapu,Worst place to hang out. Pathetic customer service. The place is money minded and the waiters there dont care for customers at all. Not a good place to hang out.,1,"1 Review , 1 Follower",5/5/2019 0:12,0,
Mustang Terrace Lounge,Gvr Varun,"Pathetic management, this worst experience ..would curse manager  ,found rats walking around ,found food to be Stinking,liquor was smelling like pee,glasses weren't washed properly !!hate to visit back again ,
PS: never visit this shitty place !!",1,"1 Review , 45 Followers",5/5/2019 0:10,0,
Mustang Terrace Lounge,Vasu Khatri,Worst customer service ever. I hope this place closes for good. They only destroy any good day you think to visit there. I hope this review saves someone.,1,"1 Review , 1 Follower",5/5/2019 0:09,0,
Mustang Terrace Lounge,Nikhil,Worst behavior of the staff here. They don't even know how to talk to customers. I have been here to have some fun and enjoy my evening but had a bad experience,1,"3 Reviews , 1 Follower",5/4/2019 22:58,0,
Mustang Terrace Lounge,Bharathi,The people here are not at all polite. I will never be here again. I don't suggest this place at all. Had a worst experience today. Waste of time.,1,6 Reviews,5/4/2019 22:57,0,
Mustang Terrace Lounge,Subha Mahapatra,Wish to witness the worst customer service? Please do visit this place. You'll be amazed to see that such a famous bar could have such pathetic people. There is this manager who has no idea how to speak to people. If I had the option to give it a negative rating I would!! Not recommended.,1,"29 Reviews , 54 Followers",5/4/2019 22:39,0,
Mustang Terrace Lounge,Sogathur Balaji,"The place was good and the ambience felt nice until a few friends and I went out for a smoke and wanted to sit at the lounge just for a smoke, whole the so called ""supervisor"" came along and asked us to leave because the seats were reserved, we were ready to leave but we asked what the issue was and instead of talking politely he just started being rude and asked us to leave the place. When we said we wanted to speak to his supervisor he said he was the owner of the place! The people who work here have no concept of good customer service or politeness.",1,"5 Reviews , 7 Followers",5/4/2019 22:33,0,
Mustang Terrace Lounge,Brijesh Mohanty,"One of the most pathetic places when it comes to customer service, bad food , and the attitude of the employees are absolutely annoying especially the owner. He would make you feel as if you he is is doing a favor , you won't want to give them your money",1,"5 Reviews , 6 Followers",5/4/2019 22:30,0,
Mustang Terrace Lounge,Shashank,The Owner is absolutly pathetic and has no idea about customer service. Pathetic food and bad customer service make the whole place nothing but a horrible place..,1,"3 Reviews , 43 Followers",5/4/2019 22:29,0,
Mustang Terrace Lounge,Swapnil Tuljapurkar,Lovely place. Works amazingly for a quick catchup with friends over few beers. Totally in love with the ambience. Food is delicious. Highly recommended!!!! Will definitely visit again :),5,"9 Reviews , 11 Followers",4/30/2019 21:49,0,
Mustang Terrace Lounge,Prabhjot Sandhu,I am giving 3 star out of 5 to mustang just for roof top ambience where i was able to drink in between the glowing city lights ... Restaurant should work on customer service more ...,3,"55 Reviews , 188 Followers",4/30/2019 16:22,0,
Mustang Terrace Lounge,Phani Dileep,"Never thought the place is that lit. Purely under rated. Staff is super friendly and they won't have nonsense rules for stags too. Very much happening too. Good ambiance with nice terrace.
Need to be little early for draught.
Great value for money",5,"99 Reviews , 106 Followers",4/30/2019 0:53,0,
Mustang Terrace Lounge,Nandita Agarwal,"If you go to Mustang, you should sit on the terrace otherwise it isn't worth it.
The place has good service too, the servers are helpful.
Mustang has zomato gold so that's an added incentive to go.
We ordered nachos which was a big disappointment because either they were not baked properly or they were old they tasted weird.
Fir veg pizzas their options aren't that great. So we ended up orsering the Greek pizza twice but dint regret it even a bit. The Greek pizza is the safest and the best bet in their menu.",4,"46 Reviews , 145 Followers",4/28/2019 2:13,0,
Mustang Terrace Lounge,Himika Saha,This pub is located at the heart of the hi-tech city. It's a rooftop bar with a pleasant view. Nothing very extraordinary about the place. Food is about average. Mostly the office crowd keeps pouring in. Live streams the ipl match in big screen. It mostly remains crowded and yes the music is bollywood,3,"7 Reviews , 12 Followers",4/27/2019 20:42,0,
Mustang Terrace Lounge,Siddhanta Dey,Been there on a Friday night and loved the ambience. Place was not too much crowded . Music and DJ was good and also the food. This place is situated in a good location convenient for people working in Gachibowli. We ordered LIIT and it was amazing. Must visit.,5,"3 Reviews , 1 Follower",4/27/2019 7:54,1,
Mustang Terrace Lounge,Chaitanya Bhagwat,"Great selection of drinks, but most of the options on the menu were not actually available, which was a bit disappointing. The limited options that were available including pizzas and burritos were very good.",3,"2 Reviews , 1 Follower",4/25/2019 10:48,0,
Mustang Terrace Lounge,Sushant Negi,"Such a nice place at Gachibowli, hang out with friends and as a couple . Also enjoyed the dance floor with good music. Food was okies type but has a lot of options. Ambience is also good.",4,"11 Reviews , 34 Followers",4/24/2019 1:28,0,
Mustang Terrace Lounge,DS Singal,"An wxtra star for dance floor. Waahaaaa whatta a night it was. A great dance floor and friendly dj. It was a night i can’t forget food yum manchurian, noodles, pasta, pizza were great. Would nt mind going again.",4,"9 Reviews , 2 Followers",4/24/2019 1:22,0,
Mustang Terrace Lounge,Usha P,"Best rooftop restaurant in Gachibowli
,Great food good service made my day.I like Chicken biryani very much here. Do visit this place.......",5,1 Review,4/23/2019 22:18,0,
Mustang Terrace Lounge,InLoveWithFood,Definitely will not go again. Had gone with my friends for lunch and the waiters were shabby and drunk at service. We couldn’t wait to get out of the place.,1,"3 Reviews , 4 Followers",4/19/2019 19:47,0,
Mustang Terrace Lounge,Chayan,"This place has quite a ambience to visit for 💯
But that's all you'll get at this place.
They have just two attendant in total to take your order and service time is very poor, I almost forgot I ordered something.
The taste is not worth the wait and the DJ makes it even more worse by his songs!
Ambience 👍
Food 👎
DJ 👎
Service 👎",2,"6 Reviews , 53 Followers",4/18/2019 13:06,0,
Mustang Terrace Lounge,Ashima Saxena,"On my visit at a pleasant evening to the restaurant I ordered Cosmopolitan drink. While my friends beer came right away, they took almost an hour to get my drink. After that day, I got some infection in my throat which I ignored for few days and it got worse. The doctor at Apollo told me that it’s a severe bacterial infection and I had to take antibiotic injection twice along with other medication followed by various tests. Although everything about the restaurant was nice but not sure what went wrong with that drink in particular which ended me in a hospital!",1,"17 Reviews , 3 Followers",4/16/2019 20:49,0,
Mustang Terrace Lounge,Hitesh Dutt,"Well going Step by Step:

Ambience is pretty good 4* for that.
Location is accessible 3* for that.
Service is okay too 3* for that.
Food was okay, not something out of the blue. But yes it was reasonable so 3* for that too.

Overall 1* for poor post order served service. I had asked for leman about 7 times before i reached out to manager for lemons.

Same drill happened twice on same day while being on same table.

Recommended for drinks and ambiance but heyy do not rely in their service.",1,2 Reviews,4/15/2019 14:38,0,
Mustang Terrace Lounge,Surya Cena,"Located in one of the prime locations of hyderabad, Mustang terrace lounge has an American Cowboy theme with some really good ambience providing both indoor and outdoor seating. The outdoor seating has an amazing view of the city especially at night time.
Food is average to be honest. The french fries and nachos items could have been way better. Chicken tikka pizza was pretty bland. Chilli fish was really good though.
My friends had sex on the beach cocktail and i had virgin mojito mocktail and i must say, both of them were amazing. I had the mint cooler too and i liked virgin mojito better. Definitely worth a try.
The place has zomto gold on drinks which is great for people who’d like to drink. Overall it was a pretty good experience at this place with some decent food and the ipl screening.",4,"12 Reviews , 55 Followers",4/15/2019 7:47,1,
Mustang Terrace Lounge,Polimati Naveen Prasad,"I went to this place for Dinner!
I like the Roof top view it had and the ambience was good. I orderd for couple of shots with Cosmopolitan cocktail and a Potato fry with garlic, curry leaves and chilly flakes fried in olive oil and it was yummy served with maiones dip.
I somehow felt that the service needs to be improved and here is my overall rating out of 5
Ambience 4.2
Cocktail 3.8
Food 4
Service 3",4,"4 Reviews , 14 Followers",4/15/2019 0:37,3,
Mustang Terrace Lounge,Prachita Jayaswal,"Food, drinks and music all is good. What this place lacks is in service. The servers literally forgot us and we had to call them multiple times and remind them to take our orders. The ambience is great. The view is superb. They have 3 sitting areas, indoor and two terrace sitting.",3,"104 Reviews , 531 Followers",4/14/2019 22:03,5,
Mustang Terrace Lounge,FitFoodFad,"One of the better and smaller roof top places in Hyderabad. It would hardly have about 8 tables on the rooftop which makes me like this place. It's quite, cosy and they play some good music. There are also 2 exclusive places on the rooftop, one which is like one tiny table on an elevation and another like an enclosed area.

We asked for cheese balls, fish tava, chicken 65 and margarita pizza. All these items were good, nothing exceptional but just about right. Recommend- Yes, Must visit- maybe not",4,"64 Reviews , 867 Followers",4/14/2019 19:01,6,
Mustang Terrace Lounge,Pratichi Mohanty,"Horrible service, food is below average. Staff is extremely rude including the manager. Ambience is the only good thing. If i had an option i would have given a negative star rating. This place just spoilt my Friday night mood.",1,"1 Review , 1 Follower",4/12/2019 22:50,0,
Mustang Terrace Lounge,Kaushani Roy Choudhury,"Already been to this place twice, absolutely love the rooftop and the food. It's really windy up there and has a great ambiance, would highly recommend for a date or for hanging out with friends.
The only problem is the service is pretty slow which is probably because there isn't enough staff.
Otherwise no complaints at all.",4,"67 Reviews , 220 Followers",4/10/2019 17:31,1,
Mustang Terrace Lounge,Shambo Banerjee,It's one of the worst places to be in during the week. The Manager is extremely unfriendly and rude. The music sucks and the food and service is worth abhorrence..,1,"1 Review , 289 Followers",4/8/2019 23:07,0,
Mustang Terrace Lounge,Harshita Khandelwal,"Pathetic plac, I would never suggest anyone to go here.
Poor service and the waiters have literally no manners at all.
Overall a very bad experience",1,"3 Reviews , 36 Followers",4/6/2019 1:46,0,
Mustang Terrace Lounge,Ashwani Kumar,Amazing ambience with amazing spicy chicken table and chicken 65 which is must try.Amazing food with amazing ambience.Really enjoyed a lot with friends and company,5,"4 Reviews , 27 Followers",4/3/2019 2:46,0,
Mustang Terrace Lounge,Ankit Saraf,Good place with nice ambience. We ordered a paneer pizza and nachos. Pizza was really good. The staff was polite and food was served very fast.,4,"20 Reviews , 99 Followers",4/2/2019 23:59,1,
Mustang Terrace Lounge,Tarun Garg,A very nice place with good roof top. Had an amazing time and they have some good cocktails. Great staff especially our server Indian cowboy.,5,"51 Reviews , 79 Followers",4/1/2019 0:14,0,
Mustang Terrace Lounge,Akhila Akhi,"Trust it will surely make your innerself more happy. One of the best roof top lounges with such a pleasant ambience, good food and quick service. Nd only complaint is there was no music. They said they have a problem with the socket. But still it's okay. I'll surely visit again",5,"3 Reviews , 2 Followers",3/31/2019 8:45,0,
Mustang Terrace Lounge,Kalinga Sarangi,"Worst service and behaviour is extremely rude and unprofessional by d staffs as well as manager.
Manager is short tempered and unsocial. I ll never suggest for this pub.",1,"1 Review , 5 Followers",3/31/2019 1:59,0,
Mustang Terrace Lounge,Aman,"Great ambience. It is very windy when you sit at the top most table and it has great view. Service is average and food is also average. Went there on friday in a group of 10 people. We ordered many dishes but the quality was average. Since we were sitting at the top service was also average.
Ambience 4/5
Food - 2.5/5
Service 3/5
Overall 3/5",3,"5 Reviews , 1 Follower",3/30/2019 17:34,0,
Mustang Terrace Lounge,Vaishu Pemmaraju,We've been to this place as an office team outing in the afternoon. They let us play DJ for ourselves though it was afternoon. We had lots of fun and had a great time. The place was very nice and food as well. Thanks!,4,"4 Reviews , 1 Follower",3/30/2019 0:09,0,
Mustang Terrace Lounge,Arijit Mondal,"The ambience is good but please check the bill before paying. They charge 10% service charge without asking you which is illegal. Please do not pay service charge, ask them to remove it if you find it on the bill. Thanks.",3,"7 Reviews , 34 Followers",3/29/2019 10:04,0,
Mustang Terrace Lounge,Mimi,"The place I have visited many times made me sad by the last visit. Because most of the tables they kept on reserved, though during staying there till 10.30pm, we have not seen anyone to come and occupy the seats. The starters items are extremely costly and very less in quantity. Only reason of visiting the place is roof top. Otherwise it is one of the most expensive places to visit in Gachibowli area.",3,"15 Reviews , 8 Followers",3/26/2019 3:31,0,
