Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
NorFest - The Dhaba,Navneet Singh,So far the best kadhi chawal I have had in Hyderabad. Veg thalis here are amazing. And paneer lababdar is just finger licking. You don't have to think twice to place an order from this place.,4,"4 Reviews , 5 Followers",5/22/2019 1:32,1,
NorFest - The Dhaba,Jayashree Sivakumar,Best north indian food in town. The flavours were very well seasoned and we were very much satisfied with the reasonable pricing as well. Ordered naans and combos and it was given in fair quantity in relation to the prices. Would love to go again.,5,"5 Reviews , 22 Followers",5/11/2019 4:27,1,
NorFest - The Dhaba,Abhinav Kulshrestha,"One line review ""Great food!!"".
There is just something about the taste that brings that Delhite essence in the food.
Staff is also nice and thier playlist is great.",5,"10 Reviews , 4 Followers",5/6/2019 14:19,0,
NorFest - The Dhaba,Ravikumar Rudraraju,I have ordered lucknawi chicken pulao..good amount of chicken .. delivered hot..but the food is so spicy that I was Unable to enjoy the taste,3,"1 Review , 2 Followers",4/25/2019 20:36,0,
NorFest - The Dhaba,Ajit Kumar,Are you bored taking North Indian foods from South Indian restaurant? Then you must try the limited yet handcrafted North Indian cuisines in Norfest which is rapidly increasing its presence in the city. I strongly recommend to all the city dwellers to stop by through this unique chain at affordable price with premium quality service. Must try- Makki Di Roti and Sarson da saag. I still feel those mellowing taste of this dish.,5,"2 Reviews , 1 Follower",4/25/2019 0:08,0,
NorFest - The Dhaba,Parul Chaudhary,"Norfest!! Northern food feat!

Serves well to it’s name. The large menu catering to all needs of group and individual combos.

Food suggestion - Dal makkhani is a MUST! Everything on the menu is great.. a treat for both vegetarians and non - vegetarians! Very soft and fresh food.


Great for deliveries, order it at home or at work ☺️

When looking for a yummmm North Indian food reach out to norfest!",4,"14 Reviews , 143 Followers",4/15/2019 9:14,0,
NorFest - The Dhaba,Jay Mehta,"review no 2. With delivery

Ordered again, mix veg this time , looked ok but tasted far better, was dry for a curry but serving of veggies was plenty. Just for dryness reducing 1* . I absolutely love this place , hope for better experience nect time

Review 1
Second time for this place but first time got it delivered! Had ordered paneer butter masala and mix veg..great quantity and quality...this place is amazing for north indian foood. I am glad zomato is now bringing it to vihanga area. Will be frequently ordering from here. Nothing to complain about best north indian food to order",4,"46 Reviews , 43 Followers",3/31/2019 19:38,1,
NorFest - The Dhaba,Ravi Prakash,"Recently went there to eat paranthas. It needs a lot of improvement. Earlier i had other non veg dishes on online order, which were good. Ambience is good.",3,"21 Reviews , 8 Followers",3/31/2019 14:16,0,
NorFest - The Dhaba,Mitali Agrawal,"I just loved it. Good food at reasonable price.
Paneer lababdar & daal makhni from this place is very good. I also tried aloo kulcha and it was also good though the chole served with kulcha need to be improved.",4,"19 Reviews , 2 Followers",3/22/2019 13:24,0,
NorFest - The Dhaba,Amar,"I've only tried vegetarian food as take away from here. Dal Makhani is a must try ! Tried Kadai paneer couple of times.It's subtle and flavorful.
The Malai Kofta gravy is more on the sweeter side...",4,"2 Reviews , 1 Follower",3/17/2019 9:29,0,
NorFest - The Dhaba,Priti Singh,"I ordered food here.but one guy called me nd said food is not available. Restaurant guy called me nd declined the order. If food was not available ,you should not taken the order.",1,"1 Review , 1 Follower",3/15/2019 20:20,0,
NorFest - The Dhaba,Ashima Saxena,I ordered Lucknowi veg galouti kebab and paratha through ZOMATO but the quality of the kebab needs some serious improvement and were very oily too.,1,"17 Reviews , 3 Followers",3/14/2019 20:50,0,
NorFest - The Dhaba,Vaishakhi R Kamath,Ordered Paneer Makhani from NorFest and I would mark it to be the finest Paneer Makhani that I've ever had.. the paneer was soft and the gravy was just so amazing. The dish was made to meet utmost perfection and I recommend it as well .,5,"19 Reviews , 15 Followers",3/14/2019 15:19,0,
NorFest - The Dhaba,Shashi Saini,"In Simple lines ""Good Thing Comes In Small Packages"" . People who love a authentic north indian / Desi Type , this is the place to visit.  Remember this is a Eat Out in a Shopping mall not a restaurant.

Price are reasonable. They have kept there menu Simple, not like in restaurant having menu books where you struggle to order.  I tried both veg and non veg [ starters and main course ] , after having a bite i had to appreciate  ""it's good"".",5,"4 Reviews , 6 Followers",3/6/2019 2:39,0,
NorFest - The Dhaba,Piyush Rangani,Its my all time favourite.. mutton galuati kabab and paneer mirch wala are my favourite.. also one can taste shikanji/jaljeera here which is awesome..,5,"6 Reviews , 99 Followers",3/5/2019 19:13,0,
NorFest - The Dhaba,Nitin Bhapkar,Amritsari Kulcha and chole is MUST try at this restaurant. Located in happening place yet economical option which provides value for money. Portion size is really good and recommended to carefully order to avoid wastage,5,"15 Reviews , 94 Followers",2/27/2019 23:02,0,
NorFest - The Dhaba,Atanu Ray,"Well this is the first time I ordered from NorFest - The Dhaba. I ordered for mutton combo meal which contains rice, dal makhani, 2 paratha and mutton with a pocket pinch of Rs. 400. However, very disappointed with the quantity of food. At that price range they are not providing a proper portion . Moreover the mutton was well cooked but out of 4 small pieces, 2 of them had bones and no meat . Kindly donot deceive your customers like this with good packaging . I gave three star only for the quality .",3,"1 Review , 1 Follower",2/24/2019 22:35,0,
NorFest - The Dhaba,Pratikr,i ordered punjabi chicken and my experience was horrible. Such a costly thing of rs 300 and such less quantity that hardly one person can eat. The food too was not fresh and was stale and was smelling. had to throw it away and neither zomato nor these ppl lsitened to any queries. I wud suggest not to order from here as u can easily get at this price from good restaurants,1,"2 Reviews , 1 Follower",2/20/2019 21:16,0,
NorFest - The Dhaba,Hayavadan Rao / The DeccanFoodie,A really good meal at a reasonable price. The quantity was perfect. Not a lot and not too less. I ordered the paneer combo and shikanji . Norfest dhaba has probably one of the best packaging materials. Looking at the box itself I started feeling more hungry. The only part in the meal that disappointed me was the shikanji. It was not something that you could brag about.,4,"129 Reviews , 286 Followers",2/15/2019 22:31,3,
NorFest - The Dhaba,Kankana Sengupta,Greeted warmly with experienced people explaining the various dishes available. One of the best places in town if you are searching for some really tasty food. Loved the taste specially the butter chicken. 😋😋 Will definitely recommend my friends.,5,"4 Reviews , 2 Followers",2/11/2019 0:02,0,
NorFest - The Dhaba,Lina Moolani,"This is opened up in SLN terminals and visitied during lunch time, its a shop in a food court so no ambience as such.
Their paneer combo is a must try, dal makhani was really good. Another thing we had was amritsari kulcha with chole - kulcha was good but chole can be made better. overall a must go to place for the northside taste.",4,"3 Reviews , 6 Followers",2/2/2019 14:23,2,
NorFest - The Dhaba,Parijat Ray,A must try place for north indian food lovers. The kebab items are highly recommended. The only problem is it is a part of a food court. The items are decently priced and very tasty.,4,"146 Reviews , 333 Followers",1/31/2019 23:51,0,
NorFest - The Dhaba,Riha Dhawan,"Finally someone can make food which I could call North Indian. Amazing place to have a typical north Indian types brunch or dinner. Only con I would prefer if they did had a proper place too.

Definitely visiting again.",4,"122 Reviews , 857 Followers",1/23/2019 14:53,0,
NorFest - The Dhaba,Lokesh Gupta,"*Fake Rating* !!Beware!!


We ordered galouti kabab and dhaba chicken... both were pathetic and nowhere close to the name of the dish.. orange galouti kabab with yellow paratha...dhaba chicken’s gravy tasted like toor daal",1,4 Reviews,1/21/2019 16:01,0,
NorFest - The Dhaba,Akash Dudi,Food was very tasty but a bit costly.specially their world famous kheer you should try. Starters were amazing. You can try thali here so that you taste everything.,4,2 Reviews,1/21/2019 3:21,0,
NorFest - The Dhaba,Sumit Kumar Jha,"Punjabi thali is awesome. Dal Makhani, Mix Veg., and Mushroom is recommended. However, cost can be reduced a bit, in particular, of the thalis.",4,3 Reviews,1/19/2019 17:18,0,
NorFest - The Dhaba,Swapna Kulkarni,"Last time I ordered mutton rogan josh from here, it was amazing but today it was not fresh and only bones, no meat. It’s sad my favourite restaurant is going down in quality",3,"13 Reviews , 25 Followers",1/16/2019 20:39,0,
NorFest - The Dhaba,Vivek Jain,"The place is located in the food court of SLN Terminus and the first branch of Norfest in the city. The seating is in the food court and the kiosk has the dhaba feel with copper vessels on the counter containing the frequent items like rice and chole.

As it was winter we were fortunate to have Makki ki Roti and Sarson ka Saag. The Makki ki Roti was a bit thick served with homemade white butter or makhan, Saag was good but lacked salt in it. The flavor was decent mix of sarson and garlic peices in it.

The next thing was Amritsari Kulcha and Chole, a must try and must have at Norfest. The Kulcha alone is sufficient to fill one person, the chole along with it might be a bit less but they do refill. The taste of the Kulcha is great but if your luck is bad you can get a less filled kulcha as well. The Chole is the perfect compliment to it and tastes good.

The final dish was the Paneer Lababdaar and Garlic Naan, the curry again lacked salt, and was not upto the mark in terms of taste. So overall not recommended.

VFM: 4/5
Taste: 3/5",3,"57 Reviews , 457 Followers",1/4/2019 10:58,0,
NorFest - The Dhaba,Anamay Tamrakar (Aman),"Good North Indian Food. I ordered from them a couple of times. Haven't visited the restaurant though, so can't talk abt the experience. The food is good.",4,"82 Reviews , 512 Followers",12/29/2018 10:58,0,
NorFest - The Dhaba,Gaurav Agrawal,Giving satisfaction to hunger and brings in value for money. Cannot get tired of ordering food from the restaurant. #awesome #fabulous #feedthehunger,4,"1 Review , 1 Follower",12/23/2018 20:01,0,
NorFest - The Dhaba,Punit Kanuga,"Ordered mix veg and tandoori rotis. Curry was tasty. However, I felt it had too much of beans. Overall, a good experience. I can order this again.",3,"1 Review , 5 Followers",12/20/2018 20:02,1,
NorFest - The Dhaba,Atul Kumar Kushwaha,Good taste and best place with special thalis. Complete punjabi taste with chaachh. One of the good punjabi taste in hyderabad. A must go at least once.,4,"20 Reviews , 54 Followers",12/10/2018 17:32,0,
NorFest - The Dhaba,Luck@chance,"I am shocked and I ever had in my life food taste like this in th any common food court of India it was my 2nd visit in 2 days, M impressed by veg Galaouti kabab what a flavour , smoothness, textures, binding, combination of paratha , now I am a big fan of Norfest.. it's simply located in food court no necessary and unessary interior, simple and fresh, love the food.

We order something like jaljeera green ... 5*
Lassi salted 5*
Veg Galaouti 5* 6* 10* 100* I just love this
Non veg Galaouti 5*
Kheer 4* feel little thin...
Love the food keep it guys I wish you good luck.

Highly recommended for North food lover
Chandni chauk bhool jaoge full copy of Delhi high street...
Good Job ..",5,"32 Reviews , 183 Followers",12/5/2018 11:55,2,
NorFest - The Dhaba,Malay Pande,"I hv been away from Hyderabad from a year ...on coming back ...my brother told me about the dalnmakhni from this place .....he said it was amazing .......
I ordered a couple of items along with dal makhni ......no doubt the dal makhni was nice but it can't be compared to d Delhi dal makhni ...

The menu is very crisp .....overall the food is really nice .....I would rate this place a 3.5 ....",3,"126 Reviews , 277 Followers",12/2/2018 13:34,0,
NorFest - The Dhaba,FAIZ REHMAN,"By far, one of the best restaurant for North Indian Cuisine. It is our go to outlet for ordering food. The Thalis are really fabulous(Both veg and non-veg) . The quantity is more than sufficient for one person and quality has been really consistent!
They also offer Lucknowi biryani which is is different from normal Hyderabadi biryani and the meat and rice is mixed well (A typical awadhi pulaao). Overall, a great restaurant to satisfy your North Indian taste buds!",5,"40 Reviews , 116 Followers",11/18/2018 21:56,0,
NorFest - The Dhaba,Anand Prabhala,Best place for authentic drool-worthy north Indian food. Reasonably priced and great ambience. The Dal Makhani was definitely the best I have had in Hyderabad.,5,"1 Review , 6 Followers",11/13/2018 13:15,0,
NorFest - The Dhaba,Haindavi Dandu,"Being a veggie... It gets difficult to find good vegetarian food, but every time i have food from this place, its really good. I wonder how they are able to maintain consistency both in terms of quality and quantity every single time.

Overall review: Best place for north indian food!",5,"3 Reviews , 28 Followers",11/13/2018 13:15,0,
