Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Olive Garden,Smrati Saxena,"I ordered noodles and manchurian combo from this place, first of all i would like to suggest management to send fork along with the food as they have only sent the spoons and needless to say you cannot eat noodles from spoon. second the quantity was really less of manchurian. some improvement in food is suggested",3,"18 Reviews , 41 Followers",5/23/2019 21:02,0,
Olive Garden,Madhup,"A really nice place. The ambience was very very good. The views from here are killer. But honestly for me and my friends, their menu was not enough. Still, worth a look.",4,"16 Reviews , 10 Followers",4/18/2019 20:05,0,
Olive Garden,Naveen,"Food and ambience is average, waiter is not serving the food properly, we need to keep asking him to bring salads, chutneys and all, finally he demanded particular amount tip while paying the bill.",3,"8 Reviews , 1 Follower",3/31/2019 13:13,0,
Olive Garden,Manas Ranjan Sahu,Staffs are very professional. It was an excellent experience. We had chatpata tandoori kabbab was fantabulous. The place is super good and must recommend for kabbabs.,5,"6 Reviews , 23 Followers",3/27/2019 23:11,0,
Olive Garden,Kumar Abhishek,"Good lunch and buffet menu. Loved this place. Had been here a few times with my team for linch buffets.

So here goes my review:
Food:4/5
Ambience: 3/5
Service:4/5
Budget: 3/5",4,"35 Reviews , 77 Followers",3/16/2019 23:05,0,
Olive Garden,Ananth Popuri,"Place was fine. And the food was okay. But i guess the people who served us was not sure about Zomato offers when you are a gold member.

It’s good for buffet, but I would not recommend for Zomato gold membership.",3,"12 Reviews , 4 Followers",3/9/2019 15:29,0,
Olive Garden,Ramesh Kendre,"Came with my friend for birthday celebration we ordered al a carte starter broccoli nuggets,fried baby corn , paneer pahadi kebab was awesome. Main course we ordered Biryani was nice. Ambiance was good. Friendly staff over all it's pocket friendly restaurant.",5,1 Review,3/5/2019 19:50,0,
Olive Garden,SHYAM SUNDER,"Went with family for dinner ordered soup and chicken satay it was very good. Main course ordered mutton organ josh and butter nan it was awesome ambiance is OK. Over all its good restaurant.

Food- 5/5
Sevice- 5/5
Ambiance - 5/5",5,"1 Review , 1 Follower",3/4/2019 15:58,0,
Olive Garden,Neeharika,"I went for dinner with my friends. The food is good. We ordered chicken manchow soup, apolo fish as starters and alfredo pasta as the main course.
Butt we found a cockroach on the table while we were having our dinner.

So, 2 star as it really freaked me out!",2,2 Reviews,3/4/2019 10:37,0,
Olive Garden,Sujatha Kutnur,"Was in Gachibowli recently regarding some work and landed up in Olive Garden for dinner after seeing their reviews. Food was exceptionally good, especially their crispy corn. Even their main course items namely malai kofta and chana masala were very good. All in all a very satisfying experience.",5,1 Review,3/3/2019 18:12,0,
Olive Garden,Manikanta Annamraju,Food is good. Good for ordering for team lunch if you prefer not to go out. Ambience is not very good. This is my personal experience.No offense.,3,"4 Reviews , 4 Followers",3/3/2019 15:01,0,
Olive Garden,Thehungryhyderabadi,"This one is near to paradise gachibowli. The ambience is decent and the service is fine. We tried the pepper chicken for starters and then for main course, we tried kolhapuri paneer with butter naan and tandoori roti. Pepper chicken but the quantity was too less for their price. Either the quantity or price could be changed. Main course was fine, especially butter naan was really nice.",3,"145 Reviews , 248 Followers",2/12/2019 23:43,2,
Olive Garden,Neelesh Singh,Kindly stop listing north indian dishes like chicken chatpata. I haven't tasted any item like this smelling and tasting like only curry leafs. Just put me in a bad mood. Complete waste of money.,1,1 Review,2/10/2019 22:49,0,
Olive Garden,Namballa Gopi,"Came with my family ordered pepper chicken, corn soup, Rogan gosht and biryani. all was testy it's good hospitality restaurant. I would recommend 5/5.",5,"1 Review , 1 Follower",2/8/2019 20:13,0,
Olive Garden,Taj Hosen,"I'm visited Olive Garden with my team around 9 members, we had taken buffet they served 6 starter, it was excellent. Specially chicken kebab and Appolo fish was very good. Main course was also good. Chicken Biryani was awesome in desserts. Rasmalai was mouth smashing. Honestly we had enjoyed a lot. Ambiance is nice. Service was good and staff also. It's a pocket friendly restaurant. I would suggest visit once.",5,1 Review,2/8/2019 19:34,0,
Olive Garden,Rahul Sai,"Sincerely I have never seen such a worst service ever, management doesn't know how to speak with customers.

We went for Ala-carte and taste of food is too low.

Even buffet experience is also not worth for cost",1,"26 Reviews , 22 Followers",2/7/2019 20:28,0,
Olive Garden,Jayaram,"Been exploring about restaurants in Gachibowli and found this place. Been to this restaurant ordered chicken drumsticks and spl chicken biryani which tasted really good, finally ended with a good dinner. As the taste was good ordered a non veg combo next day and surprised to see a cockroach in the meal. It was really a bad experience to see a cockroach where the restaurant has taken away all the positive views that I had towards it. Please don’t play with health of customers, it takes time for anybody to order food again if we come across these situations. Please note that Restaurants shouldn’t be the place to hospitalise customers by making them unhealthy. Apologies will not do anything, maintain healthy and hygiene environment. Thank you olive, you lost a customer and I will not visit this place anymore.",1,"2 Reviews , 1 Follower",1/31/2019 16:39,1,
Olive Garden,Vaishali Ghosh,"This is a good place for north Indian food to have. We went very late around 10pm BT they are open till 11 i guess. We ordered golden prawns, tandoori chicken bhuna murg, butter nan. The tandoori which was really good.only the masala kulcha was not upto the mark and less pieces with no masala inside it. This is a zomato gold resturant which can save you bucks.
Tandoori chicken - 4.5
Golden prawn - 4
Bhuna murg - 4.5
Nan and kulcha - 4 so over all food - 4
Ambience - 4
Staff response - 4",4,"24 Reviews , 43 Followers",1/19/2019 15:17,7,
Olive Garden,Namit Agarwal,"A decent restaurant among pubs and restaurant in Indira Nagar to have some proper North Indian food.

In food, I tried Paneer tikka masala, masala kulcha, and some masala Papad. All of them were pretty good. It has the complete feel of a family restaurant and the prices are also pretty reasonable. The quantity of the food is decent as compared to the price.

The ambiance is nice and the staff is courteous.",4,"179 Reviews , 1877 Followers",12/30/2018 14:00,7,
Olive Garden,Srikant,Biriyani quantity is less,4,1 Review,12/7/2018 14:16,0,
Olive Garden,Rinkal MIstry,"The worst place. I went there with a frnd today. We ordered Manchow soup and Alfredo penne pasta. The service is damn slow. Soup didn't have any taste
Pasta was terrible. They just boiled it and dipped into a bowl of white sauce. Nothing else.",1,"3 Reviews , 2 Followers",11/29/2018 22:52,0,
Olive Garden,Harsha Pops,"This place is just great, was actually skeptical before entering the restaurant but then the crew were really humble. When I first entered, the whole place was empty but with in 30 mins, the place was all full.

Their dishes were a great deal. Maybe not any different from the regular items, but were really tasty. And mutton rogan josh, is a must try.",4,"30 Reviews , 180 Followers",11/28/2018 10:33,0,
Olive Garden,Ravi Bajaj,"It was my 4th order with Olive Garden in the last 6 months.  I loved the food from this place and this is the reason I ended up ordering from here multiple times.

This time it was a total disappointment in terms of the Veg Food and the service that was provided.

There was no difference in terms of taste and appearance for Veg Dum Biryani & Veg Pulao.  Both of these dishes were same I don't know how the restaurant makes that difference - still wondering.

In terms of the service, I ordered the food from Zomato at 8.00PM and the time of delivery was shown as 8.55PM.  I ordered it keeping in mind my meeting timing, however the restaurant was able to provide food to the delivery guy only at 9.30 which is like 35 mins late from the slated time.

I would still want to rate the food a 4 even after my bad exp with Biryani & Pualo.

Service wise I would rate this place a 2.5

The manager/executive from the restaurant to whom I spoke over the phone just kept saying one thing that sir we are working on your order and it will take 10 mins.",3,"10 Reviews , 27 Followers",11/21/2018 19:27,0,
Olive Garden,Mimi,"After getting suggestion from one of my friends, we went tonight there for the dinner. We were two and ordered Tandoor Chicken, Virgin Mojito cocktail, Veg Fried Rice and Schezwan Chicken...All the items were extremely good and very tasty. The price of each item in the menu was satisfactory. The behavior of the staffs were also so calm and polite. They accepted Zomato Gold too. We appreciate the job of the cook and the staffs there. The decoration and the sweet 90s music made the dinner fantastic. Loved to visit the restaurant and will surely visit again.",5,"15 Reviews , 8 Followers",11/18/2018 23:48,0,
Olive Garden,Rajsi Gaikwad,"We visited this place on a weeknight so there was very less crowd. The veg food was okay. On nonveg side we tried their buffet. They served soup with 2 starters, salad and some veg starters. The soup and the starters (the apolo fish and the chicken kebab which was not even close to any kebab) was good. The curry and roti was okay and the biryani they served was tasty. Overall the food was not bad with very reasonable rate. The place was comfortable and the service was quick.",4,"50 Reviews , 69 Followers",11/17/2018 11:18,0,
Olive Garden,Romy Mathew,Olive garden cares - very difficult to find a restaurant where the staff is as good as the food. Maybe the first time I got the experience for which I have been shelling the extra bucks. My rating is based on the food and the quality of service.,4,"12 Reviews , 7 Followers",11/8/2018 22:49,0,
Olive Garden,Taj Khan,"Came with coligue for buffet and found the quality of food was very good. Buffet spread also good. Starters was yammy. Desserts was amazing. Service was very good and teams are attentive. We suggest to our other teams to come Olive Garden. Price is pocket friendly.

Food 5/5
Service 5/5
Ambieance 5/5",5,1 Review,11/6/2018 14:50,0,
Olive Garden,R A,"It was nice experience with team. They have lovely ambience good spread of buffet need to work on service. Service is not up to mark what we expect from this kind of restaurants.
Ambience 5/5
Food 4/5
Service 2.5/5",4,"73 Reviews , 1936 Followers",11/5/2018 21:29,0,
Olive Garden,Juhi Bakshi,Loved the food and very reasonable rates. Food tastes fresh and relish-able. Pocket friendly meals & buffet. Would love to spend my weekends for full appetite Indian snacks and curries,5,1 Review,11/4/2018 20:06,0,
Olive Garden,Susmit Ghosh,Very nice food with home made style curries. full meal can be really enjoyed in the weekend or the weekdays buffet. best part is that the rates are quite economical. Worth a visit,5,"1 Review , 1 Follower",11/4/2018 20:02,0,
Olive Garden,Sowmya4pragada,"Very good delicious North Indian dishes served hot with little waiting time after ordering. Liked kadai veg curry and paneer butter masala plus Romali roti, good deserts, excellent place for food lovers
Ambience 4.9, quality 4.8, service 4.9",5,1 Review,11/4/2018 19:36,0,
Olive Garden,Krishna Kanth,"Delicious food, good quantity, service was also nice.Veg starters were good.Nice interior
Starters- 5/5
Soups-5/5
Roti- 5/5
Curries- 5/5
Biryani-5/5
Rice and noodles-5/5
Will visit again with family",5,1 Review,11/4/2018 19:24,0,
Olive Garden,Snehakumari,Really average..had buffet lunch ... Served everything on table... Nothing great about it.. really average interiors.. food was just not bad.. but just above bad.. passing marks u could say in terms of food.. ambience and money.. wouldn't recommend it and big no for a 2nd time..tried and forgotten..,2,"7 Reviews , 3 Followers",11/3/2018 16:19,0,
Olive Garden,Naveen Kumar,"Have been here many times. I was a frequent at their madhapur branch since 2006. Its a quiet place and family friendly. The lift is old, dark and horrible. It feels it will breakdown, except that it doesn't. They tried installing another lift but that turned out to be scarier that the first one. Coming to the food. Its just okay. Nothing outstanding or too bad. Starters and Chicken items are usually good enough. Their tandoori chicken doesn't have breast portion. I couldn't understand the rationale behind it, its just leg, thigh and wings. And yes I don't know why they have downgraded their crockery. They serve curries in smaller household type steel bowls.",3,"23 Reviews , 6 Followers",11/3/2018 11:17,0,
Olive Garden,Samir Padhee,"Bought coupon from nearbuy @ 375. It was mentioned that the actual price is 469 which is false.I have attached the price tag mentioned at their hotel.
I compared it with the other hotels near by and I feel it is highly overpriced.It should be aroud 250.
Very limited starters and sweet items as compared to other nearby hotels.",1,"2 Reviews , 1 Follower",10/12/2018 14:42,0,
