Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Over The Moon Brew Company,Joel Coelho,"Great ambience, met an excellent man - Sarbeshwar. Super cool guy and great service. Food and music is excellent. Basil chicken tikka is a must try.",5,"7 Reviews , 117 Followers",5/24/2019 22:22,0,
Over The Moon Brew Company,Elizabeth Thomas,"Great service by Sarmeshwar. Nice ambience as always. Fantastic music, fantastic crowd. Good food and everything is nice about the place......",5,"1 Review , 2 Followers",5/24/2019 22:22,0,
Over The Moon Brew Company,Piyush Singhal,"This is the best place for beer lovers. With my few friends, we aare at otm gachibowli. Loved the ceaft beer, white high, 🍎 cider. And the food is awesome. We ordered mecican pizza , burmese parcel we just loved it. The ambience is simple best. Loved it.",5,"1 Review , 65 Followers",5/24/2019 18:33,3,
Over The Moon Brew Company,Noopur Majumder,Good food and nice craft beer. Service from sarveshwar. Lunch platter on weekday is quite expensive. Tables are well places so it does not seem way to crowded,5,"4 Reviews , 1 Follower",5/24/2019 15:36,0,
Over The Moon Brew Company,Sekhar Kavuru,Awesome place to chill. Must visit.miss it at ur own risk. Lager beer is awesome. Serving is professional esp. Johny suggested nice menu. Enjoyed starters. Khandari murgh rikka is juicy. Nice ambience,5,"2 Reviews , 3 Followers",5/22/2019 22:14,0,
Over The Moon Brew Company,Ananya Sahoo,Amazing service by Kamal !! He was really quick with the service and appreciate his recommendations on the menu!! Keep up the good work !!! 😊,5,"1 Review , 154 Followers",5/22/2019 21:39,0,
Over The Moon Brew Company,Ram,Best place to hangout with friends. I have been here with my friends for weekday party after ofc hours. Good service by Sarveshwaar. Must visit place.,5,"1 Review , 2 Followers",5/22/2019 15:55,0,
Over The Moon Brew Company,Nandakishore A,Service is amazing!!! Three cheese mushroom is a must try dish. Love the ambience too. And the Ceasar’s chicken salad was good.. wish it had more chicken though.,5,"2 Reviews , 78 Followers",5/21/2019 21:49,0,
Over The Moon Brew Company,Priyanka,Prathu has done a very good job.He was polite and friendly.He knows very well how to deal with the customers.Otm is a right place to hangout...,5,"1 Review , 2 Followers",5/20/2019 23:23,0,
Over The Moon Brew Company,Aditya Bajaj,Great place and amazing ambience .. perfect location .. excellent service from Sarvesharam.. good beers especially the in house brews and great food .. must visit place .. music is always good too ..,5,"2 Reviews , 60 Followers",5/20/2019 21:10,0,
Over The Moon Brew Company,Sai Harsha,"I really like the place.

We ordered
Chicken poppers - 4/5
Peri peri Chicken wings - 5/5 (Very spicy🌶)
California Chicken Pizza - 4/5
Service is lightning quick; really friendly and Efficient Staff.

Perfect Hangout place, if you like fresh Brewed Beer and good food, amazing ambience and Light Music. If you are zomato Gold member, You have one + one on Food too.",5,"13 Reviews , 26 Followers",5/20/2019 18:50,1,
Over The Moon Brew Company,Foodoholic,"With wooden closed windows covering the walls on the inside, warm well lit ambiance was a stark contrast to other restaurants. We were welcomed by a vintage salsa music with professionals dancing gracefully lifting the mood of the place.
I would recommend you to try 'Dream of Love '.
The menu is extensive. All the dishes we tasted were delicious.
We came out with lifted spirits over the moon",4,"7 Reviews , 6 Followers",5/20/2019 13:38,0,
Over The Moon Brew Company,Vishakha Mandal,OTM has always been one of our favorites but tonight it was a good experience with my 8month old baby. Very cooperative staff special mention to Mr. Sarveshwar. Excellent food and service. Will visit again soon,5,"1 Review , 2 Followers",5/19/2019 23:50,0,
Over The Moon Brew Company,Jhanshi Mishra,"Nice service, soothing music and great ambiance! Mr. Sarweshwar was very cordial and prompt at service! Had some different types of food and drinks for the first time.
Would love to visit this Gachibowli branch again!!",4,"107 Reviews , 394 Followers",5/19/2019 23:36,3,
Over The Moon Brew Company,G V Sandeep,Loved the place. Great food and ambience. Sarveshwar gave us good recommendations and was courteous throughout. Would definitely look forward to coming here again.,5,"44 Reviews , 179 Followers",5/19/2019 21:46,0,
Over The Moon Brew Company,Kiran,Was very pleased and surprised how lovely the place was and delicious food 10/10! Mr. Deepak welcomed us with BIG Smile and made our Evening very pleasant and memorable! I recommend this place 100% worth every penny! @Kavita&Kiran,5,2 Reviews,5/19/2019 19:57,0,
