Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Prism Club & Kitchen,Samsonjohn1417,"Nice ambience with light systems and music in an international level
We partied very hard with amazing cocktails
The bartenders were preparing cocktails & shots like india ever had
Its not only a club it is an other party world",5,"1 Review , 2 Followers",5/22/2019 16:54,0,
Prism Club & Kitchen,Prachi Pant,"Went to attend the Nucleya concert (May 2019). It was very very crowded. But the ambience is great. The interior design is definitely one of its kind. Good place to party with friends. The security is nice. Since it was a crowded evening, the only thing we ordered was a pizza, which was Okayish.",5,"25 Reviews , 133 Followers",5/21/2019 23:47,0,
Prism Club & Kitchen,Sneh Tarang Randev,"This place is lit! I totally enjoyed everything from service to set up to light, sound and the magical paper bursting thing they do towards the end. Given the current trend of clubs in Hyd, I don't find the place expensive. The waiters and bouncers were friendly, even on a busy night with Zaedan performing and took great care.",5,"3 Reviews , 1 Follower",5/19/2019 13:13,0,
Prism Club & Kitchen,Ashok Reddy,"Well well well!
This is the most happening place in the Hyderabad right now!!
Ambience as too good, a great place to dance!
I was there at this place for MC Sher (Siddharth Chaturvedi) event! I really witnessed craziest crowd in Hyd!! The event was really spectacular!
Would love to go to this place again!
Full pashaa log because it’s posh place 😉!
Only minus here is price!!",5,"9 Reviews , 9 Followers",5/18/2019 23:22,1,
Prism Club & Kitchen,Jesal Vora,I had visited this place for the nucleya event. It was super crowded. V didn't even have place to stand. Since it was very crowded the service was delayed too. Overall the place is nice.. just the crowd was an issue.,4,"13 Reviews , 13 Followers",5/16/2019 15:15,0,
Prism Club & Kitchen,Venkat Murthy,"Well to start of with I was there for Nucleya event. The place is just awesome and in Hyderabad at first it was hard to find a proper club. And then prism happened. Great team who managed more than 3k people that night.

Ambience - 5/5.
Food - 4/5.
Service- 4/5.
Menu - 4/5.

A must visit place if you want to really enjoy clubbing.",5,"7 Reviews , 2 Followers",5/15/2019 13:59,0,
Prism Club & Kitchen,Amit Vij,"Loved the place and loved the music. Amazing DJs great food and drinks. Not very expensive. Ambience is worth experiencing the sound, lights and the special effects was one of the best I have experienced. I have partied in many places in Mumbai however this place took it to the next level",5,"10 Reviews , 166 Followers",5/12/2019 1:14,0,
Prism Club & Kitchen,Shahrukh Hasan,"The reception was quite disappointing. We came at around 7, we were asked to come in an hour confirming that stag entry was allowed for a certain fee.

Later at 9 we were just denied entry becaue apptetnyl everybody at the reception had quite an attitude and trip of their own.

The most disappointing experiences in Hyd.",1,"1 Review , 12 Followers",5/11/2019 21:45,0,
Prism Club & Kitchen,BHUPINDERPAL SINGH JUDGE,"Believe me, pls dont go to this pathetic place in hyd. I have been in many pubs in hyd but this is beyond worst. They don't know how to manage a huge crowd plus don't provide good service , plus there is network issues so you cannot pay through your card and they will force you to pay cash",1,"1 Review , 1 Follower",5/11/2019 1:15,0,
Prism Club & Kitchen,Harshet Agarwal,"This place a great feel to it 
very vibrant and loud
good to have a pool party at this time of the year
amazing place to party
hoping to visit soon",3,"34 Reviews , 36 Followers",5/4/2019 18:05,0,
