Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Royal Spicy Restaurant,MD Nehal Afroz,Delivery on time,5,"6 Reviews , 1 Follower",5/8/2019 3:38,0,
Royal Spicy Restaurant,Irshad Ahammad,"Worst chicken biryani ever had in Hyderabad till now
No salt ,less chicken pieces
No taste nothing
Even road side stall who sell biryani in 60 rs/- provide 100 times better biryani than this",1,"1 Review , 1 Follower",5/1/2019 14:11,0,
Royal Spicy Restaurant,Vishnu,"I have ordered tangdi kabab, I think being late nitr order this people have packed mixed chicken pieces, I got 2 tandoori 1 biryani leg pieces and one tangdi piece. I request restaurant plz don't accept orders if you don't have enough food.don't try to fool people.business success depends on trust and quality I think u should understand it.",1,1 Review,4/22/2019 19:17,0,
Royal Spicy Restaurant,Shikha Khandelwal,The food was far more spicy than what was mentioned in the instructions for the restaurant. It was ordered for a person having mouth ulcers and he is on his way to hospital due to restaurant negligence. Worst service by the restaurant.,1,"2 Reviews , 1 Follower",4/21/2019 2:34,0,
Royal Spicy Restaurant,S G K,I placed an order for Special Chicken Biryani. The taste and the presentation of food is good. The chicken pieces are so delicious and the rice is so good.,4,"10 Reviews , 11 Followers",4/19/2019 21:08,0,
Royal Spicy Restaurant,Asfia Begum,One of the best biryani of the this ipl season accidentally order but find one of the best place for starters and wide range of variety of biryanis must try taste 5/5 quality 5/5 overall 5/5 thanks zomato,5,"2 Reviews , 1 Follower",4/18/2019 21:58,0,
Royal Spicy Restaurant,Aishwarya R,I had ordered briyani combo in the midnight and it was extremely spicy and had stomach upset entire day.. please do not prefer this restaurant if you are not spice lover,1,"14 Reviews , 10 Followers",3/27/2019 8:55,0,
Royal Spicy Restaurant,Chakradhar Koduru,I ordered boneless chicken biryani and food was not at all hot and it smelled like it was cooked long back. Worst experience. Not going to order again from this restaurant.,1,"11 Reviews , 3 Followers",3/25/2019 16:28,0,
Royal Spicy Restaurant,Gunjikrishna23,worst food I ever had,1,"3 Reviews , 1 Follower",3/24/2019 4:16,0,
Royal Spicy Restaurant,Khushboo Pandey,":I had veg curry combo for 193 rupees and the review is based on that.
Quantity: It was so good 3 people ate in that quantity 5/5
Quality: Taste was also very good I liked everything especially the curry 5/5
Value for money : 5/5
Packaging: 5/5

Overall its 5/5 and a recommended place to have good food.",5,"59 Reviews , 42 Followers",3/6/2019 21:08,1,
Royal Spicy Restaurant,Surya,Ordered chicken dum and received at fine time even though ordered at very late night. Tastes smooth and not at all spicy which is good for non spicy lovers and ofcourse chicken too cooked well. Can order when u feel for Dum,4,"10 Reviews , 2 Followers",2/20/2019 6:38,0,
Royal Spicy Restaurant,Alekhya Reddy,The rice was not at all tasting like biryani and it is very cold,2,"1 Review , 32 Followers",2/16/2019 8:38,0,
Royal Spicy Restaurant,Charan Reddy,"I have ordered food from the restaurant in the late night,they have the best biryani specially boneless chicken biryani,mutton keema biryani and kaju biryani are worth to try for,they have a wide spread of biryani still looking forward to try some more",4,"64 Reviews , 171 Followers",2/6/2019 19:01,0,
Royal Spicy Restaurant,Devendar Elamarti,"Since my childhood, I've always been a fan of gongura with non veg and when I got to know that this place serves a good Gongura Biryani, thought of having it.

And then comes a day when I finally ordered it and guess what, as soon as you see it, you'll fall in love with the colour of biryani 😍 Hopefully that is not an artificial colour. But coming to taste, it's awesome. Just lyk God is omnipotent, the flavour of Gongura is omnipresent😉 I mean in every rice grain you can sense it. The chicken pieces too were very good. They are soft too as one my friends who has a fence to her teeth😜 could eat those easily 😂
Tagged at a moderate price , quantity is quite sufficient.

If you're a lover of Gongura , then this a must try.

NOTE: I don't have any idea about ambience . My rating confined to Gongura biryani alone as I haven't had anything else from there.

P.S. I still have this doubt how the chef managed to get that color to the biryani 🤔🤔🤔",4,"10 Reviews , 8 Followers",12/16/2018 1:50,0,
Royal Spicy Restaurant,Royal Spicy Restaurant,"I ordered ulavacharu chicken biryani spicy fried chicken, chicken fried piece Biryani excellent taste and good quality and quick delivery 😀😀😀",5,"1 Review , 2 Followers",12/6/2018 15:59,0,
Royal Spicy Restaurant,Leher Sadhnani,"""Not so spicy, but totally lip smaking”

I was not sure whether i should order from this place or not. With a semi doubt went ahead and ordered fish biryani and curd rice with coke. And i must say it was a good decision i made. The biryani was so good with nice quantity of fish 65. The curd was so creamy and good that i will surely order again from here.",4,"139 Reviews , 685 Followers",12/1/2018 9:01,0,
Royal Spicy Restaurant,Keerthi M,I have ordered egg biryani from this restaurant. Taste wise not that much superb.But quantity wise it was more. I will give 3/5 for taste. But online order came very early. I can appreciate for restaurant fast service.,3,"48 Reviews , 15 Followers",11/24/2018 16:35,0,
Royal Spicy Restaurant,Suru Pandey,Ordered veg Manchuria at midnight and it was totally upto our expectations...very tasty food and packed nicely... Would recommend everyone to try out the Manchurian either by ordering or personally visiting the place...,5,"10 Reviews , 13 Followers",11/14/2018 23:11,0,
Royal Spicy Restaurant,Manojgoud2994,Not so Good....Food is average.....Quality is not so good.......Only packing seems to be good but not the food.....I think its waste of time to visit,1,"2 Reviews , 2 Followers",11/2/2018 0:43,0,
Royal Spicy Restaurant,King K,Have ordered ulavacharu biriyani its very tasty and we liked it. Any new buddy.... Just try it once and you will love it. #tasty #loved #resonableprice.,5,"1 Review , 3 Followers",10/31/2018 4:18,0,
Royal Spicy Restaurant,Akash Awasthi,I didn't try too many things from here but Chicken Dum Biryani was good. Quantity was very good if you are a single person then it is too much and for two people it's not very enough you would need to get a shake or something with it. It's not like you will be hungry but you won't be full till neck(that's how I like eating biryani). If two persons are just normal eater then it's a win-win.,4,"4 Reviews , 8 Followers",10/14/2018 11:58,0,
Royal Spicy Restaurant,Issak Khan,I loved the biryani very good taste great quality .. if you are looking for variety of biryani try this place you will find great range variety,5,"1 Review , 2 Followers",10/13/2018 22:46,0,
Royal Spicy Restaurant,Shakanth Thammishetty,In time,5,"2 Reviews , 3 Followers",10/12/2018 13:30,0,
Royal Spicy Restaurant,Vara Prasad,Delivered In time,5,"2 Reviews , 6 Followers",10/12/2018 12:56,0,
Royal Spicy Restaurant,Sai,ok,3,"1 Review , 1 Follower",10/10/2018 8:31,0,
Royal Spicy Restaurant,Mahesh,deliver got very soon .. and biryani was Good.i have ordered kaju biryani here with in 25 minutes i have got delivered to my location and ZOMATO user interface was awesome .. loved it ..,5,"1 Review , 4 Followers",10/9/2018 3:55,0,
Royal Spicy Restaurant,Ganesh Jally,"Great food, i love the ulvacharu biryani from here. Ambience is alright but could be better.taste wise,awesome! But most importantly prices are very competetive which makes it affordable.",5,"1 Review , 1 Follower",10/9/2018 1:22,0,
Royal Spicy Restaurant,Sara Krish,extra ordinary biryani,5,"4 Reviews , 10 Followers",10/2/2018 3:40,0,
Royal Spicy Restaurant,Mahesh P,"Food Package is ordinary, I think with the same reason food is going to taste less.",3,"1 Review , 2 Followers",9/30/2018 15:16,0,
Royal Spicy Restaurant,Anjani Shyam,good delivery,5,"2 Reviews , 2 Followers",9/21/2018 13:44,0,
Royal Spicy Restaurant,Sharath Kumar,very poor taste...never ever should order from this restaurant....waste of money....,1,"16 Reviews , 4 Followers",9/19/2018 3:19,0,
