Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
SKYHY,Manisha Rao,Starters was ok to taste but after effect lasted for days. The colour of the stools was black for almost 5 days from the day we visited that place. My friends experience after having those starters was horrible.She was admitted in hospital.,1,"1 Review , 2 Followers",5/24/2019 17:18,0,
SKYHY,Vigil Venugopal,The biggest screen in town with a lovely rooftop. But portion size and value for money takes a dip. They have different rules on zomato gold or Dineout. Pricy too !,4,"24 Reviews , 295 Followers",5/23/2019 17:32,5,
SKYHY,Ram Prakash Reddy,"the name resembles this place with their prices(Skyhy).Very bad experience, worst food, worst service. We ordered spicy grill chicken, we couldn’t differentiate whether it was chicken or some other cheap meat. The fish fingers were oily as Hyderabad’s summer sweat! 😂. I would rate 0/5 for this place",1,"2 Reviews , 1 Follower",5/12/2019 20:50,0,
SKYHY,Susmitha Penisetti,"I have been to this place with my friends on a Friday evening as they had Bollywood night starting from 8.
The food was average. They didn't even had Breezer which is disappointing. The service was not that great.
As mentioned earlier, They has Bollywood night which didn't even start till 10pm.
Finally,
Food - 2.5
Ambience - 3
Service - 3
Menu and pricing - 3",3,"20 Reviews , 23 Followers",5/11/2019 23:55,0,
SKYHY,Shailesh Pachbhai,"I visited this place on Friday, but I don’t like food and service provided. I ordered barbecue chicken but it was not cooked properly but I liked the ambiance and open terrace.",3,1 Review,5/11/2019 17:50,0,
SKYHY,Nikunj Keshav,I have been to this restaurant to see my friend. The place is well situated on the main Gachibowli road near by the flyover. Ambience was nice and the taste of food is good too. We order a cheese balls in the started and a veg sizzlers. Sizzler was amazing and sumptuous. Recommend this place to visit once at least.,4,13 Reviews,5/10/2019 21:09,3,
SKYHY,Abhinav Kulshrestha,"Been here a lot of times and it's a place to go to when weather is nice as its in the open.
Food is good and menu has decent choices.
Dance floor is limited to couples though or you have to have at least a girl in your group to enjoy dancing.",4,"10 Reviews , 4 Followers",5/6/2019 14:16,0,
SKYHY,Hemachand Yadav Gogula,This place is awesome to hangout with friends. I liked the dance floor and the way they serve the food and been polite with customer. But food was average need to improve in that a little.,3,"7 Reviews , 5 Followers",5/5/2019 17:53,0,
SKYHY,Phani Dileep,"Again I was in dilemma between 3 to 4, place is good and nice terrace. But it's very very small. The night will purely depends on band playing that night. All regular options of menu available. Food is OK and nothing special with drinks but a good evening can be passed through.
OK kind of for your money as I am comparing other places in same area",3,"99 Reviews , 106 Followers",4/30/2019 0:57,0,
SKYHY,Rakesh Dara,If there z an option to give 0 I certainly do that disgusting food ordered multiple option thinking at least this one should be fine but none of the dishes are promising not even close to basic taste avoid this pub nothing means nothing in food and price range is not less...if u dare to go after looking into this review no one can’t stop u . worst experience ever had..,1,"1 Review , 9 Followers",4/28/2019 23:15,0,
SKYHY,Siddhanta Dey,Been there on a Saturday night and the atmosphere was electrifying. This place has a nice rooftop sitting area and also a dance floor. Excellent service.,5,"3 Reviews , 1 Follower",4/28/2019 18:06,3,
SKYHY,DNiharikaa,"One of good open terase place in town.

Food was good, mood uplifting dance floor.

To hangout with friends it is a great place to visit 🤟🏽🤟🏽",4,"5 Reviews , 2 Followers",4/21/2019 13:52,0,
SKYHY,Gordon,Been there with friends. They took 2 hours to get a starter. No lights and he refused to turn on lights. Regret visiting this place .. I will not go there again,1,"1 Review , 48 Followers",4/15/2019 1:34,0,
SKYHY,Buddha Sudeep,"The worst behaviour of staff, we are seating on rooftop and went to dance floor leaving our belongings at our table and one Stuart comes and asks us credit card as deposit. What kind of service is this, in last 12 years i have visited 100s of pubs in India no one asked such. Dear SKYHY if u think u r one of top pub, listen there are more which give better service than you.",1,"38 Reviews , 37 Followers",4/13/2019 22:56,0,
SKYHY,Raja Gopal Reddy Chereddy,"The most happing place for me.. multiple visits because of their terrace seating and large screen.
Multiple match's I watched here with my friends.
As compared to multiple places in hyd, it's bit costly but worth it.",5,"20 Reviews , 27 Followers",4/9/2019 22:59,0,
SKYHY,Akhil,"Wanderfull place. nice hospitality
amazing dance floor
good food
friendly staff
I really enjoy
Skyhy is one of the best pub in Hyderabad
I love this place",5,"1 Review , 1 Follower",4/8/2019 3:13,0,
SKYHY,Palak Jain,"Awesome place for couples to visit... Not so loud... Just if u wanna have a romantic date and chitchat with ur partner in dim lights with not so disturbing crowd this is the perfect destination....

The food they serve is awesome... Specially jalapeno cheese poppers.. and best thing live sport screening if you are a fan...",4,"10 Reviews , 4 Followers",4/6/2019 10:16,4,
SKYHY,Madhuri,"Had peri peri chicken and dragon chicken starters.... Taste is OK.... Peri peri chicken served with fries but not spicy and dragon chicken is spicy and sweet sauce mixed....
With zomato Gold had a good experience...
Ambience - 3/5
Food - 3/5
Quality - 3/5
Quantity - 4/5
Management and waiters are good in service becoz we went in weekday so didn't had any problems.... One best thing to watch cricket on screen on terrace....
At last had a great time with friends...",3,"82 Reviews , 93 Followers",4/5/2019 13:57,0,
SKYHY,Niranjan Kumar Muthineni,Worst place to be on a Saturday evening. Service was slow and there were hardly 3 tables with close to 30people in the whole of SKYHY. Two people were serving and 5 waiters were busy watching IPL. This was my first visit and for sure the last visit. I would not even give 1 start but had no other options!!!’,1,"2 Reviews , 39 Followers",3/31/2019 1:42,0,
SKYHY,Madhusha Urlam,"DJ floor is the best part of Skyhy 💃
The name of the lounge is justified with a decent rooftop.
IPL and T20 times are the best to visit this place
Although the food and drinks quality need to be improved on a little as we had bad experiences for couple of visits",3,"27 Reviews , 87 Followers",3/29/2019 13:00,1,
SKYHY,$ign,"Had the long island and the salsa nachos, bothered excellent, the nachos were delicious with a smoked after taste which was fantastic, the music and ambiance was on point and honestly first place iv seen who provielde sugar cane stick as a sterer it's a genius idea, good to chew on when you wait for your food! But more than anything it was the manager of the outlet who took the cake in terms of service stand up chap, props to him!",4,"50 Reviews , 55 Followers",3/11/2019 22:32,2,
SKYHY,Manisha Panda,"Well went to this place on a ladies night so drinks were on house! Yayy for that 🤟
All we had to buy was starters which were really good. The ambience is good; not sure about the rooftop as we didn't land there. Good DJ. Good service.
I'm saying good at every sentence cause it was not exceptional even though it was a pretty decent club.
Would suggest to go check out for once 😊",4,"19 Reviews , 53 Followers",3/11/2019 0:29,0,
SKYHY,Neha Singh,"I prefer outdoor. Music is good. Perfect for out dine with friend and can enjoy live match, if you like. Choose wisely from menu ( food), drink is fine!",4,"10 Reviews , 9 Followers",3/10/2019 18:01,0,
SKYHY,Arhan Khan,The best place to have fun and hang out with frind for a drinks . ...bar tender silu awesome make cocktail anf shoot food also good snd service,5,"1 Review , 25 Followers",3/9/2019 23:52,0,
SKYHY,Mayur Chawla,"Worst service. Kept us waiting for food but didn't had the courtesy to inform. After waiting for almost an hour we had to cancel. Management is very incompetent .Name of manager- Umakant.
Disappointed
...
Worst experience",1,"1 Review , 1 Follower",3/9/2019 23:39,0,
SKYHY,Sonali Singh,"Pathetic. Unprofessional staff. Bouncers will make you wait for 15-20 mins at the entrance even if you have made an advance booking for office party. Moreover, they ask to call any member from your group who is already in to verify whether booking is done or not, party is going on or not. If it was my personal party I would have immediately cancelled the booking and have gone somewhere else.",1,"7 Reviews , 10 Followers",3/8/2019 12:57,0,
SKYHY,Prasanna,They don't have any options.. they have an elaborate menu but have very few options available. Waste of going there... Service was not good too.... Cocktails were costly but they don't taste good at all...,1,"25 Reviews , 25 Followers",3/7/2019 15:52,0,
SKYHY,Aanya Sharma,"Very overpriced diluted drinks. On complaining the bartender said, it has very high alcohol content, blah blah and we don't know how the cocktails are made. Very arrogant and rude staff. The order took forever to come. Not sure if this is a Saturday night rush issue or a regular thing. 
When our order finally arrived, they got it wrong.
The dance floor was very crowded and some people were pushing us.

The only good part was 2+2 with zomato gold.

In the final bill, they charged us for 6 extra drinks and refused to update bill.
If you are a party of 4-5 people, please avoid this place.",1,1 Review,3/6/2019 0:47,0,
