Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Sardarji's Chaats & More,_ Gluttonous Hedonist,"The food is economically reasonable. The North Indian dishes including chole kulche, chole bhature and paneer butter masala are comparatively better than the chaats.",3,"12 Reviews , 4 Followers",5/23/2019 21:34,0,
Sardarji's Chaats & More,Minocher Hansotia,"Oh ho this place serves amazing parathas and their combos are worth it.. You experience it to appreciate it. Lot of crowd at meal times, so u might have to wait 15-20 min for your parantha to be made. But worth the wait.They have a small seating area inside too.",5,"6 Reviews , 44 Followers",5/18/2019 6:18,0,
Sardarji's Chaats & More,Gautam Narang,"Today I was very hungry as I had to skip my breakfast due to the workload. Moreover, I didn’t want to spend more than a hundred bucks on the brunch. This was the only restaurant on my mind. You can order a Paratha soaked in Butter with Raita, Chutney and Onions. It is heavenly; all for less than 100!",4,"7 Reviews , 5 Followers",5/6/2019 15:20,0,
Sardarji's Chaats & More,Tahishi Gupta,Ordered vada pav and pav bhaji. They had a variety of chats . Both the dishes were too delicious. A good snacks joint in Hyderabad. Their dahi papri should top your list.,5,"28 Reviews , 34 Followers",5/3/2019 13:51,0,
Sardarji's Chaats & More,Rishi Kumar,"Order rajma in 200 rupees. Taste is not that good. and quantity is too less as per charges.

Too too much spicy, was not able to eat it without water.

If you cant cook properly better dont sell it.",1,"3 Reviews , 2 Followers",4/27/2019 13:42,0,
Sardarji's Chaats & More,Raghavendra Deeduvanu,"Their gol gappa is a must try. It is different from what we get in Hyderabad. Chole bhature was also good. Ignore the attitude of the staff, especially the one at the counter.",3,"11 Reviews , 8 Followers",4/25/2019 1:41,0,
Sardarji's Chaats & More,Pallavi Mitra,Aloo onion paratha was awesome delicacy to have . Sardarji tussi great ho !! Mouth watering. Would love of you provide some more at cheaper price. Lassi is awesome as well thank you paji,5,"12 Reviews , 2 Followers",4/16/2019 20:53,0,
Sardarji's Chaats & More,Clifford,Been there for couple of times hoping that they will improve in terms of quality and service but honestly if you really want to eat some dumplings mix with 2or 3 pices of potatoes or paneer or whatever then go there and I bet you you will curse yourself later the funniest thing is that they don’t even know how to make a proper paratha or kulcha they are just making fool to everyone on the name of “North Indian Food” instead search for another joints in Madhapur or Gachibowli like “Parathas and more” or “just paratha” there you will get the real authentic food.,1,"3 Reviews , 3 Followers",4/16/2019 5:30,0,
Sardarji's Chaats & More,Manisha Mani,Dropped down my expectations. Ordered aloo tikki which was worst and palak chat which ended up delivering dhahi chat. That tasted sweet. I regret ordering.,1,3 Reviews,4/14/2019 3:05,0,
Sardarji's Chaats & More,Dristy Debanjana Panda,I ordered dahi bhalla papdi chaat and this is how they packed. They should pack it in a plastic box. The dahi was spilled over the polythene and hardly 20% of the dahi was left in the container. I paid money for nothing. They should give my money back for it.,4,"4 Reviews , 3 Followers",4/5/2019 18:23,1,
Sardarji's Chaats & More,Sanjay Yadav,I have been visiting/ordering from this place for over 2 years now. Chaats here used to be amazing but the quality these days has gone down.,3,"1 Review , 1 Follower",4/1/2019 9:28,0,
Sardarji's Chaats & More,The Foodie Bookworm,"I love the gol gappe here, At Hyderabad the gol gappe are different they add dal in it where as I am used to masala aloo filling. And they provide it best in Gachibowli.",4,"108 Reviews , 242 Followers",4/1/2019 0:55,0,
Sardarji's Chaats & More,Shalu Singh,"If you are craving for a chaat you must visit this place. I tried karara palak chaat, dahi poori and paani poori. Its not as good as we have it in north but definitely a must try.",4,"25 Reviews , 40 Followers",3/31/2019 14:50,0,
Sardarji's Chaats & More,Richa,"I ordered Aloo methi paratha and I'm it was awesome just feel lik I'm eating ghar ka khana its yummy😍😍
Previously also I have ordered from this restaurant and the food is so good. I think people should go there and have food its really good👍😇😇😇",5,"15 Reviews , 109 Followers",3/29/2019 11:01,1,
Sardarji's Chaats & More,Sonali Joshi,"The food is delicious from this place. Very meticulous packaging. I've tried pav bhaji, chole bhature, and almost all the snacks the place has to offer. Reasonable prices and good food quality. I'd definitely recommend this place to try for various chaats and snacks.",5,1 Review,3/29/2019 2:25,0,
