Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Shah Ghouse Hotel & Restaurant,Ashwi Sharma,"Haleem, the best place to try out.
Avaialble in all multiple outlets.
Haleem, usually found in the Ramdan season, months of march to July served by Shah ghouse and badam kheer are must try",5,"10 Reviews , 1 Follower",5/25/2019 18:32,0,
Shah Ghouse Hotel & Restaurant,Dasthagir Shaik,"Ordered Chicken Fried rice. Very good; however, didn't give curry with it. Not sure whether they forgot. But did like the taste of the variety.",4,1 Review,5/24/2019 21:48,0,
Shah Ghouse Hotel & Restaurant,Ram Chowdary,Wonderful place with good food taste i like the way they prepare the food. There i like they serve to us and the way they maintain the restaurant clean,5,1 Review,5/24/2019 18:37,0,
Shah Ghouse Hotel & Restaurant,Avn Patro,This time I have experienced Mandi it's very nice quality Mandi lovers will sure love this here with I will request the restaurant add more pics of chicken r mutton,5,1 Review,5/24/2019 17:33,0,
Shah Ghouse Hotel & Restaurant,Vinay,"Nice taste of Biryani, and the price was also fair, ambience was good.went with my team they loved it..starters were excellent with crisp and spices",4,1 Review,5/24/2019 3:01,0,
Shah Ghouse Hotel & Restaurant,Durga Anand,"No that good when compared to Tolichowki branch... Starters are good. But not the main course and Biryanis.
Tolichowki is the main branch for shah ghouse.",3,"1 Review , 1 Follower",5/23/2019 21:03,0,
Shah Ghouse Hotel & Restaurant,Mikhail Wadhwani,Used to hear that this was probably the best place to have haleem in the city. To my dismay I ordered their renowned haleem last night at about 12PM. Tastewise it seemed average but as I was hungry I finished it fast. Fell asleep at 2AM to wake up at 5AM with a severe upset stomach. This went on and when I woke up by 10AM my stomach still hurt. I'm pretty sure it was some form of mild food poisoning maybe due to hygiene  standards. Nonetheless if they keep this up they'll gradually lose their clientele. Would recommend a place called Cafe 555. Their haleem is far tastier and doesn't come with the complimentary food poisoning.,5,"22 Reviews , 171 Followers",5/22/2019 19:07,0,
Shah Ghouse Hotel & Restaurant,Sandeep Sood,"Food is good, but for the second time around they didn't send us our complete order. Had ordered 4 Naans, got only 2. Also got Daal Tadka instead of Daal Makhani. Not sure if its the Ramadaan rush, but now twice in a row our online orders thru Zomato have been messed up. Probably will avoid going forward.",2,"1 Review , 3 Followers",5/20/2019 12:42,0,
Shah Ghouse Hotel & Restaurant,Amar Singh,Best Hyderabad biryani. If you are visiting Hyderabad and you are a non vegetarian you must visit this place and taste the authentic hyderabadi biryani.,5,"4 Reviews , 2 Followers",5/20/2019 1:57,0,
Shah Ghouse Hotel & Restaurant,Rishi Bhatia,"I just went for the biryani, and it didn’t disappoint. We ordered the special chicken biryani. It was spicy and tasty and seemed proper Hyderabadi. One dish enough for two people easily. Decent service as well.
Ambience - 3.5/5
Food - 4.5/5
Service - 4/5
Cost - 4/5",4,"20 Reviews , 9 Followers",5/19/2019 23:54,0,
Shah Ghouse Hotel & Restaurant,Dinesh Jana,"Its a worst thing happened with me.we ordered for mutton family pack.here i got chicken familypack🙄i dont know who's neglegance is this..either restaurant person or delivery boy...i made a call to restaurent to know what's the problem is,but they are not responding at all..please check when you asked for food delivery....",1,"5 Reviews , 5083 Followers",5/19/2019 23:08,0,
Shah Ghouse Hotel & Restaurant,Ravi Munagala,"I have placed order for Mutton Haleem Special - 3 Qty and Biryani Rice - 1 Qty. Shah Ghouse and Zomoto together delivered shortage of Mutton Haleem Special - 1 Qty, informed to deliver executive while collecting parcel and reportes to Zomoto support. Zomoto team said that no response from Shah Ghouse regarding shortage delivery. Finall Zomoto also not confirmed anything and accepted refund only missed item value. Packing also very unhygienic. Totally upset with Shah Ghouse and Zomoto.",1,1 Review,5/19/2019 21:50,0,
Shah Ghouse Hotel & Restaurant,Priya Dasoju,biryani was oily,3,"1 Review , 1 Follower",5/19/2019 19:20,0,
Shah Ghouse Hotel & Restaurant,Arafath Ayubkhan,"I heard Haleem will be so good, etc etc but taste is not that great as others said. Just boiled the meat and grinded like paste. Nothing special in it",1,"1 Review , 1 Follower",5/19/2019 18:19,0,
Shah Ghouse Hotel & Restaurant,EatandRep.eat,"It’s a fact that the entire hyderabad waits for Ramadan just so that they can have haleem and no place better to do that than the king of haleems; shah ghouse.
Tip: ask the person to get you a no added oil haleem and trust me, it tastes much better. We also have the habit of adding pathar ka gosht on top to make it taste even more delicious.",4,"114 Reviews , 835 Followers",5/19/2019 16:35,1,
Shah Ghouse Hotel & Restaurant,Siddharth B.,"Always the best... The taste of the biryani is so unique that I can close my eyes, taste the biryani and tell that it's Shah Ghouse Biryani....

I deducted one point for the behaviour, which could have been better. Not pointing towards any specific scenario but I would prefer ordering online from Shah Ghouse than going there and eating, specially when I am late.

The quality sets it apart from its competition. It is guaranteed that you will get the same excellent quality of food everytime ...

I judge a restaurant by its consistency and Shah Ghouse is indeed the most consistent restaurant in terms of food quality.",4,"31 Reviews , 82 Followers",5/19/2019 14:16,0,
Shah Ghouse Hotel & Restaurant,Sandeep Khandekar,"Ordered kaju panner, they have delivered chicken curry. So disappointed. Enquired with Zomato delivery boy he says we just pick the item and come.",2,1 Review,5/19/2019 2:13,0,
