Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Shanghai Chef 2,Anupam Acharya,"We went to the first floor confused whether to go to Shanghai Chef or Kobe's, later to realise they are in the same restaurant (i.e they share floor space). We decided to order Chinese. We had the DimSum platter (3/5), Kung Pao Chicken (2/5), Dragon Prawns (2/5) and Fried Ice Cream (4/5). The chicken was hard inside (not indicative of fresh chicken), the prawns were sweet and the DimSums had thick coatings. I did not enjoy my time at Shanghai Chef. So maybe when you're there, just try the Sizzler. Ill update my review when I have it.
Kobe's is a really famous chain for Sizzlers.",2,"207 Reviews , 400 Followers",5/17/2019 12:18,2,
Shanghai Chef 2,Abhijeet Mahapatro,"They have a wide range of food offering. Nothing much to talk about ambiance. I visited this place 2 times in a week. 1st time ordered a sizzler which was fantastic.  2nd time we had a chicken stater, soup and a american chopsuey. Soup and starter was good but sea food American Chopsuey was not good. Being a person from coastal area I can tell if sea food is fresh or not, and boy, the prawns were not fresh that is for sure. All and all its a causal dinning if you crave for some variety of Asian food.",4,"9 Reviews , 14 Followers",5/14/2019 12:25,0,
Shanghai Chef 2,Rachna K,"Stale food and indigestible noodles. Please don't visit here if you don't want to fall sick. The chicken was dry and uncooked , the noodles was sticky and under cooked. Felt the items were reheated as it was served way quicker than expected.",1,"6 Reviews , 9 Followers",5/13/2019 20:06,0,
Shanghai Chef 2,Rahul Talekar,"Shanghai chef 2
Located in the gachibowli ,hyderabad .
Food they are serve is looking good and so tasty.
Price is reasonable.
Staff service is best",5,"12 Reviews , 4 Followers",4/30/2019 10:37,0,
Shanghai Chef 2,Subhendu Khan,"Location wise it is placed in a prime location, centre of IT area, Gachibowli. Food was so delicious, only if you like Chinese flavor, else don't visit. Interior ambience was not so cool, very ordinary. Different kind of soups and dimsums are available at reasonable prices.
Great place to hangout, but if you are planning to visit in weekend then prebooking is recommended.",3,"12 Reviews , 27 Followers",4/24/2019 23:58,1,
Shanghai Chef 2,Lavanya Chauhan,"Really loved the food.Tried new Chinese things.Would definitely recommend this.The service was a little slow,but the taste compensated for it.A must visit if you love typical Chinese food.",4,"4 Reviews , 19 Followers",4/23/2019 19:17,0,
Shanghai Chef 2,Aishwarya Pati,Extremely poor food quality. I have got my food order replaced everytime I have come here. The service is also not friendly. This is my last visit to this place. I am sorry for the negative reviews.. but this time it was unbearable.,1,5 Reviews,4/20/2019 17:59,0,
Shanghai Chef 2,Sunil Bathini,"Quantity is very less..... And not so tasty , but service is good. If it provide quantity with tasty food will help the restaurant to attract customers.",1,"2 Reviews , 1 Follower",4/19/2019 14:59,0,
Shanghai Chef 2,Anamay Tamrakar (Aman),"Its a casual place for good chinese food. The ambience is a bit dull, but the food is okay. Service is ok. Have been here on multiple occasions and have liked the food they serve.",3,"82 Reviews , 512 Followers",4/6/2019 15:14,0,
Shanghai Chef 2,Prabhjot Sandhu,It's a duo restaurant where you can have Chinese and sizzlers together available at one place .... well quantity is much less compared to price and taste is not that good though as Chinese should be at that price...,3,"55 Reviews , 188 Followers",4/2/2019 15:22,0,
Shanghai Chef 2,Tyrion Lannister,Shanghai chef and koba sezler both are same restaurents but dont know why in zomato it ia showing as different. You can try this restaurent with friends to taste different chinese varities.,4,"26 Reviews , 6 Followers",3/24/2019 15:53,0,
Shanghai Chef 2,Dipro Basu,Small little Chinese joint. Good courteous staff and tasty food. Low on your pocket as well. Located in Gachibowli. Used Zomato gold which was absolutely value for money here,3,"11 Reviews , 179 Followers",3/15/2019 14:48,2,
Shanghai Chef 2,Ajay,"I have ordered food online, Veg Chilly Garlic Noodles and Honey Chilly Potato. The taste was pathetic. In chilli garlic noodles, there was no garlic. And Honey potato noodles, they have made French fries and put a sweet syrup on it. Looks like chief does not know how to cook this dish.",1,1 Review,3/10/2019 15:13,0,
Shanghai Chef 2,Kannan Piedy,I've been to Shanghai Chef 2 quite a few times now. Twice before Kobe Sizzlers moved in and once after. It has great staff and a wonderful ambience. It gets busy over the weekend and you might have to reserve a table beforehand. Their sizzlers are wonderful and they have a great set of starters. I would suggest you try them over the main course.,4,"5 Reviews , 1 Follower",3/7/2019 23:21,0,
