Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
T Grill,Harshet Agarwal,"the rating is such because of the name
we had thought it was like an american grill restaurant
shocked by the indian spread 
food was ordinary 
no choice in red meats and no grill
pls change the name, gives out the wrong idea",2,"34 Reviews , 36 Followers",5/4/2019 18:08,0,
T Grill,Nishanth Reddy,"I was on a work in financial district and it happens to be lunch time, so finalised this place after some search, i parked my car outside and walked inside it was completely empty, as i enter into AC dining hall, man o man full of crowd, I literally waited for 15 minutes to find a table, as the staff is completely busy with existing orders not the new customers, so yeah, service needs to be improved. After finding a table i ordered jeera rice and kodi vepudu, liked the jeera rice alot and chicken was also good, next time i’ll try some more. Recommended place if you are a telangana cuisine lover.",4,"199 Reviews , 182 Followers",5/3/2019 12:09,5,
T Grill,Gopinath Mamidi,"Good out door sitting restaurant to spend some pleasent evening time. Visited this place which to close to outer ring road and nankaramguda IT offices. It's a quite and less crowded to have Andhra style spicy food. We ordered babycorn manchuria, chicken lollipop and chicken biryani. Food was bit spicy but manageable and good. Chicken was well cooked and tasty. Quantity was bit less when compared to it's price range and it's compititers. But still it can be miantained well

Quality: 4/5
Quantity:3/5
Price range : 3.5/5 (5 means it's costly)
Service:3/5
Taste:4/5
Ambiance:4/5 (for outdoor sitting)",4,"93 Reviews , 198 Followers",4/25/2019 16:52,5,
T Grill,Harish Reddy,"I just love this place. Good Ambience, it is very pleasant in the evening. Away from the traffic and crowd, it's a great place to organize any events especially in the lawn area. The lighting adds to the elegance.",4,"32 Reviews , 115 Followers",4/23/2019 19:17,0,
T Grill,Kiran Singh,"The food is amazing good value for money, ambiance is beautiful, a good place to hangout, a must visit restaurant, a perfect place for friends and family",5,"2 Reviews , 2 Followers",4/19/2019 2:29,0,
T Grill,Vishnu,"Useless.. They serve alakarte items as ""prasadam"" and empty customer pockets. It's not worthy. Quality and quantity is poor. Once you visit then you will never visit there in your life time. I dont recommend other customers to go here. Jaagao grhak jaago..",1,"7 Reviews , 7 Followers",4/17/2019 23:28,0,
T Grill,Simi Reddy,"Since this place is close to my office and they serve South Indian delicacies, I’ve decided to go there with my team. This place has got that simple dhaba vibe and the food they serve is lip smacking. If you are non-vegetarian, this place is a must try. Also, if you are here- do eat their Kadhu ka kheer in desserts. Ever since I’ve tried that, I ensure that I order this every time I go there and recommend this to friends and this one has never let us down.",5,"29 Reviews , 110 Followers",4/9/2019 9:42,0,
T Grill,Radhika Burra,"Me & my friend we're looking for quick lunch on a Friday noon in Financial Dist and we spotted this place. Decided to venture as this will be our first visit.

It's was exactly at 12.30 noon when we entered restaurant and found there was hardly any one. Outside landscape, place for sitting is very good. There is in-house place with AC as well. We chose inside as it was already too hot. Ambience is descent and nothing very special, but is good.

Food we kept it simple as Nawabi Chicken Kebab which was special on the day we visited and Chicken Biryani. Kebabs were really nice. Biryani was like fine. Not so very delicious at same time it's not bad. Service is fast.

While if you ask me will you visit the place again, I might start thinking as I found place outside more interesting than the food. That does not serve purpose. So, I am sure you got answer.

Interesting was by time the clock ticked 12.45noon, my goodness entire place was filled with people and many we're waiting... That made us think, probably there is something else special about this place which we didn't order... So if at all I go there next time will see to it I taste it... 😀",3,"78 Reviews , 76 Followers",3/8/2019 22:24,1,
T Grill,Cadeepthichowdary.raavi,"We always use to order their kodi pulav (which tastes sooo good few times and just okay some other times) on zomato but recently we visited this place to have dinner

So we ordered chicken manchow soup which was okay okay in taste cuz manchow noodles are not fresh since i could smell the oil in noodles... but quantity of chicken in soup was good !

Kothimeera kodi pulav (suggested by the server) is actually pretty tasty but i wish there was little more kothimeera in it ... taste was very good though..prices are little high",3,"22 Reviews , 10 Followers",2/26/2019 16:24,0,
T Grill,Kiran Valipa,"T-Grill is on the main road next to ICICI campus in the Financial Dist, spread over an acre it has both indoor and outdoor seating. The outdoor seating is midst of neatly done green lawns with small and large hut shaped structures.

We started with Grilled fish that was Basa/Cod fillet skewered upon coals; it was spicy and tasted well with green dahi chutney. The Paya shorba/soup was extremely spicy but very tasty.  Then we had Kottimira Chicken, Mutton Dalcha with Bagara Rice for the main course that came as a recommendation. Pachipulusu with the Bagara Rice also tasted awesome. On the whole, all the dishes we tasted there were awesome except for the heat from the spice!

Authentic Telangana and Andhra Signature dishes! Will definitely try again for the rest of the menu recommendations!",4,"13 Reviews , 21 Followers",2/14/2019 12:15,0,
T Grill,Sumeet Rastogi,"Third class attitude, rude staff, pathetic food is what defines this place. Good luck if you happen to stall here by mistake.

A basic order takes more than half hour. Food lacks taste and staffs think they are over qualified for the job they are doing.",1,"8 Reviews , 50 Followers",2/10/2019 21:23,0,
T Grill,Dinesh Pattanayak,This restaurant never fails to dissapoint me. This time Ordered chicken biriyani from Zomato and this is what I got just bones and fragments . Upon complaining to the restaurant manager made fun of me saying I am trying to con him as I might have already finished the chicken or hidden it and now trying to get more for free. Asked me to complain in Zomato and that's exactly what I am doing.,1,"5 Reviews , 6 Followers",2/4/2019 16:36,1,
T Grill,Kakani Raghavendarrao,"I have been here for a team lunch with my colleagues.The ambience is different one and very nice place to hangout with friends.The food they served had excess oil ,be it veg or non veg .if you are a spicy food lover ,then this will disappoint you.",3,"37 Reviews , 36 Followers",2/3/2019 12:52,0,
T Grill,Vishnu Brahmandam,"This place is not exactly vegetarian-friendly. They cook everything in the same dish and I'm guessing they use the same oils. Did not eat here but thought people would like to know.
Service is quick for the starters. They took some time for the main course.
Friends say the food is alright.
There's outdoor and indoor seating. Place is clean throughout and it looks like the hygiene is good.
Gets really busy in the afternoon because it's so close to the IT hub.",3,"5 Reviews , 4 Followers",2/1/2019 14:29,0,
T Grill,Srilekha Gattu,Went for lunch on that day . I order veg biryani but found insect in it . Worst service . It was totally bad experience . Ambience is not good,1,"2 Reviews , 1 Follower",1/31/2019 23:18,0,
T Grill,Rita Singh,"Pretty good ambiance. Very spacious and huge one.

Food is amazing except the oil quantity that they use. Prawns dishes were not that great. Only prawns starter i.e golden prawns were good.

Gongura chicken is amazing.

Service is very fast.

Would not recommend lassi at this place as its not the proper one. It's very watery and tasteless.

Management is pretty cool and open to feedback...they humbly accepted the fault in dishes and replaced them.

Can be improved a lot. Would surely pay a visit again.",3,"106 Reviews , 1893 Followers",1/8/2019 21:11,7,
T Grill,Bhanu Chandar,i went today at lunch time. service is very bad they dont now how to treat customer. They will not suggest what is the special today. Taste is good but improve Ur service. service is very slow i call many times to the service boy but he is not responding proper. hotel environment is good and taste is awesome. but i will not satisfy the service.,2,"1 Review , 2 Followers",1/3/2019 19:30,0,
T Grill,Khaane_mey_kya_hey By Rony Samuel,"One of the best places I have been to this winter, perfect ambience and what I loved the most was
to beat the cold they provide a hot charcoal basket beside every table..gives you the perfect winter warmth, even on a busy day of the week the service was on spot, just like a Dabha where everything seemed to be on the move and full of buzz 🙂 the food was always known to be typical Telangana food but somehow felt it was a little close to Telangana cusine and more of a quick Dabha serve..loved the ragi sangati combo perfect bowl of rangi sangati with a dollop of ghee with 4 accompaniments like mutton pickle, chicken curry, daal and pachi pulusu, ordered their famous pulavs as well.

Ambience : 4.5 (stole my heart with the charcoals)
Taste : 3.5 (would love more authenticity)
service: 4
Quantity : 3 (can improve a little for the price point)
Value for money : 3 (maybe because it is located in Gachibowli)

Overall rating for this place a decent : 4/5",4,"57 Reviews , 52 Followers",12/30/2018 20:21,4,
T Grill,Pradeep Koney,Peaceful ambience and good food. Will be crowded over weekdays as it is close to multiple IT Companies. Food arrives suprisingly faster and tastes good too.,5,"13 Reviews , 118 Followers",12/29/2018 16:25,0,
T Grill,Bharat Kumar,"Great place to dine with and enjoyed the ulavacharu chicken pulao, tastes good. It's a perfect venue to enjoy some of the special Andhra dishes with a starry night view. It has a beautiful ambiance and wanna visit again.",4,"1 Review , 2 Followers",12/26/2018 17:18,0,
T Grill,Sandhya Menon,"I was looking forward to have good time & enjoy some good tandoori food. I liked this place with my previous experience have been very good.So was looking forward for the same. Reached this place, got a seat which had full of mosquitoes.I can't argue much of it as it was a open space, but they dint attempt to place a mosquito coil. The service guy was least attentive. We needed to search him to place the order .So ordered tandoori chicken boneless, harabara kebab n veg pulav.The very first bite but tears in my eyes as it was very very very spicy & harabara kabab's spice level so beyond my imagination.We just couldn't eat it. We asked them no make the pulav least spicy. But this one was like a bomb. We all went to have a good time but dint get anything of this sort. Will never try this place again. Spice lovers, I guess this place is for you.",1,"55 Reviews , 2380 Followers",12/24/2018 23:22,0,
T Grill,Kaushik Padmanaban,"My friend ordered the Ulavacharu Chicken Bone Pulao from T-Grill. The price was high, but the taste justified it. It is one of the spicier foods I tried in Hyderabad. I always though Hyderabadi food was spicy. But, I never came across anything very spicy. This one was spicy enough to be memorable. It's one of the best pulaos I've ever had. You will definitely love it.",5,"11 Reviews , 7 Followers",12/9/2018 20:42,0,
T Grill,Satya Kiran,"Restaurant with lot of open place and average food. Went with friends for lunch, what ever we ordered Veg or Non veg, started , main course all are not upto mark. No one of us r happy with food served. Serving is fast, ambience is ok.",2,"86 Reviews , 84 Followers",11/25/2018 11:17,0,
T Grill,A K RAJEEV,Delivered on time and the food is very tasty and good quality. All the items taste good and even the kids enjoyed the food.  Overall the food is very good,5,"1 Review , 2 Followers",11/8/2018 8:50,0,
T Grill,Raghunath Veampati,"I recommend it for elderly.
Disappointed ☹️ with taste have tried starter, roti & biryani. Taste so so normal
But every dish is less in masala and has below normal taste
Not a good place for hangout",2,"3 Reviews , 30 Followers",11/4/2018 20:50,0,
T Grill,Bhuvanesh Durai,seemed like the biryani was over cooked,3,"11 Reviews , 57 Followers",10/31/2018 14:13,0,
T Grill,Rmandava70,"Ordered Ragi Sankati and Kodi kura. Unlike other speciality restaurants, the preparation is mild, less spicy and less masala. Loved the taste. Ordered curd rice which actually is not good. They should look into it. Overall nice dining place in that part of Hyderabad.",4,"92 Reviews , 727 Followers",10/29/2018 15:07,0,
T Grill,Santosh Vadapally,quantity of biryani is very less,4,"4 Reviews , 5 Followers",10/13/2018 13:46,0,
T Grill,Sharon Kudari,"Wonderful food, especially grilled ones. Awesome place to escape city environment and have pleasant evening without traffic. #grilledchicken",5,"3 Reviews , 2 Followers",9/29/2018 20:34,0,
T Grill,Suneel Jammu,Good,5,"1 Review , 2 Followers",9/23/2018 13:45,0,
T Grill,Ursnayana,"Biryani taste is not at all good.
Biryani taste is not at all good.
Biryani taste is not at all good.
Biryani taste is not at all good.
Not worth the price. Rice over cooked. All the food is gone to trash.",1,"1 Review , 1 Follower",9/21/2018 22:06,1,
T Grill,Ashesha,"Very very very very disappointed. We ordered kadai paneer, its a disaster . Instead they gave us tomato curry with few paneer pieces in it. Please DONT order food from this place. Mutton Biryani is a big flop.",1,"20 Reviews , 18 Followers",9/21/2018 16:14,0,
T Grill,Venkatdanda01,quantity less,3,"1 Review , 2 Followers",9/17/2018 15:24,0,
T Grill,Shruthi Gopala,"Ordered Kadai cheken but worest
I think no more orders with t grill \aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasorryyy dddddddxfvfddddddddddddddddd(dddddd",1,"1 Review , 3 Followers",9/9/2018 23:32,0,
T Grill,Aditi Saxena,awesome food,5,"3 Reviews , 33 Followers",9/9/2018 20:09,0,
T Grill,Shahed Khan,Good service And on time delivery...!!!! keep up the gud work Rehman.,5,"2 Reviews , 15 Followers",9/7/2018 20:57,0,
T Grill,Powlomi Renukunta,"Great place to have a peaceful lunch with a gang of 3,4 people. It has a pleasant atmosphere with both indoor and outdoor seating, in which the outdoor one is the real fun. Place is quiet neat and clean. It also has Telangana style.

Food here is just average not great. Service need to be improved a bit. We were there waiting to order but no one turned to take the order. Ordered veg Manchuria, appollo fish, kaju paneer ,kulcha. All of them very ok but not great.",4,"24 Reviews , 18 Followers",9/7/2018 14:01,0,
T Grill,Saikiran Boorgoju,Worst mutton biryani(uncooked n without) I ever tasted and restaurant should feel shame to serve spoiled kheema pulau. I recommend don't go to this place at all,1,"1 Review , 1 Follower",9/1/2018 10:14,0,
T Grill,GAUTHAMI VARRE,"We ordered keema pulao n Britain n paneer in veg..Both of them tasted like flavoured rice with semi cooked pieces.
Even kadai paneer gravy was not well cooked.

Restaurant ambience is also not so gud",1,"9 Reviews , 2 Followers",8/31/2018 14:57,0,
