Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Tandoori Food Works,Asha Akunuri,"Very less priced restaurant located in SLN terminus. Ordered tangdi kebab and chicken tikka biriyani .
Tangdi kebab dint meet the expectations . Bit oily and taste was ok but the mint chutney served with it was delicious .
Chicken tikka biriyani was good . Chicken was tender soft and biriyani flavour was good .
Zomato gold is applicable here so it costed only 200 bucks for two . Quite impressed with it . ☺️
Service was quick .",4,"47 Reviews , 60 Followers",5/20/2019 11:53,2,
Tandoori Food Works,Krishnakanth M,"Very pleasant experience at TFW. The stuffed tangdi kabab was fantastic. Succulent, mildly flavoured and a great salad to go with it. The sizzler biryani was a great innovative touch right down to the well cooked cabbage base. It added a new twist to the term biryani. Definitely a must visit.",4,"5 Reviews , 1 Follower",5/14/2019 21:09,0,
Tandoori Food Works,Gauri,"Ordered chicken tikka from here. Never had itna oily chicken tikka in my life. The oil was dripping uncontrollably from the box, the packing was bad. The naans were full of oil, the plastic was full of oil, the sabji was so spicy that we could not finish it. Basically waste of money.",2,"31 Reviews , 21 Followers",5/12/2019 23:54,0,
Tandoori Food Works,Ravi Teja,Thank you to this restaurant. I got 2 biryanis by using gold subscription. Enjoyed with low budget. That too shopping malls. Restaurant using technology with call alarms once our food was ready .,4,5 Reviews,5/11/2019 2:12,0,
Tandoori Food Works,Neeraj Sethi,Good biryani. if you love kind of more burn and more spicy then try this one. This is located inside spar mall so good place to have dine. Zomato gold also available,4,"4 Reviews , 4 Followers",5/10/2019 0:43,0,
Tandoori Food Works,Veeru,"Good food and great taste.
Worthy for the money.
Should try chicken tikka biryani.
Neat and clean packing with great taste. On time food delivery.",5,"1 Review , 2 Followers",4/30/2019 19:04,1,
Tandoori Food Works,Shanthan Reddy,Good place to have a fast lunch or a quick bite. Taste was really good and especially the grilled peri peri chicken tikka burger was awesome.,4,"4 Reviews , 128 Followers",4/16/2019 11:51,0,
Tandoori Food Works,Santosh Gupta,"I ordered Paneer tikka Biryani and got some non veg Biryani. Very bad services from both restaurant as well as Zomato.
I'm a pure vegetarian and this was really really bad.",1,2 Reviews,4/14/2019 1:45,0,
Tandoori Food Works,Gadala Narendar,Waste of ordering food form this restaurant. I ordered tandoori full no quantity no packaging no taste waste of food. Delivery late from restaurant to Zomato delivery boy. Even single star also waste .,1,"3 Reviews , 1 Follower",4/10/2019 14:10,0,
Tandoori Food Works,The Foodie Bookworm,Ordered the chicken tandoori biriyani few days back and it was really impressive the chicken was well cooked and the rice was also very flavourful. Loved the use of mint leaves as a garnish.,4,"108 Reviews , 242 Followers",4/1/2019 1:16,0,
Tandoori Food Works,R J Prasad,Completely worst dinner. the butter Nan the send me is completely worst test and and very thick in size and the Nan is not cook in butter. very disappoint from the food,1,"1 Review , 2 Followers",3/30/2019 22:22,0,
Tandoori Food Works,Vemula Sruthi,Hi Team..I am big fan of your restaurant and I visit frequently..but unfortunately I have received wrong order I have ordered veg paneer biryani and food I received was chicken biryani..when I called your exceutive he just disconnected my call .can you at least listen to your customers concerns..,2,1 Review,3/29/2019 23:46,0,
Tandoori Food Works,Ha,"Order regular paneer tikka briyani from this place which costs rs 250/-. The briyani was good but the paneer was not so fresh and the quantity was very less. It just fills one person stomach, if someone's appetite is high then they would regret if they order food from this place.

There were two sizes, small (Rs:160/-) and regular (rs:250/-). Obviously one would think that small fills one person and regular would fill two. But No!

Very disappointed with the portion of food that they serve.

The Raitha was really tasty!! I hope they increase the portion for the amount they charge.",3,"86 Reviews , 145 Followers",3/26/2019 2:33,1,
Tandoori Food Works,Balu Krishna,"Waste of money and worst taste I have ever tasted and very disappointed with Zomato again!!!
On my view Please eliminate this restaurant from your orders wallet and save your clients.

Thanks in advance!",1,1 Review,3/23/2019 0:02,1,
Tandoori Food Works,Deepak Kumar,The quality is too good. Specially the Malai chicken tikka is worth trying. Mint flavoured biryani gives u a unique taste. Ovellall its must try thing when u r there.,5,"1 Review , 1 Follower",3/1/2019 19:50,2,
Tandoori Food Works,Sanjana Bajaj,"There is soo much oil in every dish we ordered.
Extremely ridiculous food.
Don't order from here. It's not first time it's like this, it's always like this.",1,"1 Review , 1 Follower",2/19/2019 14:12,0,
Tandoori Food Works,Vamsi A,quantity and quality need to be improve,3,5 Reviews,2/16/2019 18:03,0,
Tandoori Food Works,Lingamsetty Sandeep,ordered chicken Tikka. it's not at all good. I doubt it is chicken or not .,2,"2 Reviews , 1 Follower",2/13/2019 8:08,0,
Tandoori Food Works,Prashant Dasvant,"Please see this bill ,I had orderd 2 nos. of bundi raita, and I get only 1 , when I call zomatto then he say call restaurant, this is u r responsiblity. This is really unfair",1,"1 Review , 2 Followers",2/10/2019 0:48,1,
Tandoori Food Works,Varun Mannava,The best Kashmiri Pulao and Panneer Butter masala I have tasted till date ever!! Huge fan of the taste and flavor here.. Keep it up you guys!,5,"11 Reviews , 40 Followers",2/2/2019 22:56,0,
Tandoori Food Works,Parijat Ray,Food quality is too good. We have ordered fish tikka and paneer Mali tikka. Both of them were better than experience. Waiting time is too high. I felt the quantity is too less compared to the price.,3,"146 Reviews , 333 Followers",1/31/2019 22:48,0,
Tandoori Food Works,Pratikr,"very less quantity for a regular that i ordered..... it cant even feed one person and they are charging 300 rs for this qty . Though the taste is good but quantity is very less, still hungry and had to order from another restaurant",2,"2 Reviews , 1 Follower",1/27/2019 20:23,0,
Tandoori Food Works,Moses Thumaty,"Ordered the Stuffed Tangdi online. First time that I tried this stuffed dish. Must say it was a pretty interesting dish.
Made it well. The tangdi and the stuffing were cooked well.Packaging was neat. Overall a good experience.",5,"5 Reviews , 2 Followers",1/27/2019 7:18,0,
Tandoori Food Works,Bondugula Dilip Kumar,Been there for having snacks.so ordered kebabs.one is paneer and other is chicken.They were awesome and good place to have chat with friends and complete the fooding.,4,"5 Reviews , 12 Followers",1/26/2019 14:20,0,
Tandoori Food Works,Sanjeet Kumar Bhukta,"Went with my wife. Ordered tangdi kebab ,butter naan and kadai chicken. Kadai chicken was really good, but little disappointed on kebabs. So my rating is 4 star here. I would love to visit again and try the other items .",4,"25 Reviews , 979 Followers",1/19/2019 2:31,5,
Tandoori Food Works,Sourabh Baranwal,"Ordered Murg malai tikka which was just amazing, Chicken biryani- tastes good but quantity was less as compared to other places in the same range. Will go again for the tikka.",4,"5 Reviews , 18 Followers",1/14/2019 12:16,0,
Tandoori Food Works,Age Of Foodies (Suraj Karambe),"Tandoori Nights-
Ambiance -
Tandoori food works is located at food court available at SLN Terminus, Gachibowli. It is a small outlet having sitting area common for whole food court.
Food-
We placed an order for Stuffed Tangdi Kebabs having 2 fully stuffed Chicken leg pieces and topped with mayonnaise. Stuffed Tangdi Kebabs cost approximately INR 230. We also placed an order Half Tandoori Chicken which was served with green pudina chutney, which cost approximately INR 230. Both the Tandoori items were good in both quantity and taste. Tandoori Food Works offers 1+1 dish on Zomato Gold membership.
Service-
Service was good and the staff was very polite.",4,"104 Reviews , 334 Followers",1/14/2019 2:34,2,
Tandoori Food Works,Foodies Hyderabad,I order for tandoori chicken and chicken biryani.....the food was good and the taste is mind blowing......the packing style is also good ...overall i loved the food.....,4,"31 Reviews , 9494 Followers",1/12/2019 15:49,0,
Tandoori Food Works,Marsha,Ordered chicken tikka kebab and chicken butter masala.Packaging was nice.But taste was not great.Okayish.Butter masala was more sweet than spicy.Pocket friendly but definitely can be better.,3,"85 Reviews , 668 Followers",1/10/2019 12:10,1,
Tandoori Food Works,Mehak Surana,Very poor quality of serving dish. Bad taste. Please do not order from this place unless you want to get disappointed by their service and quality,1,"2 Reviews , 8 Followers",1/9/2019 22:34,0,
Tandoori Food Works,Balu Lovey,Earlier it was tasty but now it is stale i ordered biryani nd it is like just coloured rice it doesnt tasted like biryani dont waste ur money..restaurant persons will not respond,1,1 Review,1/7/2019 14:06,1,
Tandoori Food Works,Ayush Singhal,Food is good in terms of taste and the quality. It can become better if little bit less oil is used. Rest everything is good. Quantity of food is good enough.,4,1 Review,1/6/2019 14:15,0,
Tandoori Food Works,Dipanjan Maji,Nice place for a perfect dinner.i have tried chicken tikka biryani .and that was just super.i want to come with my family once more because of the food and prompt service.,4,"24 Reviews , 1843 Followers",1/3/2019 9:38,0,
Tandoori Food Works,Nallani Harshitha,"The biryani was not good and when coming to flavors it doesnt taste nice
can improve by adding the biryani flavors more and spices
when coming to quantity it is too much less",1,"1 Review , 1 Follower",12/30/2018 21:59,0,
Tandoori Food Works,Deepak Rajana,"Chiken is good but Biryani is too oily. More than actual customers there is huge crowd of delivery guys. Thali is not available. So, we must order kheer seperatly",2,"19 Reviews , 5 Followers",12/29/2018 22:17,0,
Tandoori Food Works,Jaw Creations,Ordered a chicken biriyani. Fast delivery and taste good. The price is not that high it's all within the range. The spices were just right on chicken piece but a little less in rice,4,1 Review,12/22/2018 19:23,0,
Tandoori Food Works,Foodie Chaudhary,"The first time I ordered their Chicken Tikka Biryani, I became fan of it. Loved it so much that I recommended it to my friends and colleagues as well. The second time I ordered it, the quantity was very less compared to the first time and tasted different as well. I've got the same sort of feedback from friends also, that their food is inconsistent in taste, quantity and its a hit or miss. I would sincerely suggest them to be consistent in quality and quantity both as they've got good potential.",3,"118 Reviews , 2042 Followers",12/14/2018 18:50,1,
Tandoori Food Works,Abhijit Benerjee,"The food here is just amazing !!! 5*
Hope to see more branches opening up!!
I’ve tried kebabs and curry and rotis it’s just toooo good!! I definitely recommend this place",5,"41 Reviews , 365 Followers",12/9/2018 23:24,0,
Tandoori Food Works,Mohit Ajwani,Food is always great at Tandoori Food Works. This restaurant was recommended to me by a friend. I really love all the dishes they serve and I would recommend everyone to definitely try dining or ordering from here. Paneer Jahangiri was really great. Thanks team,5,"46 Reviews , 84 Followers",12/2/2018 17:51,0,
Tandoori Food Works,Donnie Reddy,Good food and excellent service.. the quality of the food was fantastic and they served it well for me I am happy with the way they have provide the delicious food,5,"2 Reviews , 3 Followers",12/1/2018 1:16,0,
Tandoori Food Works,Rishi Reddy R,The staff was very polite. Food was really extraordinary. With no hesitation I would love to visit this place n number of times. I would suggest everyone to have visit over there .,5,"19 Reviews , 32 Followers",11/21/2018 18:04,1,
Tandoori Food Works,Prasanth Movva,"Food is Disaster
We ordered Tandoori Tofu and Paneer tikka Biryani. They said that they are their chef special dishes. But they are not so special. I felt that the tofu is not tandoori blended and the biryani it is over cooked and the onions were over burnt. Because of this my appetite is dead. Finally my experience at Tandoori Food Works didn’t go well and I don’t recommend this for anyone.",1,"5 Reviews , 3 Followers",11/15/2018 12:14,0,
Tandoori Food Works,Mohdsameer.sam76,Should improve the quantity,4,"2 Reviews , 2 Followers",11/8/2018 14:49,0,
Tandoori Food Works,Raja,Timely delivered,5,"1 Review , 1 Follower",11/6/2018 20:37,0,
Tandoori Food Works,Recruiterravi99,I have ordered Chicken Tikka Biryani... Food was awesome but quantity is less and oily.  please try to work on it. delivery and packing also good,4,"2 Reviews , 1 Follower",11/6/2018 0:03,0,
Tandoori Food Works,Rajesh Goud,very Good,5,"2 Reviews , 2 Followers",11/4/2018 20:42,0,
Tandoori Food Works,Kavish Jain,"Went here with friends to have dinner. it's a small food counter in SLN terminus at L3. They have limited food options in menu but for vegeterians what I tried was good. I tried Paneer Tikka which was very nice. They also have another food counter bankok169 found that food also bit okay kind. I was happy with Chilly garlic noodles but quite disappointed with Vietnamese rice not up to the mark and rice was also very dry.
Must try place if u r tandoori item lovers also got review from friends tangdi chicken was very good.
Zomato gold is add- on advantage 😀",4,"38 Reviews , 959 Followers",10/28/2018 23:44,0,
Tandoori Food Works,RAMA KRISHNA,Ordered chicken tandoori biryani very bad in taste and smells like a hell. Need to improve a lot and check before sending any parcels to customers. Delivery was on time,1,"5 Reviews , 33 Followers",10/22/2018 11:41,0,
Tandoori Food Works,Prashant,"Awesome chicken curry dishes, tried all of them, do try chicken tangdi masala. Very good packaging and more than enough quantity for one person.",5,"1 Review , 1 Follower",10/9/2018 22:55,0,
Tandoori Food Works,G Sourabh,Received something's,1,"1 Review , 1 Follower",9/27/2018 0:59,0,
Tandoori Food Works,Chaitanya,good,5,3 Reviews,9/20/2018 14:18,0,
Tandoori Food Works,Chaitanya,Good,5,3 Reviews,9/20/2018 13:12,0,
Tandoori Food Works,Aditya Barbarwar,"I have ordered paneer tikka biryani, and very much satisfied with it...",4,"2 Reviews , 10 Followers",9/18/2018 22:55,0,
Tandoori Food Works,Rahularode,Food is tasty... Nice quantity for veg Biryani and PBM ... Just need to reduce the oil quantity... Rest all is cool.. Also they serve good Butter Tandori Roti...,4,"6 Reviews , 1 Follower",9/17/2018 22:29,0,
Tandoori Food Works,Rahul Das,too oily,3,"4 Reviews , 2 Followers",9/16/2018 18:01,0,
Tandoori Food Works,Naveen Reddy,nice good,5,1 Review,9/15/2018 14:39,0,
Tandoori Food Works,Deep Thakur,"Second time I oouder for tandoori food works
First time thay give me very oile food
Now I oouder tandoori chicken full
Tandoori chicken to much roasted
And green chutney spoiled price is very high and guality is very low you really desipointed me guys I never oouder there again",1,"17 Reviews , 789 Followers",9/14/2018 1:37,4,
Tandoori Food Works,Prem,Not at all worth for the money spent,1,"2 Reviews , 1 Follower",9/12/2018 0:17,0,
Tandoori Food Works,Pavan Raj,very nice,5,"2 Reviews , 1 Follower",9/10/2018 22:34,0,
