Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Tempteys,Sravani,"Different base options available here...pretty good ambiance to go with friends and it’s very close to DLF , that’s more than require to hang out here.",5,"10 Reviews , 10 Followers",5/22/2019 13:59,0,
Tempteys,Aditi Bhaiji,"I go to the onsite shop and have some shakes there. They are too delicious 😋
I would rate there service as 4.5/5 , food as 4.5/5 , ambience as 4.5/5 .
I very much like the idea of writing the reviews on the wall, inside the shop itself.",4,6 Reviews,4/30/2019 14:00,1,
Tempteys,Buddiga Sindhuri,This tempteys is just near dlf building I drank choco brownie its yum to drink its orea n brownie mixture and its around 189rs.my friend drank mango shake its having essence taste rather than mango taste and it is around 145rs.i expected mangoes but no mangoes are their in that shake and its little disappointing.They write some note on the sticky notes and stick it to the wall.The ambience is good and enough space for parking too.,3,"60 Reviews , 2007 Followers",4/17/2019 20:17,3,
Tempteys,Paul Davies,Great shakes.....I tried marshmallow and mint Oreo for the first time here....both were pretty good....but I would prefer the mint Oreo...but that's just me....Best spot for shakes in the DLF area....Check it out....,5,"27 Reviews , 72 Followers",4/13/2019 18:31,0,
Tempteys,Sahithi Anchuri,"We have ordered from this place and it has some amazing choices we could choose from. It has an option of gelato and avalanche for the base and I have choosen gelato.

Must try : Premium forest berry shake, caramel brownie shake, Peri Peri fries.

The shakes are super yummy and I had my best shakes here. I will definitely try some more shakes.",5,"18 Reviews , 18 Followers",4/11/2019 13:01,2,
Tempteys,Prachita Jayaswal,Awesome shakes. Make your own shake is the best where I can choose from variety of options which the shake should be made of. The service is pretty fast. You can write your feedback/review on sticky notes and stick on the glass window and door.,5,"104 Reviews , 531 Followers",4/1/2019 11:45,1,
Tempteys,Akasi Mahesh,nice and good quality but my details not mentioned,4,6 Reviews,3/28/2019 15:45,0,
Tempteys,Anuj Malaiya,"Ordered potato wedges, and I found them very tasty and crispy🤗 served with salsa sauce and mayo, althought I beleive that packaging can be improved a lot.",3,"8 Reviews , 18 Followers",3/28/2019 13:58,1,
Tempteys,Siva Kumar,"Drinks(4.5/5)- I think Tempteys and MOM rule the shakes world in terms of multiple outlets on Hyderabad.
Look out for little app/nearbuy for offers .
Shakes are good, chilly and refreshing.
My personal favorite being Oreo Shake.

Ambience-(3.5/5) The place is cool, can hangout and can have quality talk, as it is mostly empty and most orders generally are take aways.

One thing, they should at least keep the tables CLEAN. There were so many dead flies and insects on the tables which would bring disgust.

Service-(4/5) They know their work, prepare the shakes well. One suggestion is to provide water to the customers, as it seems ridiculous that you deny with the fact that you guys don't have water.
Wonder what u add in Shakes!!",4,"84 Reviews , 183 Followers",2/12/2019 9:57,2,
Tempteys,Lokesh,After a very long time had one of the best shakes when compared with nearby thick shakes this is lot better to enjoy better taste and this makes feel that this is what the shake is meant to be like,4,"70 Reviews , 86 Followers",2/7/2019 19:10,1,
Tempteys,Neeraj Raj,not that great taste it quality id say,2,"7 Reviews , 2 Followers",2/6/2019 1:50,0,
Tempteys,SONIYA SINHA,Ordered a butterscotch thick shake for home delivery. Good consistency but too sweet to finish the full glass. Will definitely try other shakes.,3,"90 Reviews , 118 Followers",11/16/2018 16:58,1,
Tempteys,AnuraagKiran,"We went in at 1am and yet its open. Ordered Custard Maple shake, crushed almonds shake, choco brownie shake and potato wedges. The shakes are categorized into premium and classic and each category has lots of flavors to choose from and the taste is amazing. They have all flavors of premium chocolates like lindt, toblerone to local chocolates of India. The containers that shakes are given in could have been of better quality.
There are only two snack items available French Fries and Potato wedges and I feel being such a franchise they should have added more options. But the variety of toppings given makes good sense.
Overall, I liked the quality of milk shakes.",5,"10 Reviews , 13 Followers",11/14/2018 18:23,0,
Tempteys,Karishma Bhatt,"Since i am not an ice cream lover, still i ordered oreo brownie thick shake. The shake was good enough. Need to improve packing while delivery.
Price - 3.5/5
Delivery - 5/5
Taste - 3/5",3,"90 Reviews , 148 Followers",10/23/2018 8:29,0,
Tempteys,Sae Da,"Nice place, food is awesome
Tried 4 milkshakes and one ice tea
-cheese cake
-merry berry
-choco coffee hut
-forest berry and
-passion fruit ice tea
I really enjoyed them all! 👍 And also the cheesy fries were really nice!",4,1 Review,10/15/2018 16:10,0,
Tempteys,Rinkal Mistry,Very smooth delivery and timing. Happy with the service :),5,1 Review,10/14/2018 18:05,0,
Tempteys,Vikas,"Hyderabad has been a place for food variety, I recently tried a dosa near by and today it was some drink I guess that tempted me😉.
A bright drink for a bright day!! yeah!! it's bright orange 😎 .. #Namesuitsthedrink#",5,2 Reviews,10/12/2018 17:52,0,
Tempteys,Junaid Ahmed,"Caramel Brownie was the best I could grab here and I strongly recommend the same...

When it comes to snacks they have potato wedges and french fries with multiple flavors...

A decent outlet that can accommodate around 12 visitors.. pretty clean and pleasant ambiance...

The service could ha e been a little better, I always look out for friendlg staffs !",3,"179 Reviews , 1205 Followers",10/8/2018 19:33,7,
Tempteys,Sivram Padhy,Perfect Taste... satisfied to the brim.. Zomato delivery is super impressive 😉,5,"6 Reviews , 21 Followers",10/7/2018 17:04,0,
Tempteys,Aviraj Chatterjee,"Hey guys, your resturant sucks big time. If you guys cant deliver then put a big lock on your store. But please dont cancel after 2 whole hrs after confirming the order in 5 minutes. Never gonna order ever and will advice same to others. wish i could give a zero rating, dont deserve to be 4.4.",1,"2 Reviews , 6 Followers",10/7/2018 13:54,0,
Tempteys,Ankit,"I had ordered Choco Brownie Shake and it was delicious. The quantity and packaging were great, and delivery was prompt as well. Gelato base goes well with the thickshakes.",4,"93 Reviews , 241 Followers",10/6/2018 23:19,0,
Tempteys,That Biryani Gal,"Couldn't help but indulge my sweettooth in this store located in the Dlf lane. India's first to introduce Gelato as base of their shakes. You can choose your base between gelato or avalanche, which is basically yogurt based icecream.
New menu is interesting. Happy to see savoury items on the menu as well.

Tried Coffee hazelnut shake - must say the coffee is neither mild nor overpowering, just the right amount and was good. It's loaded with whipped cream topped with choco chips.

Caramel Brownie shake--- now this is a stealer. Would give a 5 just for this. Probably the best caramel shake I ever had. Total yumminess. Even the colour is drool worthy. A must try here. Yes the sugar content is high and too sweet. Some pampering for your sweet tooth.

Peri peri fries - how interesting is it to get options for your fries, when you even love them as such. I opted for peri peri spice and it tasted good and is for someone who really like their fries spicy

Tried crushers passion fruit flavour which was okayish",4,"222 Reviews , 858 Followers",10/6/2018 20:17,6,
Tempteys,Rajeev Reddy,"Definitely a good place for the milkshakes and some munchies.

Personally i liked choco coffee hut and crunchy almond feast and the milkshakes feel so good with french fries and potato wedges.

Service is so friendly and quick, even the place feels so comfortable just go and grab a shake to get your self relaxed.",5,"22 Reviews , 85 Followers",10/4/2018 22:27,7,
Tempteys,Akhil Nalamala,"Great shakes are kind of a given when it comes to Tempteys, and this branch is no different. Delicious shakes, tried the Coffee Hazelnut, Merry Cherry, and Cheesecake flavours. Merry Cherry was my favourite of the lot.
What I did not expect were the amazing fries and wedges, we absolutely cleaned the boxes out.
Service was also impeccable, really quick.",5,"15 Reviews , 81 Followers",10/4/2018 21:27,3,
Tempteys,Hussain Abbas,"Beside the Radisson hotel lane is one of the best Tempteys outlets I have been to. I might have to get my sugar tooth removed after such sweetness overload.

The service is fast, even with constant incoming swiggy orders the staff managed to serve the ala carte customers quickly too.

Must have are the newly introduced Forest Berry milkshake and the Choco coffee hut.

Definitely a good place to drop by for well made milkshakes and fries/wedges in Gachibowli area.",5,"166 Reviews , 252 Followers",10/4/2018 20:23,1,
Tempteys,Prince Mandal,Great place and ambience. Loved the varieties in shakes. One of my personal favourites to choose from. Even the quality of shakes are very good. Order any time. 10 /10.,5,"33 Reviews , 13 Followers",10/4/2018 1:50,0,
Tempteys,Varaprasad,tempteys is better than every other milkshake brand,5,1 Review,9/22/2018 16:34,0,
Tempteys,Rameez Siddiqui,"Its a cozy place in gachibowli with the most awesome variety of milkshake and thickshakes.
The best thing about them is that they use their own brand Gelato ice cream which is particularly on the healthy side.
Had the pleasure of tasting the new menu a couple of days back
The poppy corn was a nice change of pace
The cookie caramel flavoured were my personal favorite.
Highly recommend this place to everyone!",5,"181 Reviews , 1898 Followers",9/20/2018 21:27,9,
