Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
The Chocolate Room,Prachita Jayaswal,The chocolate excess cake was awesome. It was a completely filled with chocolate ganache. It is fairly priced. It isn't bitter in taste. The cake was moist and juicy. The ambience of this place is good. Nice place to hangout with friends.,5,"104 Reviews , 531 Followers",5/23/2019 1:16,2,
The Chocolate Room,_ Gluttonous Hedonist,"The chocolate brownie and waffles will take you by an awwww! For someone who craves for chocolate, it's a perfect place. The ambience is just decent.",4,"12 Reviews , 4 Followers",5/21/2019 20:11,2,
The Chocolate Room,Foodoholic,"In general my experience with the chocolate room was not up to the mark.
I had oreo cookie shake and KitKat shake at two separate visits. Both tasted bland and I couldnt quite get the crispyness of oreo and flavour of the KitKat.
I hope they improve ..",2,"7 Reviews , 6 Followers",5/21/2019 14:47,0,
The Chocolate Room,Rajat,"Went there for morning breakfast but what a disappointment, everything out of stock no nachos,no stock for their signature chocolate pizzas. I seriously wonder was it a way denying customer for using zomato gold privileges or what. Cz first i placed the order the waiter said it will take 15 mins but when i showed him gold unlock he simply said its out of stock. What a shame!!",1,"3 Reviews , 2 Followers",5/19/2019 10:29,0,
The Chocolate Room,Chirag Gupta ?,"Bad service at this place overshadows the good food.
They are clearly understaffed, and the existing staff seem to not care at all about the customers.
The place felt like a heat box when we went there as they didn't care to switch the ACs on.",2,"111 Reviews , 1013 Followers",5/10/2019 14:13,0,
The Chocolate Room,Himanshoosharma,"The worst experience. We told them that we'll be unlocking zomato gold and they said yes. Come the bill without gold benefits... Then they started arguing with us that we didn't tell them about zomato gold.
P.S.: Don't order pasta here , or maybe do if you like sloppy goo.",1,"4 Reviews , 3 Followers",5/4/2019 19:50,0,
The Chocolate Room,Raghu Dahagam,"Chocolate room!!
A must visit place for all the chocolate lovers!!
This chain has been around for more than a decade now and they still keep me amused each time I visit.

I tried dark chocolate fondue. The dark chocolate was flavourful, thick and glossy. The dips were very well coherent with the chocolate and they are all 100% eggless!

Potato wedges poutine was another dish that I loved the most and you should not miss this! It has white sauce pasta base with well seasoned potato wedges!

The pancakes were fulffy and are perfect when paired with hot chocolate!

Service - was bit slow as we went around 10 pm but the staff is really attentive !

Price- Reasonable price for the quality and the quantity they serve!",5,"75 Reviews , 202 Followers",5/3/2019 0:28,5,
The Chocolate Room,Aishwarya Verma,It's a nice place but I didn't have a great experience with their home delivery. I had ordered pasta via Swiggy and they sent the wrong order. I complained and got the order sent again. The sent the wrong item for the second time around as well. Poor experience. But decent when you go there and eat.,2,"62 Reviews , 97 Followers",4/13/2019 21:22,0,
The Chocolate Room,Anamay Tamrakar (Aman),"Didn't really enjoy much here. Its a dessert place, so you go with a mindset to increase some kilos. But the desserts were not so good. The ambience quiet dull and boring. Haven't gone there since",3,"82 Reviews , 512 Followers",4/6/2019 15:26,0,
The Chocolate Room,Naveen,"Not worth for money, ordered french fries and chocolate milkshake...waited for so much time after ordering, waiter forgot about the order and came again for taking the order.",3,"8 Reviews , 1 Follower",3/31/2019 13:15,0,
