Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
The Foodie Monster Kitchen,Veggie-Lover,"Big fan of All day Breakfast in bed? Order from this amazing little eatery!

From vegetarian heart shaped nutella pancakes to a classic English breakfast with omelettes and hash browns they’ve got it all.

They also have a dine-in available if you wish to drop by. Not to mention the place also whips up some amazing shawarma and rice combos.

Juices to coffee, they’ve got everything you need. All this without burning a hole in your pocket.

In picture:

I had ordered their Nutella Pancakes and coffee: the packaging was perfect and the Nutella was well smothered. The coffee hadn’t leaked either.
While the pancakes were true to being eggless the baking soda/powder was slightly overpowering. But still manages to be one of the best eggless pancakes joint for me.",4,"96 Reviews , 1069 Followers",4/14/2019 10:31,2,
The Foodie Monster Kitchen,Anuj Rajani,"As of now, I have tried 2 rice bowls and 1 shawarma from here -
1) non veg green slimy monster bowl
2) veg the iron monster bowl
3) desi original chicken shawarma

All 3 of them i liked a lot, especially 1) and 3).

Me being a healthy food eating person, instructions of using less oil and less chilli were correctly taken into account by the restaurant and the taste also was great.

Quality and quantity were both quite satisfying. Great job.👌🏻👍🏻

One suggestion from my side will be to add calories, ingredients and nutritients information (for ex: protein, fat, carbs content; micro nutrients information) for each dish being offered. This will be very helpful for everyone especially for people like me who want to eat clean and healthy.",4,1 Review,4/13/2019 16:08,0,
The Foodie Monster Kitchen,Subhashree Dey,I ordered Red Monster box mini for 95 rupees. 4 pieces of fried chicken were there. The taste was good. There was another box which had chicken makhani with biryani rice. The quantity was very less. It was not enough for one person. And the taste was also not so great.,3,"20 Reviews , 10 Followers",4/11/2019 12:39,0,
The Foodie Monster Kitchen,Sheri M John,"The place might seem small from outside, but you have quite a good space for seating inside. The place had offers when we went and we had veg and non veg rolls which were okay okay. The waffles here are amazing.
Must try the waffles here.",4,"10 Reviews , 1 Follower",4/10/2019 2:24,0,
The Foodie Monster Kitchen,Mahi Prince,Rice bowls and shawarmas are very good.and tasty i had a chicken sabbha shawarama and iron monster rice bowl it had very tastey.. Nice restaurant amazing rice bowls delicious food,5,4 Reviews,3/19/2019 22:22,0,
The Foodie Monster Kitchen,Vineet Srivastava,"In love with their pancakes.
I have tried classic pancake and chocolate chips pancakes, both were done well and recommended.
Will definitely try other items from the menu.",5,"120 Reviews , 220 Followers",3/19/2019 18:09,2,
The Foodie Monster Kitchen,Gandhi Guguloth,We ordered chicken shawarma with salad and chicken pizza square we received free freebie along with this order we recommend this place I like to order more,5,"1 Review , 4 Followers",3/19/2019 14:15,0,
The Foodie Monster Kitchen,Srikanth,I have ordered chicken shawarma with salad and pizza square and I have got free freebie along with this order am very happy with this order I like to order more from this restaurant,5,"1 Review , 1 Follower",3/19/2019 13:26,0,
The Foodie Monster Kitchen,PJ Hari,"I read about this place in best shawarmas listing in Google. And Ordered peri peri chicken shawarma. It's average because i regularly eat shah ghouse one's. For sure, shah ghouse is a lot better than this. And there is no reason to prefer this over that.

And for the coke drink they took 60rs for a 20rs bottle. Seriously?",2,"7 Reviews , 29 Followers",3/17/2019 0:39,0,
The Foodie Monster Kitchen,The Foodie Bookworm,"So i make videos on YouTube on food and books and the name of my channel is TheFoodie Bookworm and I just ordered randomly from the place because it was similar to the name of my channel, but I must say that I am super satisfied with the chicken Peri peri shawarma and the pancakes. They are just yumm. Do try this place out.",4,"108 Reviews , 242 Followers",3/6/2019 21:19,0,
The Foodie Monster Kitchen,Nidhi,Ordered for brownie which was completely dry and was not fresh at all. Choco banana Waffle was okay not so good. They send the food in big box which looks like will have good quantity. But will get a small piece and that is too tasteless,1,1 Review,3/6/2019 0:18,0,
