Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
The Glass Onion,Varun Kuhad,"Yesterday I was here with my two friends, it was raining and weather was amazing. The best fusion food I could ever eat. It's a must go place guys, I would rather say best place for romantic couples, good view, ambience of the restaurant, good yummy yummy food and silent music. The manager and people who were serving here are so polite and humble to suggest food and drinks. I would like to visit again soon.
😍😍😍",5,"4 Reviews , 122 Followers",5/21/2019 12:23,6,
The Glass Onion,Dharma Teja Alaparthi,"I liked the food very much. The best part is the ambience of it, you cannot ask for a better one in Hyderabad. It is so peaceful and one could spend hours sitting there. We had a hard time finding parking spot as the parking is full. Other than that, I loved this place and would go there again and again!",4,"34 Reviews , 55 Followers",5/20/2019 13:15,0,
The Glass Onion,Shashant Singh,The ambience was very calm and soothing. Great view from the outdoor deck. Service was prompt by our server Mr. Anup. Food was absolutely delicious!! I recommend this place to try!,4,"1 Review , 73 Followers",5/19/2019 19:34,0,
The Glass Onion,Manika Paliwal,"It is a great place for a quiet dinner and ambience is lovely but the food was a disappointment.
the place doesn't feel like we are inside the noisy city which is absolutely delightful, but I wish I could say the same about the food and drinks!!
staff is courteous and serving time is excellent, you don't have to wait for your food or drinks for more than 10-15 mins no matter what you order.
Ambience: 5/5
Staff; 4.5/5
Food: 1/5",3,"3 Reviews , 3 Followers",5/19/2019 15:35,0,
The Glass Onion,Madhusha Urlam,"Surprisingly the Sunset was an eye fiest. Evenings can be well spent. Feels like not in the City anymore. Quite peaceful and lovely ambience 🤩
Food is little disappointing though. Chicken is not at all spicy. But the Apricot Delight is a must try.
Go....have the most of the place with an Apricot Delight is what I can give 5/5 😛",3,"27 Reviews , 87 Followers",5/19/2019 11:30,4,
The Glass Onion,Ashish Paul,"This was place was a surprise as it is better than you imagine. Though it turned out to be a bit hot, the air circulation could have been better. The food and drinks were as how they were described. Must try.",4,6 Reviews,5/17/2019 2:13,0,
The Glass Onion,Arjun,"The Glass Onion is located at a calm and a quiet place. Despite being around a km behind Infosys, the place gives it an advantage of switching away from city chaos and you needn't be bothered about finding a place for parking. While the restaurant does offer valet, but the parking area next to the restaurant is huge and you can easily get a place there.

Once you enter the restaurant you're floored by the grandness of the place as it comes as something unexpected. They have both indoor and outdoor seating arrangements. Owing to the summers, we opted for indoor seating. The tables are well spaced and there's enough distance between the adjacent tables to give you a premium experience.

The servers are well groomed, attentive and make good recommendations basis the specialities of the restaurant and after checking your preference. For starters we ordered Lotus Stem Galouti Kebab and Nachos. The Kebabs were well cooked and though a little spicy left a good after taste. The Nachos were light, crispy and had good amount of toppings. Despite Nachos being one of the common starters, I'd still recommend people to try the ones here.

For the main course we ordered the Lahori Paneer Combo that gets served with a small bowl of Dal Makhni and Naan/Pulao. The Paneer too tasted very good and had the right amount of spices which blended well with the Paneer. The Dal Makhni that came along with the Paneer was out of this world. It's a pity that it doesn't get served separately, but upon request the servers certainly obliged by offering another small bowl of the same. For something that's prepared so well, I feel that the patrons should get to taste more of it and would request the management of the restaurant to include it in their menu.

Finally the dessert. Tiramisu pastry. Simply no words. Right amount of sweetness, well blended flavour and that smooth after taste of coffee. After a good dinner, the Tiramisu sealed the deal for us to be one completely satisfied customers.

One small observation that I'd still like to add is that despite a good number of servers, they tend to get distracted and slightly inefficient when all the tables start getting full. Towards the end we had to remind them about the dessert and it was evident that they had missed bringing it. However considering that they were attentive and friendly for most of our time there, I wouldn't penalize the restaurant with a star but would request to keep a check on the observation and continue to maintain the quality of the food to keep ensuring repeat visits.",5,"266 Reviews , 1559 Followers",5/12/2019 18:36,7,
The Glass Onion,Mr. Ego,"Truly a hidden gem. This place is situated far from the city, inside Emaar courtyard. The have both indoor and outdoor seating, and the ambience is the best part about this place. Its just amazing.
The food was also great. Something that good be improved is the customer service. There is a bit of delay in getting the orders.
Top Picks :
- Mint Cooler
- Chicken BBQ Pizza

The ambience will offset the price you pay. Overall, a must visit place.",5,"57 Reviews , 513 Followers",5/12/2019 16:32,4,
The Glass Onion,The Hungry Turtle,"This place looks really nice with some good music. They have both outdoor and indoor seating facility and it's a best place to hangout with the family and friends. Outdoor seating has an amazing view of the Golf ground and can be enjoyed during evening.

They welcomed us with a welcome drink which was really nice.
First we ordered Screw Driver, Tropical Delight and Mint Cooler which was really good.

Screw Driver - It was a Cocktail which contains Vodka and Orange juice.

Tropical Delight - It had Orange, Pineapple, Mango and cream which taste differently. I personally liked that blend but my friends didn't. I would rate 3.8/5.

Mint Cooler - It is just normal Virgin Mojito what we gets in other places as well. Nothing special was not their. 3.5/5

For Starters we ordered Lotus Stem Galouti which was ok ok. The kulcha was bit hard so that we need to chew it more. 3.4/5

Next we ordered BBQ Roasted Chicken pizza which was good. The pizza was properly cooked but bit burned at the end which can happen. But that was covered by the taste. 4/5

Overall the experience was really good and it is located in a calm area where we can sit and enjoy with our kids or family or friends.

Overall - 4.6/5",5,"1 Review , 2 Followers",5/12/2019 15:58,6,
The Glass Onion,Pragati Magham,"The place was in a very high end location. The ambience was not up to the mark. The service seemed pretty hostile when we asked them basic questions. And when we asked them to pack some of the remaining food, they didn't seem too happy about it. The appetizers and soup were good, but the quantity was too little. We ordered the ""Classic Mezeh Platter"" and when asked for some pita bread, the waiters frowned upon us and did not give us an appropriate response. Overall the place is overpriced and the service needs to be improved.",2,"2 Reviews , 6 Followers",5/12/2019 8:38,0,
The Glass Onion,Gaurav Agrawal,"Visited glass onion a month back. The restaurant is very close to office, inside premises of Emmar boulder hills. We went with office colleagues on a celebration treat.

Ambience was really good. We had experience of both indoor and outdoor dining. Outdoor dining truly outscored indoor experience.

Food was good but a bit higher on the price looking at portion size. We ordered Mediterranean platter, Bruschetta for vegetarians. The mocktails were nice.

It was couple of days before elections and apparently alcohol was not to be served. What really impressed me was that they followed rules. That's really good to see.

For main course we ordered a north indian combo, a very customised pasta and couple more things. They tasted good. Deserts were good but served delayed.

Overall nice experience.",4,"3 Reviews , 2 Followers",5/12/2019 5:13,0,
The Glass Onion,Saurabh Pareek,"Place is cozy, peaceful and beautiful. Food is 4.5/5. Ambiance 5/5. Service 4.5/5. Good place to visit with family, friends or team. We tried their special nachos, 5 spice chicken kebab and Atishi murg tikka.",5,"2 Reviews , 1 Follower",5/11/2019 23:07,1,
The Glass Onion,Jay Mehta,"2 stars for the place for rest 3, need good food, service, presentation and experience

Lets start with the good part for which the two stars.

Ambience , location and the place is amazing nothing like other places in hyd. The rain today made it even better. Outdoor has this chil lounge vibe with good house music and indoor being this good energy family or dinner vibe.

Thats it to the place and good part!

Service was bad, food was ok. If a restaurant does not serve filter water it is a huge problem. Buying water is a choice not force. Doesn’t matter if you are local udipi or a five star. We were told we dont have filter water something is broken so you buy. While leaving we did see other tables served normal water.

We did have zomato gold to use, but the experience was not so great to use it. First turnoff , dont have kingfisher beers.

We ordered veg tandoor platter, margherita pizza , tiramisu and cheesecake.

Pizza was the best part and yet i would say a 3.5/5. Generous amount of sauce and cheese but 3 basil leaf to count. We asked for mustard and denied.

The platter had many things but of of which was paneer tikka n no grilled onion or peppers or tomato. Whole platter didnt come with any onion et al side. Extra chutney took forever to come.

Tiramisu was average will not try again or recommend

Cheesecake was pretty bad. Packed to throw i guess. The blueberry on it ...is red color which is super confusing. The creamcheese itself i would guess will be cheaper kind making it hard.

They gave a birthday brownie, Which frankly was average too. However, the server comes and tells me during payment, i have not charged you for brownie. WTF!!!!!

Overall i will recommend to go to njoy the place and have few drinks. Hop to jonathans for food or some place in indiranagar.",2,"46 Reviews , 43 Followers",5/11/2019 22:12,6,
The Glass Onion,Divya,"A classy place with fantastic ambience.The decor was lovely. A perfect place with indoor and outdoor seating options. Ordered Chicken wings- which were perfectly cooked with the right amount of flavours infused. Tempura prawns were okay. Can give it a miss. Lotus stem galouti kabab- mildly spiced, well cooked and melts in the mouth. Ordered Chettinad chicken Indian tray. It was amazing! Sundried tomatoes chicken pasta was made perfectly. Ordered Goey chocolate brownie with vanilla ice cream and tiramisu. Both of them were perfect.
VFM : 3.5/5
Service : 4/5
Food quality : 4/5
Ambience : 5/5
Music : 3/5 ( in the indoor seating area the music was too loud )",4,"8 Reviews , 6 Followers",5/11/2019 21:27,9,
The Glass Onion,Rwitaja Banerjee,"“All four elements were happening in equal measure - the cuisine, the wine, the service, and the overall ambience. It taught me that dining could happen at a spiritual level.” #food #foodporn #instagood #love #photooftheday #foodie #follow #picoftheday #instafood #amazing #smile #style #instadaily #followme #like4like #instalike #girl #foodstagram #foodgasm #fashion #yummy #igers #art #friends #swag #fun #bestoftheday #follow4follow #foodphotography #tweegram",5,"13 Reviews , 37 Followers",5/11/2019 0:19,2,
The Glass Onion,Shubham Gupta,"Great ambience, awesome cocktails, delicious food, fabulous service. What more do you need from a place. Music could have been better. Recommend Pennicilin for Whiskey lovers",4,"25 Reviews , 135 Followers",5/8/2019 22:42,0,
The Glass Onion,Sasha,"The best pizza I have ever had !! You will fall in love with the space, a perfect place for romantic dinners and desserts you would crave them even later with the thought of them! Though the food is a bit expensive , it is all worth it!!",5,"2 Reviews , 2 Followers",5/5/2019 22:50,0,
The Glass Onion,ARJUN KAKKAR,"Nice place to hangout with friends. Light Dj music. Good variety of fruit beverages. Margherita pizza is a must try. Chicken wings, chicken risotto and cheese broccoli",4,"11 Reviews , 41 Followers",5/5/2019 18:55,0,
The Glass Onion,Ashish Sharma,"A memorable experience- would be the right caption for my recent dining experience with this restaurant. Staff was very courteous & proactive (special mention:- ankit & vishal). The restaurant has breathtaking views of the golf course around. The interior designing is another remarkable thing to notice.
Last but not the least - ‘The Food’
I can still recall the tempting taste left on my tastebuds while stepped out that night.
MUST VISIT!! M definately coming back😍",5,"1 Review , 25 Followers",5/5/2019 17:09,0,
The Glass Onion,Bhushan Maideo,"I went there with my office colleagues. The ambience is good. The music played is little loud, may be volume can be reduced a bit so that we do not need to about while speaking.

About food, quality of food is good, but waiters need to be taught that when four people order two different dishes, all those to be served at same time. What happens was, we two finished out veg food and the nob veg waa not even delivered when we finished our veg food.

We ordered Lotus stem Galouti, the taste of Galouti was good, but keeping one small kulcha was not going well. I know it must be an experiment, but I guess it is not working out as it was not going well with Galouti.

So, overall, good for one time.",3,"4 Reviews , 8 Followers",5/5/2019 12:35,0,
The Glass Onion,Vibhor Dhote,"I really like this place and I've been there multiple times. The best part is the ambience which is just really classy. You can bring your date here as they have that kind of a romantic ambience. On game nights you can watch live screenings of the matches too. They also have 2+2 on drinks for Zomato gold members, which is really nice to have as well.",5,"63 Reviews , 260 Followers",5/4/2019 20:38,0,
The Glass Onion,Ganachariruchira,"Had been here for lunch.
An amazing ambiance.
I tried the Italian cuisine.
My most favourite was the spinach ravioli, the best ravioli I have ever had.
Food - 5/5
Ambiance- 4/5
Cost- 4/5",5,"1 Review , 2 Followers",5/4/2019 18:55,0,
The Glass Onion,Pori Goswami,"Talk about a perfect date night and The Glass Onion is the best decision to go for. With amazing music, perfect view of the golf course, beautiful seating arrangements and sophisticated ambience made the night worth remembering. The New York cheesecake (with blueberry sauce) was good, but I won't deny that I have tasted better cheesecakes before. We ordered one pizza which, was quite filling and with generous amount of smoked and mozzarella cheese was enough for two. Special shoutout to the manager and the head waiter (I apologize I don't remember his name, but he definitely needs some appreciation. I remember he said he was from Delhi and also Kolkata) who was very courteous and offered us a complementary dessert. This definitely made our night because it tasted so good. The menu might be little overpriced according to many but for us with smart selection of dishes, it was not a hole in the pocket. Overall, it was an outstanding visit. A small suggestion, if they could include candle dining,that would elevate the romantic ambience of the place.",5,"6 Reviews , 46 Followers",5/4/2019 17:14,2,
The Glass Onion,Harshet Agarwal,"great feel, great ambianceterrible customer serviceU need a mesh and anti mosquito repellents ASAPwould not really want to be back after such an experience here
the food was decent though",3,"34 Reviews , 36 Followers",5/4/2019 15:50,0,
The Glass Onion,Sainath Reddy,"Best place to visit in winter nights. But summer mai not so good for dinners.
Ambience-4.5
Food-4
Service-5
Will try to visit for Lunch in summers for the golf course view.",5,"3 Reviews , 212 Followers",5/4/2019 14:15,0,
