Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
The Indi Grill,Srinivasa Rao Yalamarthi,"Raza, Ritam, Ekrabul. Ambiance and food quality is good. Impressed with service also. No.of items also worth the money. Can visit with the family.",5,"1 Review , 1 Follower",5/25/2019 14:51,0,
The Indi Grill,Nina Dhar,"Had a great time at Indi grill.....Food was very delicious and specially chili paneer, awesome.... must try.... service was very good and Subondo was great",5,"1 Review , 1 Follower",5/25/2019 14:20,7,
The Indi Grill,Stephen,Captain Narendar was really good. Service was amazing and so was the ambience. Honey chicken was really good. Dum biryani could have had a little more flavour. The staffs were very sweet,5,"1 Review , 1 Follower",5/24/2019 22:42,0,
The Indi Grill,Varun Reddy,"Serveing is too good... suvendu, shair are too good in serving and coming to the food its good ..... lemon chicken and crispy corn are too good.",5,"1 Review , 32 Followers",5/22/2019 14:44,0,
The Indi Grill,Manish Sharma,Ambiance is good. Service is very nice with tasty food. Raza made sure we get a good service and fulfilled our wishes. A surprise cake for the occasion was nice gesture. Kudos to the team for serving us. Paan shot was showstopper.,5,1 Review,5/22/2019 14:35,0,
The Indi Grill,Sarala Reddy,Raza has treated us very well. Good choice of menu options for the prices specified. Good service done by Raza. Wide range of menu options yo choose from. Definitely must go place for food lovers.,5,"1 Review , 2 Followers",5/22/2019 14:26,0,
The Indi Grill,Harpreet Singh Sidhu,"Delicious food and service awsome. The name of employee who give service me - raja, sahil, subandhu and mudasir and cheif name bhatt he preapred very nicely food and tasty food..ill back soon again this restaurant. Thank u guys...",5,"2 Reviews , 4 Followers",5/21/2019 22:46,0,
The Indi Grill,Smita Vyas,"Raza is the most humble and sweet person at the restaurant. Would love to come to the place again,food is awesome. Excellent sevice and staff members were helpful",5,"2 Reviews , 2 Followers",5/21/2019 14:38,0,
The Indi Grill,Harish Kumar Vasa,Food environment ambience everything is nice here. Loved this place and must visit. Service is pretty fast and the crew is excellent. Awesome place to be with big teams.,5,"1 Review , 11 Followers",5/20/2019 20:59,0,
The Indi Grill,Ashutosh Thakur,"Raza and shakeel, thanks for the good service. Nice place
. Recommend. Food is good. And service was excellent. Really enjoyed the every bite of food. For the quality of food and service they really deserve a 5 star. Keep it up guys. Hope will get the same taste whenever I visit you. Thank guys.",5,"1 Review , 7 Followers",5/20/2019 15:06,0,
The Indi Grill,Amar,"Indigrill serving it's best grill and buffet in HYDERABAD, Overalla had a very good experience here. Definitely I will suggest this restaurant to everyone. The foods having really amazing taste. And all the staffs are very polite and well mannered. Mr suvendu and Narendra served us the best.",5,"1 Review , 1 Follower",5/20/2019 14:13,0,
The Indi Grill,Thanni,This is my first trip to Indi grill and we are blowed by the options. Very good service by Sahil - polite & professional! Keep it up guys. A must visit place in and around Gachibowli,5,1 Review,5/17/2019 22:36,0,
The Indi Grill,Seshu Rao,"Polite and friendly staf, you get new items on request. Food tasts good..satisfactory....good ambience......
Can visit ..
Good for team lunch with friends and family.....",5,"1 Review , 52 Followers",5/17/2019 14:39,0,
The Indi Grill,Devineni Haneesh,"It was our first visit to indigrill and definitely we had a very very good experience here. The food the served was tast amazing. Really enjoyed a lot. The guy Raza,sakil and ekrabul served us best.. keep it up team.",5,"3 Reviews , 3 Followers",5/17/2019 14:21,0,
The Indi Grill,Anil Kumar Ippili,Food is very good. staff is very friendly and ambience is also good. jilebi with rabdi is very good. shakil and Raza were very friendly and served us with ease.,4,"6 Reviews , 9 Followers",5/17/2019 14:20,0,
The Indi Grill,Krishna Chaitanya,"I have booked for a corporate lunch at this place. When we went to this place to be frank we are with zero expectations on this but at the end the of our lunch all my teammates are happy with this place. Best part here is their starters, desserts and chat items. Here jelebi with rabdi is extremely super 😋. Service was bit slow but their respect towards customers made us forget that. Only area where they can improve is the main course options. Thanks Indi Grill for giving us one of the finest lunches ever we had.",4,"2 Reviews , 56 Followers",5/16/2019 18:46,0,
The Indi Grill,Amanmahajan1676,Good Food and service . Delighted to be here.. good variety and taste / good quality .. staff was courteous and well groomed . Keep it up . Look forward fir home delivery,5,"2 Reviews , 2 Followers",5/16/2019 16:04,0,
The Indi Grill,Yamini Jyothsna,"We happening here ever week for team lunch. the best about the Indi grill is their grill starters . We love their food and service. Sahil ,ritam and ezaz are awesome .thank you team Indi.",5,1 Review,5/16/2019 14:35,0,
The Indi Grill,Harikrishna Prabhu,Went here for a team outing. The restaurant caters to masses from the corporate sector. Not great spread on the buffet. The starters were either too spicy or undercooked. The main course spread was below average. The fresh jalebi was a good addition to the otherwise below average dessert spread.,2,"1 Review , 1 Follower",5/15/2019 17:54,0,
The Indi Grill,ARJUN GUPTA,Had good food. Staff was very courteous. Good ambience. Suvendu and Raja were very good wait staff. Non veg starters were very tasty. Went for lunch,4,"2 Reviews , 6 Followers",5/15/2019 14:26,0,
The Indi Grill,Bhargavi Arachatla,Friendly staff and nice food. Subendu and sakhil has served us very good. Enjoyed this place. Definetly must visit. Nonveg lovers has more options to have.,5,"1 Review , 1 Follower",5/14/2019 22:23,0,
The Indi Grill,Deepthi Sagar,"Narendra and ritam have served us good.We have enjoyed the food with our team,both in Veg and non veg they have pretty good options to choose",5,"1 Review , 18 Followers",5/14/2019 14:27,0,
The Indi Grill,Roopkamal Singh Bujrall,"Best place to visit n Subhandhu and Aritham n shakil n narender entertain the best, they make sure we taste everything.Pan shot Rabbdi n ice cream",5,1 Review,5/14/2019 13:58,0,
The Indi Grill,Subhasis Saha,"Went for buffet, too much spices on the barbecues, after certain point your stomach burns. Not a great main course spread, no variety. The dessert looked promising but it let me down big time. The Apple cake was not baked properly, the pudding was thick. The restaurant promised a lot but delivered very little. Only thing I liked is the staffs, they are very hospitable.",3,"47 Reviews , 118 Followers",5/13/2019 11:06,0,
The Indi Grill,Koushik Varma,"We had lunch here with our friends.got amaizing experience at the indigrill.food was awesome .best barbeque grill in the city our server sahil,sakil,bala were very courteous and polite.",5,"1 Review , 1 Follower",5/12/2019 14:58,0,
The Indi Grill,Sai Phani Teja,"The food and the service (narender and ritam ) was extremely good. The desserts could be improved.
Value for money:3/5
Main course:4/5
Starters:4/5",4,"1 Review , 1 Follower",5/12/2019 14:53,0,
The Indi Grill,Prakriti Priya,I would definitely recommend people to come here and have food. 5+ rating I would prefer. Good service and amazing food. Good work. And one last thing last moments reservation they take it and that was the best thing. Keep up the good taste and Ambience all the best 🤗✌️,5,"18 Reviews , 15 Followers",5/11/2019 23:18,1,
The Indi Grill,Anupama Das,Good service and food. Price is also good compare to compitators with grill options. There are couple of options available from live counter.,5,"1 Review , 1 Follower",5/11/2019 14:40,0,
The Indi Grill,Chandann Reddy,Went with high expectations as it was BY mothi mahal with a concept like AB’s and barbecue nation... must say the food was not up to the mark!!! The service was exceptional and good ambience but not the food.... spread was decent.... hopefully they will improve,3,"302 Reviews , 228 Followers",5/10/2019 16:54,0,
The Indi Grill,Hitesh Venkata,"The food was awesome. The spread was evenly maintained. Good for both veg and non veg.
Subandhu and Narender had served us who made sure we left with utmost satisfaction.

Taste: 4/5
Spread: 5/5
Ambience:3.5/5
Hospitality:4/5",5,"7 Reviews , 2 Followers",5/10/2019 14:27,0,
The Indi Grill,Ankita K,"We went for team lunch.The food is good and you have decent number of options. It is definitely a one time try and good alternative for abs,3bs. Raza gave very good service. Overall good experience.",5,"3 Reviews , 1 Follower",5/9/2019 15:00,0,
The Indi Grill,Sumit Unya,"A very active and courteous staff. Shaqeel was really helpful and on his toes to cater to us the whole time. The ambience was great. A great variety in the grill items however the deserts could have been a little less sweeter. The dishes well liked were crispy corn, green apple fox, and angoori gulab jamun. Ice creams and custard lacked their respective flavours which was a disappointment. Surely would like to visit again expecting the above changes are made. :)",5,"3 Reviews , 1 Follower",5/8/2019 22:29,0,
