Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
The Lal Street - Bar Exchange,Shibu Singh,This place is amazing for weekend fun hangouts and let your tireness go away. The DJ is awesome and plays best bollywood songs and punjabi too. The veg pizza and pastas are pretty good to try along with fruit punch. But if you want to have a good fun filled and energetic time go here. This place the best music to groove to and has pretty ambience to get clicked.,4,"5 Reviews , 1 Follower",5/25/2019 13:43,0,
The Lal Street - Bar Exchange,Vishwa Talati,"This is what we were served today when we ordered for Grilled Paneer. I think this was someone's left over which we were served. Giving the benefit of doubt that they might have made some mistake, I informed them that it might be a mistake but the manager said that they didn't have enough plated to serve and hence they served it like this. After a lot of arguments they finally decided to change it. BUT the story does not end here. They served us ice cold paneer in a different plate. I will just finish my beer and leave now.",1,"20 Reviews , 198 Followers",5/24/2019 22:55,1,
The Lal Street - Bar Exchange,Pritha Majumder,"I am absolutely in love with this place, not much hyped but still crowded. I recommend to visit on weekdays and weekends can get overcrowded. Pizza was good, so were the other titbits but what I liked most was there service, took time to place the order at the POS but the bartender whipped up my drink in no second bad I never had to call out for a repeat, it was ready each time. Overall I go to this place every other week one of the best party place around.",5,"59 Reviews , 241 Followers",5/23/2019 15:49,1,
The Lal Street - Bar Exchange,King Khan,"Been to this place along with friends for a small party,We loved the place & but only concern was service associates were rude &Helpless..When we complained for burned naan was served then the server stated that we serve Naan likes this only,He didnot even apologised...very pathetic experience we had...",3,"2 Reviews , 12 Followers",5/21/2019 14:39,0,
The Lal Street - Bar Exchange,Kapil Nitharwal,"This place is absolutely mind-blowing. Great music, great service, great food. It's crowded because so many wanna be here, is so epic! If you wanna spend some good time with your friends, dance your heart out, and blow off some steam, The Lal Street is the place for you.",4,"4 Reviews , 47 Followers",5/18/2019 21:27,0,
The Lal Street - Bar Exchange,Stephen Reji,"I had gone to this place for team dinner. The place is in a mall and has a good ambience. We ordered many starters and drinks. The food was decent, nothing special. It is a good place to party and dance.",3,"272 Reviews , 1646 Followers",5/18/2019 1:28,0,
The Lal Street - Bar Exchange,Rekha Bansode,"Worst service experienced ever.
Nobody is concerned about even taking the order.
its just waste of our evening.
Not as expected.
This review is completely for the Service we received.",1,"1 Review , 1 Follower",5/17/2019 21:59,0,
The Lal Street - Bar Exchange,Neetika Sahai,"I have been to this place with friends for friday night. The place has amazing vibes. They were playing awesome bollywood numbers. The place was so crowded that it's do difficult to find a place to chill. Getting a table is task. Food is also good. One advice, go a little early. You will get place and even drinks will be at decent prices.",4,"44 Reviews , 872 Followers",5/12/2019 16:43,0,
The Lal Street - Bar Exchange,Devin,"Apparently that's their garnish. Oh yeah, the orange peel on the plate. Was my drink the dustbin? Lol 😅. Oh wait, I guess maybe I never had a cocktail. That's what the waiter said. Horrible service. The guy wasn't ready to even call the manager.",1,"1 Review , 1 Follower",5/12/2019 15:33,1,
The Lal Street - Bar Exchange,Shruthi Ayalasomayajula,"This was a good place, cozy and outside seating arrangement was romantic. Amazing place for the get-togethers and for a bunch of friends. Food was okay. We had nachos, the salsa can taste better a bit, it was bland.
Ambience- 4.5/5
Service-3/5
Food-4/5",4,"6 Reviews , 1 Follower",5/11/2019 23:22,0,
