Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
The Tilt Bar Republic,Imteja7,Visited last Saturday heard live music.. Sonalin Priyadarshini is just fabulous.. wanted to listen her again and again. 😍 Such a good Singer she is😊😊,5,3 Reviews,5/20/2019 14:15,0,
The Tilt Bar Republic,Mazhar Ahmed,"Wanted to listen her again n again .. Sonalin Priyadarshini has very good voice.. such a talented girl,.. really appreciate .. nice place nice lightning",5,"2 Reviews , 1 Follower",5/20/2019 13:00,0,
The Tilt Bar Republic,Nisha Gahlawat,Just in love with Sonalin Priyadarshini Voice.. she is a very good singer of the City I have ever seen.. please once again invite Sonalin. Want to listen her again. Beautiful place .. I enjoyed last Saturday here😍,5,"2 Reviews , 1 Follower",5/20/2019 12:42,0,
The Tilt Bar Republic,Ankita Sinha,Please once again call Singer Sonalin to tilt.. I am became fan of her.. she has a amazing bold voice 😍just loved her voice the way she is representing😍,5,"9 Reviews , 5 Followers",5/20/2019 12:38,0,
The Tilt Bar Republic,Snehal,Sonalin is a very good singer in city . Please invite her once again to tilt. With a beautiful face. I heard her last Saturday she is just beautiful singer.😍,5,1 Review,5/20/2019 12:33,0,
The Tilt Bar Republic,Payel Biswas,"Food is amazing though the space is a constraint here.
But the ambience, look and feel and the food service is amazing.
Food: 5/5
Ambience: 4/5
Music: 3.5/5
Service: 4/5

Overall, if not for anything for your tastebuds and boozing satisfaction you must hit the floor.",4,"42 Reviews , 68 Followers",5/19/2019 13:41,0,
The Tilt Bar Republic,Aparna Singireddy,We went there early evening. It was calm and peaceful. Music was soft. Food was good but the main course quantity was less. Beer tasted well. Service was fast and professional . Recommend for quick dinners.,4,9 Reviews,5/15/2019 23:10,3,
The Tilt Bar Republic,Sravani Bodanapu,"Was here for a club party.

So, This place has an amazing ambience with dim Lighting, well equipped furniture & a large LCD screen & the light music just makes it perfect during a cricket match.

Well, Coming to food, I opted for a Veg buffet. The starters tasted really good specially the cheese garlic bread & ghee idly.

We had enough dishes in the main course & there were mocktails being served whenever asked, Raspberry tasted the best.

Deserts weren't that great. Vanilla scoops were just fine.

Overall, It seemed like a great place to hang out with a large crowd & also alone (Yes, for those cricket maniacs, you can just get yourself a beer & relax).

Either ways, it seemed at its best with proper space, lights, music & yaa, privacy.

I would rate:

Taste: 3.2/5 (veg buffet)
Ambience: 4/5
Value for money: 3/5",4,"25 Reviews , 57 Followers",5/9/2019 12:17,4,
The Tilt Bar Republic,Sri Harsha Konuru,"I always go this place with my friends, wen Eva I get time...There collection of beers is just amazing...Ambience is really good with a nice view...If u stay near Gachibowli, I highly recommend this place...",5,"23 Reviews , 90 Followers",5/3/2019 20:03,0,
The Tilt Bar Republic,Phani Dileep,"Just make sure why you are going there. If food it would be a 3 rating(yes comparatively cheaper buffet in near by restaurants though) and if it drinks it would hang near 4. Their varieties in drinks get that for them.
Place is good in ambiance but total inside so not a roof top or garden. You can enjoy the game days well than other days
And yes a good value for your money",3,"99 Reviews , 106 Followers",4/30/2019 1:00,0,
The Tilt Bar Republic,Prateek Jumrani,"I’m a musician and I perform at this place because the place has a positive vibe! Peaceful atmosphere.
The most important thing, the staff is way more humble and down to earth. They greet you with a smile which is more than enough for people who are stepping in.

Bohot hi khoobsurat jagah.
Esi Jagah, jahan aap sukoon se beth sakte hain apne dosto aur family ke sath!

FOOD : 1) Must try! Chicken white sauce pasta. Isse behtar pasta maine kahin nahi Khaaya! :)

2) Must try all the brews! Very different and unique in taste. Beers which are imported from various countries .

3) For a starter with your drinks, do order fried idli and crispy corn!

Thank you .",5,"6 Reviews , 12 Followers",4/30/2019 0:48,9,
The Tilt Bar Republic,Dinesh Naidu,"Looking for a cool bar close to work, this is the place, went during the IPL season with big screen streaming it live, they have nice collection of beers to try out.

Overall : 4/5
Food :3.5/5
Ambience :4/5",4,"20 Reviews , 10 Followers",4/28/2019 21:54,0,
The Tilt Bar Republic,FitFoodFad,The place was pretty crowded for a weekday. We ordered a couple of chicken items. I only remember the food to be extra spicy. The brews of this place are good though,3,"64 Reviews , 867 Followers",4/28/2019 16:56,0,
The Tilt Bar Republic,Prateek Manthapurwar,The food is really good in comparison to other pubs or bars. They have an assortment of foreign drinks some of which are really nice. The ambience is pleasing but the metal table and the chairs might cause a slight discomfort to some.,5,"2 Reviews , 4 Followers",4/27/2019 15:06,0,
The Tilt Bar Republic,RM,Quite expensive to be fair. Good ambiance and great beer collection but go only if you've robbed a bank otherwise your wallet will have a major dent.,4,"21 Reviews , 6 Followers",4/16/2019 19:53,0,
The Tilt Bar Republic,Sarika,"We went during lunch time. It's a good place.
Drinks are nice.
They have offers for lunch too.
The seating is nice. Booking a table is better when going for lunch because it's crowded usually",4,"34 Reviews , 12 Followers",4/15/2019 12:21,0,
The Tilt Bar Republic,Aditya Jhalani,"Been here a couple times now. Great service. Nice food. Not terribly expensive. The ambience is okay-ish. Gold works here, so that's good. Would definitely go again. I only wish they were open for longer. :)",5,"2 Reviews , 2 Followers",4/14/2019 20:34,0,
The Tilt Bar Republic,Sharanya.naga77,Its a big mistake if ever u plan to have your food here. We have ordered for Veg Pasta & we have been served with Chicken Pasta. We have waited for an hour just for Broccoli and left without having our food.,1,"5 Reviews , 3 Followers",4/12/2019 22:14,0,
The Tilt Bar Republic,Rohit Sunkari,"Such a great ambience it has. Food is damn tasty. Service can be actually improved, choice of drinks and food are really less. Would recommend it for food it has.",4,"33 Reviews , 233 Followers",4/11/2019 17:43,0,
The Tilt Bar Republic,Kiran Raj Biswal,Nice place with good ambience and good staff. Tried 2 beer both were good mocktail and cocktail were good. Noodles and chicken hongkong was tasty the only flaw for which I give a 4 star is lack of Indian main course dishes in the menu..,4,"19 Reviews , 27 Followers",4/9/2019 23:37,2,
The Tilt Bar Republic,Saket Jain,"Ordered for a Red Sauce Pasta which came sweet. Then ordered for a veg assorted pizza expecting of a better experience but failed there too. It was too bland and nowhere near to a decent pizza too.
There was a band performing too but was so boring that we hardly listened to any of its songs.",2,"3 Reviews , 57 Followers",4/7/2019 20:41,0,
The Tilt Bar Republic,Puja Agarwal,"Nice ambience. We went on a live music night by Band Qurbat. They were amazing.

Staff was courteous. Service was good as well.

Now coming to food.
We ordered pasta in cheese sauce, which was fairly cooked. The taste was satisfying.
Also, Tropical punch, and I am fan of all the fruits they prepare it with, hence I liked it.😍",5,"32 Reviews , 265 Followers",4/7/2019 12:15,3,
The Tilt Bar Republic,Suparn Kuer,"Today we went to this place for office party. The place seems to be strategically located near bio-diversity signal in order to cater crowd from near-by tech parks.

The place is little small and can accommodate maximum of 50-60 people during full house.

They have their own brewery with many variants in beer. The food quality is very good for both veg and non-veg options.",4,"19 Reviews , 14 Followers",4/6/2019 1:27,0,
The Tilt Bar Republic,Sushmithagali14,"Visited this place for dinner.Soothing music and awesome ambience. The pasta 🍝, non-veg platter were so good and also the Mocktails were good.",5,"4 Reviews , 1 Follower",4/5/2019 11:50,3,
The Tilt Bar Republic,Mehek Bassi,"Amazing atmosphere and beautifully designed bar! Enjoyed the IPL match while sipping on their different styled mocktail. Their mocktail called Salty Dog is worth trying if you're a fan of salted and spicy drinks! Even better if you can try peach mocktail, infused with tangy flavour and buzz of soda. Overall a great experience!",5,"3 Reviews , 17 Followers",4/4/2019 0:26,0,
The Tilt Bar Republic,Saikrishna Pothuri,The ambience was good. The service was way too slow and the staff was busy watching the cricket match on TV I guess. The food was below average. One of the server didn't inform what we have ordered for pepper chicken and later the person who took the order in the starting came and he was telling that we did not order after 15 minutes of telling the other server. Such a poor coordination and very slow service. Not at all worth the price.,1,"90 Reviews , 148 Followers",4/2/2019 2:13,0,
The Tilt Bar Republic,Ashish Jaiswal,"I really enjoyed the cilantro fish and Pasta, everything else was just ok. Limited variety of food. Non-veg main course items didn't meet expectations. Veg main course item tasted good. Overall a good experience",4,"14 Reviews , 11 Followers",3/27/2019 11:52,0,
The Tilt Bar Republic,Siva Kumar,"Food-(3.5/5) There are very limited items to order, especially in main course, there was only butter chicken. The mocktails were also just okay.

Service-(4/5) They were good, they knew their job well.

Ambience-(3.5/5) It was good, could have been more eye catchy, but it was okay. The singer sang very good songs, had the mood up",3,"84 Reviews , 183 Followers",3/26/2019 1:19,5,
The Tilt Bar Republic,Praveen Singh,"Pretty decent place with good food. Very limited options in liquor, they have only 4-5 variants in scotch whiskey. Overall ambience was great.",4,"2 Reviews , 1 Follower",3/21/2019 22:59,0,
The Tilt Bar Republic,Gagz Kaur,The food is average. But the service is very very poor. Buffet lunch was not that great. Food was cold when we started our lunch. Raita was watery. Starters are bearable. But the restaurant really needs to pay attention to the service criteria.,2,"2 Reviews , 32 Followers",3/20/2019 19:11,0,
The Tilt Bar Republic,Reshma Baratam,"Straight to the point, the food is really good. I’ve been there around 10 o’ clock in the night, maybe because of that the food which was served was cold and that pretty much disappointed me! :|
Anyways, this is a nice place to hangout with friends or family. It has a big screen of a match going on with light music and serves wine too.",3,"31 Reviews , 130 Followers",3/16/2019 8:03,0,
The Tilt Bar Republic,Rahul Agarwal,"My exp with the place was a bit different from many other reviews. Went for a lunch with wifey. The place seemed more suitable for groups, college kids and so on.
The food was decent though. Not much to complain about. Service was satisfactory, while waiters were prompt, it wasn't a refined experience.
Overall, I would like to give 3.5/5,but unfortunately can't on the slider scale.
Food - 4/5
Service 3.5/5
Decor/ambirnce - 3/5",3,"34 Reviews , 233 Followers",3/16/2019 6:56,0,
The Tilt Bar Republic,W TF,"Only 3 stars for taste of food. So visited here with colleagues for lunch.
Have expected a good ambeince but too crowded and service was at its lowest,
Might be only cause of Friday.
But Food was good.
And Little conjested place.",3,1 Review,3/15/2019 22:51,0,
The Tilt Bar Republic,Prashant Bahuguna,"If you want to see some different bar menu, this is the place to be. They have Belgian Beers which just perfection along with some unique liquors. I had a pineapple martini, as recommended by the waiter, and that was the best martini I had till date. Food is also good and service is quick. Must visit place.",5,"15 Reviews , 8 Followers",3/11/2019 22:59,0,
The Tilt Bar Republic,Kamaal Ahmed (zaiqebaaz),"Tilt is one of the most popular places around Gachibowli for team lunches and chill out evenings. The ambiance is quirky and funky that would appeal to youngsters. Theres live music, sports screening. The window gives a n amazing view of the hitec city traffic.

We started with a mango mocktail called Mango Festival which was the best mango drink I've tasted.

Cajun spiceed Chicken was heavy on cajun spice and did not taste anything else.

Cheese Broccoli was an amazing dish. Both cheese a d Broccoli were fresh and were perfectly cooked.

The Cilantro Fish was another great starter where in meaty Basa chunks were marinated with coriander leaves a d cooked to perfection. No fish smell....that's it. It's a hit!

They have some interesting items on the menu that one wouldn't expect at a place like this.

Ghee fried idli was a surprise and was amazing! Highly aromatic d spicy idli pieces that just fill your mouth with flavours.

Peanut salad. Similar to roadside peanut chat that we get, in a fine dine form. The quantity is great and you just cant stop eating it.

In the main course, I ordered Lamb Chops. The chops were big and meaty but they could have been cooked better.

The grilled fish with rice was again an amazing dish with fresh grilled fish a d flavourful rice.

In the desserts, Cheesecake didn't impress me. They should start baking it.

However the choco lava was a stunner. Probably the best choco lava in the city.

Overall a place with great food but ambiance could have been better.",4,"222 Reviews , 3019 Followers",2/28/2019 20:20,12,
The Tilt Bar Republic,Siddhardh Stunning,"The food and ambience are average . In starters egg fish and chicken are sort of better . Corn and all other veg ingredients are not up to what you expect it to be and moreover the main coarse is the worst to have . The desserts are decent and the fruits are the best .
I would not recommend a buffet here because the money you spent here goes down the drain think before you go. The moctails they serves was the worst .",2,"5 Reviews , 26 Followers",2/26/2019 13:34,0,
The Tilt Bar Republic,Rashmi (Foodieshots_Hyd),"**** Follow us on Instagram at @foodieshots_hyd ****

TILT European Bar is a unique bar in Hyderabad that serves a variety of imported beers. While the newly opened micro-breweries struggle to serve good quality beers consistently, TILT fills in the vacuum. It was interesting to note that few of these imported beers are brewed by the Trappist monks. Also apparently the good quality of ingredients that go into brewing of the beers ensure they do not contribute to the dreadful beer belly !

We tasted almost all of their beers thanks to their sampler set containing Belgian Kreik, Chamborlette, La Trappe Witte, Dubbel, Erdinger Weisbier, Erdinger Dunkel and Schuimzuiper. Of these we liked the Dubbel, La Trappe Witte and the Erdinger Dunkel. They also serve a variety of mocktails, our favorite ones were Mint Mango and After Glow.

Their food menu compliments the beers very well. In appetizers we liked the Cajun Spice Grilled Chicken, Zesty Chicken Wings, Cilantro Grilled Fish, Cheese Broccoli and guess what, Spicy Fried Idly ! We were not expecting Spicy Fried Idly to be on the menu but when we tasted it, we understood why this was their most popular appetizer. We loved the Chicken Wings, they were at their juiciest best.

In the main course, we were served Grilled Fish with veggies and Lamb Chops with Rice & French fries, both the mains were great. In desserts, we had the Blueberry Cheese Cake and Choco Lava cake. While the Cheese Cake failed to impress us, the Choco Lava cake was finger licking good !

We ended a wonderful lunch session with shots of Smeets Waffle Jenever, it has a brilliant sweet after taste of Belgian waffles, a must try !

Overall TILT European Bar is a great place to hangout with friends over some great imported beers and delicious food.",5,"169 Reviews , 1261 Followers",2/26/2019 0:04,10,
The Tilt Bar Republic,Sanjaya Behera,This place is recommended by my friends.so we visited last night.really very good place with a beautiful ambience and a large options of food and beverage variety.i specially like the way of presentation of there food and drinks.a must try place with my recommendation..,5,"4 Reviews , 799 Followers",2/17/2019 13:20,2,
The Tilt Bar Republic,Dipanjan Maji,"Great place overlooking bio diversity park junction.very Beauty Full ambience with a prompt service.. great variety of alcoholic and non-alcoholic drinks with wonderful taste.
Specially recommend..
Achari paneer.
Fried idili nachos.
Overall a must try place with great offers.",5,"24 Reviews , 1843 Followers",2/17/2019 13:15,0,
The Tilt Bar Republic,Bharadwaja Ghali,"A chick place.

Went for a team lunch. Service was very good with staff being courteous and prompt in serving food.

We opted for buffet which has decent number of options for both Vegetarian and Non-vegeterians.

An ideal place to hangout with friends on a game night enjoying the drinks and food.",3,"97 Reviews , 232 Followers",2/14/2019 15:32,0,
The Tilt Bar Republic,Nupur Saxena,I really don't like the place much . The prices were too high . Small area . Just don't like that much. The music was not upto the mark . And the place was dull,3,"12 Reviews , 7 Followers",2/14/2019 13:19,0,
The Tilt Bar Republic,Sejal Modi,"Hands down the best Beer in Town 🍺love their cherry beer.
Ghee podi idly, butter garlic mushrooms, noodles are my favorite appetizers here !!",5,"12 Reviews , 128 Followers",2/13/2019 22:21,0,
The Tilt Bar Republic,PRIYANKA NANDA,"The place is good but not for non drinkers. They are not willing to pay any attention towards non drinkers. Almost all staff members are concentrated at drinkers table only. In short, not a good place for non drinkers.",1,"2 Reviews , 1 Follower",2/10/2019 21:13,0,
The Tilt Bar Republic,Srinivas Rao,Food taste is good. Customer service also good. Ambience and music also nice. Cool place to hangout with friends. Overall it's very good.we enjoyed.,5,"7 Reviews , 3 Followers",2/10/2019 17:53,0,
The Tilt Bar Republic,Deep Verma,"Food was good but they need to look into quantity which they serve. Quantity was quiet less.
Mango Mint cream is the must try drink of this restaurant.",4,"9 Reviews , 1 Follower",2/9/2019 20:37,0,
The Tilt Bar Republic,Shreya Matangi,"Been here with my buddies, meeting after few months...!

Place and ambience is too good...!!!
I would love to hangout there again... probably with the same bunch of buddies again..!!

Service is good too. This place mentions the % of alcohol content for every drink. Anyone who wants to try to have alcohol for the first time this place is of course a good start of it.

I would recommend non vegetarians to go to this place because I don't find veg tasty here..! But thankfully I am a pure non vegetarian..!!",4,"13 Reviews , 22 Followers",2/8/2019 11:27,0,
The Tilt Bar Republic,Arjun,"I went there last night with a friend and had a pretty good experience. The place is on the second floor and you can view the traffic near the Biodiversity Park junction. It's not very crowded either and thus you're able to get a good amount of attention from the staff. They are courteous and efficient and if not sure they do check and come back with the right response.

They have a good variety of Tap Beers. We initially tasted the Chambourlette, La Trappe Witte, Schuimzuiper and Erdinger Weisbier. Chambourlette is very mild, slightly fruity too, La Trappe Witte was smooth, hada flavour of some good fresh spices and no bitter after taste, Schuimzuiper was a little bitter and Erdinger Weisbier was very mild. The obvious choice for us was La Trappe Witte.

For food, we ordered Nachos, Chicken Wings and Schezwan Paneer. Nachos was okay, basically it lacked topping. It looked as if the cheese was applied using a brush and the toppings were more like a garnish. Schezwan Paneer was amazing, the Paneer too had actually soaked the taste of the spices and was wonderful. For main course we ordered Veg Hakka Noodles, which was again prepared well and the noodles too were quite light.

The ambiance of this place is okay, the music is at the right volume and doesn't make you yell to talk. The place however is very dimly lit that your eyes strain while reading the menu as well. But overall a fairly good place to hangout with friends and quench your thirst.",4,"266 Reviews , 1559 Followers",1/13/2019 13:18,2,
