Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Tiki Shack,Anshul Gupta,"A very bad experience. I went here with my team, but the staff made sure that we had the worst experience. The food was cold, served very late. Drinks were of bad quality. Staff behavior was also very bad.",1,"2 Reviews , 3 Followers",5/25/2019 16:58,0,
Tiki Shack,Anshul Gupta,"Everything since I entered the restaurant was a disaster. I received cold food after 45 minutes after I placed the order, that too after multiple complaints. The drinks quality was not good. It happened twice that the staff forgot the order after we placed it. They had to be reminded about the order. Overall very bad experience regarding food quality, drinks quality and service. Would not recommend to visit.",1,"9 Reviews , 78 Followers",5/25/2019 16:55,0,
Tiki Shack,Vamsi Krishna,"The place is really nice and they make amazing cocktails .. they are awesome .. they have really tasty starters esp their jalapeño cheese balls ..

Don’t know if they still allow stags .. they used to let us in when it opened new at Gachibowli

Food - 5/5
Drinks - 4.5/5
Ambience - 3.5/5
Service - 5/5
Price - totally worth it",4,"3 Reviews , 6 Followers",5/24/2019 17:42,0,
Tiki Shack,Gautam Narang,"We came at this restaurant for a drink on a weekday at it didn’t disappoint. Music was good. We ordered a Pizza, Garlic Bread and Beers. Pizza was the best I’ve ever had, but Garlic Bread was disappointing. Also, we had a couple of Beers and we ordered a couple more. They were unopened, we changed our mind and asked the waiter to exchange them with Coke which was refused. I didn’t understand the waiter’s logic and I didn’t argue. Also, apart from Beer everything is costly here. I’m going for a 3 out 5 for this restaurant.
PS: This restaurant serves the best Pizza in Hyderabad.",3,"16 Reviews , 82 Followers",5/24/2019 14:49,1,
Tiki Shack,Soumi Sur,Lovely place to hangout with friends.. surely one of my favourite place.Ramakanth working here had always been helpful and prompt at service..keep it up!,5,"2 Reviews , 12 Followers",5/22/2019 18:20,0,
Tiki Shack,Deepak Dhara,"A cool place to hang out with friends. Ambience deserves a special mention as it's cool. Great music and dj and chilled out Crowd.
Food is good !",4,"129 Reviews , 1661 Followers",5/22/2019 13:19,1,
Tiki Shack,Jasmin,"Last night spent at Tiki Shack for a quick round of drinks. As we reached it started raining giving some respite from the heat and we could enjoy the lovely terrace ambience.

Watermelon martini for me and Bacardi for my better half with some pork spare ribs was our order. Martini was well made to my liking. The ribs had only one rib and rest were chunky pieces which we pointed out. But it was well made in spicy siracha sauce which kind of compensated.

Overall a nice place with ample seating though music is on the louder side. The only let down was the plastic cutlery which you wouldn't expect here.",4,"120 Reviews , 562 Followers",5/21/2019 12:26,0,
Tiki Shack,Vaibhav Patil,"Delicious food and decent crowd! Roof top was unbearable because of heat so had to shift inside. Since music was bit louder inside, bought some whiskey and went home. Overall okayshh.",3,"1 Review , 14 Followers",5/19/2019 18:32,0,
Tiki Shack,Prithvikvn20,everything about this place sound good .. with great ambiance and decent food and drink options .. I would recommend this place only if you are going as a couple or girls .. they have a huge gender discrimination for guys as they need to pay higher cover charges on weekends than the bill they would sum up .. world and tikki shack will be a better place if they stop discriminations and spread equality,2,3 Reviews,5/18/2019 23:14,0,
Tiki Shack,Duggu,Party !!!!!!! Great place to party and in indira nagar. They have rooftop arrangements and good space to dance and enjoy. Very decent and classy crowd. Good place to chill at weekend.,4,"55 Reviews , 1299 Followers",5/18/2019 18:45,0,
