Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Udipi's Upahar,Raviteja,"Ok ok food is not that tastey & I will not recommend this place for eating
Place is not so clean & the kitchen counter is not good. Cost is more",2,1 Review,5/12/2019 17:39,0,
Udipi's Upahar,Dileep,Good south Indian breakfast items .. u can try all the south indian items like idly and diffrnt kinds of dosas ... Also u can try out various chutneys,4,"3 Reviews , 1 Follower",5/4/2019 19:03,0,
Udipi's Upahar,Prakash Behera,"This place serve best South Indian food with awesome taste . I had iddli there and it's very floppy and taste is nice . It's better to pack food and eat at home , if you are alone or with friends then you can eat here . It is always crowed",4,"13 Reviews , 37 Followers",4/28/2019 12:13,0,
Udipi's Upahar,Ha,"Very good place to breakfast! Yes, the sitting area a problematic. Even to stand also its bit cramp as this place is always crowded for its best food.

Sometimes my day starts with a lip licking breakfast from here.
😍🤤",4,"86 Reviews , 145 Followers",3/26/2019 2:45,0,
Udipi's Upahar,Manikanta Annamraju,The food they prepare is very good than other udipi hotels. The way they do parcel and the care they take for taste is good. Good food at good price.,5,"4 Reviews , 4 Followers",3/3/2019 14:55,0,
Udipi's Upahar,Yada Roopavathi,"Ambience is okay but the food is good. Regular Idly, Sambar Idly, Poori, Mysore Bonda, Dosa are good. Sambar, chutney are good in taste. A definite place to try the food.",4,"124 Reviews , 175 Followers",2/28/2019 16:12,0,
Udipi's Upahar,Ananya,If it hadn’t been for my friend this place would have simple gone unnoticed. Your typical road side eatery and must have breakfast destinations. The pipping hot vadas are the best I’ve had. Restricted myself to just one vada so that I could try other items. Butter steamed dosa and karampudi idli were good too. Visited this place on both the days for breakfast during my 2-day visit to Hyderabad.,5,"78 Reviews , 1160 Followers",2/4/2019 9:02,2,
Udipi's Upahar,Hari Krishna,"Not up to mark as per it’s brand name.


Food is just like ordinary tiffin centre’s

Need to improve and provide food really authentic of Udipi
Ambiance is really awkward no cleanliness even in Ac family section also",2,"26 Reviews , 37 Followers",2/1/2019 20:09,0,
Udipi's Upahar,Raj Rohit,"A regular tiffin place in gachibowli. Their idlis, Mysore bondas and vadas are all wonderful.
The sambat idlis are great too.

+ Super fast delivery",5,"124 Reviews , 372 Followers",1/28/2019 17:44,1,
Udipi's Upahar,Saketh Vasista,"FoodFor Friends in regards with taste it's too good but if you want to order something you need to be aware of packing.
Packing is not good i ordered sambar idly and they didnt gave me spoon how can a person eat sambar idly with put spoon.
Need to maintain those things other than that food is too good.
I will prefer to visit",3,"7 Reviews , 2 Followers",1/13/2019 13:08,0,
Udipi's Upahar,Ashok Prabhakaran,"One of the best places to have South Indian tiffin varieties in Gachibowli area.  Most cost effective and tasty, quick fast food on offer. I enjoyed the food here and have tried out many times and on almost daily too.  If anyone have any doubt, the crowd that is present here almost all of the time should indicate the popularity of the joint here. 

Situated in a busy area on the Gachibowli main road near to the ORR inter-junction. You cannot miss the place. I have tried out their meals, tiffin varieties, the bhajji & pakodas in the evening and also their tea. Have been satisfied with all of it and do not have any complaints. 

Absolutely zero ambiance and its self service too. Be prepared for the rush and once you get the token, be prepared to be squeezed in a corner to give out your token to the waiters inside. There is no queue system here and they just collect your tokens at random.  When your food item is ready, they spot you and give it to you. Be prepared for some hassles out here as you get jostled around. Finding a spot to eat your food during rush hour is also a problem. There are a couple of tables to sit but majority of the others stand at the tables and eat. Just eat your food quick and rush out. 

My fav of theirs is the Dosa. I just loved the Chutney and the sambar taste even though it was a bit sweeter to my taste. Also loved the Kerala Parotta which is a fav dish of mine back home here in Chennai.",4,"119 Reviews , 469 Followers",12/31/2018 1:50,5,
Udipi's Upahar,Pradeep Koney,"Great place for a quick breakfast in Indira Nagar area. Dosas, Poori are good and the restaurant serve food faster. Hot beverages are available too.",5,"13 Reviews , 118 Followers",12/29/2018 16:48,0,
Udipi's Upahar,Apoorva Kulkarni,"Whenever we’re in Gachibowli, we definitely have our breakfast here. The quality of food is really good. And all the tiffins tastes amazing. My favourite is Vada.",4,"65 Reviews , 241 Followers",12/25/2018 20:00,6,
Udipi's Upahar,Kaushik Padmanaban,"When I first reached Hyderabad, I wanted to eat dosa and idli. Just like the ones I had in Chennai. So, after some research, I reached Udupi's upahar. The sambar was sweeter than I expected. I believe it is the Karnataka style. I still liked it. The Bonda was awesome and the price was comparatively low. Great experience. I would like it if they had spicier sambar.",4,"11 Reviews , 7 Followers",12/9/2018 20:27,0,
Udipi's Upahar,Naveen Kumar,"No frills place. Many families frequent this restaurant. There is air conditioned seating area below. Don't expect great service, but the service will be quick. Prices reasonable. Pineapple kesari and parota kurma are must have.",5,"23 Reviews , 6 Followers",12/1/2018 21:55,0,
Udipi's Upahar,Princy Singh Rajput,"If you are looking for a good South Indian breakfast, then this place is a must-go. Prices is rather higher than any usual shop, but the quality would make worth spending that money.

Good variety. Good taste. Decent staff. Have options for chat, tea,coffee stall as well",4,"66 Reviews , 131 Followers",11/4/2018 0:32,0,
Udipi's Upahar,Shashank Okhde,"Nice place for budget outing. Generally taste of all items is good and very reasonable. Regular place of visit of us when in hurry, Quick service. Good parcel option for quick takeaways. South Indian food is better here compared to North Indian food. Juice and Tea counter outside helps.",4,"61 Reviews , 137 Followers",10/26/2018 19:37,0,
Udipi's Upahar,Suresh Neralla,"Used to be great for tasty breakfast, now almost flat taste, unless have other options no more a must have place.

Service standard - okay
Pricing - okay
Parking - unless peak hours - can find one.",3,"135 Reviews , 929 Followers",10/15/2018 8:36,0,
Udipi's Upahar,Ankita,"Good food, loved the south Indian dishes over here plus the ordering system is good. But I feel, they should have some more space. It gets hoch poch when it's crowded. Overall nice experience.",4,"10 Reviews , 179 Followers",10/2/2018 13:57,0,
Udipi's Upahar,Nalin Venkat Sameera,"I was here with my dad for a quick tiffin/ snack time on our way home. Frankly speaking, I wasn't expecting such good food. We had Masala Dosa, Idli and Vada. I felt there could have been a better variety of chutneys (like tamarind or ginger) apart from the regular coconut one. Not only did the food make us feel satiated, but also satisfied.",4,"122 Reviews , 639 Followers",10/1/2018 16:02,0,
Udipi's Upahar,FooD HUNTer,I ordered so many times here food was really good and the sambar is good to have but chutney is not at all good and set dosa poori with kurma good to have all they have to do is to improve CHUTNEY!!!! PACKING 5/5,4,"63 Reviews , 5715 Followers",10/1/2018 9:28,0,
Udipi's Upahar,SD,It has the best rava idlis that you can get. I usually visit this place early in the morning on weekends. It’s always crowded. They have a seating area downstairs as well. It’s a place where you can have a quick bite and enjoy a cup of tea.,4,"3 Reviews , 14 Followers",9/28/2018 13:25,0,
Udipi's Upahar,Nevia Singhal,"The best Coconut chutney and Sambhar in town. Pick any food item and its delicious. You can say that by the crowd at their place to get anything. Must try Idli-sambhar, Poori Bhaji, Butter pav bhaji.",4,"92 Reviews , 350 Followers",9/23/2018 13:30,1,
Udipi's Upahar,Ashish,"My go to place for all my South Indian Tiffin fixes in the city!
Their pesarratu set dosas and podi idli is to die for!
Ginger chai on the go is absolutely perfect for all kind of chai lovers!",5,"125 Reviews , 1812 Followers",9/18/2018 16:08,2,
Udipi's Upahar,Lucky Pathania,Whatever you order from there or eat their it’s alway good & delicious. Their Pineapple Kesari Bath is one of the best. The way they server food on banana leaf is awesome & there are very few veg restaurants who serve food that way.,5,"3 Reviews , 2 Followers",8/25/2018 9:51,0,
Udipi's Upahar,Amol Lakhe,"The Coconut chutney here is great.
Food is prepared with less oil.
Do try Cheese Dosa and Bisibelle Bath.
Also try Ginger Tea available at Udipi Tea stall.
Tea is very good in flavour.",4,"3 Reviews , 1 Follower",8/19/2018 9:53,0,
Udipi's Upahar,Anuj Kumar,Rudest billing staff ever. Didn't provide change. Worst customer service. Never going again. Don't know how to treat the customers. Many options available.,1,"30 Reviews , 218 Followers",8/18/2018 15:21,0,
Udipi's Upahar,Mansi Saraswat,"This place is my default option for south indian breakfast. Located right on the Gachibowli-Kothaguda road, this place serves Poha, idli, dosa, uttapam, poori sabzi etc. Personally I prefer their south indian food.
There is a small juice counter outside the restaurant as well.

If you are looking for ambience then this place is not a great option but taste wise and cost wise it won't disappoint you!

Happy eating! :)",4,"67 Reviews , 569 Followers",8/14/2018 19:49,0,
Udipi's Upahar,Sneha Paul,"Udipi's is perhaps one of the best budget friendly joints in the indiranagar area. Their ghee idly is a must try and so are their dosas. If you are there for breakfast, do try their poha.",4,"12 Reviews , 15 Followers",8/6/2018 18:49,0,
Udipi's Upahar,Sudarshan S,nice,5,1 Review,8/3/2018 10:05,0,
Udipi's Upahar,Karishma Bhatt,"This is one of the place, where you can find all the foods in a very reasonable price but it doesn't mean that you have to compromise with your taste buds. I have tried Veg manchurian, gobi manuchurian, idli sambhar, vada sambhar, dahi vada, dosa ( must try ) , puri and curry and poha. I tried one unique combination here and that is plain dosa with veg manchurian, and it was just yummm. I would suggest you as well to try this. ✌️",4,"90 Reviews , 148 Followers",8/2/2018 20:47,0,
Udipi's Upahar,Lekha Lavanya Chadaram,chutney is not at all good,1,"2 Reviews , 34 Followers",8/1/2018 14:56,0,
Udipi's Upahar,Sreetam Das,cool,5,"2 Reviews , 1 Follower",7/30/2018 20:47,0,
Udipi's Upahar,Yashwanth Aluru,"Good place. We went to its AC seating area in the cellar. Had butter masala dosa, karampodi idly and Ravva dosa. All were satisfactory . Sambar was bot good but Chutney was good.",4,"9 Reviews , 35 Followers",7/29/2018 21:45,0,
Udipi's Upahar,Sandeep Banda,Requested to replace Sambar with Chutney but that was not done.,4,"0 Reviews , 75 Followers",7/29/2018 21:36,0,
Udipi's Upahar,Thirumalesh K,good,4,"2 Reviews , 2 Followers",7/28/2018 16:56,0,
Udipi's Upahar,Subhasmita Patro,Good job!!,5,"0 Reviews , 1 Follower",7/28/2018 11:40,0,
Udipi's Upahar,Sarat Mahapatra,great on time,5,0 Reviews,7/28/2018 11:11,0,
Udipi's Upahar,Kirankumari Reddykiran,very good and fast,5,0 Reviews,7/27/2018 21:36,0,
Udipi's Upahar,Ravi Kiran Vandhanapu,Thanks Zomato.,5,"3 Reviews , 11 Followers",7/27/2018 11:57,0,
Udipi's Upahar,Komal,good,5,"0 Reviews , 1 Follower",7/27/2018 10:03,0,
Udipi's Upahar,Madhavi Parnam,nothing,5,"2 Reviews , 4 Followers",7/27/2018 9:55,0,
Udipi's Upahar,Medhasri Yekula,very fast delivery,5,"0 Reviews , 4 Followers",7/26/2018 21:34,0,
Udipi's Upahar,Suchi Smita,good,5,"6 Reviews , 2 Followers",7/26/2018 21:17,0,
