Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Yum Yum Tree - The Arabian Food Court,The Food O’Clock,"It is at 6th floor of Act Boutique building that the entrance gate is just opposite to Karachi Bakery. The building is little bit inside. Once you get there, u will find a cafe on the ground floor.
The place is cool, not so noisy, spacious and hygiene. Service is fast. They have seating arrangement in two ways, 1) chair and table 2) carpet seating like traditional.

We ordered mutton Haleem and Chicken Fahm Mandi Half for two people. There was no chicken haleem.

The mutton Haleem was delicious. I feel this is the best Haleem I had. Taste- 5/5

The chicken Fahm Mandi was delicious too. The masala was perfect. But people who don’t like masala may not be pleased much. They give good amount of chicken. Taste-5/5",5,"26 Reviews , 13 Followers",5/23/2019 22:40,8,
Yum Yum Tree - The Arabian Food Court,Tanzeem Alam,I am new to Hyderabad.. heard of the Hyderabadi Haleem here is very famous so ordered haleem from this restaurant. It was a disastrous experience. Please dont try any kind of haleem here. I haven't tried any other dish here and now I am hesitant to order any other dish from here after having haleem here.,1,1 Review,5/19/2019 23:23,0,
Yum Yum Tree - The Arabian Food Court,Saif Rahman Khan,"Situated at the heart of the town, this is by far the best place to lay your hands on Arabian and Yemeni dishes in the City of Nawabs. With stiff competition from more than a dozen other restaurants in the area, the prices are average but the Quality is exceptional. The ambience of the place is exceptional and with adequate lights which are extremely soothing to the eyes. Food apart, the whole setup of the restaurant creates a Unique Aura for all food lovers.

Note :- Plz do try the BBQ Chicken Mandi and the Juicy Chicken Mandi. They are the best items from the whole menu.

In frame - BBQ Chicken Mandi & Chicken Juicy Mandi",5,"6 Reviews , 45 Followers",5/5/2019 18:16,1,
Yum Yum Tree - The Arabian Food Court,Nikhil Naik,"I had been here with my office colleagues for lunch. We order malai chicken and mix chicken mandi. I earlier had mandi at different places in Hyderabad but this place was awesome. They had nice interiors with seating arrangements. If you are not comfortable seating on the rug then you can sit on table and chair. For food I would rate it 5+ for amazing taste, quantity and for that Arabian food feel. We order 2 mandi and we all 8 of us were so full and started feeling sleepy. As it was lunch time we had to build some courage and go to office:-)...will be visiting again to try some Mutton mandi.",5,"5 Reviews , 23 Followers",5/5/2019 13:04,1,
Yum Yum Tree - The Arabian Food Court,Lovely Priyanka,"Chicken nuggets must try here....bbq chicken mandi is too gud....but ambience is not too gud...and not so neat...
But itsgud only for taste food..waiting time is too high bettween 8-10",4,"5 Reviews , 4 Followers",5/1/2019 12:45,0,
Yum Yum Tree - The Arabian Food Court,Biswarup Bose,Have always been a fan of the Shawarma of this place. Therefore wanted to try the mandi as well. But was utterly disappointed with the quality of rice being served. By no means it seemed to be mandi rice. It was more like Pulao rice. Considering the price that I paid the quality was no match for it. Mandi rice is never sticky but in this case it was. Kindly look into the image and you will understand.,1,"22 Reviews , 63 Followers",4/28/2019 17:06,1,
Yum Yum Tree - The Arabian Food Court,Manas Gangishetti,I like this place for shawarma but mandi was pathetic. It contained pulao rice. Full sticky no cashews. Really not the kind of mandi i was expecting from this place. Really pathetic Mandi,1,"2 Reviews , 39 Followers",4/28/2019 16:59,0,
Yum Yum Tree - The Arabian Food Court,FoodBites,"I came to know this place through my colleague. We went here for a team lunch.
And this place is one of the best ideas to have team lunches. As Mandi is specially a platter for 2 and more people can eat together.
Ambience- normal and okay
Service - fast and good
Food taste - quite good and worthy
Ordered chicken wings mandi and barbeque chicken mandi, chicken is tender and tasty, rice is flavourful and quantity is great.
Veg mandi is okay but not so tasty
Bas bousa -3/5 . I am trying for the 1st time. Taste is great but its quite dry
Overall xperience is great for huge teams",4,"63 Reviews , 119 Followers",4/26/2019 22:18,0,
Yum Yum Tree - The Arabian Food Court,Anwesha,"We went for my birthday dinner here. There ambience is beautiful to say the least, the stuff is quite courteous. We had chicken Mandi, kebabs, and kaddu ka kheer. Although kaddu ka kheer was a bit too liquid for us, we loved our food. This place isn't really pocket friendly, but totally worth the money.",5,"6 Reviews , 1 Follower",4/20/2019 16:35,0,
Yum Yum Tree - The Arabian Food Court,Hemachand Yadav Gogula,I tried chicken mandi made in arabian there will be badam and Kissmiss garnished on that which is open ur taste buds. Chicken wings and kurbaani ka meeta are also lovely dishes to try when ever you visit that restaurant,4,"7 Reviews , 5 Followers",4/11/2019 15:17,0,
