Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Zega - Sheraton Hyderabad Hotel,Sanskruti Mishra,"My husband and I, visited Zega for their dimsum festival and we were not disappointed.
The service started with a delicious bowl of thukpa, which had a perfect blend of spice. Followed by an array of dimsums, each being delicious and warm. The chicken Gyoza was absolutely mind blowing. I could eat a zillion of those!
The dimsums (which we were full after) were followed by the main course which included fried rice/soft noodle with chicken and fish(we did not try the vegetarian dishes)
The cherry on the cake was the dessert! Toffee banana with ice Cream. Ugh! Delicious!!
Our bill was ~ 1700/- for 2
Worth every penny.

Ambience-5/5
Taste-5/5
Value for money-5/5(surprisingly)
Service-4.5/5

Will I visit again? Yes, maybe for a different food festival this time!",5,"99 Reviews , 909 Followers",5/21/2019 20:36,7,
Zega - Sheraton Hyderabad Hotel,#FOODPORN,"Delicious,mouthwatering dishes and a must try dim sum lunch which is pocket friendly. The view,service and the food are 10 on 10. Kudos!!! to the team",5,"35 Reviews , 5873 Followers",5/15/2019 16:35,0,
Zega - Sheraton Hyderabad Hotel,Siva Chakravarthy,The place is lovely. The food was damn tasty. I lovers the service and the respect they showed towards me. Good atmosphere with nice dim lighting and the music.,4,"4 Reviews , 72 Followers",5/15/2019 0:43,0,
Zega - Sheraton Hyderabad Hotel,Shreshth Malhotra,"Zega is a beautiful Pan Asian restaurant located amidst the lavish property of Sheraton Hyderabad. The restaurant has got a great ambiance to it and serves some of the authentic Pan Asian dishes that one could ask for.

I went there for their ongoing Dimsum food festival with my pals and had a great time overall. The Dimsum food festival had a variety of Thukpa options ranging from Chicken, Mutton, Pork and the veg version alongside some beautifully crafted dimsums inspired from China. Next up, there was an option for various wok tossed gravies and some delicious desserts.

The first thing to try out was their Chicken Thukpa. It was simply delicious. The broth was super special and it had a balanced proportion of sweet, spice and tang into it which was amazing. The amount of veggies and noodles were also quite balanced and overall, it was an absolute winner. This was something I personally recommend all of you to try.

Next up, we were offered some of their Dimsums. The showstopper of the day were Pan fried Chicken Gyoza, Pok choi roasted garlic and Napa Cabbage Crystals, Prawn crystal wraps and Vegetable beijing dumpling. The Prawn crystal wraps had a tad sweet soy used as a sauce which could have had a slight more kick to it otherwise all these are a must try.

For mains, we ordered for Wok tossed Chicken in Dry chilli cashews, Crispy fish in chilli plum sauce along side Vegetable fried rice and Vegetable wok tossed soft noodles. The Chicken in dry chilli cashwes was the clear winner of the lot and was simply wonderful. It was a tad saltier in the first serving but we got it amended thanks to the chef. Overall, the main course was good and had clean, authentic flavors.

With out tummies full and our satisfaction levels reached, we decided to go ahead with their Toffee banana with palm sugar ice cream. This was magical. I have been a lover of Toffee banana but this fusion right here was mind blowing. The creaminess of the palm sugar ice cream went on fantastically with the crispy banana toffee and was a big boost for our palate.

All in all, it is a place to sit back, relax and enjoy a great layout of Pan Asian food. The staff is highly cooperative and seeks a lot of feedback which is a great thing. Happy eating. :)",4,"275 Reviews , 1990 Followers",5/13/2019 11:07,9,
Zega - Sheraton Hyderabad Hotel,Vinay Talagadadevi,"It's been a very long desire to taste the pan Asian food at Zega, very beautiful place with a spectacular view from the outlet, well balanced ambience with nice live kitchen and interactive bar, coming to the service its seems very low manned for every order we have to stand up and request someone to attend for our request, taste of the food was just ok, need to relook into the clasic dishes, over all it was a very average dining experience at zega.",2,"67 Reviews , 160 Followers",5/9/2019 22:15,3,
Zega - Sheraton Hyderabad Hotel,Pallavi Kadam,"Was on Vacation in Shareton Hyderabad .18 04 2019 Went to ZEGA special occasion on my birthday . ambience was stirring,dim light ,soft music ,gloomy  we were in celebration mood ,we requested to taste wine before selecting  one 
first tasted Australian Shiraz yellow tale  ,didn't like taste much, second wine was Shiraz two ocean from Africa ,it was well seasoned wine ,liked taste half glass was  Rs1100  my Husband Ordered Beer which was ok . 
We ordered Thai curry red chicken for main course ,it was coconut milk curry paste had taste of lime grass,basil ,some veggie like baby corn ,beans also used ,having ting of sweetness,served with little portion of rice just for one person if your tummy is empty ,thai curry tasted nice,cooked very well.
we also ordered starter chicken with brown sauce ,chicken was tender, sauce blended well with chicken .Overall food quality was good.made our day.As we suggested for small pastry to celebrate my birth day , they got nicely decorated plate with colourful cream say Happy Birthday cake and candle ,even clicked photo with us",4,5 Reviews,5/3/2019 14:19,1,
Zega - Sheraton Hyderabad Hotel,Surendra C,"Awesome place to visit . The Great Ambiance and access to roof top and the view from roof top is amazing in the night. The food is very delicious and service was awesome , I thank staff Sai and Neel for their best service and very friendly and polite receiving. Over all Superb place and I love to visit again. 🍺 cheers 🍻 .",5,"1 Review , 1 Follower",5/2/2019 12:56,0,
Zega - Sheraton Hyderabad Hotel,Mihir Bhagwat,Beautiful ambience and great views since this is located at the 10th floor of the Sheraton Hyderabad Hotel. Food is extremely tasty! Butter-Garlic-Lime Crisp Fish and Classic Kung Pao Chicken with steamed rice were our favourites. The staff are very polite and give good suggestions which suit your food palate. Definitely worth a visit!,5,20 Reviews,4/23/2019 23:12,4,
Zega - Sheraton Hyderabad Hotel,Akash Dhand,"It was an IPL Sunday evening when we went to this place, the food tastes really good unlike other 4-5 star hotel restaurants where food is average. Ambience was just ok as it was too dull according to me. The highlight of this place is its open till late night 2 am and has an amazing roof top.
We order 1 veg and 3 non veg starters and all were perfectly done. Specially mention for Butter garlic fish (if u like buttery flavour) which was just superb.
The only thing which I didn’t like was the portion size which was too less.
And yes you get booze served here even on dry days 😉",4,"25 Reviews , 68 Followers",4/23/2019 17:13,3,
Zega - Sheraton Hyderabad Hotel,Avin Seth,"Crazy place with crazy people mad over drinks 🍸🍷. A place that is open late in night to havve after party scenes. Rooftop has a great feeling of its own. Ambiance is awesome. Its a party place with great music 🎵.
Cheers Rakshita Nath",5,"197 Reviews , 1383 Followers",4/16/2019 11:25,0,
