Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
eat.fit,Pournima Gupte,I had ordered gobi methi paratha.. it was ok. Not good. It was too oily. Not much taste. It tasted like it was a re-heated paratha. Not fresh.,3,"1 Review , 1 Follower",5/25/2019 10:24,0,
eat.fit,Manish Aggarwal,Food was good but it was all leaking from the plate. And so quantity was very less as compared and i expected rice as well with the thali but it was missing,3,1 Review,5/24/2019 20:43,2,
eat.fit,Srishti M,"Intially, yes,the food was really good they were maintaining quality standard of food very well,which is rare in Indian restaurant nowadays I don't see that happening these.Today I have found hair my fit thali,which shows how much hygienic they are ,apart from this so many times I have seen they miss on cutlery or few items. I mostly order fit thali so I know very well what it consist of not just one time so many time items are missing.",3,9 Reviews,5/23/2019 20:45,0,
eat.fit,Basheer Shaik,"Hyderabad's most worst and ugliest biryani i had yesterday from the restaurant Eat fit and this worst restaurant people not allowing zomato people quick to the destination delivery points, it has been 2hr late i have received from the biryani from Eat fit, just disguised about the biryani of the EATFIT Alaasss.. this is a Horrible biryani i had ate in Hyderabad",1,"1 Review , 1 Follower",5/23/2019 14:50,0,
eat.fit,Kirthi Kirthi,Very good at quality guys..even packaging is extraordinary..but chicken curry is not good which came more liquid with less taste.so quality quantity wise thumsup..but have to improve taste.,4,"10 Reviews , 1 Follower",5/22/2019 17:10,0,
eat.fit,Bharath Kumar,Thank you so much for the excellent food.it tasted great. Price quality everything good. I ordered via zomato online app. Delivery package was also great.if there was a way if packaging more environment friendly that would be great,4,3 Reviews,5/21/2019 13:18,0,
eat.fit,Priyank Sharma,"Order no - 1127326452

Ordered rajma rice and what I received cold and badly smelly rotten food. Completely disappointed.

And Zomato is not even helpful to resolve it.",4,"4 Reviews , 52 Followers",5/19/2019 22:37,0,
eat.fit,Gaurav,"Last time I ordered the food(Tofu keema wrap, dal makhni and parathe) from here, I was delivered spoiled food. The wrap was literally smelling sour and parathe were like they have been prepared in the morning and sent to us for dinner. I always order from this restaurant and since it was the first time, I wanted to ignore this But, still putting out this review so that management can introspect and figure out if this was process fault, delivery fault or a manual one.",1,"5 Reviews , 7 Followers",5/19/2019 14:52,0,
eat.fit,Gautam Narang,"Whenever you get the urge to eat hygienic food with less calories this the place to order from. It offers a wide variety of dishes ranging from Indian, Continental, Oriental and even Caribbean. The food is prepared in a way that it is healthy, but doesn’t compromise on taste. Also, the dishes are reasonably priced. My only issue is that many dishes go out of stock very quickly.",4,"16 Reviews , 82 Followers",5/18/2019 15:42,0,
eat.fit,Kiranpreet Kaur,I had ordered the weight watch veg and it was awesome.. Healthy and tasty as well. Food quality was really very good. I had ordered for the second time and this weight watch forced me to write a review.. I couldn't help myself.. Fantastic.. Keep it upp.. U have raised a bar.. Do the good work always :),5,1 Review,5/17/2019 20:48,1,
